Orthogroup	Syat	Prak
OG0000001	Syat.g_02910, Syat.g_02911	Prak.g_01302, Prak.g_00755
OG0000005	Syat.g_03105	Prak.g_01474
OG0000006	Syat.g_01439, Syat.g_01865	Prak.g_00258
OG0000007	Syat.g_03191	Prak.g_00458
OG0000007	Syat.g_03124	Prak.g_01645
OG0000008	Syat.g_02626	Prak.g_01544
OG0000008	Syat.g_02627	Prak.g_01545, Prak.g_01546
OG0000010	Syat.g_01372	Prak.g_00739, Prak.g_01034, Prak.g_00435
OG0000013	Syat.g_01625, Syat.g_01016, Syat.g_01027	Prak.g_00343
OG0000014	Syat.g_02104	Prak.g_00325
OG0000016	Syat.g_02329	Prak.g_00013
OG0000016	Syat.g_00909, Syat.g_00222, Syat.g_00832	Prak.g_01230
OG0000017	Syat.g_00015	Prak.g_00559
OG0000018	Syat.g_01334	Prak.g_01194, Prak.g_00873
OG0000019	Syat.g_01876	Prak.g_00266, Prak.g_01196
OG0000021	Syat.g_00964	Prak.g_01499
OG0000022	Syat.g_00210	Prak.g_01482
OG0000024	Syat.g_03394	Prak.g_01038, Prak.g_00802
OG0000025	Syat.g_00719	Prak.g_00881
OG0000026	Syat.g_02306	Prak.g_00032
OG0000027	Syat.g_00850	Prak.g_01564, Prak.g_01521
OG0000028	Syat.g_02126	Prak.g_01543
OG0000030	Syat.g_00307, Syat.g_00308	Prak.g_01853
OG0000031	Syat.g_03199, Syat.g_02243	Prak.g_01350
OG0000032	Syat.g_01354	Prak.g_01430
OG0000033	Syat.g_02858	Prak.g_01357, Prak.g_00181
OG0000034	Syat.g_01165, Syat.g_02902	Prak.g_01288
OG0000035	Syat.g_01227, Syat.g_01226	Prak.g_01391
OG0000037	Syat.g_00849, Syat.g_00187	Prak.g_00115
OG0000038	Syat.g_02688, Syat.g_02686	Prak.g_01893
OG0000039	Syat.g_01278	Prak.g_00814
OG0000042	Syat.g_00223, Syat.g_02222	Prak.g_01850
OG0000045	Syat.g_00935	Prak.g_01216
OG0000046	Syat.g_01626, Syat.g_01026	Prak.g_00344
OG0000048	Syat.g_02046	Prak.g_01264, Prak.g_00289
OG0000052	Syat.g_02140	Prak.g_00058
OG0000053	Syat.g_01330	Prak.g_01590, Prak.g_01412
OG0000055	Syat.g_00693	Prak.g_01619
OG0000057	Syat.g_00817	Prak.g_00829
OG0000058	Syat.g_01189	Prak.g_01351
OG0000061	Syat.g_03260	Prak.g_01172
OG0000062	Syat.g_03107	Prak.g_01476
OG0000063	Syat.g_02303	Prak.g_01530
OG0000064	Syat.g_01568	Prak.g_00072
OG0000065	Syat.g_01571	Prak.g_00113
OG0000066	Syat.g_03283	Prak.g_00498, Prak.g_01557
OG0000067	Syat.g_00479	Prak.g_00845
OG0000068	Syat.g_00085, Syat.g_01295	Prak.g_01329
OG0000070	Syat.g_01032, Syat.g_01040	Prak.g_00412
OG0000072	Syat.g_02856, Syat.g_01597	Prak.g_00183
OG0000073	Syat.g_03201	Prak.g_00461
OG0000075	Syat.g_02497, Syat.g_01713, Syat.g_02154	Prak.g_01816
OG0000076	Syat.g_02206	Prak.g_01842
OG0000078	Syat.g_00184	Prak.g_00256
OG0000079	Syat.g_01879	Prak.g_00269
OG0000081	Syat.g_00980	Prak.g_00490
OG0000082	Syat.g_00035	Prak.g_00546, Prak.g_01634
OG0000085	Syat.g_03113	Prak.g_01637, Prak.g_01516
OG0000086	Syat.g_01531, Syat.g_00798, Syat.g_00635	Prak.g_00092
OG0000087	Syat.g_02912	Prak.g_00147
OG0000088	Syat.g_02862	Prak.g_00178
OG0000089	Syat.g_02953	Prak.g_00379
OG0000090	Syat.g_03270	Prak.g_00492
OG0000091	Syat.g_00939, Syat.g_00862	Prak.g_01100
OG0000092	Syat.g_00825	Prak.g_00775
OG0000094	Syat.g_01034	Prak.g_01022
OG0000097	Syat.g_00907, Syat.g_00535	Prak.g_01126
OG0000098	Syat.g_03281	Prak.g_01305
OG0000099	Syat.g_02130	Prak.g_01352
OG0000100	Syat.g_00517	Prak.g_01470
OG0000101	Syat.g_01661	Prak.g_01780
OG0000102	Syat.g_00974	Prak.g_01847
OG0000103	Syat.g_02399	Prak.g_01932
OG0000104	Syat.g_02385	Prak.g_01941
OG0000105	Syat.g_02052	Prak.g_00292
OG0000106	Syat.g_00957	Prak.g_00687
OG0000107	Syat.g_01862	Prak.g_01709
OG0000108	Syat.g_03170	Prak.g_00441
OG0000109	Syat.g_03187	Prak.g_00455
OG0000110	Syat.g_00049	Prak.g_00535
