Orthogroup	Syat	Prbj
OG0000001	Syat.g_02910, Syat.g_02911	Prbj.g_00672, Prbj.g_00169
OG0000001	Syat.g_02908, Syat.g_02909	Prbj.g_01549, Prbj.g_02662
OG0000001	Syat.g_00878	Prbj.g_02690
OG0000005	Syat.g_03105	Prbj.g_00883
OG0000006	Syat.g_01439, Syat.g_01865	Prbj.g_02699
OG0000007	Syat.g_03191	Prbj.g_01610
OG0000007	Syat.g_03124	Prbj.g_00857
OG0000008	Syat.g_02626	Prbj.g_00929
OG0000008	Syat.g_02627	Prbj.g_00928
OG0000009	Syat.g_01567	Prbj.g_01300, Prbj.g_00618
OG0000010	Syat.g_01372	Prbj.g_00129
OG0000013	Syat.g_01625, Syat.g_01016, Syat.g_01027	Prbj.g_00359
OG0000014	Syat.g_02104	Prbj.g_01442
OG0000017	Syat.g_00015	Prbj.g_01769
OG0000018	Syat.g_01334	Prbj.g_00641
OG0000019	Syat.g_01876	Prbj.g_00025, Prbj.g_01349
OG0000021	Syat.g_00964	Prbj.g_01121
OG0000022	Syat.g_00210	Prbj.g_01572, Prbj.g_00050
OG0000024	Syat.g_03394	Prbj.g_00773
OG0000025	Syat.g_00719	Prbj.g_02475
OG0000026	Syat.g_02306	Prbj.g_01204
OG0000028	Syat.g_02126	Prbj.g_01457
OG0000030	Syat.g_00307	Prbj.g_01288
OG0000030	Syat.g_00308	Prbj.g_01287
OG0000032	Syat.g_01354	Prbj.g_00659
OG0000032	Syat.g_02237	Prbj.g_01468
OG0000033	Syat.g_02858	Prbj.g_00518
OG0000034	Syat.g_01165, Syat.g_02902	Prbj.g_01740
OG0000035	Syat.g_01227, Syat.g_01226	Prbj.g_01056
OG0000037	Syat.g_00849, Syat.g_00187	Prbj.g_00624
OG0000038	Syat.g_02688	Prbj.g_01959
OG0000038	Syat.g_02686	Prbj.g_01961
OG0000039	Syat.g_01278	Prbj.g_00429, Prbj.g_00278
OG0000042	Syat.g_00223, Syat.g_02222	Prbj.g_01808, Prbj.g_00001
OG0000044	Syat.g_00933, Syat.g_01910, Syat.g_00146, Syat.g_03333	Prbj.g_01330, Prbj.g_00194, Prbj.g_02695, Prbj.g_00726
OG0000045	Syat.g_00935	Prbj.g_00563
OG0000046	Syat.g_01626, Syat.g_01026	Prbj.g_00358
OG0000048	Syat.g_02046	Prbj.g_01393
OG0000053	Syat.g_01330	Prbj.g_00638
OG0000057	Syat.g_00817	Prbj.g_00758
OG0000058	Syat.g_02133, Syat.g_02238	Prbj.g_01467
OG0000059	Syat.g_01832	Prbj.g_01029
OG0000060	Syat.g_01384	Prbj.g_01633
OG0000061	Syat.g_03260	Prbj.g_00971
OG0000062	Syat.g_03107	Prbj.g_00881
OG0000063	Syat.g_02303	Prbj.g_01208
OG0000065	Syat.g_01571	Prbj.g_00620
OG0000066	Syat.g_03283	Prbj.g_02141
OG0000067	Syat.g_00479	Prbj.g_02412
OG0000068	Syat.g_00085, Syat.g_01295	Prbj.g_01639
OG0000070	Syat.g_01032, Syat.g_01040	Prbj.g_00118
OG0000072	Syat.g_02856, Syat.g_01597	Prbj.g_00516
OG0000073	Syat.g_03201	Prbj.g_01608
OG0000075	Syat.g_02497, Syat.g_01713, Syat.g_02154	Prbj.g_01502
OG0000076	Syat.g_02206	Prbj.g_01598
OG0000077	Syat.g_01481	Prbj.g_01900
OG0000078	Syat.g_00184	Prbj.g_02614
OG0000079	Syat.g_01879	Prbj.g_01353
OG0000081	Syat.g_00980	Prbj.g_00799, Prbj.g_00765
OG0000082	Syat.g_00035	Prbj.g_01789
OG0000085	Syat.g_03113	Prbj.g_00869
OG0000086	Syat.g_01531, Syat.g_00798, Syat.g_00635	Prbj.g_00589
OG0000087	Syat.g_02912	Prbj.g_01547
OG0000088	Syat.g_02862	Prbj.g_00912, Prbj.g_00521
OG0000089	Syat.g_02953	Prbj.g_00064
OG0000090	Syat.g_03270	Prbj.g_02127
OG0000091	Syat.g_00939, Syat.g_00862	Prbj.g_02581
OG0000094	Syat.g_01034	Prbj.g_01985
OG0000095	Syat.g_00808	Prbj.g_01838
OG0000098	Syat.g_03281	Prbj.g_00669
OG0000099	Syat.g_02130	Prbj.g_01464
OG0000100	Syat.g_00517	Prbj.g_00185, Prbj.g_02442
OG0000101	Syat.g_01661	Prbj.g_00415
OG0000102	Syat.g_00974	Prbj.g_01819
OG0000103	Syat.g_02399	Prbj.g_02055
OG0000104	Syat.g_02385	Prbj.g_02069
OG0000105	Syat.g_02052	Prbj.g_01397
OG0000106	Syat.g_00957	Prbj.g_00875
OG0000107	Syat.g_01862	Prbj.g_02659
OG0000108	Syat.g_03170	Prbj.g_01630
OG0000109	Syat.g_03187	Prbj.g_01614
OG0000110	Syat.g_00049	Prbj.g_01801
OG0000111	Syat.g_00816	Prbj.g_00759
OG0000112	Syat.g_00593	Prbj.g_02276
OG0000113	Syat.g_00509	Prbj.g_02437
OG0000114	Syat.g_00426	Prbj.g_02340
OG0000115	Syat.g_01328	Prbj.g_00634
OG0000116	Syat.g_02641	Prbj.g_00956
OG0000117	Syat.g_00224	Prbj.g_01915
OG0000118	Syat.g_01168	Prbj.g_01742
OG0000119	Syat.g_00309	Prbj.g_00740, Prbj.g_00778
OG0000120	Syat.g_02132	Prbj.g_01465
OG0000121	Syat.g_01223	Prbj.g_01064, Prbj.g_01058
OG0000123	Syat.g_01653	Prbj.g_00406
OG0000124	Syat.g_02231	Prbj.g_01281
OG0000125	Syat.g_02684	Prbj.g_01963
OG0000126	Syat.g_00976	Prbj.g_02067
OG0000128	Syat.g_02331	Prbj.g_02085
OG0000129	Syat.g_02693, Syat.g_02694	Prbj.g_01951
OG0000130	Syat.g_01469	Prbj.g_00564
OG0000131	Syat.g_02898	Prbj.g_00543
OG0000132	Syat.g_02864	Prbj.g_00523
OG0000133	Syat.g_00588	Prbj.g_01460
OG0000134	Syat.g_02956	Prbj.g_00067
OG0000135	Syat.g_02501	Prbj.g_02004
OG0000136	Syat.g_01292	Prbj.g_00105
OG0000137	Syat.g_01371	Prbj.g_00128
OG0000138	Syat.g_03188	Prbj.g_01613
OG0000140	Syat.g_03280	Prbj.g_02139
OG0000141	Syat.g_03398	Prbj.g_01757
OG0000142	Syat.g_00117	Prbj.g_02573
OG0000143	Syat.g_00130	Prbj.g_02577
OG0000144	Syat.g_00369	Prbj.g_00793
OG0000145	Syat.g_03202	Prbj.g_01607
OG0000146	Syat.g_00594	Prbj.g_02277
OG0000147	Syat.g_00595	Prbj.g_02278
OG0000148	Syat.g_00503	Prbj.g_02431
OG0000149	Syat.g_00747	Prbj.g_02488
