Orthogroup	Syat	Syaj
OG0000001	Syat.g_02910, Syat.g_02911	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952
OG0000001	Syat.g_02908, Syat.g_02909	Syaj.g_01950
OG0000001	Syat.g_01540	Syaj.g_02660
OG0000005	Syat.g_03065	Syaj.g_01736
OG0000005	Syat.g_03105	Syaj.g_01698
OG0000005	Syat.g_01038	Syaj.g_01155
OG0000006	Syat.g_01439, Syat.g_01865	Syaj.g_02635
OG0000007	Syat.g_03191	Syaj.g_00091
OG0000007	Syat.g_03124	Syaj.g_01721
OG0000008	Syat.g_02626	Syaj.g_00496
OG0000008	Syat.g_02627	Syaj.g_00497
OG0000009	Syat.g_01567	Syaj.g_01885
OG0000010	Syat.g_01372	Syaj.g_01445
OG0000013	Syat.g_01027	Syaj.g_02769
OG0000014	Syat.g_02104	Syaj.g_02522
OG0000014	Syat.g_02250	Syaj.g_02344
OG0000016	Syat.g_02329	Syaj.g_02276
OG0000016	Syat.g_00909	Syaj.g_00590
OG0000017	Syat.g_00015	Syaj.g_00248
OG0000018	Syat.g_01334	Syaj.g_01413
OG0000019	Syat.g_01876	Syaj.g_02613
OG0000021	Syat.g_00964	Syaj.g_00982
OG0000022	Syat.g_00210	Syaj.g_01220
OG0000024	Syat.g_03394	Syaj.g_00500
OG0000025	Syat.g_00719	Syaj.g_00383
OG0000026	Syat.g_02306	Syaj.g_02298
OG0000027	Syat.g_00850	Syaj.g_00396
OG0000028	Syat.g_02126	Syaj.g_02506
OG0000030	Syat.g_00307	Syaj.g_02396
OG0000030	Syat.g_00308	Syaj.g_02395
OG0000031	Syat.g_02131	Syaj.g_02501
OG0000032	Syat.g_01354	Syaj.g_01432
OG0000033	Syat.g_02858	Syaj.g_01990
OG0000034	Syat.g_01165, Syat.g_02902	Syaj.g_01959
OG0000035	Syat.g_01227, Syat.g_01226	Syaj.g_01378
OG0000037	Syat.g_00849, Syat.g_00187	Syaj.g_02902
OG0000038	Syat.g_02688	Syaj.g_02115
OG0000039	Syat.g_01278	Syaj.g_00392, Syaj.g_00275
OG0000040	Syat.g_02551	Syaj.g_02208
OG0000042	Syat.g_00223, Syat.g_02222	Syaj.g_02399
OG0000044	Syat.g_00933, Syat.g_01910, Syat.g_00146, Syat.g_03333	Syaj.g_01344
OG0000045	Syat.g_00935	Syaj.g_00132
OG0000048	Syat.g_02046	Syaj.g_02578
OG0000053	Syat.g_01330	Syaj.g_01409
OG0000057	Syat.g_00817	Syaj.g_00438
OG0000058	Syat.g_01189	Syaj.g_02495
OG0000060	Syat.g_01384	Syaj.g_00067
OG0000060	Syat.g_01047	Syaj.g_00635
OG0000061	Syat.g_03260	Syaj.g_00302
OG0000062	Syat.g_03107	Syaj.g_01700
OG0000063	Syat.g_02303	Syaj.g_02302
OG0000064	Syat.g_01568	Syaj.g_01253
OG0000065	Syat.g_01571	Syaj.g_00007, Syaj.g_01887
OG0000066	Syat.g_03283	Syaj.g_00157
OG0000067	Syat.g_00479	Syaj.g_01023
OG0000068	Syat.g_00085, Syat.g_01295	Syaj.g_00059
OG0000070	Syat.g_01032, Syat.g_01040	Syaj.g_01529
OG0000072	Syat.g_02856	Syaj.g_01992
OG0000073	Syat.g_03201	Syaj.g_00093
OG0000075	Syat.g_02497, Syat.g_01713, Syat.g_02154	Syaj.g_02457
OG0000076	Syat.g_02206	Syaj.g_02417
OG0000077	Syat.g_01481	Syaj.g_01831
OG0000078	Syat.g_00184	Syaj.g_02880
