Orthogroup	Syat	Prao
OG0000001	Syat.g_02910, Syat.g_02911	Prao.g_01254, Prao.g_01852, Prao.g_01529
OG0000005	Syat.g_03065	Prao.g_01565
OG0000005	Syat.g_03105	Prao.g_01472
OG0000006	Syat.g_01439, Syat.g_01865	Prao.g_00379
OG0000007	Syat.g_03191	Prao.g_00603
OG0000007	Syat.g_03124	Prao.g_01552
OG0000010	Syat.g_01372	Prao.g_00985, Prao.g_00580
OG0000013	Syat.g_01625, Syat.g_01016, Syat.g_01027	Prao.g_00463
OG0000014	Syat.g_02104, Syat.g_03196, Syat.g_02250	Prao.g_01213
OG0000016	Syat.g_02329	Prao.g_00160
OG0000017	Syat.g_00015	Prao.g_00036
OG0000018	Syat.g_01334	Prao.g_01108, Prao.g_00768
OG0000019	Syat.g_01876	Prao.g_00387, Prao.g_00720
OG0000021	Syat.g_00964	Prao.g_01346, Prao.g_00500
OG0000022	Syat.g_00210	Prao.g_00699, Prao.g_01126
OG0000024	Syat.g_03394	Prao.g_00683, Prao.g_00114
OG0000025	Syat.g_00719	Prao.g_00776, Prao.g_00467
OG0000026	Syat.g_02306	Prao.g_00177, Prao.g_00992
OG0000027	Syat.g_00850	Prao.g_00576, Prao.g_01293
OG0000028	Syat.g_02126	Prao.g_00456, Prao.g_01348
OG0000030	Syat.g_00307, Syat.g_00308	Prao.g_01753
OG0000031	Syat.g_03199, Syat.g_02243	Prao.g_01355
OG0000033	Syat.g_02858	Prao.g_00307
OG0000034	Syat.g_01165, Syat.g_02902	Prao.g_01266
OG0000035	Syat.g_01227, Syat.g_01226	Prao.g_01397
OG0000037	Syat.g_00849, Syat.g_00187	Prao.g_00247
OG0000038	Syat.g_02688, Syat.g_02686	Prao.g_01794
OG0000039	Syat.g_01278	Prao.g_00124
OG0000042	Syat.g_00223, Syat.g_02222	Prao.g_01750
OG0000045	Syat.g_00935	Prao.g_00506
OG0000048	Syat.g_02046	Prao.g_00509
OG0000052	Syat.g_02140	Prao.g_01358
OG0000053	Syat.g_01330	Prao.g_01417
OG0000057	Syat.g_00817	Prao.g_00136
OG0000061	Syat.g_03260	Prao.g_01089
OG0000063	Syat.g_02303	Prao.g_00179
OG0000065	Syat.g_01571	Prao.g_00245
OG0000067	Syat.g_00479	Prao.g_00741
OG0000068	Syat.g_00085, Syat.g_01295	Prao.g_01239
OG0000070	Syat.g_01032, Syat.g_01040	Prao.g_00554
OG0000072	Syat.g_02856, Syat.g_01597	Prao.g_00309
OG0000073	Syat.g_03201	Prao.g_00605
OG0000075	Syat.g_02497, Syat.g_01713, Syat.g_02154	Prao.g_01719
OG0000076	Syat.g_02206	Prao.g_01743
OG0000078	Syat.g_00184	Prao.g_00377
OG0000079	Syat.g_01879	Prao.g_00390
OG0000081	Syat.g_00980	Prao.g_01860
OG0000082	Syat.g_00035	Prao.g_00024
OG0000085	Syat.g_03113	Prao.g_01545
OG0000086	Syat.g_01531, Syat.g_00798, Syat.g_00635	Prao.g_00227
OG0000087	Syat.g_02912	Prao.g_00277
OG0000088	Syat.g_02862	Prao.g_00304
OG0000089	Syat.g_02953	Prao.g_00490
OG0000090	Syat.g_03270	Prao.g_01858
OG0000091	Syat.g_00939, Syat.g_00862	Prao.g_00081
OG0000092	Syat.g_00825	Prao.g_00850
OG0000094	Syat.g_00698, Syat.g_01034	Prao.g_00955
OG0000097	Syat.g_00907, Syat.g_00535	Prao.g_01048
OG0000098	Syat.g_03281	Prao.g_01257
OG0000099	Syat.g_02130	Prao.g_01214
OG0000100	Syat.g_00517	Prao.g_01470
OG0000101	Syat.g_01661	Prao.g_01687
OG0000102	Syat.g_00974	Prao.g_01748
OG0000103	Syat.g_02399	Prao.g_01828
OG0000104	Syat.g_02385	Prao.g_01837
OG0000105	Syat.g_02052	Prao.g_01378
OG0000106	Syat.g_00957	Prao.g_00505
OG0000107	Syat.g_01862	Prao.g_00518
OG0000108	Syat.g_03170	Prao.g_00586
OG0000109	Syat.g_03187	Prao.g_00600
OG0000110	Syat.g_00049	Prao.g_01867
OG0000111	Syat.g_00816	Prao.g_00137
OG0000112	Syat.g_00593	Prao.g_00704
OG0000113	Syat.g_00509	Prao.g_00763
OG0000114	Syat.g_00426	Prao.g_00845
OG0000115	Syat.g_01328	Prao.g_01150
OG0000116	Syat.g_02641	Prao.g_01099
OG0000117	Syat.g_00224	Prao.g_01332
OG0000118	Syat.g_01168	Prao.g_01264
OG0000119	Syat.g_00309	Prao.g_01243
OG0000120	Syat.g_02132	Prao.g_01215
OG0000121	Syat.g_01223	Prao.g_01399
OG0000123	Syat.g_01653	Prao.g_01694
OG0000124	Syat.g_02231	Prao.g_01759
OG0000125	Syat.g_02684	Prao.g_01796
OG0000126	Syat.g_00976	Prao.g_01836
OG0000128	Syat.g_02331	Prao.g_00158
OG0000129	Syat.g_02693, Syat.g_02694	Prao.g_00190
OG0000130	Syat.g_01469	Prao.g_00208
OG0000131	Syat.g_02898	Prao.g_00283
OG0000132	Syat.g_02864	Prao.g_00302
OG0000133	Syat.g_00588	Prao.g_00458
OG0000134	Syat.g_02956	Prao.g_00491
OG0000135	Syat.g_02501	Prao.g_00516
OG0000136	Syat.g_01292	Prao.g_00545
OG0000137	Syat.g_01371	Prao.g_00581
OG0000138	Syat.g_03188	Prao.g_00601
OG0000140	Syat.g_03280	Prao.g_01853
OG0000141	Syat.g_03398	Prao.g_00045
OG0000142	Syat.g_00117	Prao.g_00074
OG0000143	Syat.g_00130	Prao.g_00078
OG0000144	Syat.g_00369	Prao.g_00091
OG0000145	Syat.g_03202	Prao.g_00701
OG0000146	Syat.g_00594	Prao.g_00705
OG0000147	Syat.g_00595	Prao.g_00706
OG0000148	Syat.g_00503	Prao.g_00757
OG0000149	Syat.g_00747	Prao.g_00788
OG0000150	Syat.g_03399	Prao.g_00796
OG0000151	Syat.g_00801, Syat.g_00440	Prao.g_00855
OG0000152	Syat.g_00578	Prao.g_00902
OG0000153	Syat.g_00542	Prao.g_00921
OG0000154	Syat.g_00708	Prao.g_00948
OG0000155	Syat.g_00287	Prao.g_01069
OG0000156	Syat.g_03228	Prao.g_01287
OG0000157	Syat.g_02012, Syat.g_03227	Prao.g_01286
OG0000158	Syat.g_02163	Prao.g_01220
OG0000159	Syat.g_01187	Prao.g_01219
OG0000160	Syat.g_01224	Prao.g_01398
OG0000161	Syat.g_01180	Prao.g_01404
OG0000162	Syat.g_01281	Prao.g_01410
OG0000163	Syat.g_02979	Prao.g_01443
OG0000164	Syat.g_03040	Prao.g_01576
OG0000165	Syat.g_03033	Prao.g_01583
OG0000166	Syat.g_01822	Prao.g_01651
OG0000167	Syat.g_02148	Prao.g_01717
OG0000168	Syat.g_02164	Prao.g_01727
OG0000169	Syat.g_02192	Prao.g_01737
OG0000170	Syat.g_02201	Prao.g_01739
OG0000171	Syat.g_02230	Prao.g_01758
OG0000172	Syat.g_02260	Prao.g_01767
OG0000173	Syat.g_02284	Prao.g_01782
OG0000174	Syat.g_02504	Prao.g_01810
OG0000175	Syat.g_02416	Prao.g_01820
OG0000176	Syat.g_02372	Prao.g_01845
OG0000177	Syat.g_02338	Prao.g_01846
OG0000178	Syat.g_02337	Prao.g_01847
OG0000179	Syat.g_02322	Prao.g_00163
OG0000180	Syat.g_02321	Prao.g_00164
OG0000181	Syat.g_02320	Prao.g_00165
OG0000182	Syat.g_02319	Prao.g_00166
OG0000183	Syat.g_02315	Prao.g_00170
OG0000184	Syat.g_02704	Prao.g_00192
OG0000185	Syat.g_02719	Prao.g_00195
OG0000186	Syat.g_01463	Prao.g_00203
OG0000187	Syat.g_01467	Prao.g_00204
OG0000188	Syat.g_01489	Prao.g_00221
OG0000189	Syat.g_01557	Prao.g_00235
OG0000190	Syat.g_00330	Prao.g_00236
OG0000191	Syat.g_03344, Syat.g_02939	Prao.g_00256
OG0000192	Syat.g_02933	Prao.g_00260
OG0000193	Syat.g_02897	Prao.g_00284
OG0000194	Syat.g_02894	Prao.g_00287
OG0000195	Syat.g_02892	Prao.g_00289
OG0000196	Syat.g_02867	Prao.g_00299
OG0000197	Syat.g_02866	Prao.g_00300
OG0000198	Syat.g_02865	Prao.g_00301
OG0000199	Syat.g_02857	Prao.g_00308
OG0000200	Syat.g_02840	Prao.g_00322
OG0000201	Syat.g_02821	Prao.g_00330
OG0000202	Syat.g_02820	Prao.g_00331
OG0000203	Syat.g_02819	Prao.g_00332
