Orthogroup	Syat	Syaf
OG0000001	Syat.g_02910, Syat.g_02911	Syaf.g_01640, Syaf.g_00846
OG0000001	Syat.g_02908, Syat.g_02909	Syaf.g_00845
OG0000001	Syat.g_01540	Syaf.g_01634
OG0000005	Syat.g_03065	Syaf.g_01017
OG0000005	Syat.g_03105	Syaf.g_01057
OG0000005	Syat.g_01038	Syaf.g_01352, Syaf.g_01732
OG0000006	Syat.g_01439, Syat.g_01865	Syaf.g_00179, Syaf.g_02778
OG0000006	Syat.g_00371	Syaf.g_02288
OG0000007	Syat.g_03191	Syaf.g_02702
OG0000007	Syat.g_03124	Syaf.g_01033
OG0000008	Syat.g_02626	Syaf.g_01479
OG0000008	Syat.g_02627	Syaf.g_01480
OG0000009	Syat.g_01567	Syaf.g_00905
OG0000010	Syat.g_01372	Syaf.g_02499
OG0000013	Syat.g_01027	Syaf.g_00061
OG0000014	Syat.g_02104	Syaf.g_00280
OG0000016	Syat.g_02329	Syaf.g_00484
OG0000016	Syat.g_00909	Syaf.g_01576
OG0000017	Syat.g_00015	Syaf.g_02561
OG0000018	Syat.g_01334	Syaf.g_02451
OG0000019	Syat.g_01876	Syaf.g_00193
OG0000021	Syat.g_00964	Syaf.g_01726
OG0000022	Syat.g_00210	Syaf.g_02256
OG0000024	Syat.g_03394	Syaf.g_01484
OG0000025	Syat.g_00719	Syaf.g_01385
OG0000026	Syat.g_02306	Syaf.g_00461
OG0000027	Syat.g_00850	Syaf.g_02284, Syaf.g_01688
OG0000028	Syat.g_02126	Syaf.g_00297
OG0000030	Syat.g_00307	Syaf.g_00406
OG0000030	Syat.g_00308	Syaf.g_00407
OG0000031	Syat.g_02131	Syaf.g_00314
OG0000031	Syat.g_03199, Syat.g_02243	Syaf.g_01143
OG0000032	Syat.g_01354	Syaf.g_02471
OG0000033	Syat.g_02858	Syaf.g_00807
OG0000034	Syat.g_01165, Syat.g_02902	Syaf.g_01241, Syaf.g_00837
OG0000035	Syat.g_01227, Syat.g_01226	Syaf.g_02412
OG0000038	Syat.g_02688	Syaf.g_00642
OG0000039	Syat.g_01278	Syaf.g_01395
OG0000040	Syat.g_02551	Syaf.g_00558
OG0000042	Syat.g_00223, Syat.g_02222	Syaf.g_00403
OG0000044	Syat.g_00933, Syat.g_01910, Syat.g_00146, Syat.g_03333	Syaf.g_01358, Syaf.g_01992, Syaf.g_01400
OG0000045	Syat.g_00935	Syaf.g_00979
OG0000048	Syat.g_02046	Syaf.g_00230
OG0000053	Syat.g_01330	Syaf.g_02447
OG0000057	Syat.g_02055	Syaf.g_01665
OG0000057	Syat.g_00817	Syaf.g_01452
OG0000058	Syat.g_01189	Syaf.g_00316
OG0000060	Syat.g_01384	Syaf.g_02726
OG0000060	Syat.g_01383	Syaf.g_01425
OG0000060	Syat.g_01047	Syaf.g_01603
OG0000061	Syat.g_03260	Syaf.g_01288
OG0000062	Syat.g_03107	Syaf.g_01055
OG0000063	Syat.g_02303	Syaf.g_00457
OG0000065	Syat.g_01571	Syaf.g_00903
OG0000066	Syat.g_03283	Syaf.g_02643
OG0000067	Syat.g_00479	Syaf.g_02049
OG0000068	Syat.g_00085, Syat.g_01295	Syaf.g_02733
OG0000070	Syat.g_01032, Syat.g_01040	Syaf.g_01237
