Orthogroup	Syat	Praw
OG0000001	Syat.g_02910, Syat.g_02911	Praw.g_01000, Praw.g_00500, Praw.g_01739, Praw.g_01951, Praw.g_00497
OG0000005	Syat.g_03065	Praw.g_00528
OG0000005	Syat.g_03105	Praw.g_00413
OG0000006	Syat.g_01439, Syat.g_01865	Praw.g_01950
OG0000007	Syat.g_03191	Praw.g_00651
OG0000007	Syat.g_03124	Praw.g_00515
OG0000008	Syat.g_02626	Praw.g_00501
OG0000008	Syat.g_02627	Praw.g_00502
OG0000009	Syat.g_01567	Praw.g_01330
OG0000010	Syat.g_01372	Praw.g_01460, Praw.g_00673
OG0000013	Syat.g_01625, Syat.g_01016, Syat.g_01027	Praw.g_00807
OG0000014	Syat.g_02104	Praw.g_00828
OG0000016	Syat.g_00909	Praw.g_01415
OG0000017	Syat.g_00015	Praw.g_01944
OG0000018	Syat.g_01334	Praw.g_00215, Praw.g_01670
OG0000019	Syat.g_01876	Praw.g_00884, Praw.g_01717
OG0000021	Syat.g_00964	Praw.g_00479, Praw.g_00767
OG0000022	Syat.g_00210	Praw.g_01746, Praw.g_00197
OG0000024	Syat.g_03394	Praw.g_01763, Praw.g_01847
OG0000025	Syat.g_00719	Praw.g_01664, Praw.g_00803
OG0000026	Syat.g_02306	Praw.g_01397, Praw.g_01453
OG0000027	Syat.g_00850	Praw.g_00677, Praw.g_00492, Praw.g_00962
OG0000028	Syat.g_02126	Praw.g_00814, Praw.g_00334
OG0000030	Syat.g_00307, Syat.g_00308	Praw.g_00029
OG0000031	Syat.g_03199, Syat.g_02243	Praw.g_01073
OG0000032	Syat.g_02237	Praw.g_01043
OG0000033	Syat.g_02858	Praw.g_01266
OG0000034	Syat.g_01165, Syat.g_02902	Praw.g_00991
OG0000035	Syat.g_01227, Syat.g_01226	Praw.g_01081, Praw.g_01083
OG0000037	Syat.g_00849, Syat.g_00187	Praw.g_01326
OG0000038	Syat.g_02688, Syat.g_02686	Praw.g_01182
OG0000039	Syat.g_01278	Praw.g_01836
OG0000042	Syat.g_00223, Syat.g_02222	Praw.g_00032
OG0000045	Syat.g_00935	Praw.g_00761
OG0000048	Syat.g_02046	Praw.g_00504, Praw.g_00758
OG0000053	Syat.g_01330	Praw.g_00357
OG0000057	Syat.g_00817	Praw.g_01824
OG0000060	Syat.g_01047	Praw.g_01743
OG0000061	Syat.g_03260	Praw.g_00234
OG0000063	Syat.g_02303	Praw.g_01395
OG0000065	Syat.g_01571	Praw.g_01328
OG0000066	Syat.g_03283	Praw.g_00609
OG0000067	Syat.g_00479	Praw.g_01697
OG0000068	Syat.g_00085, Syat.g_01295	Praw.g_01016
OG0000070	Syat.g_01032, Syat.g_01040	Praw.g_00697
OG0000072	Syat.g_02856, Syat.g_01597	Praw.g_01264
OG0000073	Syat.g_03201	Praw.g_00649
OG0000075	Syat.g_02497, Syat.g_01713, Syat.g_02154	Praw.g_00064
OG0000076	Syat.g_02206	Praw.g_00039
OG0000078	Syat.g_00184	Praw.g_01196
OG0000081	Syat.g_00980	Praw.g_00617
OG0000082	Syat.g_00035	Praw.g_01932
OG0000085	Syat.g_03113	Praw.g_00508
OG0000086	Syat.g_01531, Syat.g_00798, Syat.g_00635	Praw.g_01346
OG0000087	Syat.g_02912	Praw.g_01296
OG0000088	Syat.g_02862	Praw.g_01269
OG0000089	Syat.g_02953	Praw.g_00776
OG0000090	Syat.g_03270	Praw.g_00615
OG0000091	Syat.g_00939, Syat.g_00862	Praw.g_01880
OG0000092	Syat.g_00825	Praw.g_01592
OG0000094	Syat.g_00698, Syat.g_01034	Praw.g_01486
OG0000097	Syat.g_00907, Syat.g_00535	Praw.g_00275
OG0000098	Syat.g_03281	Praw.g_00997
OG0000099	Syat.g_02130	Praw.g_01051
OG0000100	Syat.g_00517	Praw.g_00411
OG0000101	Syat.g_01661	Praw.g_00096
OG0000102	Syat.g_00974	Praw.g_00034
OG0000103	Syat.g_02399	Praw.g_01148
OG0000104	Syat.g_02385	Praw.g_01140
OG0000105	Syat.g_02052	Praw.g_00860
OG0000106	Syat.g_00957	Praw.g_00762
OG0000107	Syat.g_01862	Praw.g_00748
OG0000108	Syat.g_03170	Praw.g_00667
OG0000109	Syat.g_03187	Praw.g_00654
OG0000110	Syat.g_00049	Praw.g_01922
OG0000111	Syat.g_00816	Praw.g_01823
OG0000112	Syat.g_00593	Praw.g_01732
OG0000113	Syat.g_00509	Praw.g_01675
