Orthogroup	Syat	Prbl
OG0000001	Syat.g_02910, Syat.g_02911	Prbl.g_00725, Prbl.g_00121, Prbl.g_02599
OG0000001	Syat.g_02908, Syat.g_02909	Prbl.g_00808, Prbl.g_02598
OG0000001	Syat.g_00878	Prbl.g_02578
OG0000005	Syat.g_03105	Prbl.g_00419
OG0000006	Syat.g_01439, Syat.g_01865	Prbl.g_02601
OG0000007	Syat.g_03191	Prbl.g_00531
OG0000007	Syat.g_03124	Prbl.g_00394
OG0000008	Syat.g_02626	Prbl.g_01855
OG0000008	Syat.g_02627	Prbl.g_01854
OG0000009	Syat.g_01567	Prbl.g_00155, Prbl.g_00554
OG0000010	Syat.g_01372	Prbl.g_01341
OG0000013	Syat.g_01625, Syat.g_01016, Syat.g_01027	Prbl.g_01183
OG0000014	Syat.g_02104	Prbl.g_01416
OG0000017	Syat.g_00015	Prbl.g_01763
OG0000018	Syat.g_01334	Prbl.g_00694
OG0000019	Syat.g_01876	Prbl.g_01097, Prbl.g_01509
OG0000021	Syat.g_00964	Prbl.g_01531
OG0000022	Syat.g_00210	Prbl.g_01310, Prbl.g_01072
OG0000024	Syat.g_03394	Prbl.g_00040
OG0000025	Syat.g_00719	Prbl.g_01539
OG0000026	Syat.g_02306	Prbl.g_01977
OG0000028	Syat.g_02126	Prbl.g_00900
OG0000030	Syat.g_00307	Prbl.g_02061
OG0000030	Syat.g_00308	Prbl.g_02060
OG0000032	Syat.g_01354	Prbl.g_00712
OG0000032	Syat.g_02237	Prbl.g_00889
OG0000033	Syat.g_02858	Prbl.g_00278
OG0000034	Syat.g_01165, Syat.g_02902	Prbl.g_01734
OG0000035	Syat.g_01227, Syat.g_01226	Prbl.g_00242
OG0000037	Syat.g_00849, Syat.g_00187	Prbl.g_00548
OG0000038	Syat.g_02688	Prbl.g_02235
OG0000038	Syat.g_02686	Prbl.g_02233
OG0000039	Syat.g_01278	Prbl.g_00318, Prbl.g_01272
OG0000042	Syat.g_00223, Syat.g_02222	Prbl.g_01236, Prbl.g_01121
OG0000044	Syat.g_00933, Syat.g_01910, Syat.g_00146, Syat.g_03333	Prbl.g_01937, Prbl.g_01006, Prbl.g_02631, Prbl.g_02612
OG0000045	Syat.g_00935	Prbl.g_00609
OG0000046	Syat.g_01626, Syat.g_01026	Prbl.g_01184
OG0000048	Syat.g_02046	Prbl.g_01465
OG0000053	Syat.g_01330	Prbl.g_00691
OG0000057	Syat.g_00817	Prbl.g_00025
OG0000058	Syat.g_02133, Syat.g_02238	Prbl.g_00890
OG0000059	Syat.g_01832	Prbl.g_00952
OG0000060	Syat.g_01384	Prbl.g_00508
OG0000061	Syat.g_03260	Prbl.g_02084
OG0000062	Syat.g_03107	Prbl.g_00417
OG0000063	Syat.g_02303	Prbl.g_01981
OG0000065	Syat.g_01571	Prbl.g_00552
OG0000066	Syat.g_03283	Prbl.g_00752
OG0000067	Syat.g_00479	Prbl.g_02335
OG0000068	Syat.g_00085, Syat.g_01295	Prbl.g_00502
OG0000070	Syat.g_01032, Syat.g_01040	Prbl.g_00634
OG0000072	Syat.g_02856, Syat.g_01597	Prbl.g_00276
OG0000073	Syat.g_03201	Prbl.g_00533
OG0000075	Syat.g_02497, Syat.g_01713, Syat.g_02154	Prbl.g_00855
OG0000076	Syat.g_02206	Prbl.g_01285
OG0000077	Syat.g_01481	Prbl.g_00631
OG0000078	Syat.g_00184	Prbl.g_00193
OG0000079	Syat.g_01879	Prbl.g_01505
OG0000081	Syat.g_00980	Prbl.g_01036, Prbl.g_00032
OG0000082	Syat.g_00035	Prbl.g_01783
OG0000085	Syat.g_03113	Prbl.g_00405
OG0000086	Syat.g_01531, Syat.g_00798, Syat.g_00635	Prbl.g_00583
OG0000087	Syat.g_02912	Prbl.g_00810
OG0000088	Syat.g_02862	Prbl.g_01838, Prbl.g_00281
OG0000089	Syat.g_02953	Prbl.g_02674
OG0000090	Syat.g_03270	Prbl.g_00766
OG0000091	Syat.g_00939, Syat.g_00862	Prbl.g_01647
OG0000094	Syat.g_01034	Prbl.g_02209
OG0000095	Syat.g_00808	Prbl.g_00927
OG0000098	Syat.g_03281	Prbl.g_00722
OG0000099	Syat.g_02130	Prbl.g_00893
OG0000100	Syat.g_00517	Prbl.g_01914, Prbl.g_02305
OG0000101	Syat.g_01661	Prbl.g_01126
OG0000102	Syat.g_00974	Prbl.g_02636
OG0000103	Syat.g_02399	Prbl.g_02139
OG0000104	Syat.g_02385	Prbl.g_02125
OG0000105	Syat.g_02052	Prbl.g_01461
OG0000106	Syat.g_00957	Prbl.g_00411
OG0000107	Syat.g_01862	Prbl.g_02681
OG0000108	Syat.g_03170	Prbl.g_00511
OG0000109	Syat.g_03187	Prbl.g_00527
OG0000110	Syat.g_00049	Prbl.g_01795
OG0000111	Syat.g_00816	Prbl.g_00026
OG0000112	Syat.g_00593	Prbl.g_02470
OG0000113	Syat.g_00509	Prbl.g_02310
OG0000114	Syat.g_00426	Prbl.g_02407
OG0000115	Syat.g_01328	Prbl.g_00687
OG0000116	Syat.g_02641	Prbl.g_02069
OG0000117	Syat.g_00224	Prbl.g_01384
OG0000118	Syat.g_01168	Prbl.g_01736
OG0000119	Syat.g_00309	Prbl.g_00007, Prbl.g_00046
OG0000120	Syat.g_02132	Prbl.g_00892
OG0000121	Syat.g_01223	Prbl.g_00234, Prbl.g_00240
OG0000123	Syat.g_01653	Prbl.g_01135
OG0000124	Syat.g_02231	Prbl.g_02054
OG0000125	Syat.g_02684	Prbl.g_02231
OG0000126	Syat.g_00976	Prbl.g_02127
OG0000128	Syat.g_02331	Prbl.g_02109
OG0000129	Syat.g_02693, Syat.g_02694	Prbl.g_02243
OG0000130	Syat.g_01469	Prbl.g_00608
OG0000131	Syat.g_02898	Prbl.g_00303
OG0000132	Syat.g_02864	Prbl.g_00283
OG0000133	Syat.g_00588	Prbl.g_00897
OG0000134	Syat.g_02956	Prbl.g_02677
OG0000135	Syat.g_02501	Prbl.g_02190
OG0000136	Syat.g_01292	Prbl.g_00647
OG0000137	Syat.g_01371	Prbl.g_01340
OG0000138	Syat.g_03188	Prbl.g_00528
OG0000140	Syat.g_03280	Prbl.g_00754
OG0000141	Syat.g_03398	Prbl.g_01751
OG0000142	Syat.g_00117	Prbl.g_01639
OG0000143	Syat.g_00130	Prbl.g_01643
OG0000144	Syat.g_00369	Prbl.g_01042
OG0000145	Syat.g_03202	Prbl.g_00534
OG0000146	Syat.g_00594	Prbl.g_02469
OG0000147	Syat.g_00595	Prbl.g_02468
OG0000148	Syat.g_00503	Prbl.g_02316
OG0000149	Syat.g_00747	Prbl.g_01552
OG0000150	Syat.g_03399	Prbl.g_01576
OG0000151	Syat.g_00801, Syat.g_00440	Prbl.g_02386
OG0000152	Syat.g_00578	Prbl.g_02478
OG0000153	Syat.g_00542	Prbl.g_02505
OG0000154	Syat.g_00708	Prbl.g_02532
OG0000155	Syat.g_00287	Prbl.g_00185
OG0000156	Syat.g_03228	Prbl.g_00115
OG0000157	Syat.g_02012, Syat.g_03227	Prbl.g_00114
OG0000158	Syat.g_02163	Prbl.g_00843
OG0000160	Syat.g_01224	Prbl.g_00241
OG0000161	Syat.g_01180	Prbl.g_00227
OG0000162	Syat.g_01281	Prbl.g_00221
OG0000163	Syat.g_02979	Prbl.g_00452
OG0000164	Syat.g_03040	Prbl.g_00365
OG0000165	Syat.g_03033	Prbl.g_00356
OG0000166	Syat.g_01822	Prbl.g_00962
OG0000167	Syat.g_02148	Prbl.g_00857
OG0000168	Syat.g_02164	Prbl.g_00842
OG0000169	Syat.g_02192	Prbl.g_01302
OG0000170	Syat.g_02201	Prbl.g_01290
OG0000171	Syat.g_02230	Prbl.g_02055
OG0000172	Syat.g_02260	Prbl.g_02021
