Orthogroup	Syat	Prar
OG0000001	Syat.g_02910, Syat.g_02911	Prar.g_00926, Prar.g_01202, Prar.g_01203
OG0000005	Syat.g_03065	Prar.g_01130
OG0000005	Syat.g_03105	Prar.g_00771
OG0000006	Syat.g_01439, Syat.g_01865	Prar.g_00086
OG0000007	Syat.g_03191	Prar.g_01328
OG0000007	Syat.g_03124	Prar.g_01143
OG0000008	Syat.g_02626	Prar.g_01185
OG0000009	Syat.g_01567	Prar.g_00223
OG0000010	Syat.g_01372	Prar.g_01567, Prar.g_01912, Prar.g_00524
OG0000013	Syat.g_01625, Syat.g_01016, Syat.g_01027	Prar.g_00260
OG0000014	Syat.g_02104	Prar.g_00281
OG0000016	Syat.g_02329	Prar.g_00025
OG0000017	Syat.g_00015	Prar.g_01428
OG0000018	Syat.g_01334	Prar.g_01282, Prar.g_01711
OG0000019	Syat.g_01876	Prar.g_00078, Prar.g_01663
OG0000021	Syat.g_00964	Prar.g_00425
OG0000022	Syat.g_00210	Prar.g_01649, Prar.g_01300
OG0000024	Syat.g_03394	Prar.g_01634, Prar.g_01505
OG0000025	Syat.g_00719	Prar.g_01718, Prar.g_00256
OG0000026	Syat.g_02306	Prar.g_00007, Prar.g_01919
OG0000027	Syat.g_00850	Prar.g_00520
OG0000028	Syat.g_02126	Prar.g_00267, Prar.g_00985
OG0000030	Syat.g_00307, Syat.g_00308	Prar.g_00662
OG0000031	Syat.g_03199, Syat.g_02243	Prar.g_00879
OG0000032	Syat.g_02237	Prar.g_00886
OG0000033	Syat.g_02858	Prar.g_00158
OG0000034	Syat.g_01165, Syat.g_02902	Prar.g_00945
OG0000035	Syat.g_01227, Syat.g_01226	Prar.g_00339
OG0000037	Syat.g_00849, Syat.g_00187	Prar.g_00219
OG0000038	Syat.g_02688, Syat.g_02686	Prar.g_00702
OG0000039	Syat.g_01278	Prar.g_01516
OG0000042	Syat.g_00223, Syat.g_02222	Prar.g_00660
OG0000044	Syat.g_00933, Syat.g_01910, Syat.g_00146, Syat.g_03333	Prar.g_01172
OG0000045	Syat.g_00935	Prar.g_01583, Prar.g_00432
OG0000048	Syat.g_02046	Prar.g_00435
OG0000053	Syat.g_01330	Prar.g_00589, Prar.g_00827
OG0000057	Syat.g_00817	Prar.g_01528
OG0000058	Syat.g_01189	Prar.g_00362
OG0000061	Syat.g_03260	Prar.g_01263
OG0000063	Syat.g_02303	Prar.g_00004, Prar.g_00005, Prar.g_01189
OG0000065	Syat.g_01571	Prar.g_00221
OG0000066	Syat.g_03283	Prar.g_01369
OG0000067	Syat.g_00479	Prar.g_01684
OG0000068	Syat.g_00085, Syat.g_01295	Prar.g_00911
