Orthogroup	Syat	Prbb
OG0000001	Syat.g_02910, Syat.g_02911	Prbb.g_01611, Prbb.g_01883, Prbb.g_00474, Prbb.g_01915, Prbb.g_01157
OG0000005	Syat.g_03065	Prbb.g_01393
OG0000005	Syat.g_03105	Prbb.g_01766
OG0000006	Syat.g_01439, Syat.g_01865	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560
OG0000007	Syat.g_03191	Prbb.g_00501
OG0000007	Syat.g_03124	Prbb.g_01823
OG0000008	Syat.g_02626	Prbb.g_01884
OG0000008	Syat.g_02627	Prbb.g_01885
OG0000010	Syat.g_01372	Prbb.g_01072, Prbb.g_00477
OG0000013	Syat.g_01625, Syat.g_01016, Syat.g_01027	Prbb.g_00378
OG0000014	Syat.g_02104	Prbb.g_00357
OG0000016	Syat.g_02329	Prbb.g_00014
OG0000016	Syat.g_00909, Syat.g_00222, Syat.g_00832	Prbb.g_01919
OG0000017	Syat.g_00015	Prbb.g_00605
OG0000018	Syat.g_01334	Prbb.g_01539, Prbb.g_00812
OG0000019	Syat.g_01876	Prbb.g_00761
OG0000021	Syat.g_00964	Prbb.g_01914
OG0000022	Syat.g_00210	Prbb.g_01231, Prbb.g_01258
OG0000024	Syat.g_03394	Prbb.g_01175, Prbb.g_00680
OG0000025	Syat.g_00719	Prbb.g_00052, Prbb.g_00818
OG0000026	Syat.g_02306	Prbb.g_00032
OG0000027	Syat.g_00850	Prbb.g_01375
OG0000028	Syat.g_02126	Prbb.g_01635
OG0000030	Syat.g_00307, Syat.g_00308	Prbb.g_02073
OG0000031	Syat.g_03199, Syat.g_02243	Prbb.g_00387
OG0000032	Syat.g_01354	Prbb.g_01723
OG0000033	Syat.g_02858	Prbb.g_00226
OG0000034	Syat.g_01165, Syat.g_02902	Prbb.g_01596
OG0000035	Syat.g_01227, Syat.g_01226	Prbb.g_01686
OG0000037	Syat.g_00849, Syat.g_00187	Prbb.g_00164
OG0000038	Syat.g_02688, Syat.g_02686	Prbb.g_02129
OG0000039	Syat.g_01278	Prbb.g_00692
OG0000042	Syat.g_00223, Syat.g_02222	Prbb.g_02069
