Orthogroup	Prbf	Praa
OG0000000	Prbf.g_00776	Praa.g_01235, Praa.g_01598, Praa.g_01244
OG0000000	Prbf.g_00760, Prbf.g_00775, Prbf.g_00881	Praa.g_01597
OG0000001	Prbf.g_01182, Prbf.g_01177	Praa.g_01359
OG0000001	Prbf.g_01285, Prbf.g_00260, Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883	Praa.g_00678
OG0000002	Prbf.g_00831	Praa.g_01222, Praa.g_01220
OG0000002	Prbf.g_00068	Praa.g_01351
OG0000004	Prbf.g_00880	Praa.g_01298, Praa.g_01599, Praa.g_00413
OG0000005	Prbf.g_00052	Praa.g_00742
OG0000006	Prbf.g_00306	Praa.g_01280, Praa.g_00755, Praa.g_01110
OG0000008	Prbf.g_01780	Praa.g_00497
OG0000008	Prbf.g_00693	Praa.g_01635
OG0000010	Prbf.g_00894	Praa.g_00782
OG0000010	Prbf.g_01588	Praa.g_00249
OG0000011	Prbf.g_00603	Praa.g_00374
OG0000011	Prbf.g_00762, Prbf.g_00804	Praa.g_00754
OG0000012	Prbf.g_01611	Praa.g_01092
OG0000013	Prbf.g_00252	Praa.g_01589, Praa.g_00105
OG0000016	Prbf.g_00754, Prbf.g_00708	Praa.g_00765
OG0000017	Prbf.g_00774, Prbf.g_00817	Praa.g_01301, Praa.g_00470
OG0000018	Prbf.g_01880, Prbf.g_01887	Praa.g_00598
OG0000019	Prbf.g_00732, Prbf.g_00765	Praa.g_00380
OG0000020	Prbf.g_00864, Prbf.g_00254	Praa.g_01362
OG0000022	Prbf.g_01580	Praa.g_00241, Praa.g_01245
OG0000023	Prbf.g_01259	Praa.g_01623, Praa.g_00364
OG0000024	Prbf.g_00816, Prbf.g_00872	Praa.g_01287
OG0000025	Prbf.g_01052, Prbf.g_01288	Praa.g_00747
OG0000028	Prbf.g_00793	Praa.g_01241
OG0000029	Prbf.g_00869, Prbf.g_00719	Praa.g_00783
OG0000030	Prbf.g_00711	Praa.g_00784
OG0000031	Prbf.g_00487	Praa.g_01839
OG0000034	Prbf.g_00157	Praa.g_01476
OG0000035	Prbf.g_01738	Praa.g_01590
OG0000036	Prbf.g_00264	Praa.g_01107
OG0000041	Prbf.g_01905, Prbf.g_00272	Praa.g_00623
OG0000045	Prbf.g_00704, Prbf.g_01867	Praa.g_00585
OG0000046	Prbf.g_00248	Praa.g_00763
OG0000047	Prbf.g_00918	Praa.g_01159, Praa.g_01415
OG0000048	Prbf.g_00135	Praa.g_01447
OG0000049	Prbf.g_00117	Praa.g_01425
OG0000050	Prbf.g_01500	Praa.g_00166
OG0000051	Prbf.g_00287	Praa.g_00359
OG0000053	Prbf.g_01253	Praa.g_00711
OG0000054	Prbf.g_00822, Prbf.g_00701	Praa.g_01628
OG0000055	Prbf.g_00496	Praa.g_01832
OG0000056	Prbf.g_01354	Praa.g_00031
OG0000057	Prbf.g_01491	Praa.g_00157
OG0000058	Prbf.g_00320	Praa.g_00369
OG0000059	Prbf.g_01820, Prbf.g_00781	Praa.g_00539
OG0000062	Prbf.g_01222	Praa.g_00826
OG0000065	Prbf.g_01575	Praa.g_00237
OG0000066	Prbf.g_01758	Praa.g_01414, Praa.g_00475
OG0000067	Prbf.g_01261	Praa.g_00698
OG0000070	Prbf.g_01170	Praa.g_01039
OG0000071	Prbf.g_00945	Praa.g_01255
OG0000072	Prbf.g_00026	Praa.g_01318
OG0000073	Prbf.g_00819	Praa.g_01342
OG0000074	Prbf.g_00115	Praa.g_01387
OG0000075	Prbf.g_00558	Praa.g_01775
OG0000077	Prbf.g_00382	Praa.g_00011
OG0000078	Prbf.g_01661	Praa.g_00322
OG0000079	Prbf.g_00044	Praa.g_00381
OG0000080	Prbf.g_01018	Praa.g_00669
OG0000081	Prbf.g_01271	Praa.g_00691
OG0000082	Prbf.g_01238	Praa.g_00810, Praa.g_00811
OG0000083	Prbf.g_00897	Praa.g_00876
OG0000084	Prbf.g_01117	Praa.g_00964
OG0000085	Prbf.g_00873	Praa.g_01089
OG0000086	Prbf.g_00788	Praa.g_01127
OG0000087	Prbf.g_00777	Praa.g_01236
OG0000090	Prbf.g_00118	Praa.g_01394
OG0000091	Prbf.g_00165	Praa.g_01484
OG0000092	Prbf.g_00346	Praa.g_01606
OG0000093	Prbf.g_00606	Praa.g_01723
OG0000094	Prbf.g_00562	Praa.g_01772
OG0000095	Prbf.g_00524	Praa.g_01806
OG0000096	Prbf.g_00451	Praa.g_01877
OG0000098	Prbf.g_00390	Praa.g_00003
OG0000099	Prbf.g_01345	Praa.g_00023
OG0000101	Prbf.g_01374	Praa.g_00049
OG0000102	Prbf.g_01443	Praa.g_00113
OG0000103	Prbf.g_01452	Praa.g_00121
OG0000104	Prbf.g_01469	Praa.g_00139
OG0000105	Prbf.g_01504	Praa.g_00170
OG0000106	Prbf.g_01518	Praa.g_00184
OG0000107	Prbf.g_01527	Praa.g_00192
OG0000108	Prbf.g_01537	Praa.g_00202
OG0000109	Prbf.g_01578	Praa.g_00239
OG0000110	Prbf.g_01590	Praa.g_00251
OG0000111	Prbf.g_01614	Praa.g_00274
OG0000113	Prbf.g_01638	Praa.g_00297
OG0000114	Prbf.g_01664	Praa.g_00325
OG0000115	Prbf.g_01757	Praa.g_00474
OG0000116	Prbf.g_01759	Praa.g_00476
OG0000117	Prbf.g_01763	Praa.g_00480
OG0000118	Prbf.g_01783	Praa.g_00499
OG0000119	Prbf.g_01813	Praa.g_00532
OG0000120	Prbf.g_01814	Praa.g_00533
OG0000121	Prbf.g_01824	Praa.g_00544
OG0000122	Prbf.g_01833	Praa.g_00553
OG0000123	Prbf.g_01865	Praa.g_00584
OG0000124	Prbf.g_00999	Praa.g_00651
OG0000125	Prbf.g_01000	Praa.g_00652
OG0000126	Prbf.g_01001	Praa.g_00653
OG0000127	Prbf.g_01276	Praa.g_00686
OG0000128	Prbf.g_01251	Praa.g_00713
OG0000129	Prbf.g_01050	Praa.g_00733
OG0000130	Prbf.g_01153	Praa.g_00787
OG0000131	Prbf.g_01247	Praa.g_00801
OG0000132	Prbf.g_01210	Praa.g_00838
OG0000133	Prbf.g_01303	Praa.g_00923
OG0000134	Prbf.g_01019	Praa.g_00932
OG0000135	Prbf.g_01113	Praa.g_00968
OG0000136	Prbf.g_01167	Praa.g_01036
OG0000137	Prbf.g_00785	Praa.g_01130
OG0000139	Prbf.g_00924	Praa.g_01165
OG0000140	Prbf.g_01915	Praa.g_01216
OG0000141	Prbf.g_00253	Praa.g_01224
OG0000142	Prbf.g_00013	Praa.g_01330
OG0000143	Prbf.g_00095	Praa.g_01366
OG0000144	Prbf.g_00145	Praa.g_01463
OG0000145	Prbf.g_00158	Praa.g_01477
OG0000146	Prbf.g_00194	Praa.g_01513
OG0000147	Prbf.g_00241	Praa.g_01554
OG0000148	Prbf.g_00242	Praa.g_01555
OG0000149	Prbf.g_00696	Praa.g_01633
OG0000150	Prbf.g_00657	Praa.g_01672
OG0000151	Prbf.g_00654	Praa.g_01675
OG0000152	Prbf.g_00634	Praa.g_01695
OG0000153	Prbf.g_00600	Praa.g_01734
OG0000154	Prbf.g_00564	Praa.g_01770
