Orthogroup	Prbf	Prbb
OG0000000	Prbf.g_00776	Prbb.g_01354, Prbb.g_00432, Prbb.g_01401, Prbb.g_01120, Prbb.g_01785, Prbb.g_01121, Prbb.g_01319, Prbb.g_00431, Prbb.g_01244
OG0000000	Prbf.g_00881	Prbb.g_01123
OG0000001	Prbf.g_01182	Prbb.g_00844
OG0000001	Prbf.g_01285	Prbb.g_00683
OG0000001	Prbf.g_00260	Prbb.g_01549
OG0000001	Prbf.g_00888	Prbb.g_01546
OG0000001	Prbf.g_00089, Prbf.g_00890	Prbb.g_01545
OG0000001	Prbf.g_00883	Prbb.g_01550, Prbb.g_01544
OG0000002	Prbf.g_00831	Prbb.g_01915, Prbb.g_00474, Prbb.g_01157
OG0000002	Prbf.g_00068	Prbb.g_01611
OG0000004	Prbf.g_00880	Prbb.g_01144, Prbb.g_00429, Prbb.g_01321, Prbb.g_01356, Prbb.g_01246, Prbb.g_01792
OG0000005	Prbf.g_00052	Prbb.g_00425, Prbb.g_00748
OG0000006	Prbf.g_00306	Prbb.g_01294
OG0000008	Prbf.g_01780	Prbb.g_00501
OG0000008	Prbf.g_00693	Prbb.g_01823
OG0000010	Prbf.g_00894	Prbb.g_00757, Prbb.g_00761
OG0000011	Prbf.g_00762, Prbf.g_00804	Prbb.g_01800
OG0000012	Prbf.g_00039	Prbb.g_00325
OG0000014	Prbf.g_01647	Prbb.g_00357
OG0000015	Prbf.g_01707	Prbb.g_00421
OG0000016	Prbf.g_00754, Prbf.g_00708	Prbb.g_01158
OG0000017	Prbf.g_00774, Prbf.g_00817	Prbb.g_01375
OG0000018	Prbf.g_01880	Prbb.g_00598
OG0000020	Prbf.g_00864, Prbf.g_00254	Prbb.g_01632
OG0000021	Prbf.g_00178, Prbf.g_00748	Prbb.g_01705
OG0000022	Prbf.g_01580	Prbb.g_01328, Prbb.g_01560, Prbb.g_00299
OG0000023	Prbf.g_01259	Prbb.g_00099
OG0000024	Prbf.g_00816	Prbb.g_01207
OG0000024	Prbf.g_00872	Prbb.g_01182, Prbb.g_01192
OG0000025	Prbf.g_01052, Prbf.g_01288	Prbb.g_00680
OG0000027	Prbf.g_00792	Prbb.g_01885
OG0000028	Prbf.g_00793	Prbb.g_01884
OG0000029	Prbf.g_00869	Prbb.g_00747
OG0000029	Prbf.g_00719	Prbb.g_01897
OG0000030	Prbf.g_00711	Prbb.g_01096, Prbb.g_01362
OG0000031	Prbf.g_00487	Prbb.g_02069
OG0000032	Prbf.g_00808	Prbb.g_01921
OG0000034	Prbf.g_00157	Prbb.g_01686
OG0000035	Prbf.g_01738	Prbb.g_01324, Prbb.g_01729
OG0000036	Prbf.g_00264	Prbb.g_01071
OG0000037	Prbf.g_00340	Prbb.g_01383
