Orthogroup	Prbf	Praj
OG0000000	Prbf.g_00776	Praj.g_01077, Praj.g_01357, Praj.g_00418, Praj.g_01730, Praj.g_01078, Praj.g_01309, Praj.g_01272, Praj.g_01202, Praj.g_00417
OG0000000	Prbf.g_00881	Praj.g_01307, Praj.g_01732
OG0000001	Prbf.g_01182	Praj.g_00832
OG0000001	Prbf.g_01285	Praj.g_00670
OG0000001	Prbf.g_00260	Praj.g_01492
OG0000001	Prbf.g_00888	Praj.g_01489
OG0000001	Prbf.g_00089, Prbf.g_00890	Praj.g_01488
OG0000001	Prbf.g_00883	Praj.g_01493, Praj.g_01487
OG0000002	Prbf.g_00831	Praj.g_01861, Praj.g_00463, Praj.g_01112
OG0000002	Prbf.g_00068	Praj.g_01549
OG0000004	Prbf.g_00880	Praj.g_01099, Praj.g_00415, Praj.g_01274, Praj.g_01204, Praj.g_01311, Praj.g_01737
OG0000005	Prbf.g_00052	Praj.g_00411, Praj.g_01121, Praj.g_00734
OG0000006	Prbf.g_00306	Praj.g_01249
OG0000008	Prbf.g_01780	Praj.g_00489
OG0000008	Prbf.g_00693	Praj.g_01768
OG0000010	Prbf.g_00894	Praj.g_00743, Praj.g_00747
OG0000011	Prbf.g_00762, Prbf.g_00804	Praj.g_01745
OG0000012	Prbf.g_00039	Praj.g_00308
OG0000014	Prbf.g_01647	Praj.g_00341
OG0000015	Prbf.g_01707	Praj.g_00408
OG0000016	Prbf.g_00754, Prbf.g_00708	Praj.g_01113
OG0000017	Prbf.g_00774, Prbf.g_00817	Praj.g_01331
OG0000018	Prbf.g_01880	Praj.g_00585
OG0000020	Prbf.g_00864, Prbf.g_00254	Praj.g_01568
OG0000021	Prbf.g_00178, Prbf.g_00748	Praj.g_01651
OG0000022	Prbf.g_01580	Praj.g_01281, Praj.g_00282, Praj.g_01505
OG0000023	Prbf.g_01259	Praj.g_00084
OG0000024	Prbf.g_00816	Praj.g_01165
OG0000024	Prbf.g_00872	Praj.g_01141, Praj.g_01151
OG0000025	Prbf.g_01052, Prbf.g_01288	Praj.g_00666
OG0000027	Prbf.g_00792	Praj.g_01830
OG0000028	Prbf.g_00793	Praj.g_01829
OG0000029	Prbf.g_00869	Praj.g_00733
OG0000029	Prbf.g_00719	Praj.g_01842
OG0000030	Prbf.g_00711	Praj.g_01051, Praj.g_01316
OG0000031	Prbf.g_00487	Praj.g_02020
OG0000032	Prbf.g_00808	Praj.g_01867
OG0000034	Prbf.g_00157	Praj.g_01632
OG0000035	Prbf.g_01738	Praj.g_01276, Praj.g_01675
OG0000036	Prbf.g_00264	Praj.g_01025
OG0000037	Prbf.g_00340	Praj.g_01339
OG0000038	Prbf.g_00116	Praj.g_00371
OG0000039	Prbf.g_00860	Praj.g_01865
OG0000041	Prbf.g_00272	Praj.g_01066
OG0000042	Prbf.g_00443	Praj.g_02091
OG0000043	Prbf.g_00299	Praj.g_01395
OG0000045	Prbf.g_00704	Praj.g_01827
OG0000046	Prbf.g_00248	Praj.g_01189
OG0000047	Prbf.g_00918	Praj.g_01461
OG0000048	Prbf.g_01380	Praj.g_00095
OG0000049	Prbf.g_00117	Praj.g_00839
OG0000050	Prbf.g_01500	Praj.g_00206
OG0000051	Prbf.g_00287	Praj.g_01329, Praj.g_01365
OG0000052	Prbf.g_00735, Prbf.g_00729	Praj.g_01242
OG0000053	Prbf.g_01253	Praj.g_00698
OG0000054	Prbf.g_00822, Prbf.g_00701	Praj.g_01762
OG0000055	Prbf.g_00496	Praj.g_02012
OG0000056	Prbf.g_01354	Praj.g_00031
OG0000057	Prbf.g_01491	Praj.g_00197
OG0000058	Prbf.g_00320	Praj.g_01156, Praj.g_01282
OG0000059	Prbf.g_01820, Prbf.g_00781	Praj.g_00530
OG0000060	Prbf.g_01040	Praj.g_00711
OG0000061	Prbf.g_01922	Praj.g_00042
OG0000062	Prbf.g_01222	Praj.g_00793, Praj.g_01176
OG0000063	Prbf.g_00862	Praj.g_00043
OG0000065	Prbf.g_01575	Praj.g_00277
OG0000066	Prbf.g_01758	Praj.g_00467
OG0000067	Prbf.g_01261	Praj.g_01313, Praj.g_00691
OG0000070	Prbf.g_01170	Praj.g_01024
OG0000071	Prbf.g_00945	Praj.g_01355
OG0000072	Prbf.g_00026	Praj.g_01528
OG0000073	Prbf.g_00733	Praj.g_01146
OG0000073	Prbf.g_00819	Praj.g_01228, Praj.g_01377
OG0000074	Prbf.g_00115	Praj.g_00664
OG0000075	Prbf.g_00558	Praj.g_01952
OG0000076	Prbf.g_00196	Praj.g_01669
OG0000077	Prbf.g_00382	Praj.g_00011
OG0000078	Prbf.g_01661	Praj.g_00357
OG0000079	Prbf.g_00044	Praj.g_01279
OG0000080	Prbf.g_01018	Praj.g_00659
OG0000081	Prbf.g_01271	Praj.g_00684
OG0000082	Prbf.g_01238	Praj.g_00776
OG0000083	Prbf.g_00897	Praj.g_00864, Praj.g_01157
OG0000084	Prbf.g_01117	Praj.g_00946
OG0000085	Prbf.g_00873	Praj.g_01196
OG0000086	Prbf.g_00788	Praj.g_01832
OG0000087	Prbf.g_00777	Praj.g_01358, Praj.g_01310, Praj.g_01203, Praj.g_00416, Praj.g_01273, Praj.g_01731, Praj.g_01079
OG0000090	Prbf.g_00118	Praj.g_00372
OG0000091	Prbf.g_00165	Praj.g_01640
OG0000092	Prbf.g_00346	Praj.g_01166
OG0000093	Prbf.g_00606	Praj.g_01892
OG0000094	Prbf.g_00562	Praj.g_01948
OG0000095	Prbf.g_00524	Praj.g_01985
OG0000096	Prbf.g_00451	Praj.g_02083
OG0000097	Prbf.g_00351	Praj.g_02103
OG0000098	Prbf.g_00390	Praj.g_00003
OG0000099	Prbf.g_01345	Praj.g_00023
OG0000101	Prbf.g_01374	Praj.g_00053
OG0000102	Prbf.g_01443	Praj.g_00153
OG0000103	Prbf.g_01452	Praj.g_00162
OG0000104	Prbf.g_01469	Praj.g_00179
OG0000105	Prbf.g_01504	Praj.g_00210
OG0000106	Prbf.g_01518	Praj.g_00223
OG0000107	Prbf.g_01527	Praj.g_00232
OG0000108	Prbf.g_01537	Praj.g_00242
OG0000109	Prbf.g_01578	Praj.g_00280
OG0000110	Prbf.g_01590	Praj.g_00290
OG0000111	Prbf.g_01614	Praj.g_00310
OG0000112	Prbf.g_01625	Praj.g_00320
OG0000113	Prbf.g_01638	Praj.g_00332
OG0000114	Prbf.g_01664	Praj.g_00360
OG0000115	Prbf.g_01757	Praj.g_00466
OG0000116	Prbf.g_01759	Praj.g_00468
OG0000117	Prbf.g_01763	Praj.g_00473
OG0000118	Prbf.g_01783	Praj.g_00491
OG0000119	Prbf.g_01813	Praj.g_00523
OG0000120	Prbf.g_01814	Praj.g_00524
OG0000121	Prbf.g_01824	Praj.g_00534
OG0000122	Prbf.g_01833	Praj.g_00543
OG0000123	Prbf.g_01865	Praj.g_00573
OG0000124	Prbf.g_00999	Praj.g_00639
OG0000125	Prbf.g_01000	Praj.g_00640
OG0000126	Prbf.g_01001	Praj.g_00641
OG0000127	Prbf.g_01276	Praj.g_00679
OG0000128	Prbf.g_01251	Praj.g_00700
OG0000129	Prbf.g_01050	Praj.g_00722
OG0000130	Prbf.g_01153	Praj.g_00909
OG0000131	Prbf.g_01247	Praj.g_00767
OG0000132	Prbf.g_01210	Praj.g_00804
OG0000133	Prbf.g_01303	Praj.g_00905
OG0000134	Prbf.g_01019	Praj.g_00754
OG0000135	Prbf.g_01113	Praj.g_00950
OG0000136	Prbf.g_01167	Praj.g_01021
OG0000137	Prbf.g_00785	Praj.g_01835
OG0000138	Prbf.g_00912	Praj.g_01466
OG0000139	Prbf.g_00924	Praj.g_01455
OG0000140	Prbf.g_01915	Praj.g_01402
OG0000141	Prbf.g_00253	Praj.g_01014
OG0000142	Prbf.g_00013	Praj.g_01540
OG0000143	Prbf.g_00095	Praj.g_01575
OG0000144	Prbf.g_00145	Praj.g_01618
OG0000145	Prbf.g_00158	Praj.g_01633
OG0000146	Prbf.g_00194	Praj.g_01667
OG0000147	Prbf.g_00241	Praj.g_01713
OG0000148	Prbf.g_00242	Praj.g_01714
OG0000149	Prbf.g_00696	Praj.g_01766
OG0000150	Prbf.g_00657	Praj.g_01803
OG0000151	Prbf.g_00654	Praj.g_01805
OG0000152	Prbf.g_00634	Praj.g_01825
OG0000153	Prbf.g_00600	Praj.g_01910
OG0000154	Prbf.g_00564	Praj.g_01946
OG0000155	Prbf.g_00545	Praj.g_01965
OG0000156	Prbf.g_00512	Praj.g_01997
OG0000157	Prbf.g_00477	Praj.g_02034
OG0000158	Prbf.g_00412	Praj.g_02128
OG0000160	Prbf.g_00392	Praj.g_00001
OG0000161	Prbf.g_00391	Praj.g_00002
OG0000162	Prbf.g_00389	Praj.g_00004
OG0000163	Prbf.g_00388	Praj.g_00005
OG0000164	Prbf.g_00387	Praj.g_00006
OG0000165	Prbf.g_00386	Praj.g_00007
OG0000166	Prbf.g_00385	Praj.g_00008
OG0000167	Prbf.g_00384	Praj.g_00009
OG0000168	Prbf.g_00383	Praj.g_00010
OG0000169	Prbf.g_00381	Praj.g_00012
OG0000170	Prbf.g_01336	Praj.g_00014
OG0000171	Prbf.g_01337	Praj.g_00015
OG0000172	Prbf.g_01338	Praj.g_00016
OG0000173	Prbf.g_01339	Praj.g_00017
OG0000174	Prbf.g_01340	Praj.g_00018
OG0000175	Prbf.g_01341	Praj.g_00019
OG0000176	Prbf.g_01342	Praj.g_00020
OG0000177	Prbf.g_01343	Praj.g_00021
OG0000178	Prbf.g_01344	Praj.g_00022
OG0000179	Prbf.g_01346	Praj.g_00024
OG0000180	Prbf.g_01347	Praj.g_00025
OG0000181	Prbf.g_01348	Praj.g_00026
OG0000182	Prbf.g_01349	Praj.g_00027
OG0000183	Prbf.g_01350	Praj.g_00028
OG0000184	Prbf.g_01352	Praj.g_00029
OG0000185	Prbf.g_01355	Praj.g_00032
OG0000186	Prbf.g_01358	Praj.g_00034
OG0000187	Prbf.g_01359	Praj.g_00035
OG0000188	Prbf.g_01360	Praj.g_00036
OG0000189	Prbf.g_01362	Praj.g_00044
OG0000190	Prbf.g_01364	Praj.g_00046
OG0000191	Prbf.g_01366	Praj.g_00047
OG0000192	Prbf.g_01367	Praj.g_00048
OG0000193	Prbf.g_01368	Praj.g_00049
OG0000194	Prbf.g_01371	Praj.g_00050
OG0000195	Prbf.g_01372	Praj.g_00051
OG0000196	Prbf.g_01373	Praj.g_00052
OG0000197	Prbf.g_01375	Praj.g_00054
