Orthogroup	Prai	Prao
OG0000000	Prai.g_01592	Prao.g_01515
OG0000000	Prai.g_01591, Prai.g_01775, Prai.g_00908	Prao.g_01029
OG0000001	Prai.g_01363	Prao.g_01246
OG0000001	Prai.g_00707	Prao.g_00116
OG0000002	Prai.g_01236	Prao.g_01852
OG0000002	Prai.g_01356, Prai.g_01235	Prao.g_01254
OG0000003	Prai.g_01413	Prao.g_01259
OG0000004	Prai.g_01314	Prao.g_01296
OG0000004	Prai.g_01596	Prao.g_01518
OG0000005	Prai.g_00441	Prao.g_00673
OG0000005	Prai.g_01313	Prao.g_00679, Prao.g_01301
OG0000006	Prai.g_00889	Prao.g_00691, Prao.g_01142
OG0000007	Prai.g_00394	Prao.g_00517
OG0000008	Prai.g_00527	Prao.g_00603
OG0000008	Prai.g_01638	Prao.g_01552
OG0000010	Prai.g_00867	Prao.g_00720
OG0000010	Prai.g_00262	Prao.g_00387
OG0000011	Prai.g_00890	Prao.g_00690
OG0000012	Prai.g_00387	Prao.g_00509
OG0000013	Prai.g_01578	Prao.g_01507
OG0000014	Prai.g_00319	Prao.g_01213
OG0000015	Prai.g_00343	Prao.g_00466
OG0000017	Prai.g_00904	Prao.g_01293, Prao.g_00576
OG0000018	Prai.g_00626	Prao.g_00036
OG0000020	Prai.g_01366	Prao.g_01243
OG0000021	Prai.g_01483	Prao.g_01417
OG0000022	Prai.g_00254, Prai.g_00252	Prao.g_00379
OG0000023	Prai.g_00378	Prao.g_01346, Prao.g_00500
OG0000025	Prai.g_00899	Prao.g_00683
OG0000026	Prai.g_01772, Prai.g_00905	Prao.g_01294
OG0000027	Prai.g_00701	Prao.g_00111
OG0000029	Prai.g_00866	Prao.g_00721
OG0000031	Prai.g_01845	Prao.g_01750
OG0000032	Prai.g_00033	Prao.g_00179
OG0000033	Prai.g_01549	Prao.g_01483
OG0000034	Prai.g_01463	Prao.g_01397
OG0000035	Prai.g_01579	Prao.g_01508
OG0000036	Prai.g_01125	Prao.g_01145
OG0000039	Prai.g_00013	Prao.g_00160
OG0000040	Prai.g_01599	Prao.g_00529
OG0000041	Prai.g_00652	Prao.g_00062
OG0000042	Prai.g_01892	Prao.g_01796
OG0000043	Prai.g_01097	Prao.g_01015
OG0000043	Prai.g_01059	Prao.g_00831
OG0000045	Prai.g_00613	Prao.g_00024
OG0000046	Prai.g_00885	Prao.g_00699
OG0000047	Prai.g_01171	Prao.g_01089
OG0000048	Prai.g_00154	Prao.g_01358
OG0000050	Prai.g_00177	Prao.g_00304
OG0000051	Prai.g_00373	Prao.g_00494
OG0000053	Prai.g_00748	Prao.g_00648
OG0000054	Prai.g_01631	Prao.g_01545
OG0000055	Prai.g_01838	Prao.g_01743
OG0000056	Prai.g_00031	Prao.g_00177
OG0000057	Prai.g_00168, Prai.g_01288	Prao.g_00295
OG0000058	Prai.g_00383	Prao.g_00505
OG0000060	Prai.g_00761	Prao.g_00661
OG0000061	Prai.g_00909	Prao.g_00693
OG0000062	Prai.g_00825	Prao.g_00763
OG0000063	Prai.g_01132	Prao.g_01135
OG0000065	Prai.g_00248	Prao.g_00375
OG0000066	Prai.g_00505	Prao.g_00581
OG0000067	Prai.g_00727	Prao.g_00136
