Orthogroup	Prai	Prbk
OG0000000	Prai.g_01592	Prbk.g_00165
OG0000000	Prai.g_01234, Prai.g_01591, Prai.g_01775, Prai.g_00908	Prbk.g_00167
OG0000001	Prai.g_01363	Prbk.g_02574
OG0000001	Prai.g_00707	Prbk.g_01649
OG0000002	Prai.g_01356, Prai.g_01235	Prbk.g_00170, Prbk.g_01196, Prbk.g_00561, Prbk.g_02701, Prbk.g_00630
OG0000003	Prai.g_01413	Prbk.g_02690
OG0000004	Prai.g_01314, Prai.g_01596, Prai.g_01774, Prai.g_00907	Prbk.g_00166
OG0000005	Prai.g_01313	Prbk.g_01701, Prbk.g_00355
OG0000008	Prai.g_01638	Prbk.g_00907
OG0000010	Prai.g_00867, Prai.g_00262	Prbk.g_01004
OG0000011	Prai.g_00890	Prbk.g_00833
OG0000013	Prai.g_01578, Prai.g_00105	Prbk.g_01932, Prbk.g_00013
OG0000014	Prai.g_00319	Prbk.g_00454
OG0000015	Prai.g_00424	Prbk.g_02565
OG0000015	Prai.g_00343	Prbk.g_01202
OG0000016	Prai.g_01243	Prbk.g_02558
OG0000018	Prai.g_00626	Prbk.g_01142, Prbk.g_01150
OG0000020	Prai.g_01366	Prbk.g_01746, Prbk.g_01786
OG0000021	Prai.g_01483	Prbk.g_01230
OG0000022	Prai.g_00254, Prai.g_00252	Prbk.g_02695
OG0000023	Prai.g_00378	Prbk.g_01137
OG0000025	Prai.g_00899	Prbk.g_01780
OG0000027	Prai.g_00701	Prbk.g_01820
OG0000028	Prai.g_01552	Prbk.g_01819
OG0000031	Prai.g_01845	Prbk.g_01495, Prbk.g_00140, Prbk.g_02215
OG0000032	Prai.g_00033, Prai.g_01261	Prbk.g_01613
OG0000034	Prai.g_01463	Prbk.g_00259
OG0000036	Prai.g_01248	Prbk.g_01664
OG0000037	Prai.g_00434, Prai.g_01263	Prbk.g_01709
OG0000038	Prai.g_01444	Prbk.g_00534, Prbk.g_00539
OG0000040	Prai.g_01599	Prbk.g_01851
OG0000041	Prai.g_00652	Prbk.g_02610
OG0000045	Prai.g_00613	Prbk.g_01122
OG0000046	Prai.g_00885	Prbk.g_01667, Prbk.g_00212
OG0000047	Prai.g_01171	Prbk.g_01019
OG0000048	Prai.g_00154	Prbk.g_00499
OG0000049	Prai.g_01859	Prbk.g_00479
OG0000050	Prai.g_00177	Prbk.g_01836, Prbk.g_00773
OG0000051	Prai.g_00373	Prbk.g_02448
OG0000053	Prai.g_00748	Prbk.g_01835, Prbk.g_00619
OG0000054	Prai.g_01631	Prbk.g_00919
OG0000055	Prai.g_01838	Prbk.g_00237
