Orthogroup	Prai	Prah
OG0000000	Prai.g_01592	Prah.g_01348
OG0000000	Prai.g_01234, Prai.g_01591, Prai.g_01775, Prai.g_00908	Prah.g_01152, Prah.g_01154, Prah.g_01346
OG0000001	Prai.g_01363	Prah.g_00562
OG0000001	Prai.g_00707	Prah.g_01226
OG0000002	Prai.g_01356, Prai.g_01235	Prah.g_01343, Prah.g_00324, Prah.g_01159, Prah.g_02270, Prah.g_00896
OG0000004	Prai.g_01314, Prai.g_01596, Prai.g_01774, Prai.g_00907	Prah.g_01347
OG0000005	Prai.g_01313	Prah.g_01175, Prah.g_00215
OG0000008	Prai.g_00527	Prah.g_01546
OG0000008	Prai.g_01638	Prah.g_01676
OG0000010	Prai.g_00867, Prai.g_00262	Prah.g_02086
OG0000011	Prai.g_00890	Prah.g_01972
OG0000013	Prai.g_01578, Prai.g_00105	Prah.g_00432, Prah.g_01895
OG0000014	Prai.g_00319	Prah.g_02171
OG0000015	Prai.g_00424	Prah.g_00321
OG0000015	Prai.g_00343	Prah.g_00353
OG0000016	Prai.g_01243	Prah.g_01155, Prah.g_00576
OG0000018	Prai.g_00626	Prah.g_01405, Prah.g_01397
OG0000020	Prai.g_01366	Prah.g_01007, Prah.g_01048
OG0000021	Prai.g_01483	Prah.g_00381
OG0000022	Prai.g_00254, Prai.g_00252	Prah.g_01767, Prah.g_00475
OG0000023	Prai.g_00378	Prah.g_01410
OG0000025	Prai.g_00899	Prah.g_01043
OG0000027	Prai.g_00701	Prah.g_00969
OG0000028	Prai.g_01552	Prah.g_00970
OG0000029	Prai.g_00866	Prah.g_00942
OG0000031	Prai.g_01845	Prah.g_01256, Prah.g_00135, Prah.g_02545
OG0000032	Prai.g_00033, Prai.g_01261	Prah.g_00042
OG0000034	Prai.g_01463	Prah.g_00408
OG0000037	Prai.g_00434, Prai.g_01263	Prah.g_01166
OG0000038	Prai.g_01444	Prah.g_02248
OG0000039	Prai.g_01573	Prah.g_01270
OG0000039	Prai.g_00013	Prah.g_00015
OG0000040	Prai.g_01599	Prah.g_01084
OG0000041	Prai.g_00652	Prah.g_00524
OG0000045	Prai.g_00613	Prah.g_01427
OG0000046	Prai.g_00885	Prah.g_01209, Prah.g_00170
OG0000047	Prai.g_01171	Prah.g_01322, Prah.g_00104
