Orthogroup	Syac	Prav
OG0000001	Syac.g_02154	Prav.g_01458, Prav.g_01748, Prav.g_00962, Prav.g_01820, Prav.g_02007, Prav.g_01734
OG0000002	Syac.g_01084	Prav.g_01466, Prav.g_01276
OG0000004	Syac.g_00898	Prav.g_01293
OG0000004	Syac.g_00948, Syac.g_01975	Prav.g_00806
OG0000005	Syac.g_00527	Prav.g_01774
OG0000005	Syac.g_00569	Prav.g_01654
OG0000006	Syac.g_01958, Syac.g_01961, Syac.g_02194	Prav.g_02001
OG0000007	Syac.g_01885	Prav.g_01095
OG0000007	Syac.g_00544	Prav.g_01761
OG0000008	Syac.g_00921	Prav.g_01749
OG0000008	Syac.g_00922	Prav.g_01750
OG0000009	Syac.g_01004, Syac.g_00398	Prav.g_00170
OG0000010	Syac.g_01701	Prav.g_00218, Prav.g_01072
OG0000012	Syac.g_00758, Syac.g_01577, Syac.g_00955	Prav.g_01221
OG0000013	Syac.g_02046, Syac.g_02062, Syac.g_02056	Prav.g_01973
OG0000014	Syac.g_00253	Prav.g_01952
OG0000015	Syac.g_01408	Prav.g_00363, Prav.g_00961
OG0000016	Syac.g_00014	Prav.g_00081
OG0000016	Syac.g_01053	Prav.g_01385
OG0000017	Syac.g_01749	Prav.g_01194
OG0000018	Syac.g_01660	Prav.g_00046, Prav.g_00424
OG0000019	Syac.g_02207	Prav.g_01896, Prav.g_00375
OG0000022	Syac.g_01031	Prav.g_00360, Prav.g_00029
OG0000023	Syac.g_00760	Prav.g_00979
OG0000024	Syac.g_00925	Prav.g_00343, Prav.g_01273
OG0000025	Syac.g_00847	Prav.g_00431, Prav.g_01977
OG0000026	Syac.g_00034	Prav.g_01324, Prav.g_00099, Prav.g_00226
OG0000027	Syac.g_01095	Prav.g_01068, Prav.g_01416
OG0000028	Syac.g_00237	Prav.g_01966, Prav.g_01885
OG0000029	Syac.g_01942	Prav.g_00350
OG0000030	Syac.g_00143, Syac.g_00142	Prav.g_00699
OG0000033	Syac.g_00304	Prav.g_00869
OG0000034	Syac.g_00334, Syac.g_00715	Prav.g_01448
OG0000035	Syac.g_01630	Prav.g_01578
OG0000037	Syac.g_01077	Prav.g_00174
OG0000038	Syac.g_02357, Syac.g_02358	Prav.g_00739
OG0000039	Syac.g_00856, Syac.g_02378	Prav.g_01284
OG0000040	Syac.g_01006	Prav.g_01720
OG0000041	Syac.g_00655	Prav.g_01808
OG0000042	Syac.g_00146	Prav.g_00696
OG0000045	Syac.g_01040	Prav.g_00990
OG0000047	Syac.g_02031	Prav.g_01976
OG0000048	Syac.g_02240	Prav.g_00993
OG0000051	Syac.g_01073	Prav.g_01410
OG0000052	Syac.g_00207	Prav.g_01533
OG0000053	Syac.g_01657	Prav.g_01598
OG0000054	Syac.g_00933	Prav.g_01202
OG0000055	Syac.g_00859	Prav.g_00376
OG0000057	Syac.g_00894	Prav.g_01296
OG0000058	Syac.g_00226	Prav.g_01512
OG0000059	Syac.g_02142	Prav.g_00292
OG0000061	Syac.g_00769	Prav.g_00065
OG0000063	Syac.g_00037	Prav.g_00101
OG0000065	Syac.g_00490, Syac.g_00396	Prav.g_00172
OG0000066	Syac.g_01827	Prav.g_01137
OG0000067	Syac.g_01341	Prav.g_00397
OG0000068	Syac.g_01916	Prav.g_01473
OG0000069	Syac.g_01272	Prav.g_01881, Prav.g_01689
OG0000070	Syac.g_00711	Prav.g_01049
OG0000071	Syac.g_00729	Prav.g_01438
OG0000072	Syac.g_00302	Prav.g_00867
OG0000073	Syac.g_01883	Prav.g_01097
OG0000075	Syac.g_00191	Prav.g_00665
OG0000076	Syac.g_00156	Prav.g_00689
OG0000077	Syac.g_00439	Prav.g_00143
OG0000079	Syac.g_02211	Prav.g_01899
OG0000081	Syac.g_01954	Prav.g_01129
OG0000082	Syac.g_01766	Prav.g_01182
OG0000084	Syac.g_01627	Prav.g_01574
OG0000085	Syac.g_00560	Prav.g_01754
OG0000086	Syac.g_00423	Prav.g_00153
OG0000087	Syac.g_00343	Prav.g_00204
OG0000088	Syac.g_00308	Prav.g_00872
OG0000089	Syac.g_01988, Syac.g_01543	Prav.g_00975
OG0000090	Syac.g_01836	Prav.g_01131
OG0000091	Syac.g_00987	Prav.g_01240
OG0000094	Syac.g_01251	Prav.g_00914
OG0000097	Syac.g_01507	Prav.g_01840
OG0000098	Syac.g_02157	Prav.g_01455
