Orthogroup	Syac	Syae
OG0000001	Syac.g_02154	Syae.g_02061
OG0000001	Syac.g_00341, Syac.g_00340	Syae.g_01417
OG0000001	Syac.g_02169	Syae.g_02055
OG0000004	Syac.g_00898	Syae.g_00779
OG0000004	Syac.g_00948	Syae.g_00042
OG0000004	Syac.g_01975	Syae.g_02231
OG0000005	Syac.g_00527	Syae.g_01179
OG0000005	Syac.g_00569	Syae.g_01143
OG0000005	Syac.g_01087	Syae.g_00257
OG0000006	Syac.g_01958, Syac.g_01961, Syac.g_02194	Syae.g_02030, Syae.g_02248
OG0000006	Syac.g_01002	Syae.g_00096
OG0000007	Syac.g_01885	Syae.g_02328
OG0000007	Syac.g_00544	Syae.g_01163
OG0000008	Syac.g_00921	Syae.g_00753
OG0000008	Syac.g_00922	Syae.g_00752
OG0000009	Syac.g_01004	Syae.g_00100
OG0000009	Syac.g_00398	Syae.g_01361
OG0000010	Syac.g_01701	Syae.g_02529
OG0000011	Syac.g_00924	Syae.g_00750
OG0000012	Syac.g_01577	Syae.g_02397, Syae.g_02562
OG0000012	Syac.g_00955	Syae.g_00049
OG0000013	Syac.g_02046	Syae.g_02169
OG0000013	Syac.g_02062	Syae.g_02155
OG0000013	Syac.g_02056	Syae.g_02160
OG0000014	Syac.g_00253	Syae.g_01930
OG0000016	Syac.g_00014	Syae.g_01726
OG0000016	Syac.g_01505	Syae.g_00681
OG0000016	Syac.g_01053	Syae.g_00233
OG0000017	Syac.g_01742	Syae.g_02469
OG0000017	Syac.g_01749	Syae.g_02462
OG0000018	Syac.g_01660	Syae.g_02625
OG0000019	Syac.g_02207	Syae.g_02015
OG0000022	Syac.g_01031	Syae.g_00144
OG0000023	Syac.g_00760	Syae.g_00439
OG0000025	Syac.g_00847	Syae.g_00833
OG0000026	Syac.g_00034	Syae.g_01748
OG0000027	Syac.g_01095	Syae.g_00814
OG0000028	Syac.g_00237	Syae.g_01916
OG0000029	Syac.g_01942	Syae.g_00136
OG0000030	Syac.g_00143	Syae.g_01817
OG0000030	Syac.g_00142	Syae.g_01816
OG0000031	Syac.g_00232	Syae.g_01911
OG0000032	Syac.g_01677	Syae.g_02607
OG0000033	Syac.g_00304	Syae.g_01453
OG0000034	Syac.g_00334, Syac.g_00715	Syae.g_00975, Syae.g_01424
OG0000035	Syac.g_01630	Syae.g_02653
OG0000037	Syac.g_01077	Syae.g_01367
OG0000038	Syac.g_02357	Syae.g_01571
OG0000039	Syac.g_00856	Syae.g_00822
OG0000039	Syac.g_02378	Syae.g_02495
OG0000040	Syac.g_02437	Syae.g_01653
OG0000041	Syac.g_00655	Syae.g_01042
OG0000041	Syac.g_00876	Syae.g_00802
OG0000042	Syac.g_00146	Syae.g_01821
OG0000043	Syac.g_01100	Syae.g_00117
OG0000044	Syac.g_00477	Syae.g_00098
OG0000045	Syac.g_00576	Syae.g_00732
OG0000046	Syac.g_02063	Syae.g_02154
OG0000046	Syac.g_02055	Syae.g_02161
OG0000046	Syac.g_02047	Syae.g_02168
OG0000047	Syac.g_02031	Syae.g_02184
OG0000048	Syac.g_02240	Syae.g_01982
OG0000050	Syac.g_01937	Syae.g_01023
OG0000051	Syac.g_01073	Syae.g_00438
OG0000052	Syac.g_00207	Syae.g_01886
OG0000053	Syac.g_01657	Syae.g_02629
OG0000054	Syac.g_00933	Syae.g_00014
OG0000054	Syac.g_01050	Syae.g_00221
OG0000055	Syac.g_00859	Syae.g_00817
OG0000057	Syac.g_00894	Syae.g_00782
OG0000058	Syac.g_00226	Syae.g_01905
OG0000059	Syac.g_02142	Syae.g_02074
OG0000060	Syac.g_01909	Syae.g_02306
OG0000061	Syac.g_00769	Syae.g_00921
OG0000062	Syac.g_00567	Syae.g_01145
OG0000063	Syac.g_00037	Syae.g_01752
OG0000064	Syac.g_01567	Syae.g_00194
OG0000064	Syac.g_00575	Syae.g_01137
OG0000065	Syac.g_00490	Syae.g_00722
OG0000065	Syac.g_00396	Syae.g_01363
OG0000066	Syac.g_01827	Syae.g_02386
OG0000067	Syac.g_01341	Syae.g_00521
OG0000068	Syac.g_01916	Syae.g_02299
OG0000069	Syac.g_01272	Syae.g_00458
OG0000070	Syac.g_00711	Syae.g_00979
OG0000071	Syac.g_00729	Syae.g_00961
OG0000072	Syac.g_00302	Syae.g_01455
OG0000073	Syac.g_01883	Syae.g_02330
OG0000075	Syac.g_00191	Syae.g_01871
OG0000076	Syac.g_00156	Syae.g_01829
OG0000077	Syac.g_00439	Syae.g_01297
OG0000078	Syac.g_01964	Syae.g_02243
OG0000079	Syac.g_02211	Syae.g_02011
OG0000081	Syac.g_01954	Syae.g_02261
OG0000082	Syac.g_01766	Syae.g_02447
OG0000084	Syac.g_00822	Syae.g_00857
OG0000084	Syac.g_01627	Syae.g_02656
OG0000085	Syac.g_00560	Syae.g_01152
OG0000086	Syac.g_00423	Syae.g_01333
OG0000087	Syac.g_00343	Syae.g_01414
OG0000088	Syac.g_00308	Syae.g_01449
OG0000089	Syac.g_01988	Syae.g_02219
OG0000090	Syac.g_01836	Syae.g_02374
OG0000091	Syac.g_00987	Syae.g_00082
OG0000093	Syac.g_01357	Syae.g_00537
OG0000094	Syac.g_01251	Syae.g_00430
OG0000095	Syac.g_00884	Syae.g_00793
OG0000097	Syac.g_01507	Syae.g_00683
OG0000098	Syac.g_02157	Syae.g_02058
OG0000099	Syac.g_00234	Syae.g_01913
OG0000100	Syac.g_01309	Syae.g_00489
OG0000101	Syac.g_02094	Syae.g_02125
OG0000102	Syac.g_00151	Syae.g_01824
OG0000103	Syac.g_02476	Syae.g_01694
OG0000104	Syac.g_02490	Syae.g_01708
OG0000105	Syac.g_02245	Syae.g_01977
OG0000106	Syac.g_01098	Syae.g_00272
OG0000107	Syac.g_02191	Syae.g_02032
OG0000108	Syac.g_01904	Syae.g_02309
OG0000109	Syac.g_01889	Syae.g_02324
OG0000110	Syac.g_01778	Syae.g_02435
OG0000111	Syac.g_00893	Syae.g_00783
OG0000112	Syac.g_01173	Syae.g_00351
OG0000113	Syac.g_01314	Syae.g_00494
OG0000114	Syac.g_01394	Syae.g_00575
OG0000115	Syac.g_01655	Syae.g_02631
OG0000116	Syac.g_00753	Syae.g_00939
OG0000117	Syac.g_01477	Syae.g_00647
OG0000118	Syac.g_01728	Syae.g_02479
OG0000120	Syac.g_00233	Syae.g_01912
OG0000121	Syac.g_01635	Syae.g_02649
OG0000122	Syac.g_01013	Syae.g_00112
OG0000123	Syac.g_02086	Syae.g_02131
OG0000124	Syac.g_00135	Syae.g_01809
OG0000125	Syac.g_02360	Syae.g_01573
OG0000126	Syac.g_02488	Syae.g_01706
OG0000127	Syac.g_01547	Syae.g_00720
OG0000128	Syac.g_00012	Syae.g_01724
OG0000129	Syac.g_02349	Syae.g_01562
OG0000130	Syac.g_00450	Syae.g_01284
OG0000131	Syac.g_00330	Syae.g_01428
OG0000132	Syac.g_00310	Syae.g_01447
OG0000133	Syac.g_01178	Syae.g_00356
OG0000134	Syac.g_01985	Syae.g_02222
OG0000135	Syac.g_02398	Syae.g_01608
OG0000136	Syac.g_00701	Syae.g_00989
OG0000137	Syac.g_01700	Syae.g_02530
OG0000138	Syac.g_01888	Syae.g_02325
OG0000139	Syac.g_01830	Syae.g_02380
OG0000140	Syac.g_01829	Syae.g_02383
OG0000141	Syac.g_00934	Syae.g_00016
OG0000142	Syac.g_00979	Syae.g_00074
OG0000143	Syac.g_00983	Syae.g_00078
OG0000144	Syac.g_01090	Syae.g_00261
OG0000145	Syac.g_01882	Syae.g_02331
OG0000146	Syac.g_01172	Syae.g_00350
OG0000147	Syac.g_01171	Syae.g_00349
OG0000148	Syac.g_01320	Syae.g_00500
OG0000149	Syac.g_00832	Syae.g_00847
OG0000150	Syac.g_00935	Syae.g_00017
OG0000151	Syac.g_01383	Syae.g_00563
OG0000152	Syac.g_01182	Syae.g_00360
OG0000153	Syac.g_01217	Syae.g_00394
OG0000154	Syac.g_01241	Syae.g_00420
OG0000155	Syac.g_00804	Syae.g_00885
OG0000156	Syac.g_00743	Syae.g_00945
OG0000157	Syac.g_00742	Syae.g_00946
OG0000158	Syac.g_00182	Syae.g_01858
OG0000160	Syac.g_01633	Syae.g_02650
OG0000161	Syac.g_01641	Syae.g_02644
OG0000162	Syac.g_01648	Syae.g_02638
OG0000163	Syac.g_00619	Syae.g_01092
OG0000164	Syac.g_00508	Syae.g_01198
OG0000165	Syac.g_00674	Syae.g_01021
OG0000166	Syac.g_02132	Syae.g_02085
OG0000167	Syac.g_00194	Syae.g_01874
OG0000168	Syac.g_00179	Syae.g_01856
OG0000169	Syac.g_00168	Syae.g_01841
OG0000170	Syac.g_00161	Syae.g_01834
OG0000171	Syac.g_00136	Syae.g_01810
OG0000172	Syac.g_00084	Syae.g_01788
OG0000173	Syac.g_00057	Syae.g_01770
OG0000174	Syac.g_02401	Syae.g_01610
OG0000175	Syac.g_02465	Syae.g_01679
OG0000176	Syac.g_00004	Syae.g_01716
OG0000177	Syac.g_00005	Syae.g_01717
OG0000178	Syac.g_00006	Syae.g_01718
OG0000179	Syac.g_00019	Syae.g_01733
OG0000180	Syac.g_00020	Syae.g_01734
OG0000181	Syac.g_00021	Syae.g_01735
OG0000182	Syac.g_00022	Syae.g_01736
OG0000183	Syac.g_00026	Syae.g_01740
OG0000184	Syac.g_02339	Syae.g_01554
OG0000185	Syac.g_02336	Syae.g_01551
OG0000186	Syac.g_00454	Syae.g_01279
OG0000187	Syac.g_00453	Syae.g_01280
OG0000188	Syac.g_00433	Syae.g_01323
OG0000189	Syac.g_00408	Syae.g_01350
OG0000190	Syac.g_00406	Syae.g_01352
OG0000191	Syac.g_00373	Syae.g_01384
OG0000192	Syac.g_00368	Syae.g_01390
OG0000193	Syac.g_00329	Syae.g_01429
OG0000194	Syac.g_00326	Syae.g_01432
OG0000195	Syac.g_00324	Syae.g_01434
OG0000196	Syac.g_00313	Syae.g_01444
OG0000197	Syac.g_00312	Syae.g_01445
OG0000198	Syac.g_00311	Syae.g_01446
OG0000199	Syac.g_00303	Syae.g_01454
OG0000200	Syac.g_02261	Syae.g_01471
OG0000201	Syac.g_02278	Syae.g_01487
OG0000202	Syac.g_02279	Syae.g_01488
OG0000203	Syac.g_02280	Syae.g_01489
OG0000204	Syac.g_02281	Syae.g_01490
OG0000205	Syac.g_02288	Syae.g_01497
OG0000206	Syac.g_02297	Syae.g_01504
OG0000207	Syac.g_02300	Syae.g_01506
