Orthogroup	Syac	Prbj
OG0000001	Syac.g_02154	Prbj.g_00672, Prbj.g_00169
OG0000001	Syac.g_00341, Syac.g_00340	Prbj.g_01549, Prbj.g_02662
OG0000002	Syac.g_01084	Prbj.g_02517, Prbj.g_00030
OG0000004	Syac.g_00898	Prbj.g_00754
OG0000004	Syac.g_00948, Syac.g_01975	Prbj.g_01777
OG0000005	Syac.g_00569	Prbj.g_00883
OG0000006	Syac.g_01958, Syac.g_01961, Syac.g_02194	Prbj.g_02699
OG0000007	Syac.g_01885	Prbj.g_01610
OG0000007	Syac.g_00544	Prbj.g_00857
OG0000008	Syac.g_00921	Prbj.g_00929
OG0000008	Syac.g_00922	Prbj.g_00928
OG0000009	Syac.g_01004, Syac.g_00398	Prbj.g_01300, Prbj.g_00618
OG0000010	Syac.g_01701	Prbj.g_00129
OG0000012	Syac.g_00955	Prbj.g_02552
OG0000013	Syac.g_02046, Syac.g_02062, Syac.g_02056	Prbj.g_00359
OG0000014	Syac.g_00253	Prbj.g_01442
OG0000015	Syac.g_01408	Prbj.g_02502
OG0000017	Syac.g_01742	Prbj.g_01761
OG0000017	Syac.g_01749	Prbj.g_01769
OG0000018	Syac.g_01660	Prbj.g_00641
OG0000019	Syac.g_02207	Prbj.g_00025
OG0000022	Syac.g_01031	Prbj.g_01572, Prbj.g_00050
OG0000023	Syac.g_00760	Prbj.g_02392
OG0000024	Syac.g_00925	Prbj.g_00773
OG0000025	Syac.g_00847	Prbj.g_02475
OG0000026	Syac.g_00034	Prbj.g_01204
OG0000028	Syac.g_00237	Prbj.g_01457
OG0000029	Syac.g_01942	Prbj.g_00378
OG0000030	Syac.g_00143	Prbj.g_01288
OG0000030	Syac.g_00142	Prbj.g_01287
OG0000032	Syac.g_01677	Prbj.g_00659
OG0000033	Syac.g_00304	Prbj.g_00518
OG0000034	Syac.g_00334, Syac.g_00715	Prbj.g_01740
OG0000035	Syac.g_01630	Prbj.g_01056
OG0000037	Syac.g_01077	Prbj.g_00624
OG0000038	Syac.g_02357	Prbj.g_01959
OG0000038	Syac.g_02358	Prbj.g_01961
OG0000039	Syac.g_02378	Prbj.g_00278
OG0000041	Syac.g_00655	Prbj.g_00450
