Orthogroup	Syac	Pras
OG0000001	Syac.g_02154	Pras.g_00235, Pras.g_00118, Pras.g_00120, Pras.g_00541
OG0000002	Syac.g_01084	Pras.g_00243, Pras.g_01554
OG0000004	Syac.g_00898	Pras.g_01571
OG0000004	Syac.g_00948, Syac.g_01975	Pras.g_01084
OG0000005	Syac.g_00527	Pras.g_00563
OG0000005	Syac.g_00569	Pras.g_00429
OG0000006	Syac.g_01958, Syac.g_01961, Syac.g_02194	Pras.g_00148, Pras.g_01093
OG0000007	Syac.g_01885	Pras.g_01375
OG0000007	Syac.g_00544	Pras.g_00550
OG0000009	Syac.g_01004, Syac.g_00398	Pras.g_00956
OG0000010	Syac.g_01701	Pras.g_00523, Pras.g_01942, Pras.g_01352
OG0000012	Syac.g_00758, Syac.g_01577, Syac.g_00955	Pras.g_01499
OG0000013	Syac.g_02046, Syac.g_02062, Syac.g_02056	Pras.g_01179
OG0000014	Syac.g_00253	Pras.g_01158
OG0000014	Syac.g_00100	Pras.g_00304
OG0000015	Syac.g_01408	Pras.g_00127
OG0000016	Syac.g_00014	Pras.g_00855
OG0000017	Syac.g_01749	Pras.g_01474
OG0000018	Syac.g_01660	Pras.g_00037, Pras.g_01728
OG0000019	Syac.g_02207	Pras.g_01101, Pras.g_01681
OG0000022	Syac.g_01031	Pras.g_01662, Pras.g_00019
OG0000023	Syac.g_00760	Pras.g_01213
OG0000024	Syac.g_00925	Pras.g_01645, Pras.g_01551
OG0000025	Syac.g_00847	Pras.g_01735, Pras.g_01183
OG0000026	Syac.g_00034	Pras.g_00873, Pras.g_01949
OG0000027	Syac.g_01095	Pras.g_01348, Pras.g_00185
OG0000028	Syac.g_00237	Pras.g_01172, Pras.g_00169
OG0000029	Syac.g_01942	Pras.g_01228, Pras.g_01653
OG0000030	Syac.g_00143, Syac.g_00142	Pras.g_00753
OG0000033	Syac.g_00304	Pras.g_01020
OG0000034	Syac.g_00334, Syac.g_00715	Pras.g_00219
OG0000035	Syac.g_01630	Pras.g_00350
OG0000037	Syac.g_01077	Pras.g_00960
OG0000038	Syac.g_02357, Syac.g_02358	Pras.g_00795
OG0000039	Syac.g_00856, Syac.g_02378	Pras.g_01562
OG0000040	Syac.g_01006	Pras.g_00489
OG0000041	Syac.g_00655	Pras.g_00597
OG0000042	Syac.g_00146	Pras.g_00750
OG0000043	Syac.g_01100	Pras.g_00153
OG0000045	Syac.g_00576	Pras.g_00509
OG0000045	Syac.g_01040	Pras.g_01224
OG0000047	Syac.g_02031	Pras.g_01263, Pras.g_01182
OG0000048	Syac.g_02240	Pras.g_01227
OG0000051	Syac.g_01073	Pras.g_00179
OG0000051	Syac.g_01292	Pras.g_00508
OG0000052	Syac.g_00207	Pras.g_00285
OG0000053	Syac.g_01657	Pras.g_00886, Pras.g_00370
OG0000054	Syac.g_00933	Pras.g_01482
OG0000055	Syac.g_00859	Pras.g_01682
OG0000057	Syac.g_00894	Pras.g_01574
OG0000058	Syac.g_00226	Pras.g_00291
OG0000059	Syac.g_02142	Pras.g_00637
OG0000061	Syac.g_00769	Pras.g_00056
OG0000063	Syac.g_00037	Pras.g_00875
OG0000065	Syac.g_00490, Syac.g_00396	Pras.g_00958
OG0000066	Syac.g_01827	Pras.g_01416
OG0000067	Syac.g_01341	Pras.g_01701, Pras.g_00311
OG0000068	Syac.g_01916	Pras.g_00250
OG0000069	Syac.g_01272	Pras.g_00538, Pras.g_00464
OG0000070	Syac.g_00711	Pras.g_01328
OG0000071	Syac.g_00729	Pras.g_00209
OG0000072	Syac.g_00302	Pras.g_01022
OG0000073	Syac.g_01883	Pras.g_01377
OG0000075	Syac.g_00191	Pras.g_00719
OG0000076	Syac.g_00156	Pras.g_00883, Pras.g_00743
OG0000077	Syac.g_00439	Pras.g_00929
OG0000079	Syac.g_02211	Pras.g_01104
OG0000081	Syac.g_01954	Pras.g_01408
OG0000082	Syac.g_01766	Pras.g_01462
OG0000084	Syac.g_01627	Pras.g_00346
OG0000085	Syac.g_00560	Pras.g_00543
OG0000086	Syac.g_00423	Pras.g_00939
OG0000087	Syac.g_00343	Pras.g_00990
OG0000088	Syac.g_00308	Pras.g_01017
OG0000089	Syac.g_01988, Syac.g_01543	Pras.g_01209
OG0000090	Syac.g_01836	Pras.g_01410
OG0000091	Syac.g_00987	Pras.g_01518
OG0000094	Syac.g_01251	Pras.g_01915
OG0000097	Syac.g_01507	Pras.g_00098
OG0000098	Syac.g_02157	Pras.g_00232
OG0000099	Syac.g_00234	Pras.g_00294
OG0000100	Syac.g_01309	Pras.g_00427
OG0000101	Syac.g_02094	Pras.g_00687
OG0000102	Syac.g_00151	Pras.g_00748
OG0000103	Syac.g_02476	Pras.g_00829
OG0000104	Syac.g_02490	Pras.g_00838
OG0000105	Syac.g_02245	Pras.g_01126
OG0000106	Syac.g_01098	Pras.g_01223
OG0000107	Syac.g_02191	Pras.g_01239
OG0000108	Syac.g_01904	Pras.g_01358
OG0000109	Syac.g_01889	Pras.g_01372
OG0000110	Syac.g_01778	Pras.g_01451
OG0000112	Syac.g_01173	Pras.g_01665
OG0000113	Syac.g_01314	Pras.g_01723
OG0000114	Syac.g_01394	Pras.g_01801
OG0000115	Syac.g_01655	Pras.g_01994
OG0000116	Syac.g_00753	Pras.g_00046
OG0000117	Syac.g_01477	Pras.g_00150
OG0000118	Syac.g_01728	Pras.g_00221, Pras.g_00222
OG0000120	Syac.g_00233	Pras.g_00273, Pras.g_00272, Pras.g_00271, Pras.g_00330
OG0000121	Syac.g_01635	Pras.g_00352
OG0000122	Syac.g_01013	Pras.g_00391
OG0000123	Syac.g_02086	Pras.g_00694
OG0000124	Syac.g_00135	Pras.g_00759
OG0000125	Syac.g_02360	Pras.g_00797
OG0000126	Syac.g_02488	Pras.g_00837
OG0000128	Syac.g_00012	Pras.g_00853
OG0000129	Syac.g_02349	Pras.g_00897
OG0000130	Syac.g_00450	Pras.g_00921
OG0000131	Syac.g_00330	Pras.g_00996
OG0000132	Syac.g_00310	Pras.g_01015
OG0000133	Syac.g_01178	Pras.g_01174
OG0000134	Syac.g_01985	Pras.g_01210
OG0000135	Syac.g_02398	Pras.g_01236
OG0000136	Syac.g_00701	Pras.g_01319
OG0000137	Syac.g_01700	Pras.g_01353
OG0000138	Syac.g_01888	Pras.g_01373
OG0000139	Syac.g_01830	Pras.g_01414
OG0000140	Syac.g_01829	Pras.g_01415
OG0000141	Syac.g_00934	Pras.g_01483
OG0000142	Syac.g_00979	Pras.g_01511
OG0000143	Syac.g_00983	Pras.g_01515
OG0000144	Syac.g_01090	Pras.g_01528
OG0000145	Syac.g_01882	Pras.g_01664
OG0000146	Syac.g_01172	Pras.g_01666
OG0000147	Syac.g_01171	Pras.g_01667
OG0000148	Syac.g_01320	Pras.g_01717
OG0000149	Syac.g_00832	Pras.g_01747
OG0000150	Syac.g_00935	Pras.g_01755
OG0000151	Syac.g_01383	Pras.g_01811
OG0000152	Syac.g_01182	Pras.g_01859
OG0000153	Syac.g_01217	Pras.g_01878
OG0000154	Syac.g_01241	Pras.g_01908
OG0000155	Syac.g_00804	Pras.g_00076
OG0000156	Syac.g_00743	Pras.g_00197
OG0000157	Syac.g_00742	Pras.g_00198
OG0000158	Syac.g_00182	Pras.g_00289
OG0000160	Syac.g_01633	Pras.g_00351
OG0000161	Syac.g_01641	Pras.g_00357
OG0000162	Syac.g_01648	Pras.g_00363
OG0000163	Syac.g_00619	Pras.g_00399
OG0000164	Syac.g_00508	Pras.g_00574
OG0000165	Syac.g_00674	Pras.g_00581
OG0000166	Syac.g_02132	Pras.g_00651
OG0000167	Syac.g_00194	Pras.g_00717
OG0000168	Syac.g_00179	Pras.g_00727
OG0000169	Syac.g_00168	Pras.g_00737
OG0000170	Syac.g_00161	Pras.g_00739
OG0000171	Syac.g_00136	Pras.g_00758
OG0000172	Syac.g_00084	Pras.g_00768
OG0000173	Syac.g_00057	Pras.g_00783
OG0000174	Syac.g_02401	Pras.g_00811, Pras.g_00810
OG0000175	Syac.g_02465	Pras.g_00821
OG0000176	Syac.g_00004	Pras.g_00846
OG0000177	Syac.g_00005	Pras.g_00847
OG0000178	Syac.g_00006	Pras.g_00848
OG0000179	Syac.g_00019	Pras.g_00858
OG0000180	Syac.g_00020	Pras.g_00859
OG0000181	Syac.g_00021	Pras.g_00860
OG0000182	Syac.g_00022	Pras.g_00861
OG0000183	Syac.g_00026	Pras.g_00865
OG0000184	Syac.g_02339	Pras.g_00899
OG0000185	Syac.g_02336	Pras.g_00902
OG0000186	Syac.g_00454	Pras.g_00916
OG0000187	Syac.g_00453	Pras.g_00917
OG0000188	Syac.g_00433	Pras.g_00933
OG0000189	Syac.g_00408	Pras.g_00947
OG0000190	Syac.g_00406	Pras.g_00948
OG0000191	Syac.g_00373	Pras.g_00968
OG0000192	Syac.g_00368	Pras.g_00972
OG0000193	Syac.g_00329	Pras.g_00997
OG0000194	Syac.g_00326	Pras.g_01000
OG0000195	Syac.g_00324	Pras.g_01002
OG0000196	Syac.g_00313	Pras.g_01012
OG0000197	Syac.g_00312	Pras.g_01013
OG0000198	Syac.g_00311	Pras.g_01014
OG0000199	Syac.g_00303	Pras.g_01021
OG0000200	Syac.g_02261	Pras.g_01035
OG0000202	Syac.g_02279	Pras.g_01044
OG0000203	Syac.g_02280	Pras.g_01045
OG0000204	Syac.g_02281	Pras.g_01046
OG0000205	Syac.g_02288	Pras.g_01053
OG0000206	Syac.g_02297	Pras.g_01058, Pras.g_01059
OG0000207	Syac.g_02300	Pras.g_01061
OG0000208	Syac.g_02301	Pras.g_01062
OG0000209	Syac.g_02316	Pras.g_01071
OG0000210	Syac.g_02317	Pras.g_01072
OG0000212	Syac.g_01963	Pras.g_01092
OG0000213	Syac.g_02219	Pras.g_01109
OG0000214	Syac.g_02236	Pras.g_01119
OG0000215	Syac.g_00281	Pras.g_01144
OG0000216	Syac.g_00277	Pras.g_01145
OG0000217	Syac.g_00273	Pras.g_01148
OG0000218	Syac.g_00271	Pras.g_01150
OG0000219	Syac.g_00270	Pras.g_01151
OG0000220	Syac.g_00269	Pras.g_01152
OG0000221	Syac.g_00261	Pras.g_01153
OG0000222	Syac.g_00247	Pras.g_01162
OG0000223	Syac.g_00225	Pras.g_01175
OG0000224	Syac.g_00217	Pras.g_01177
OG0000225	Syac.g_02004	Pras.g_01199
OG0000226	Syac.g_02000	Pras.g_01203
OG0000227	Syac.g_01998	Pras.g_01205
OG0000228	Syac.g_01989	Pras.g_01208
OG0000229	Syac.g_00692	Pras.g_01314
OG0000230	Syac.g_00694	Pras.g_01316
OG0000231	Syac.g_00710	Pras.g_01327
OG0000232	Syac.g_01717	Pras.g_01335
OG0000233	Syac.g_01713	Pras.g_01341
OG0000234	Syac.g_01699	Pras.g_01354
OG0000235	Syac.g_01905	Pras.g_01357
OG0000236	Syac.g_01890	Pras.g_01371
OG0000237	Syac.g_01873	Pras.g_01384
OG0000238	Syac.g_01868	Pras.g_01390
OG0000239	Syac.g_01852	Pras.g_01402
OG0000240	Syac.g_01851	Pras.g_01403
OG0000241	Syac.g_00970	Pras.g_01407
OG0000242	Syac.g_01839	Pras.g_01409
OG0000243	Syac.g_01821	Pras.g_01420
OG0000244	Syac.g_01814	Pras.g_01423
OG0000245	Syac.g_01811	Pras.g_01425
OG0000246	Syac.g_01807	Pras.g_01429
OG0000247	Syac.g_01795	Pras.g_01439
OG0000248	Syac.g_01792	Pras.g_01441
OG0000249	Syac.g_01790	Pras.g_01443
OG0000250	Syac.g_01782	Pras.g_01448
OG0000251	Syac.g_01757	Pras.g_01467
OG0000252	Syac.g_01753	Pras.g_01470
OG0000253	Syac.g_01752	Pras.g_01471
OG0000254	Syac.g_00939	Pras.g_01487
OG0000255	Syac.g_00947	Pras.g_01493
OG0000256	Syac.g_00963	Pras.g_01503
OG0000257	Syac.g_00969	Pras.g_01506
OG0000258	Syac.g_00988	Pras.g_01519
OG0000259	Syac.g_01425	Pras.g_01536
OG0000260	Syac.g_01422	Pras.g_01539
OG0000261	Syac.g_01418	Pras.g_01541
OG0000262	Syac.g_01413	Pras.g_00327, Pras.g_01545
OG0000263	Syac.g_01497	Pras.g_01557
OG0000264	Syac.g_00915	Pras.g_01567
OG0000265	Syac.g_00673	Pras.g_01606
OG0000266	Syac.g_01271	Pras.g_01616
OG0000267	Syac.g_01131	Pras.g_01627
OG0000268	Syac.g_01132	Pras.g_01628
OG0000269	Syac.g_01346	Pras.g_01696
OG0000270	Syac.g_01343	Pras.g_01699
OG0000271	Syac.g_01335	Pras.g_01707
OG0000272	Syac.g_01334	Pras.g_01708
OG0000273	Syac.g_00854	Pras.g_01731
OG0000274	Syac.g_00853	Pras.g_01732
OG0000275	Syac.g_00848	Pras.g_01734
OG0000276	Syac.g_00840	Pras.g_01739
OG0000277	Syac.g_00839	Pras.g_01740
OG0000278	Syac.g_00836	Pras.g_01743
OG0000279	Syac.g_00828	Pras.g_01750
OG0000280	Syac.g_00814	Pras.g_01751
OG0000281	Syac.g_02158	Pras.g_01756
OG0000282	Syac.g_01392	Pras.g_01803
OG0000283	Syac.g_01142	Pras.g_01836
OG0000284	Syac.g_01148	Pras.g_01841
OG0000285	Syac.g_01160	Pras.g_01846
OG0000286	Syac.g_01181	Pras.g_01858
OG0000287	Syac.g_01692	Pras.g_01875
OG0000288	Syac.g_01240	Pras.g_01907
OG0000289	Syac.g_01254	Pras.g_01918
OG0000290	Syac.g_00881	Pras.g_01931
OG0000291	Syac.g_00883	Pras.g_01933
OG0000292	Syac.g_02487	Pras.g_01982
OG0000293	Syac.g_00754	Pras.g_00047
OG0000294	Syac.g_00755	Pras.g_00048
OG0000295	Syac.g_00796	Pras.g_00068
OG0000296	Syac.g_00798	Pras.g_00070
OG0000297	Syac.g_01475	Pras.g_00078
OG0000298	Syac.g_01476	Pras.g_00079
OG0000299	Syac.g_01503	Pras.g_00096, Pras.g_00097
OG0000300	Syac.g_01510	Pras.g_00100
OG0000301	Syac.g_01511	Pras.g_00101
OG0000302	Syac.g_01512	Pras.g_00103
OG0000303	Syac.g_01520	Pras.g_00110
OG0000304	Syac.g_01526	Pras.g_00114
OG0000305	Syac.g_00886	Pras.g_00242
OG0000306	Syac.g_00810	Pras.g_00245
OG0000307	Syac.g_01924	Pras.g_00259
OG0000308	Syac.g_01926	Pras.g_00260
OG0000309	Syac.g_01931	Pras.g_00264
OG0000310	Syac.g_01607	Pras.g_00335
OG0000311	Syac.g_01611	Pras.g_00337
OG0000312	Syac.g_01619	Pras.g_00340
OG0000313	Syac.g_01638	Pras.g_00354
OG0000314	Syac.g_01665	Pras.g_00377
OG0000315	Syac.g_01675	Pras.g_00388
OG0000316	Syac.g_00601	Pras.g_00410
OG0000317	Syac.g_00552	Pras.g_00548
OG0000318	Syac.g_00543	Pras.g_00551
OG0000319	Syac.g_00525	Pras.g_00564
OG0000320	Syac.g_00523	Pras.g_00566
OG0000321	Syac.g_00522	Pras.g_00567
OG0000322	Syac.g_00521	Pras.g_00568
OG0000323	Syac.g_00506	Pras.g_00577
OG0000324	Syac.g_00648	Pras.g_00604
OG0000325	Syac.g_02190	Pras.g_00614
OG0000326	Syac.g_02183	Pras.g_00620
OG0000327	Syac.g_02137	Pras.g_00646
OG0000328	Syac.g_02136	Pras.g_00647
OG0000329	Syac.g_02119	Pras.g_00664
OG0000330	Syac.g_02118	Pras.g_00665
OG0000331	Syac.g_02117	Pras.g_00666
OG0000332	Syac.g_02103	Pras.g_00680
OG0000333	Syac.g_02100	Pras.g_00682
OG0000334	Syac.g_02090	Pras.g_00690
OG0000335	Syac.g_02085	Pras.g_00695
OG0000336	Syac.g_02081	Pras.g_00699
OG0000337	Syac.g_00199	Pras.g_00715
OG0000338	Syac.g_00196	Pras.g_00716
OG0000339	Syac.g_00190	Pras.g_00720
OG0000340	Syac.g_00178	Pras.g_00728
OG0000341	Syac.g_00176	Pras.g_00730
OG0000342	Syac.g_00175	Pras.g_00731
OG0000343	Syac.g_00174	Pras.g_00732
OG0000344	Syac.g_00170	Pras.g_00735
OG0000345	Syac.g_00160	Pras.g_00740
OG0000346	Syac.g_00155	Pras.g_00744
OG0000347	Syac.g_00129	Pras.g_00761
OG0000348	Syac.g_00070, Syac.g_00074	Pras.g_00771
OG0000349	Syac.g_00050	Pras.g_00788
OG0000350	Syac.g_02176	Pras.g_00806, Pras.g_00131
OG0000351	Syac.g_02468	Pras.g_00824
OG0000352	Syac.g_02469	Pras.g_00825
OG0000353	Syac.g_02493	Pras.g_00841
OG0000355	Syac.g_00001	Pras.g_00843
OG0000356	Syac.g_00002	Pras.g_00844
OG0000357	Syac.g_00003	Pras.g_00845
OG0000358	Syac.g_00007	Pras.g_00849
OG0000359	Syac.g_00009	Pras.g_00850
OG0000360	Syac.g_00010	Pras.g_00851
OG0000361	Syac.g_00011	Pras.g_00852
OG0000362	Syac.g_00013	Pras.g_00854
OG0000363	Syac.g_00015	Pras.g_00856
OG0000364	Syac.g_00016	Pras.g_00857
OG0000365	Syac.g_00023	Pras.g_00862
OG0000366	Syac.g_00024	Pras.g_00863
OG0000367	Syac.g_00025	Pras.g_00864
OG0000368	Syac.g_00027	Pras.g_00866
OG0000369	Syac.g_00028	Pras.g_00867
OG0000370	Syac.g_00029	Pras.g_00868
OG0000371	Syac.g_00036	Pras.g_00874
OG0000372	Syac.g_00041	Pras.g_00877
OG0000373	Syac.g_00042	Pras.g_00878
OG0000374	Syac.g_00043	Pras.g_00879
OG0000375	Syac.g_00046	Pras.g_00893
OG0000376	Syac.g_00048	Pras.g_00895
OG0000377	Syac.g_02346	Pras.g_00898
OG0000378	Syac.g_02338	Pras.g_00900
OG0000379	Syac.g_02335	Pras.g_00903
OG0000380	Syac.g_00452	Pras.g_00918
OG0000381	Syac.g_00449	Pras.g_00922
OG0000382	Syac.g_00434	Pras.g_00932
OG0000383	Syac.g_00432	Pras.g_00934
OG0000384	Syac.g_00431	Pras.g_00935
OG0000385	Syac.g_00430	Pras.g_00936
OG0000386	Syac.g_00429	Pras.g_00937
OG0000387	Syac.g_00404	Pras.g_00950
OG0000388	Syac.g_00401	Pras.g_00953
OG0000389	Syac.g_00397	Pras.g_00957
OG0000390	Syac.g_00379	Pras.g_00964
OG0000391	Syac.g_00374	Pras.g_00967
OG0000392	Syac.g_00369	Pras.g_00971
OG0000393	Syac.g_00366	Pras.g_00973
OG0000394	Syac.g_00365	Pras.g_00974
OG0000395	Syac.g_00364	Pras.g_00975
OG0000396	Syac.g_00361	Pras.g_00978
OG0000397	Syac.g_00359	Pras.g_00980
OG0000398	Syac.g_00354	Pras.g_00982
OG0000399	Syac.g_00353	Pras.g_00983
