Orthogroup	Syac	Praj
OG0000001	Syac.g_02154	Praj.g_01549, Praj.g_01828, Praj.g_00463, Praj.g_01861, Praj.g_01112
OG0000002	Syac.g_01084	Praj.g_00832, Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487, Praj.g_01492, Praj.g_00670
OG0000004	Syac.g_00898	Praj.g_01396
OG0000004	Syac.g_00948, Syac.g_01975	Praj.g_00271
OG0000005	Syac.g_00527	Praj.g_01349
OG0000005	Syac.g_00569	Praj.g_01712
OG0000006	Syac.g_01958, Syac.g_01961, Syac.g_02194	Praj.g_00282, Praj.g_01281, Praj.g_01505
OG0000007	Syac.g_01885	Praj.g_00489
OG0000007	Syac.g_00544	Praj.g_01768
OG0000008	Syac.g_00921	Praj.g_01829
OG0000008	Syac.g_00922	Praj.g_01830
OG0000010	Syac.g_01701	Praj.g_01026, Praj.g_00466
OG0000013	Syac.g_02046, Syac.g_02062, Syac.g_02056	Praj.g_00362
OG0000014	Syac.g_00253	Praj.g_00341
OG0000015	Syac.g_01408	Praj.g_01113
OG0000016	Syac.g_00014	Praj.g_00013
OG0000016	Syac.g_01505, Syac.g_01053	Praj.g_01865
OG0000017	Syac.g_01749	Praj.g_00592
OG0000018	Syac.g_01660	Praj.g_01482, Praj.g_00798
OG0000019	Syac.g_02207	Praj.g_00747
OG0000022	Syac.g_01031	Praj.g_01189, Praj.g_01216
OG0000023	Syac.g_00760	Praj.g_01365, Praj.g_01329
OG0000024	Syac.g_00925	Praj.g_01134, Praj.g_00666
OG0000025	Syac.g_00847	Praj.g_00805
OG0000026	Syac.g_00034	Praj.g_00031
OG0000027	Syac.g_01095	Praj.g_01331
OG0000028	Syac.g_00237	Praj.g_01571
OG0000029	Syac.g_01942	Praj.g_01745
OG0000030	Syac.g_00143, Syac.g_00142	Praj.g_02024
OG0000032	Syac.g_01677	Praj.g_01669
OG0000033	Syac.g_00304	Praj.g_00209
OG0000034	Syac.g_00334, Syac.g_00715	Praj.g_01538
OG0000035	Syac.g_01630	Praj.g_01632
OG0000037	Syac.g_01077	Praj.g_00147
OG0000038	Syac.g_02357, Syac.g_02358	Praj.g_02089
OG0000039	Syac.g_00856, Syac.g_02378	Praj.g_00679
OG0000040	Syac.g_01006	Praj.g_01844, Praj.g_01735
OG0000041	Syac.g_00655	Praj.g_01813
OG0000042	Syac.g_00146	Praj.g_02020
OG0000043	Syac.g_01100	Praj.g_01157
OG0000045	Syac.g_00576	Praj.g_01303
OG0000045	Syac.g_01040	Praj.g_01049
OG0000046	Syac.g_02063, Syac.g_02055, Syac.g_02047	Praj.g_00363
OG0000047	Syac.g_02031	Praj.g_00408, Praj.g_00370
OG0000048	Syac.g_02240	Praj.g_00308
OG0000051	Syac.g_01292	Praj.g_01347
OG0000053	Syac.g_01657	Praj.g_01651
OG0000054	Syac.g_00933	Praj.g_00594
OG0000055	Syac.g_00859	Praj.g_00733
OG0000055	Syac.g_01034	Praj.g_01842
OG0000057	Syac.g_00894	Praj.g_00691, Praj.g_01313
OG0000058	Syac.g_00226	Praj.g_00839
OG0000059	Syac.g_02142	Praj.g_01892
OG0000061	Syac.g_00769	Praj.g_01461
OG0000063	Syac.g_00037	Praj.g_01867
OG0000065	Syac.g_00490, Syac.g_00396	Praj.g_00145
OG0000066	Syac.g_01827	Praj.g_00530
OG0000067	Syac.g_01341	Praj.g_00769
OG0000068	Syac.g_01916	Praj.g_01575
OG0000069	Syac.g_01272	Praj.g_01276, Praj.g_01675
OG0000070	Syac.g_00711	Praj.g_00444
OG0000071	Syac.g_00729	Praj.g_01528
OG0000072	Syac.g_00302	Praj.g_00211
OG0000073	Syac.g_01883	Praj.g_00491
OG0000075	Syac.g_00191	Praj.g_01987
OG0000076	Syac.g_00156	Praj.g_02012
OG0000077	Syac.g_00439	Praj.g_00116
OG0000079	Syac.g_02211	Praj.g_00291
OG0000081	Syac.g_01954	Praj.g_00522
OG0000082	Syac.g_01766	Praj.g_01827
OG0000084	Syac.g_01627	Praj.g_01628
OG0000085	Syac.g_00560	Praj.g_01762
OG0000086	Syac.g_00423	Praj.g_00126
OG0000087	Syac.g_00343	Praj.g_00179
OG0000088	Syac.g_00308	Praj.g_00206
OG0000089	Syac.g_01988, Syac.g_01543	Praj.g_00403
