Orthogroup	Syac	Prbh
OG0000001	Syac.g_02154	Prbh.g_00001, Prbh.g_00863
OG0000002	Syac.g_01084	Prbh.g_01016, Prbh.g_01022, Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317, Prbh.g_00199, Prbh.g_00912
OG0000004	Syac.g_00898	Prbh.g_00933
OG0000004	Syac.g_00948, Syac.g_01975	Prbh.g_00548
OG0000005	Syac.g_00569	Prbh.g_00182
OG0000006	Syac.g_01958, Syac.g_01961, Syac.g_02194	Prbh.g_00538
OG0000007	Syac.g_01885	Prbh.g_00334
OG0000007	Syac.g_00544	Prbh.g_01782
OG0000008	Syac.g_00921	Prbh.g_01406
OG0000008	Syac.g_00922	Prbh.g_01405
OG0000010	Syac.g_01701	Prbh.g_00848, Prbh.g_01143, Prbh.g_00357
OG0000012	Syac.g_00955	Prbh.g_01460
OG0000013	Syac.g_02046, Syac.g_02062, Syac.g_02056	Prbh.g_00452
OG0000014	Syac.g_00253	Prbh.g_00472
OG0000015	Syac.g_01408	Prbh.g_00840, Prbh.g_01869
OG0000016	Syac.g_01505, Syac.g_01053	Prbh.g_01336
OG0000017	Syac.g_01742	Prbh.g_00225
OG0000017	Syac.g_01749	Prbh.g_00232
OG0000018	Syac.g_01660	Prbh.g_01305, Prbh.g_00981
OG0000019	Syac.g_02207	Prbh.g_00530, Prbh.g_01307
OG0000022	Syac.g_01031	Prbh.g_00190
OG0000023	Syac.g_00760	Prbh.g_00833
OG0000024	Syac.g_00925	Prbh.g_01147, Prbh.g_00909
OG0000025	Syac.g_00847	Prbh.g_00988
OG0000026	Syac.g_00034	Prbh.g_00749
OG0000028	Syac.g_00237	Prbh.g_00459, Prbh.g_00404
OG0000029	Syac.g_01942	Prbh.g_01691, Prbh.g_01885
OG0000030	Syac.g_00143, Syac.g_00142	Prbh.g_01570
OG0000031	Syac.g_00232	Prbh.g_00064
OG0000032	Syac.g_01677	Prbh.g_00138
OG0000033	Syac.g_00304	Prbh.g_00613
OG0000034	Syac.g_00334, Syac.g_00715	Prbh.g_01383
OG0000035	Syac.g_01630	Prbh.g_00099, Prbh.g_00096
OG0000037	Syac.g_01077	Prbh.g_00674
OG0000038	Syac.g_02357, Syac.g_02358	Prbh.g_01530
OG0000039	Syac.g_00856, Syac.g_02378	Prbh.g_00921
OG0000040	Syac.g_01006	Prbh.g_01815
OG0000041	Syac.g_00655	Prbh.g_01734
OG0000042	Syac.g_00146	Prbh.g_01573
OG0000045	Syac.g_01040	Prbh.g_01327
OG0000046	Syac.g_02063, Syac.g_02055, Syac.g_02047	Prbh.g_00451
OG0000047	Syac.g_02031	Prbh.g_00408
OG0000048	Syac.g_02240	Prbh.g_00508
OG0000052	Syac.g_00207	Prbh.g_00041
OG0000053	Syac.g_01657	Prbh.g_01834, Prbh.g_00120
OG0000054	Syac.g_00933	Prbh.g_00223
OG0000055	Syac.g_00859	Prbh.g_01332
OG0000055	Syac.g_01034	Prbh.g_01797
OG0000057	Syac.g_00894	Prbh.g_00936
OG0000058	Syac.g_00226	Prbh.g_00030
OG0000059	Syac.g_02142	Prbh.g_01695
OG0000061	Syac.g_00769	Prbh.g_01283
OG0000062	Syac.g_00567	Prbh.g_00184
OG0000063	Syac.g_00037	Prbh.g_01401
OG0000064	Syac.g_01567, Syac.g_00575	Prbh.g_00715
OG0000065	Syac.g_00490, Syac.g_00396	Prbh.g_00676
OG0000066	Syac.g_01827	Prbh.g_01856
OG0000067	Syac.g_01341	Prbh.g_00953
OG0000068	Syac.g_01916	Prbh.g_00009
OG0000069	Syac.g_01272	Prbh.g_00376
OG0000070	Syac.g_00711	Prbh.g_00382
OG0000071	Syac.g_00729	Prbh.g_01373
OG0000072	Syac.g_00302	Prbh.g_00611
OG0000073	Syac.g_01883	Prbh.g_00330
OG0000075	Syac.g_00191	Prbh.g_01607
OG0000076	Syac.g_00156	Prbh.g_01581
