Orthogroup	Syac	Prap
OG0000001	Syac.g_02154	Prap.g_01925, Prap.g_00653
OG0000002	Syac.g_01084	Prap.g_00720, Prap.g_00715, Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491, Prap.g_00224, Prap.g_00823
OG0000004	Syac.g_00898	Prap.g_00802
OG0000004	Syac.g_00948, Syac.g_01975	Prap.g_01480
OG0000005	Syac.g_00569	Prap.g_00204
OG0000006	Syac.g_01958, Syac.g_01961, Syac.g_02194	Prap.g_01470
OG0000007	Syac.g_01885	Prap.g_01270
OG0000007	Syac.g_00544	Prap.g_01779
OG0000008	Syac.g_00921	Prap.g_01888
OG0000008	Syac.g_00922	Prap.g_01887
OG0000010	Syac.g_01701	Prap.g_00669, Prap.g_00318, Prap.g_01293
OG0000012	Syac.g_00955	Prap.g_01145
OG0000013	Syac.g_02046, Syac.g_02062, Syac.g_02056	Prap.g_01385
OG0000014	Syac.g_00253	Prap.g_01403
OG0000015	Syac.g_01408	Prap.g_01840, Prap.g_01794
OG0000016	Syac.g_01505, Syac.g_01053	Prap.g_00514
OG0000017	Syac.g_01742	Prap.g_01163
OG0000017	Syac.g_01749	Prap.g_01170
OG0000018	Syac.g_01660	Prap.g_00478, Prap.g_00755
OG0000019	Syac.g_02207	Prap.g_01462, Prap.g_00480
OG0000022	Syac.g_01031	Prap.g_00212
OG0000023	Syac.g_00760	Prap.g_00029
OG0000024	Syac.g_00925	Prap.g_00322, Prap.g_00826
OG0000025	Syac.g_00847	Prap.g_00747
OG0000026	Syac.g_00034	Prap.g_00923
OG0000027	Syac.g_01095	Prap.g_01860, Prap.g_01912
OG0000028	Syac.g_00237	Prap.g_01889
OG0000029	Syac.g_01942	Prap.g_01688, Prap.g_01899, Prap.g_01848
OG0000030	Syac.g_00143, Syac.g_00142	Prap.g_01569
OG0000032	Syac.g_01677	Prap.g_00160
OG0000033	Syac.g_00304	Prap.g_01001
OG0000034	Syac.g_00334, Syac.g_00715	Prap.g_00572
OG0000035	Syac.g_01630	Prap.g_00121
OG0000037	Syac.g_01077	Prap.g_01067
OG0000038	Syac.g_02357, Syac.g_02358	Prap.g_01530
OG0000039	Syac.g_00856, Syac.g_02378	Prap.g_00814
OG0000041	Syac.g_00655	Prap.g_01731
OG0000042	Syac.g_00146	Prap.g_01572
OG0000045	Syac.g_01040	Prap.g_00500
OG0000046	Syac.g_02063, Syac.g_02055, Syac.g_02047	Prap.g_01384
OG0000047	Syac.g_02031	Prap.g_01343
OG0000048	Syac.g_02240	Prap.g_00548, Prap.g_01439
OG0000052	Syac.g_00207	Prap.g_00099
OG0000053	Syac.g_01657	Prap.g_01834, Prap.g_00142
OG0000054	Syac.g_00933	Prap.g_01161
OG0000055	Syac.g_00859	Prap.g_00505
OG0000055	Syac.g_01034	Prap.g_01805
OG0000057	Syac.g_00894	Prap.g_00799
OG0000058	Syac.g_00226	Prap.g_00081
OG0000059	Syac.g_02142	Prap.g_01691
OG0000061	Syac.g_00769	Prap.g_00456
OG0000062	Syac.g_00567	Prap.g_00206
OG0000063	Syac.g_00037	Prap.g_01903
OG0000064	Syac.g_01567, Syac.g_00575	Prap.g_00883
OG0000065	Syac.g_00490, Syac.g_00396	Prap.g_01069
OG0000066	Syac.g_01827	Prap.g_01230, Prap.g_01867
OG0000067	Syac.g_01341	Prap.g_00783
OG0000068	Syac.g_01916	Prap.g_00059
OG0000069	Syac.g_01272	Prap.g_01312
OG0000070	Syac.g_00711	Prap.g_01316
OG0000071	Syac.g_00729	Prap.g_00561
OG0000072	Syac.g_00302	Prap.g_00999
OG0000073	Syac.g_01883	Prap.g_01267
OG0000075	Syac.g_00191	Prap.g_01606
OG0000076	Syac.g_00156	Prap.g_01580
OG0000077	Syac.g_00439	Prap.g_01099
