Orthogroup	Syac	Prbd
OG0000001	Syac.g_02154	Prbd.g_01779, Prbd.g_01930
OG0000002	Syac.g_01084	Prbd.g_01771, Prbd.g_00566
OG0000004	Syac.g_00898	Prbd.g_00549
OG0000004	Syac.g_00948, Syac.g_01975	Prbd.g_01007
OG0000005	Syac.g_00527	Prbd.g_01512
OG0000005	Syac.g_00569	Prbd.g_01612
OG0000006	Syac.g_01958, Syac.g_01961, Syac.g_02194	Prbd.g_00998
OG0000007	Syac.g_01885	Prbd.g_00745
OG0000007	Syac.g_00544	Prbd.g_01525
OG0000009	Syac.g_01004, Syac.g_00398	Prbd.g_01139
OG0000010	Syac.g_01701	Prbd.g_00348, Prbd.g_00768
OG0000012	Syac.g_00758, Syac.g_01577, Syac.g_00955	Prbd.g_00621
OG0000013	Syac.g_02046, Syac.g_02062, Syac.g_02056	Prbd.g_00912
OG0000014	Syac.g_00253	Prbd.g_00933
OG0000015	Syac.g_01408	Prbd.g_00065, Prbd.g_00826
OG0000016	Syac.g_00014	Prbd.g_01224
OG0000017	Syac.g_01749	Prbd.g_00646
OG0000018	Syac.g_01660	Prbd.g_00449, Prbd.g_00129
OG0000019	Syac.g_02207	Prbd.g_00990, Prbd.g_00082
OG0000022	Syac.g_01031	Prbd.g_00061, Prbd.g_00423
OG0000023	Syac.g_00760	Prbd.g_00879
OG0000024	Syac.g_00925	Prbd.g_00045, Prbd.g_00569
OG0000025	Syac.g_00847	Prbd.g_00137, Prbd.g_00908
OG0000026	Syac.g_00034	Prbd.g_01206, Prbd.g_00355
OG0000027	Syac.g_01095	Prbd.g_00772, Prbd.g_01832
OG0000028	Syac.g_00237	Prbd.g_00919, Prbd.g_01864
OG0000029	Syac.g_01942	Prbd.g_00863, Prbd.g_00052
OG0000030	Syac.g_00143, Syac.g_00142	Prbd.g_01325
OG0000033	Syac.g_00304	Prbd.g_01071
OG0000034	Syac.g_00334, Syac.g_00715	Prbd.g_01791
OG0000035	Syac.g_01630	Prbd.g_01689
OG0000037	Syac.g_01077	Prbd.g_01135
OG0000038	Syac.g_02357, Syac.g_02358	Prbd.g_01283
OG0000039	Syac.g_00856, Syac.g_02378	Prbd.g_00558
OG0000040	Syac.g_01006	Prbd.g_01550
OG0000041	Syac.g_00655	Prbd.g_01478
OG0000042	Syac.g_00146	Prbd.g_01328
OG0000043	Syac.g_01100	Prbd.g_01891
OG0000045	Syac.g_01040	Prbd.g_00867
OG0000047	Syac.g_02031	Prbd.g_00909
OG0000048	Syac.g_02240	Prbd.g_00439, Prbd.g_00864
OG0000051	Syac.g_01292	Prbd.g_01544
OG0000053	Syac.g_01657	Prbd.g_01669
OG0000054	Syac.g_00933	Prbd.g_00638
OG0000055	Syac.g_00859	Prbd.g_00083
OG0000057	Syac.g_00894	Prbd.g_00546
OG0000058	Syac.g_00226	Prbd.g_01733
OG0000059	Syac.g_02142	Prbd.g_01439
OG0000061	Syac.g_00769	Prbd.g_00468
OG0000063	Syac.g_00037	Prbd.g_01204
OG0000065	Syac.g_00490, Syac.g_00396	Prbd.g_01137
OG0000066	Syac.g_01827	Prbd.g_00703
OG0000067	Syac.g_01341	Prbd.g_00102
OG0000068	Syac.g_01916	Prbd.g_01764
OG0000069	Syac.g_01272	Prbd.g_01575
OG0000070	Syac.g_00711	Prbd.g_00792
OG0000071	Syac.g_00729	Prbd.g_01801
OG0000072	Syac.g_00302	Prbd.g_01069
OG0000073	Syac.g_01883	Prbd.g_00743
OG0000075	Syac.g_00191	Prbd.g_01359
OG0000076	Syac.g_00156	Prbd.g_01335
OG0000077	Syac.g_00439	Prbd.g_01166
OG0000079	Syac.g_02211	Prbd.g_00987
OG0000081	Syac.g_01954	Prbd.g_00711
OG0000082	Syac.g_01766	Prbd.g_00658
OG0000084	Syac.g_01627	Prbd.g_01693
OG0000085	Syac.g_00560	Prbd.g_01532
OG0000086	Syac.g_00423	Prbd.g_01156
OG0000087	Syac.g_00343	Prbd.g_01104, Prbd.g_01103
OG0000088	Syac.g_00308	Prbd.g_01074
OG0000089	Syac.g_01988, Syac.g_01543	Prbd.g_00883
OG0000090	Syac.g_01836	Prbd.g_00709
OG0000091	Syac.g_00987	Prbd.g_00602
OG0000094	Syac.g_01251	Prbd.g_00321
OG0000097	Syac.g_01507	Prbd.g_00509
OG0000098	Syac.g_02157	Prbd.g_01782
OG0000099	Syac.g_00234	Prbd.g_01734
OG0000100	Syac.g_01309	Prbd.g_01614
OG0000101	Syac.g_02094	Prbd.g_01391
OG0000102	Syac.g_00151	Prbd.g_01330
OG0000103	Syac.g_02476	Prbd.g_01250
OG0000104	Syac.g_02490	Prbd.g_01241
OG0000105	Syac.g_02245	Prbd.g_00965
OG0000106	Syac.g_01098	Prbd.g_00868
OG0000107	Syac.g_02191	Prbd.g_00852
OG0000108	Syac.g_01904	Prbd.g_00762
OG0000109	Syac.g_01889	Prbd.g_00748
OG0000110	Syac.g_01778	Prbd.g_00668
OG0000112	Syac.g_01173	Prbd.g_00066
OG0000113	Syac.g_01314	Prbd.g_00124
OG0000114	Syac.g_01394	Prbd.g_00206
OG0000115	Syac.g_01655	Prbd.g_00401
OG0000116	Syac.g_00753	Prbd.g_00458
OG0000117	Syac.g_01477	Prbd.g_01895
OG0000118	Syac.g_01728	Prbd.g_01789
OG0000120	Syac.g_00233	Prbd.g_01737
OG0000121	Syac.g_01635	Prbd.g_01687
OG0000122	Syac.g_01013	Prbd.g_01649
OG0000123	Syac.g_02086	Prbd.g_01384
OG0000124	Syac.g_00135	Prbd.g_01318
OG0000125	Syac.g_02360	Prbd.g_01281
OG0000126	Syac.g_02488	Prbd.g_01242
OG0000128	Syac.g_00012	Prbd.g_01226
OG0000129	Syac.g_02349	Prbd.g_01194
OG0000130	Syac.g_00450	Prbd.g_01175
OG0000131	Syac.g_00330	Prbd.g_01095
OG0000132	Syac.g_00310	Prbd.g_01076
OG0000133	Syac.g_01178	Prbd.g_00917
OG0000134	Syac.g_01985	Prbd.g_00882
OG0000135	Syac.g_02398	Prbd.g_00855
OG0000136	Syac.g_00701	Prbd.g_01722, Prbd.g_00801
OG0000137	Syac.g_01700	Prbd.g_00767
OG0000138	Syac.g_01888	Prbd.g_00747
OG0000139	Syac.g_01830	Prbd.g_00705
OG0000140	Syac.g_01829	Prbd.g_00704
OG0000141	Syac.g_00934	Prbd.g_00637
OG0000142	Syac.g_00979	Prbd.g_00609
OG0000143	Syac.g_00983	Prbd.g_00605
OG0000144	Syac.g_01090	Prbd.g_00592
OG0000145	Syac.g_01882	Prbd.g_00062
OG0000146	Syac.g_01172	Prbd.g_00067
OG0000147	Syac.g_01171	Prbd.g_00068
OG0000148	Syac.g_01320	Prbd.g_00118
OG0000149	Syac.g_00832	Prbd.g_00149
OG0000150	Syac.g_00935	Prbd.g_00157
OG0000151	Syac.g_01383	Prbd.g_00216
OG0000152	Syac.g_01182	Prbd.g_00264
OG0000153	Syac.g_01217	Prbd.g_00283
OG0000154	Syac.g_01241	Prbd.g_00314
OG0000155	Syac.g_00804	Prbd.g_00488
OG0000156	Syac.g_00743	Prbd.g_01812
OG0000157	Syac.g_00742	Prbd.g_01811
OG0000158	Syac.g_00182	Prbd.g_01736
OG0000160	Syac.g_01633	Prbd.g_01688
OG0000161	Syac.g_01641	Prbd.g_01682
OG0000162	Syac.g_01648	Prbd.g_01676
OG0000163	Syac.g_00619	Prbd.g_01642
OG0000164	Syac.g_00508	Prbd.g_01501
OG0000165	Syac.g_00674	Prbd.g_01494
OG0000166	Syac.g_02132	Prbd.g_01427
OG0000167	Syac.g_00194	Prbd.g_01361
OG0000168	Syac.g_00179	Prbd.g_01351
OG0000169	Syac.g_00168	Prbd.g_01341
OG0000170	Syac.g_00161	Prbd.g_01339
OG0000171	Syac.g_00136	Prbd.g_01319
OG0000172	Syac.g_00084	Prbd.g_01310
OG0000173	Syac.g_00057	Prbd.g_01295
OG0000174	Syac.g_02401	Prbd.g_01268
OG0000175	Syac.g_02465	Prbd.g_01258
OG0000176	Syac.g_00004	Prbd.g_01233
OG0000177	Syac.g_00005	Prbd.g_01232
OG0000178	Syac.g_00006	Prbd.g_01231
OG0000179	Syac.g_00019	Prbd.g_01221
OG0000180	Syac.g_00020	Prbd.g_01220
OG0000181	Syac.g_00021	Prbd.g_01219
OG0000182	Syac.g_00022	Prbd.g_01218
OG0000183	Syac.g_00026	Prbd.g_01214
OG0000184	Syac.g_02339	Prbd.g_01191
OG0000185	Syac.g_02336	Prbd.g_01188
OG0000186	Syac.g_00454	Prbd.g_01180
OG0000187	Syac.g_00453	Prbd.g_01179
OG0000188	Syac.g_00433	Prbd.g_01162
OG0000189	Syac.g_00408	Prbd.g_01148
OG0000190	Syac.g_00406	Prbd.g_01147
OG0000191	Syac.g_00373	Prbd.g_01126
OG0000192	Syac.g_00368	Prbd.g_01122
OG0000193	Syac.g_00329	Prbd.g_01094
OG0000194	Syac.g_00326	Prbd.g_01091
OG0000195	Syac.g_00324	Prbd.g_01089
OG0000196	Syac.g_00313	Prbd.g_01079
OG0000197	Syac.g_00312	Prbd.g_01078
OG0000198	Syac.g_00311	Prbd.g_01077
OG0000199	Syac.g_00303	Prbd.g_01070
OG0000200	Syac.g_02261	Prbd.g_01056
OG0000202	Syac.g_02279	Prbd.g_01047
OG0000203	Syac.g_02280	Prbd.g_01046
OG0000204	Syac.g_02281	Prbd.g_01045
OG0000205	Syac.g_02288	Prbd.g_01038
OG0000206	Syac.g_02297	Prbd.g_01033
OG0000207	Syac.g_02300	Prbd.g_01031
OG0000208	Syac.g_02301	Prbd.g_01030
OG0000209	Syac.g_02316	Prbd.g_01021
OG0000210	Syac.g_02317	Prbd.g_01020
OG0000212	Syac.g_01963	Prbd.g_00999
OG0000213	Syac.g_02219	Prbd.g_00982
OG0000214	Syac.g_02236	Prbd.g_00972
OG0000215	Syac.g_00281	Prbd.g_00947
OG0000216	Syac.g_00277	Prbd.g_00945
OG0000217	Syac.g_00273	Prbd.g_00942
OG0000218	Syac.g_00271	Prbd.g_00940
OG0000219	Syac.g_00270	Prbd.g_00939
OG0000220	Syac.g_00269	Prbd.g_00938
OG0000221	Syac.g_00261	Prbd.g_00937
OG0000222	Syac.g_00247	Prbd.g_00929
OG0000223	Syac.g_00225	Prbd.g_00916
OG0000224	Syac.g_00217	Prbd.g_00914
OG0000225	Syac.g_02004	Prbd.g_00893
OG0000226	Syac.g_02000	Prbd.g_00889
OG0000227	Syac.g_01998	Prbd.g_00887
OG0000228	Syac.g_01989	Prbd.g_00884
OG0000229	Syac.g_00692	Prbd.g_00806
OG0000230	Syac.g_00694	Prbd.g_00804
OG0000231	Syac.g_00710	Prbd.g_00793
OG0000232	Syac.g_01717	Prbd.g_00784
OG0000233	Syac.g_01713	Prbd.g_00779
OG0000234	Syac.g_01699	Prbd.g_00766
OG0000235	Syac.g_01905	Prbd.g_00763
OG0000236	Syac.g_01890	Prbd.g_00749
OG0000237	Syac.g_01873	Prbd.g_00736
OG0000238	Syac.g_01868	Prbd.g_00730
OG0000239	Syac.g_01852	Prbd.g_00717
OG0000240	Syac.g_01851	Prbd.g_00716
OG0000241	Syac.g_00970	Prbd.g_00712
OG0000242	Syac.g_01839	Prbd.g_00710
OG0000243	Syac.g_01821	Prbd.g_00699
OG0000244	Syac.g_01814	Prbd.g_00696
OG0000245	Syac.g_01811	Prbd.g_00694
OG0000246	Syac.g_01807	Prbd.g_00690
OG0000247	Syac.g_01795	Prbd.g_00680
OG0000248	Syac.g_01792	Prbd.g_00678
OG0000249	Syac.g_01790	Prbd.g_00676
OG0000250	Syac.g_01782	Prbd.g_00671
OG0000251	Syac.g_01757	Prbd.g_00653
OG0000252	Syac.g_01753	Prbd.g_00650
OG0000253	Syac.g_01752	Prbd.g_00649
OG0000254	Syac.g_00939	Prbd.g_00633
OG0000255	Syac.g_00947	Prbd.g_00627
OG0000256	Syac.g_00963	Prbd.g_00617
OG0000257	Syac.g_00969	Prbd.g_00614
OG0000258	Syac.g_00988	Prbd.g_00601
OG0000259	Syac.g_01425	Prbd.g_00584
OG0000260	Syac.g_01422	Prbd.g_00581
OG0000261	Syac.g_01418	Prbd.g_00579
OG0000262	Syac.g_01413	Prbd.g_00575
OG0000263	Syac.g_01497	Prbd.g_00563
OG0000264	Syac.g_00915	Prbd.g_00553
OG0000265	Syac.g_00673	Prbd.g_00007
OG0000266	Syac.g_01271	Prbd.g_00017
OG0000267	Syac.g_01131	Prbd.g_00028
OG0000268	Syac.g_01132	Prbd.g_00029
OG0000269	Syac.g_01346	Prbd.g_00097
OG0000270	Syac.g_01343	Prbd.g_00100
OG0000271	Syac.g_01335	Prbd.g_00108
OG0000272	Syac.g_01334	Prbd.g_00109
OG0000273	Syac.g_00854	Prbd.g_00132
OG0000274	Syac.g_00853	Prbd.g_00133
OG0000275	Syac.g_00848	Prbd.g_00136
OG0000276	Syac.g_00840	Prbd.g_00141
OG0000277	Syac.g_00839	Prbd.g_00142
OG0000278	Syac.g_00836	Prbd.g_00145
OG0000279	Syac.g_00828	Prbd.g_00152
OG0000280	Syac.g_00814	Prbd.g_00153
OG0000281	Syac.g_02158	Prbd.g_00158
OG0000282	Syac.g_01392	Prbd.g_00208
OG0000283	Syac.g_01142	Prbd.g_00241
OG0000284	Syac.g_01148	Prbd.g_00246
OG0000285	Syac.g_01160	Prbd.g_00251
OG0000286	Syac.g_01181	Prbd.g_00263
OG0000287	Syac.g_01692	Prbd.g_00280
OG0000288	Syac.g_01240	Prbd.g_00313
OG0000289	Syac.g_01254	Prbd.g_00324
OG0000290	Syac.g_00881	Prbd.g_00337
OG0000291	Syac.g_00883	Prbd.g_00339
OG0000292	Syac.g_02487	Prbd.g_00389
OG0000293	Syac.g_00754	Prbd.g_00459
OG0000294	Syac.g_00755	Prbd.g_00460
OG0000295	Syac.g_00796	Prbd.g_00480
OG0000296	Syac.g_00798	Prbd.g_00482
OG0000297	Syac.g_01475	Prbd.g_00490
OG0000298	Syac.g_01476	Prbd.g_00491
OG0000299	Syac.g_01503	Prbd.g_00508
OG0000300	Syac.g_01510	Prbd.g_00511
OG0000301	Syac.g_01511	Prbd.g_00512
OG0000302	Syac.g_01512	Prbd.g_00514
OG0000303	Syac.g_01520	Prbd.g_00521
OG0000304	Syac.g_01526	Prbd.g_00525
OG0000305	Syac.g_00886	Prbd.g_01772
OG0000306	Syac.g_00810	Prbd.g_01769
OG0000307	Syac.g_01924	Prbd.g_01755
OG0000308	Syac.g_01926	Prbd.g_01754
OG0000309	Syac.g_01931	Prbd.g_01750
OG0000310	Syac.g_01607	Prbd.g_01704
OG0000311	Syac.g_01611	Prbd.g_01702
OG0000312	Syac.g_01619	Prbd.g_01699
OG0000313	Syac.g_01638	Prbd.g_01685
OG0000314	Syac.g_01665	Prbd.g_01662
OG0000315	Syac.g_01675	Prbd.g_01652
OG0000316	Syac.g_00601	Prbd.g_01632
OG0000317	Syac.g_00552	Prbd.g_01527
OG0000318	Syac.g_00543	Prbd.g_01524
OG0000319	Syac.g_00525	Prbd.g_01511
OG0000320	Syac.g_00523	Prbd.g_01509
OG0000321	Syac.g_00522	Prbd.g_01508
OG0000322	Syac.g_00521	Prbd.g_01507
OG0000323	Syac.g_00506	Prbd.g_01498
OG0000324	Syac.g_00648	Prbd.g_01471
OG0000325	Syac.g_02190	Prbd.g_01462
OG0000326	Syac.g_02183	Prbd.g_01456
OG0000327	Syac.g_02137	Prbd.g_01432
OG0000328	Syac.g_02136	Prbd.g_01431
OG0000329	Syac.g_02119	Prbd.g_01414
OG0000330	Syac.g_02118	Prbd.g_01413
OG0000331	Syac.g_02117	Prbd.g_01412
OG0000332	Syac.g_02103	Prbd.g_01398
OG0000333	Syac.g_02100	Prbd.g_01396
OG0000334	Syac.g_02090	Prbd.g_01388
OG0000335	Syac.g_02085	Prbd.g_01383
OG0000336	Syac.g_02081	Prbd.g_01379
OG0000337	Syac.g_00199	Prbd.g_01363
OG0000338	Syac.g_00196	Prbd.g_01362
OG0000339	Syac.g_00190	Prbd.g_01358
OG0000340	Syac.g_00178	Prbd.g_01350
OG0000341	Syac.g_00176	Prbd.g_01348
OG0000342	Syac.g_00175	Prbd.g_01347
OG0000343	Syac.g_00174	Prbd.g_01346
OG0000344	Syac.g_00170	Prbd.g_01343
OG0000345	Syac.g_00160	Prbd.g_01338
OG0000346	Syac.g_00155	Prbd.g_01334
OG0000347	Syac.g_00129	Prbd.g_01317
OG0000348	Syac.g_00070, Syac.g_00074	Prbd.g_01307
OG0000349	Syac.g_00050	Prbd.g_01290
OG0000350	Syac.g_02176	Prbd.g_01272
OG0000351	Syac.g_02468	Prbd.g_01255
OG0000352	Syac.g_02469	Prbd.g_01254
OG0000353	Syac.g_02493	Prbd.g_01238
OG0000355	Syac.g_00001	Prbd.g_01236
OG0000356	Syac.g_00002	Prbd.g_01235
OG0000357	Syac.g_00003	Prbd.g_01234
OG0000358	Syac.g_00007	Prbd.g_01230
OG0000359	Syac.g_00009	Prbd.g_01229
OG0000360	Syac.g_00010	Prbd.g_01228
OG0000361	Syac.g_00011	Prbd.g_01227
OG0000362	Syac.g_00013	Prbd.g_01225
OG0000363	Syac.g_00015	Prbd.g_01223
OG0000364	Syac.g_00016	Prbd.g_01222
OG0000365	Syac.g_00023	Prbd.g_01217
OG0000366	Syac.g_00024	Prbd.g_01216
OG0000367	Syac.g_00025	Prbd.g_01215
OG0000368	Syac.g_00027	Prbd.g_01213
OG0000369	Syac.g_00028	Prbd.g_01212
OG0000370	Syac.g_00029	Prbd.g_01211
OG0000371	Syac.g_00036	Prbd.g_01205
OG0000372	Syac.g_00041	Prbd.g_01202
OG0000373	Syac.g_00042	Prbd.g_01201
OG0000374	Syac.g_00043	Prbd.g_01200
OG0000375	Syac.g_00046	Prbd.g_01198
OG0000376	Syac.g_00048	Prbd.g_01196
OG0000377	Syac.g_02346	Prbd.g_01192
OG0000378	Syac.g_02338	Prbd.g_01190
OG0000379	Syac.g_02335	Prbd.g_01187
OG0000380	Syac.g_00452	Prbd.g_01178
OG0000381	Syac.g_00449	Prbd.g_01174
OG0000382	Syac.g_00434	Prbd.g_01163
OG0000383	Syac.g_00432	Prbd.g_01161
OG0000384	Syac.g_00431	Prbd.g_01160
OG0000385	Syac.g_00430	Prbd.g_01159
OG0000386	Syac.g_00429	Prbd.g_01158
