Orthogroup	Syac	Syam
OG0000001	Syac.g_02154	Syam.g_00946
OG0000001	Syac.g_02169	Syam.g_00929
OG0000002	Syac.g_01084	Syam.g_00931
OG0000004	Syac.g_00898	Syam.g_00787
OG0000004	Syac.g_00948	Syam.g_01499
OG0000004	Syac.g_01975	Syam.g_00501
OG0000005	Syac.g_00527	Syam.g_02004
OG0000005	Syac.g_00569	Syam.g_01970
OG0000005	Syac.g_01087	Syam.g_00715, Syam.g_01029
OG0000006	Syac.g_01958, Syac.g_01961, Syac.g_02194	Syam.g_00286, Syam.g_00518
OG0000006	Syac.g_01002	Syam.g_01446
OG0000007	Syac.g_01885	Syam.g_00602
OG0000007	Syac.g_00544	Syam.g_01990
OG0000008	Syac.g_00921	Syam.g_00810
OG0000008	Syac.g_00922	Syam.g_00811
OG0000009	Syac.g_00398	Syam.g_02119
OG0000010	Syac.g_01701	Syam.g_01669
OG0000011	Syac.g_00924	Syam.g_00814
OG0000012	Syac.g_00758	Syam.g_00794
OG0000012	Syac.g_01577	Syam.g_00994
OG0000012	Syac.g_00955	Syam.g_01492
OG0000013	Syac.g_02046	Syam.g_00421
OG0000013	Syac.g_02062	Syam.g_00404
OG0000013	Syac.g_02056	Syam.g_00409
OG0000014	Syac.g_00253	Syam.g_00191
OG0000015	Syac.g_01408	Syam.g_01362
OG0000016	Syac.g_00014	Syam.g_00014
OG0000016	Syac.g_01505	Syam.g_00876
OG0000016	Syac.g_01053	Syam.g_01011
OG0000017	Syac.g_01742	Syam.g_01708
OG0000017	Syac.g_01749	Syam.g_01715
OG0000018	Syac.g_01660	Syam.g_01640
OG0000019	Syac.g_02207	Syam.g_00274
OG0000022	Syac.g_01031	Syam.g_01418
OG0000023	Syac.g_00760	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075
OG0000024	Syac.g_00925	Syam.g_00815
OG0000025	Syac.g_00847	Syam.g_00740
OG0000026	Syac.g_00034	Syam.g_00035
OG0000027	Syac.g_01095	Syam.g_00989
OG0000028	Syac.g_00237	Syam.g_00176
OG0000029	Syac.g_01942	Syam.g_01055
OG0000030	Syac.g_00143	Syam.g_00104
OG0000030	Syac.g_00142	Syam.g_00103
OG0000031	Syac.g_00232	Syam.g_00171
OG0000032	Syac.g_01677	Syam.g_01660
OG0000033	Syac.g_00304	Syam.g_02217
OG0000034	Syac.g_00334, Syac.g_00715	Syam.g_02185, Syam.g_01843, Syam.g_02187
OG0000035	Syac.g_01630	Syam.g_01612
OG0000038	Syac.g_02357	Syam.g_02317
OG0000039	Syac.g_00856	Syam.g_00749
OG0000040	Syac.g_02437	Syam.g_02390
OG0000041	Syac.g_00655	Syam.g_01899
OG0000041	Syac.g_00876	Syam.g_00765
OG0000042	Syac.g_00146	Syam.g_00107
OG0000043	Syac.g_01100	Syam.g_01041
OG0000045	Syac.g_01040	Syam.g_02028
OG0000046	Syac.g_02063	Syam.g_00403
OG0000046	Syac.g_02055	Syam.g_00410
OG0000046	Syac.g_02047	Syam.g_00420
OG0000047	Syac.g_02031	Syam.g_00434
OG0000048	Syac.g_02240	Syam.g_00243
OG0000052	Syac.g_00207	Syam.g_00161
OG0000053	Syac.g_01657	Syam.g_01636
OG0000054	Syac.g_00933	Syam.g_01515
OG0000055	Syac.g_00859	Syam.g_00754
OG0000057	Syac.g_00894	Syam.g_00784
OG0000058	Syac.g_00226	Syam.g_00169
OG0000059	Syac.g_02142	Syam.g_00320
OG0000061	Syac.g_00769	Syam.g_01795
OG0000062	Syac.g_00567	Syam.g_01972
OG0000063	Syac.g_00037	Syam.g_00039
OG0000064	Syac.g_01567	Syam.g_00978
OG0000064	Syac.g_00575	Syam.g_01964
OG0000065	Syac.g_00396	Syam.g_02121
OG0000066	Syac.g_01827	Syam.g_00552, Syam.g_00662
OG0000067	Syac.g_01341	Syam.g_01290
OG0000068	Syac.g_01916	Syam.g_00575
OG0000070	Syac.g_00711	Syam.g_01847
OG0000071	Syac.g_00729	Syam.g_01830
