Orthogroup	Syac	Syag
OG0000001	Syac.g_02154	Syag.g_00575
OG0000001	Syac.g_00341, Syac.g_00340	Syag.g_01943
OG0000001	Syac.g_02169	Syag.g_00520
OG0000004	Syac.g_00898	Syag.g_00988
OG0000004	Syac.g_00948	Syag.g_00370
OG0000004	Syac.g_01975	Syag.g_01790
OG0000005	Syac.g_00527	Syag.g_01708
OG0000005	Syac.g_00569	Syag.g_01667
OG0000006	Syac.g_01958, Syac.g_01961, Syac.g_02194	Syag.g_01772, Syag.g_02678, Syag.g_02687
OG0000006	Syac.g_01002	Syag.g_00435
OG0000007	Syac.g_01885	Syag.g_01507
OG0000007	Syac.g_00544	Syag.g_01687
OG0000008	Syac.g_00921	Syag.g_00496
OG0000008	Syac.g_00922	Syag.g_01017
OG0000009	Syac.g_01004, Syac.g_00398	Syag.g_01883
OG0000010	Syac.g_01701	Syag.g_01355
OG0000011	Syac.g_00924	Syag.g_01299
OG0000012	Syac.g_01577	Syag.g_00995, Syag.g_00686, Syag.g_01105
OG0000012	Syac.g_00955	Syag.g_00377
OG0000013	Syac.g_02046	Syag.g_02820
OG0000013	Syac.g_02062	Syag.g_02806
OG0000013	Syac.g_02056	Syag.g_02811
OG0000014	Syac.g_00253	Syag.g_02559
OG0000015	Syac.g_01408	Syag.g_00596
OG0000016	Syac.g_00014	Syag.g_02286
OG0000016	Syac.g_01505	Syag.g_01066
OG0000017	Syac.g_01742	Syag.g_00344
OG0000017	Syac.g_01749	Syag.g_00336
OG0000018	Syac.g_01660	Syag.g_01387
OG0000019	Syac.g_02207	Syag.g_02663
OG0000022	Syac.g_01031	Syag.g_00458
OG0000024	Syac.g_00925	Syag.g_00455
OG0000025	Syac.g_00847	Syag.g_00718
OG0000026	Syac.g_00034	Syag.g_02309
OG0000027	Syac.g_01095	Syag.g_00165
OG0000028	Syac.g_00237	Syag.g_02540
OG0000029	Syac.g_01942	Syag.g_00195
OG0000030	Syac.g_00143	Syag.g_02375
OG0000030	Syac.g_00142	Syag.g_02374
OG0000031	Syac.g_00232	Syag.g_02510
OG0000032	Syac.g_01677	Syag.g_01366
OG0000033	Syac.g_00304	Syag.g_01978
OG0000034	Syac.g_00334, Syac.g_00715	Syag.g_01225, Syag.g_01947
OG0000035	Syac.g_01630	Syag.g_01420
OG0000036	Syac.g_01722, Syac.g_01536	Syag.g_00928
OG0000038	Syac.g_02357	Syag.g_02130
OG0000038	Syac.g_02358	Syag.g_02132
OG0000039	Syac.g_02378	Syag.g_02155
OG0000040	Syac.g_02437	Syag.g_02215
OG0000041	Syac.g_00655	Syag.g_01750
