Orthogroup	Syac	Syaj
OG0000001	Syac.g_02154	Syaj.g_02674
OG0000001	Syac.g_00341, Syac.g_00340	Syaj.g_01950
OG0000001	Syac.g_02169	Syaj.g_02660
OG0000002	Syac.g_01084	Syaj.g_02667
OG0000004	Syac.g_00898	Syaj.g_00441
OG0000004	Syac.g_00948	Syaj.g_01314
OG0000004	Syac.g_01975	Syaj.g_02853
OG0000005	Syac.g_00527	Syaj.g_01736
OG0000005	Syac.g_00569	Syaj.g_01698
OG0000005	Syac.g_01087	Syaj.g_01155
OG0000006	Syac.g_01958, Syac.g_01961, Syac.g_02194	Syaj.g_02635
OG0000007	Syac.g_01885	Syaj.g_00091
OG0000007	Syac.g_00544	Syaj.g_01721
OG0000008	Syac.g_00921	Syaj.g_00496
OG0000008	Syac.g_00922	Syaj.g_00497
OG0000009	Syac.g_00398	Syaj.g_01885
OG0000010	Syac.g_01701	Syaj.g_01445
OG0000012	Syac.g_00758, Syac.g_01577	Syaj.g_00172
OG0000012	Syac.g_00955	Syaj.g_01306
OG0000013	Syac.g_02046	Syaj.g_02782
OG0000013	Syac.g_02062	Syaj.g_02769
OG0000013	Syac.g_02056	Syaj.g_02774
OG0000014	Syac.g_00253	Syaj.g_02522
OG0000015	Syac.g_01408	Syaj.g_02659
OG0000016	Syac.g_00014	Syaj.g_02276
OG0000016	Syac.g_01505	Syaj.g_00590
OG0000016	Syac.g_01053	Syaj.g_01191
OG0000017	Syac.g_01742	Syaj.g_00255
OG0000017	Syac.g_01749	Syaj.g_00248
OG0000018	Syac.g_01660	Syaj.g_01413
OG0000019	Syac.g_02207	Syaj.g_02613
OG0000022	Syac.g_01031	Syaj.g_01220
OG0000024	Syac.g_00925	Syaj.g_00500
OG0000025	Syac.g_00847	Syaj.g_00383
OG0000026	Syac.g_00034	Syaj.g_02298
OG0000027	Syac.g_01095	Syaj.g_00396
OG0000028	Syac.g_00237	Syaj.g_02506
OG0000029	Syac.g_01942	Syaj.g_01229
OG0000030	Syac.g_00143	Syaj.g_02396
OG0000030	Syac.g_00142	Syaj.g_02395
OG0000031	Syac.g_00232	Syaj.g_02501
OG0000032	Syac.g_01677	Syaj.g_01432
OG0000033	Syac.g_00304	Syaj.g_01990
OG0000034	Syac.g_00334, Syac.g_00715	Syaj.g_01959
OG0000035	Syac.g_01630	Syaj.g_01378
OG0000037	Syac.g_01077	Syaj.g_02902
OG0000038	Syac.g_02357	Syaj.g_02115
OG0000039	Syac.g_00856	Syaj.g_00392
OG0000039	Syac.g_02378	Syaj.g_00275
OG0000040	Syac.g_02437	Syaj.g_02208
OG0000041	Syac.g_00655	Syaj.g_01602
OG0000041	Syac.g_00876	Syaj.g_00418
OG0000042	Syac.g_00146	Syaj.g_02399
OG0000043	Syac.g_00808	Syaj.g_01085
OG0000043	Syac.g_01100	Syaj.g_01247
OG0000045	Syac.g_00576	Syaj.g_00132
OG0000046	Syac.g_02055	Syaj.g_02775
OG0000046	Syac.g_02047	Syaj.g_02781
OG0000047	Syac.g_02031	Syaj.g_02799
OG0000048	Syac.g_02240	Syaj.g_02578
OG0000050	Syac.g_01937	Syaj.g_01584
OG0000051	Syac.g_01073	Syaj.g_02898
OG0000052	Syac.g_00207	Syaj.g_02476
OG0000053	Syac.g_01657	Syaj.g_01409
OG0000054	Syac.g_00933	Syaj.g_01341
OG0000055	Syac.g_00859	Syaj.g_00394
OG0000057	Syac.g_00894	Syaj.g_00438
OG0000058	Syac.g_00226	Syaj.g_02495
OG0000059	Syac.g_02142	Syaj.g_02686
OG0000060	Syac.g_01909	Syaj.g_00067
OG0000061	Syac.g_00769	Syaj.g_00302
OG0000062	Syac.g_00567	Syaj.g_01700
OG0000063	Syac.g_00037	Syaj.g_02302
OG0000065	Syac.g_00490	Syaj.g_00007
OG0000065	Syac.g_00396	Syaj.g_01887
OG0000066	Syac.g_01827	Syaj.g_00157
OG0000067	Syac.g_01341	Syaj.g_01023
OG0000068	Syac.g_01916	Syaj.g_00059
OG0000070	Syac.g_00711	Syaj.g_01529
OG0000071	Syac.g_00729	Syaj.g_01511
OG0000072	Syac.g_00302	Syaj.g_01992
OG0000073	Syac.g_01883	Syaj.g_00093
OG0000075	Syac.g_00191	Syaj.g_02457
OG0000076	Syac.g_00156	Syaj.g_02417
OG0000077	Syac.g_00439	Syaj.g_01831
OG0000078	Syac.g_01964	Syaj.g_02880
OG0000079	Syac.g_02211	Syaj.g_02609
OG0000081	Syac.g_01954	Syaj.g_02888
OG0000082	Syac.g_01766	Syaj.g_00229
OG0000084	Syac.g_01627	Syaj.g_01375
OG0000085	Syac.g_00560	Syaj.g_01707
OG0000086	Syac.g_00423	Syaj.g_01848
OG0000087	Syac.g_00343	Syaj.g_01945
OG0000088	Syac.g_00308	Syaj.g_01986
OG0000089	Syac.g_01988	Syaj.g_02829
OG0000089	Syac.g_01543	Syaj.g_01915
OG0000090	Syac.g_01836	Syaj.g_00144
OG0000091	Syac.g_00987	Syaj.g_01275
OG0000093	Syac.g_01357	Syaj.g_01042
OG0000094	Syac.g_01251	Syaj.g_00804
OG0000095	Syac.g_00884	Syaj.g_00427
OG0000097	Syac.g_01507	Syaj.g_00589
OG0000098	Syac.g_02157	Syaj.g_02671
OG0000099	Syac.g_00234	Syaj.g_02503
OG0000100	Syac.g_01309	Syaj.g_00987
OG0000101	Syac.g_02094	Syaj.g_02738
OG0000102	Syac.g_00151	Syaj.g_02411
OG0000103	Syac.g_02476	Syaj.g_02243
OG0000104	Syac.g_02490	Syaj.g_02258
OG0000105	Syac.g_02245	Syaj.g_02573
OG0000106	Syac.g_01098	Syaj.g_01130
OG0000107	Syac.g_02191	Syaj.g_02637
OG0000108	Syac.g_01904	Syaj.g_00072
OG0000109	Syac.g_01889	Syaj.g_00087
OG0000110	Syac.g_01778	Syaj.g_00215
OG0000111	Syac.g_00893	Syaj.g_00437
OG0000112	Syac.g_01173	Syaj.g_00907
OG0000113	Syac.g_01314	Syaj.g_00992
OG0000114	Syac.g_01394	Syaj.g_00741
OG0000115	Syac.g_01655	Syaj.g_01402
OG0000116	Syac.g_00753	Syaj.g_00289
OG0000117	Syac.g_01477	Syaj.g_00637
OG0000118	Syac.g_01728	Syaj.g_00267
OG0000120	Syac.g_00233	Syaj.g_02502
OG0000121	Syac.g_01635	Syaj.g_01383
OG0000122	Syac.g_01013	Syaj.g_01250
