Orthogroup	Syac	Prbf
OG0000001	Syac.g_02154	Prbf.g_00068, Prbf.g_00831
OG0000002	Syac.g_01084	Prbf.g_01182, Prbf.g_01177, Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883, Prbf.g_00260, Prbf.g_01285
OG0000004	Syac.g_00898	Prbf.g_01264
OG0000004	Syac.g_00948, Syac.g_01975	Prbf.g_01570
OG0000005	Syac.g_00569	Prbf.g_00240
OG0000006	Syac.g_01958, Syac.g_01961, Syac.g_02194	Prbf.g_01580
OG0000007	Syac.g_01885	Prbf.g_01780
OG0000007	Syac.g_00544	Prbf.g_00693
OG0000008	Syac.g_00921	Prbf.g_00793
OG0000008	Syac.g_00922	Prbf.g_00792
OG0000010	Syac.g_01701	Prbf.g_00847, Prbf.g_01056, Prbf.g_01757
OG0000012	Syac.g_00955	Prbf.g_01905
OG0000013	Syac.g_02046, Syac.g_02062, Syac.g_02056	Prbf.g_01665
OG0000014	Syac.g_00253	Prbf.g_01647
OG0000015	Syac.g_01408	Prbf.g_00754, Prbf.g_00708
OG0000016	Syac.g_01505, Syac.g_01053	Prbf.g_00860
OG0000017	Syac.g_01742	Prbf.g_01887
OG0000017	Syac.g_01749	Prbf.g_01880
OG0000018	Syac.g_01660	Prbf.g_00896, Prbf.g_01217
OG0000019	Syac.g_02207	Prbf.g_01588, Prbf.g_00894
OG0000022	Syac.g_01031	Prbf.g_00248
OG0000023	Syac.g_00760	Prbf.g_00287
OG0000024	Syac.g_00925	Prbf.g_01052, Prbf.g_01288
OG0000025	Syac.g_00847	Prbf.g_01209
OG0000026	Syac.g_00034	Prbf.g_01354
OG0000027	Syac.g_01095	Prbf.g_00774, Prbf.g_00817
OG0000028	Syac.g_00237	Prbf.g_00794
OG0000029	Syac.g_01942	Prbf.g_00603, Prbf.g_00804, Prbf.g_00762
OG0000030	Syac.g_00143, Syac.g_00142	Prbf.g_00484
OG0000032	Syac.g_01677	Prbf.g_00196
OG0000033	Syac.g_00304	Prbf.g_01503
OG0000034	Syac.g_00334, Syac.g_00715	Prbf.g_00015
OG0000035	Syac.g_01630	Prbf.g_00157
OG0000037	Syac.g_01077	Prbf.g_01437
OG0000038	Syac.g_02357, Syac.g_02358	Prbf.g_00445
OG0000039	Syac.g_00856, Syac.g_02378	Prbf.g_01276
OG0000041	Syac.g_00655	Prbf.g_00646
OG0000042	Syac.g_00146	Prbf.g_00487
OG0000045	Syac.g_01040	Prbf.g_00874
OG0000046	Syac.g_02063, Syac.g_02055, Syac.g_02047	Prbf.g_01666
OG0000047	Syac.g_02031	Prbf.g_01707
OG0000048	Syac.g_02240	Prbf.g_00039, Prbf.g_01611
OG0000052	Syac.g_00207	Prbf.g_00135
OG0000053	Syac.g_01657	Prbf.g_00748, Prbf.g_00178
OG0000054	Syac.g_00933	Prbf.g_01889
OG0000055	Syac.g_00859	Prbf.g_00869
OG0000055	Syac.g_01034	Prbf.g_00719
OG0000057	Syac.g_00894	Prbf.g_01261
OG0000058	Syac.g_00226	Prbf.g_00117
OG0000059	Syac.g_02142	Prbf.g_00606
OG0000061	Syac.g_00769	Prbf.g_00918
OG0000062	Syac.g_00567	Prbf.g_00242
OG0000063	Syac.g_00037	Prbf.g_00808
OG0000064	Syac.g_01567, Syac.g_00575	Prbf.g_01394
OG0000065	Syac.g_00490, Syac.g_00396	Prbf.g_01435
OG0000066	Syac.g_01827	Prbf.g_01820, Prbf.g_00781
OG0000067	Syac.g_01341	Prbf.g_01245
OG0000068	Syac.g_01916	Prbf.g_00095
OG0000069	Syac.g_01272	Prbf.g_01738
OG0000070	Syac.g_00711	Prbf.g_01734
OG0000071	Syac.g_00729	Prbf.g_00026
OG0000072	Syac.g_00302	Prbf.g_01505
OG0000073	Syac.g_01883	Prbf.g_01783
OG0000075	Syac.g_00191	Prbf.g_00522
OG0000076	Syac.g_00156	Prbf.g_00496
OG0000077	Syac.g_00439	Prbf.g_01405
OG0000079	Syac.g_02211	Prbf.g_01591
OG0000081	Syac.g_01954	Prbf.g_01812
OG0000082	Syac.g_01766	Prbf.g_01867, Prbf.g_00704
OG0000084	Syac.g_01627	Prbf.g_00154
OG0000085	Syac.g_00560	Prbf.g_00701, Prbf.g_00822
OG0000086	Syac.g_00423	Prbf.g_01414
OG0000087	Syac.g_00343	Prbf.g_01469
OG0000088	Syac.g_00308	Prbf.g_01500
OG0000089	Syac.g_01988, Syac.g_01543	Prbf.g_01701
OG0000090	Syac.g_01836	Prbf.g_01814
OG0000091	Syac.g_00987	Prbf.g_00990
OG0000097	Syac.g_01507	Prbf.g_00964
OG0000098	Syac.g_02157	Prbf.g_00071
OG0000099	Syac.g_00234	Prbf.g_00118
OG0000100	Syac.g_01309	Prbf.g_00236
OG0000101	Syac.g_02094	Prbf.g_00558
OG0000102	Syac.g_00151	Prbf.g_00491
OG0000103	Syac.g_02476	Prbf.g_00406
OG0000104	Syac.g_02490	Prbf.g_00397
OG0000105	Syac.g_02245	Prbf.g_01614
OG0000106	Syac.g_01098	Prbf.g_00320
OG0000107	Syac.g_02191	Prbf.g_00629
OG0000108	Syac.g_01904	Prbf.g_01763
OG0000109	Syac.g_01889	Prbf.g_01777
OG0000110	Syac.g_01778	Prbf.g_01856
OG0000112	Syac.g_01173	Prbf.g_01929
