Orthogroup	Syac	Syad
OG0000001	Syac.g_02154	Syad.g_00628
OG0000001	Syac.g_00341, Syac.g_00340	Syad.g_02865
OG0000001	Syac.g_02169	Syad.g_01238, Syad.g_00611
OG0000002	Syac.g_01084	Syad.g_00619
OG0000004	Syac.g_00898	Syad.g_01304
OG0000004	Syac.g_00948	Syad.g_02184
OG0000004	Syac.g_01975	Syad.g_00810
OG0000005	Syac.g_00527	Syad.g_02639
OG0000005	Syac.g_00569	Syad.g_02596
OG0000005	Syac.g_01087	Syad.g_02028
OG0000006	Syac.g_01958, Syac.g_01961, Syac.g_02194	Syad.g_00588, Syad.g_00829
OG0000006	Syac.g_01002	Syad.g_02130
OG0000007	Syac.g_01885	Syad.g_00923
OG0000007	Syac.g_00544	Syad.g_02623
OG0000008	Syac.g_00922	Syad.g_01371
OG0000009	Syac.g_00398	Syad.g_02799
OG0000010	Syac.g_01701	Syad.g_02354
OG0000012	Syac.g_00758, Syac.g_01577	Syad.g_01579, Syad.g_01008
OG0000012	Syac.g_00955	Syad.g_02176
OG0000013	Syac.g_02046	Syad.g_00737
OG0000013	Syac.g_02062	Syad.g_00724
OG0000013	Syac.g_02056	Syad.g_00729
OG0000014	Syac.g_00253	Syad.g_00480
OG0000016	Syac.g_00014	Syad.g_00176
OG0000016	Syac.g_01505	Syad.g_01460
OG0000016	Syac.g_01053	Syad.g_02065
OG0000017	Syac.g_01742	Syad.g_01091
OG0000017	Syac.g_01749	Syad.g_01084
OG0000018	Syac.g_01660	Syad.g_02306
OG0000019	Syac.g_02207	Syad.g_00569
OG0000022	Syac.g_01031	Syad.g_02090
OG0000023	Syac.g_00760	Syad.g_02337
OG0000024	Syac.g_00925	Syad.g_01374
OG0000025	Syac.g_00847	Syad.g_01241
OG0000026	Syac.g_00034	Syad.g_00198
OG0000027	Syac.g_01095	Syad.g_01257
OG0000028	Syac.g_00237	Syad.g_00463
OG0000029	Syac.g_01942	Syad.g_02099
OG0000030	Syac.g_00143	Syad.g_00328
OG0000030	Syac.g_00142	Syad.g_00327
OG0000031	Syac.g_00232	Syad.g_00458
OG0000032	Syac.g_01677	Syad.g_02326
OG0000033	Syac.g_00304	Syad.g_02903
OG0000034	Syac.g_00334, Syac.g_00715	Syad.g_02420, Syad.g_02872
OG0000035	Syac.g_01630	Syad.g_02275
OG0000036	Syac.g_01722, Syac.g_01536	Syad.g_02714, Syad.g_02715
OG0000038	Syac.g_02357	Syad.g_03038
OG0000039	Syac.g_00856	Syad.g_01249
OG0000039	Syac.g_02378	Syad.g_01111
OG0000040	Syac.g_02437	Syad.g_00104
OG0000041	Syac.g_00655	Syad.g_02498
OG0000041	Syac.g_00876	Syad.g_01281
OG0000042	Syac.g_00146	Syad.g_00333
OG0000043	Syac.g_01100	Syad.g_02119
OG0000045	Syac.g_00576	Syad.g_00964
OG0000046	Syac.g_02055	Syad.g_00730
OG0000046	Syac.g_02047	Syad.g_00736
OG0000047	Syac.g_02031	Syad.g_00754
OG0000048	Syac.g_02240	Syad.g_00534
OG0000050	Syac.g_01937	Syad.g_02478
OG0000051	Syac.g_01073	Syad.g_00842
OG0000052	Syac.g_00207	Syad.g_00434
OG0000053	Syac.g_01657	Syad.g_02302
OG0000054	Syac.g_00933	Syad.g_02209
OG0000055	Syac.g_00859	Syad.g_01255
OG0000057	Syac.g_00894	Syad.g_01301
OG0000058	Syac.g_00226	Syad.g_00452
OG0000059	Syac.g_02142	Syad.g_00642
OG0000060	Syac.g_01909	Syad.g_00899
OG0000061	Syac.g_00769	Syad.g_01152
OG0000062	Syac.g_00567	Syad.g_02598
OG0000063	Syac.g_00037	Syad.g_00202
OG0000065	Syac.g_00490	Syad.g_02574
OG0000065	Syac.g_00396	Syad.g_02801
OG0000066	Syac.g_01827	Syad.g_00992
OG0000067	Syac.g_01341	Syad.g_01889
OG0000068	Syac.g_01916	Syad.g_00891
OG0000070	Syac.g_00711	Syad.g_02424
OG0000071	Syac.g_00729	Syad.g_02405
OG0000072	Syac.g_00302	Syad.g_02905
OG0000073	Syac.g_01883	Syad.g_00926
OG0000075	Syac.g_00191	Syad.g_00416
OG0000076	Syac.g_00156	Syad.g_00348
OG0000077	Syac.g_00439	Syad.g_02741
OG0000078	Syac.g_01964	Syad.g_00824
OG0000079	Syac.g_02211	Syad.g_00565
OG0000081	Syac.g_01954	Syad.g_00833
OG0000082	Syac.g_01766	Syad.g_01063
OG0000084	Syac.g_01627	Syad.g_02272
OG0000085	Syac.g_00560	Syad.g_02612
OG0000086	Syac.g_00423	Syad.g_02770
OG0000087	Syac.g_00343	Syad.g_02860
OG0000088	Syac.g_00308	Syad.g_02899
OG0000089	Syac.g_01988	Syad.g_00785
OG0000089	Syac.g_01543	Syad.g_02829
OG0000090	Syac.g_01836	Syad.g_00977
OG0000091	Syac.g_00987	Syad.g_02144
OG0000093	Syac.g_01357	Syad.g_01905
OG0000094	Syac.g_01251	Syad.g_01676
OG0000095	Syac.g_00884	Syad.g_01290
OG0000097	Syac.g_01507	Syad.g_01458
OG0000098	Syac.g_02157	Syad.g_00625
OG0000099	Syac.g_00234	Syad.g_00460
OG0000100	Syac.g_01309	Syad.g_01846
OG0000101	Syac.g_02094	Syad.g_00694
OG0000102	Syac.g_00151	Syad.g_00343
OG0000103	Syac.g_02476	Syad.g_00143
OG0000104	Syac.g_02490	Syad.g_00158
OG0000105	Syac.g_02245	Syad.g_00530
OG0000106	Syac.g_01098	Syad.g_01993
OG0000107	Syac.g_02191	Syad.g_00590
OG0000108	Syac.g_01904	Syad.g_00904
OG0000109	Syac.g_01889	Syad.g_00919
OG0000110	Syac.g_01778	Syad.g_01048
OG0000111	Syac.g_00893	Syad.g_01300
OG0000112	Syac.g_01173	Syad.g_01766
OG0000113	Syac.g_01314	Syad.g_01851
OG0000114	Syac.g_01394	Syad.g_01617
OG0000115	Syac.g_01655	Syad.g_02300
OG0000116	Syac.g_00753	Syad.g_01123
OG0000117	Syac.g_01477	Syad.g_01510
OG0000118	Syac.g_01728	Syad.g_01104
OG0000120	Syac.g_00233	Syad.g_00459
OG0000121	Syac.g_01635	Syad.g_02280
OG0000122	Syac.g_01013	Syad.g_02122
OG0000123	Syac.g_02086	Syad.g_00701
OG0000124	Syac.g_00135	Syad.g_00320
OG0000125	Syac.g_02360	Syad.g_03040
OG0000126	Syac.g_02488	Syad.g_00156
OG0000128	Syac.g_00012	Syad.g_00174
OG0000129	Syac.g_02349	Syad.g_03028
OG0000130	Syac.g_00450	Syad.g_02728
OG0000131	Syac.g_00330	Syad.g_02876
OG0000132	Syac.g_00310	Syad.g_02897
