Orthogroup	Syac	Prbk
OG0000001	Syac.g_02154	Prbk.g_01196, Prbk.g_00170
OG0000001	Syac.g_00341, Syac.g_00340	Prbk.g_00561, Prbk.g_02701
OG0000002	Syac.g_01084	Prbk.g_02574, Prbk.g_01649
OG0000004	Syac.g_00898	Prbk.g_01760
OG0000004	Syac.g_00948, Syac.g_01975	Prbk.g_01134
OG0000005	Syac.g_00569	Prbk.g_00933
OG0000006	Syac.g_01958, Syac.g_01961, Syac.g_02194	Prbk.g_02695
OG0000007	Syac.g_00544	Prbk.g_00907
OG0000008	Syac.g_00921	Prbk.g_01819
OG0000008	Syac.g_00922	Prbk.g_01820
OG0000009	Syac.g_01004, Syac.g_00398	Prbk.g_01932, Prbk.g_00013
OG0000010	Syac.g_01701	Prbk.g_02112
OG0000012	Syac.g_00955	Prbk.g_02610
OG0000013	Syac.g_02046, Syac.g_02062, Syac.g_02056	Prbk.g_00853
OG0000014	Syac.g_00253	Prbk.g_00454
OG0000015	Syac.g_01408	Prbk.g_02558
OG0000017	Syac.g_01742	Prbk.g_01150
OG0000017	Syac.g_01749	Prbk.g_01142
OG0000018	Syac.g_01660	Prbk.g_01227
OG0000019	Syac.g_02207	Prbk.g_01644
OG0000022	Syac.g_01031	Prbk.g_00212, Prbk.g_01667
OG0000023	Syac.g_00760	Prbk.g_02448
OG0000024	Syac.g_00925	Prbk.g_01780
OG0000025	Syac.g_00847	Prbk.g_02531
OG0000026	Syac.g_00034	Prbk.g_01617
OG0000028	Syac.g_00237	Prbk.g_00469
OG0000029	Syac.g_01942	Prbk.g_00833
OG0000030	Syac.g_00143	Prbk.g_01532
OG0000030	Syac.g_00142	Prbk.g_01533
OG0000032	Syac.g_01677	Prbk.g_01209
OG0000033	Syac.g_00304	Prbk.g_00776
OG0000034	Syac.g_00334, Syac.g_00715	Prbk.g_01171
OG0000035	Syac.g_01630	Prbk.g_00259
OG0000037	Syac.g_01077	Prbk.g_00007
OG0000038	Syac.g_02357	Prbk.g_02164
OG0000038	Syac.g_02358	Prbk.g_02166
OG0000039	Syac.g_02378	Prbk.g_00642
OG0000041	Syac.g_00655	Prbk.g_01406
OG0000042	Syac.g_00146	Prbk.g_01495, Prbk.g_00140
OG0000045	Syac.g_00576, Syac.g_01040	Prbk.g_01321
OG0000046	Syac.g_02063, Syac.g_02055, Syac.g_02047	Prbk.g_00854
OG0000047	Syac.g_02031	Prbk.g_02565, Prbk.g_01202
OG0000048	Syac.g_02240	Prbk.g_00405
OG0000051	Syac.g_01073, Syac.g_01292	Prbk.g_01709
OG0000052	Syac.g_00207	Prbk.g_00499
OG0000053	Syac.g_01657	Prbk.g_01230
OG0000054	Syac.g_00933	Prbk.g_01153
OG0000057	Syac.g_00894	Prbk.g_01765
OG0000059	Syac.g_02142	Prbk.g_00533
OG0000060	Syac.g_01909	Prbk.g_02058
OG0000061	Syac.g_00769	Prbk.g_01019
OG0000062	Syac.g_00567	Prbk.g_00931
OG0000063	Syac.g_00037	Prbk.g_01613
OG0000065	Syac.g_00490, Syac.g_00396	Prbk.g_00011
OG0000066	Syac.g_01827	Prbk.g_01094
OG0000067	Syac.g_01341	Prbk.g_02468
OG0000068	Syac.g_01916	Prbk.g_02052
OG0000070	Syac.g_00711	Prbk.g_00310
OG0000071	Syac.g_00729	Prbk.g_01183
OG0000072	Syac.g_00302	Prbk.g_00778
OG0000073	Syac.g_01883	Prbk.g_01862
OG0000075	Syac.g_00191	Prbk.g_00514
OG0000076	Syac.g_00156	Prbk.g_00237
OG0000077	Syac.g_00439	Prbk.g_01308, Prbk.g_00307
OG0000079	Syac.g_02211	Prbk.g_01000
OG0000081	Syac.g_00461	Prbk.g_00733
OG0000081	Syac.g_01954	Prbk.g_01772
OG0000082	Syac.g_01766	Prbk.g_01122
OG0000084	Syac.g_01627	Prbk.g_00255
OG0000085	Syac.g_00560	Prbk.g_00919
OG0000086	Syac.g_00423	Prbk.g_01295
OG0000087	Syac.g_00343	Prbk.g_00559
OG0000088	Syac.g_00308	Prbk.g_01836, Prbk.g_00773
OG0000089	Syac.g_01988, Syac.g_01543	Prbk.g_00364
OG0000090	Syac.g_01836	Prbk.g_01080
OG0000091	Syac.g_00987	Prbk.g_02639
OG0000093	Syac.g_01357	Prbk.g_02444
OG0000095	Syac.g_00884	Prbk.g_00056
OG0000097	Syac.g_01507	Prbk.g_00189
OG0000098	Syac.g_02157	Prbk.g_01199
OG0000099	Syac.g_00234	Prbk.g_00476
OG0000100	Syac.g_01309	Prbk.g_01360, Prbk.g_02498
OG0000101	Syac.g_02094	Prbk.g_00944
OG0000102	Syac.g_00151	Prbk.g_01484
OG0000103	Syac.g_02476	Prbk.g_02260
OG0000104	Syac.g_02490	Prbk.g_02274
OG0000105	Syac.g_02245	Prbk.g_00409
OG0000106	Syac.g_01098	Prbk.g_00925
OG0000107	Syac.g_02191	Prbk.g_01902
OG0000108	Syac.g_01904	Prbk.g_02061
OG0000109	Syac.g_01889	Prbk.g_02077
OG0000110	Syac.g_01778	Prbk.g_01110
OG0000112	Syac.g_01173	Prbk.g_02332
OG0000113	Syac.g_01314	Prbk.g_02493
OG0000114	Syac.g_01394	Prbk.g_02396
OG0000115	Syac.g_01655	Prbk.g_01234
OG0000116	Syac.g_00753	Prbk.g_01034
OG0000117	Syac.g_01477	Prbk.g_01496
OG0000118	Syac.g_01728	Prbk.g_01169
OG0000120	Syac.g_00233	Prbk.g_00477
OG0000121	Syac.g_01635	Prbk.g_00267, Prbk.g_00261
OG0000122	Syac.g_01013	Prbk.g_02664
OG0000123	Syac.g_02086	Prbk.g_00805
OG0000124	Syac.g_00135	Prbk.g_01539
OG0000125	Syac.g_02360	Prbk.g_02168
OG0000126	Syac.g_02488	Prbk.g_02272
OG0000127	Syac.g_01547	Prbk.g_01101, Prbk.g_01852
OG0000128	Syac.g_00012	Prbk.g_02290
