Orthogroup	Syac	Syas
OG0000001	Syac.g_00341, Syac.g_00340	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373
OG0000004	Syac.g_00898	Syas.g_00176
OG0000004	Syac.g_00948	Syas.g_00174, Syas.g_00311
OG0000004	Syac.g_01975	Syas.g_00072
OG0000005	Syac.g_00527	Syas.g_02665
OG0000005	Syac.g_00569	Syas.g_02704
OG0000006	Syac.g_01958, Syac.g_01961, Syac.g_02194	Syas.g_01684, Syas.g_02565
OG0000007	Syac.g_01885	Syas.g_01232
OG0000007	Syac.g_00544	Syas.g_02681
OG0000008	Syac.g_00921	Syas.g_00886
OG0000008	Syac.g_00922	Syas.g_00887
OG0000009	Syac.g_01004, Syac.g_00398	Syas.g_01450
OG0000010	Syac.g_01701	Syas.g_01334
OG0000014	Syac.g_00253	Syas.g_01816
OG0000016	Syac.g_00014	Syas.g_02048
OG0000016	Syac.g_01505	Syas.g_01086
OG0000017	Syac.g_01742	Syas.g_00856
OG0000017	Syac.g_01749	Syas.g_00849
OG0000018	Syac.g_01660	Syas.g_01290
OG0000019	Syac.g_02207	Syas.g_01696
OG0000022	Syac.g_01031	Syas.g_02758
OG0000025	Syac.g_00847	Syas.g_00231
OG0000026	Syac.g_00034	Syas.g_02070
OG0000027	Syac.g_01095	Syas.g_01480
OG0000028	Syac.g_00237	Syas.g_01793
OG0000030	Syac.g_00143	Syas.g_01644
OG0000030	Syac.g_00142	Syas.g_01645
OG0000031	Syac.g_00232	Syas.g_01827
OG0000033	Syac.g_00304	Syas.g_02328
OG0000034	Syac.g_00334, Syac.g_00715	Syas.g_02371, Syas.g_02838
OG0000035	Syac.g_01630	Syas.g_02814, Syas.g_02818
OG0000037	Syac.g_01077	Syas.g_01479, Syas.g_00147, Syas.g_01928
OG0000038	Syac.g_02357	Syas.g_01885
OG0000038	Syac.g_02358	Syas.g_01887
OG0000040	Syac.g_02437	Syas.g_01972
OG0000040	Syac.g_01006	Syas.g_02028
OG0000042	Syac.g_00146	Syas.g_01121, Syas.g_02147
OG0000044	Syac.g_00477, Syac.g_00858	Syas.g_00894, Syas.g_02453
OG0000048	Syac.g_02240	Syas.g_01734
OG0000051	Syac.g_01073, Syac.g_01292	Syas.g_01445
OG0000053	Syac.g_01657	Syas.g_01287
OG0000054	Syac.g_00933	Syas.g_00961
OG0000054	Syac.g_01050	Syas.g_00957
OG0000055	Syac.g_01034	Syas.g_00203
OG0000058	Syac.g_00226	Syas.g_01151
OG0000061	Syac.g_00769	Syas.g_01184
OG0000062	Syac.g_00567	Syas.g_02702
OG0000063	Syac.g_00037	Syas.g_02074
OG0000064	Syac.g_01567	Syas.g_00946
OG0000065	Syac.g_00490, Syac.g_00396	Syas.g_02420
OG0000066	Syac.g_01827	Syas.g_00094
OG0000067	Syac.g_01341	Syas.g_00596
OG0000068	Syac.g_01916	Syas.g_00969, Syas.g_01261
OG0000070	Syac.g_00711	Syas.g_00173
OG0000071	Syac.g_01049	Syas.g_02854
OG0000072	Syac.g_00302	Syas.g_02326
OG0000073	Syac.g_01883	Syas.g_01230
OG0000075	Syac.g_00191	Syas.g_01921, Syas.g_02194
OG0000076	Syac.g_00156	Syas.g_02156
OG0000077	Syac.g_00439	Syas.g_02510
OG0000079	Syac.g_02211	Syas.g_01699
OG0000081	Syac.g_00461, Syac.g_01954	Syas.g_00391
OG0000082	Syac.g_01766	Syas.g_00837
OG0000085	Syac.g_00560	Syas.g_02695
OG0000086	Syac.g_00423	Syas.g_02470
OG0000087	Syac.g_00343	Syas.g_02374
OG0000089	Syac.g_01988, Syac.g_01543	Syas.g_01512
OG0000090	Syac.g_01836	Syas.g_00062
OG0000091	Syac.g_00987	Syas.g_00907, Syas.g_00146
OG0000094	Syac.g_01251	Syas.g_00208
OG0000095	Syac.g_00884	Syas.g_01021
OG0000098	Syac.g_02157	Syas.g_00091
OG0000099	Syac.g_00234	Syas.g_01826
OG0000100	Syac.g_01309	Syas.g_00567
OG0000102	Syac.g_00151	Syas.g_02152, Syas.g_01395
OG0000104	Syac.g_02490	Syas.g_02027, Syas.g_02026
OG0000105	Syac.g_02245	Syas.g_01739
OG0000106	Syac.g_01098	Syas.g_01451
OG0000107	Syac.g_02191	Syas.g_01669
OG0000108	Syac.g_01904	Syas.g_01253
OG0000110	Syac.g_01778	Syas.g_00818
OG0000112	Syac.g_01173	Syas.g_00452
OG0000113	Syac.g_01314	Syas.g_00571
OG0000114	Syac.g_01394	Syas.g_00674, Syas.g_00252
OG0000115	Syac.g_01655	Syas.g_02548, Syas.g_01285
OG0000116	Syac.g_00753	Syas.g_01198, Syas.g_00317
OG0000117	Syac.g_01477	Syas.g_01122
OG0000118	Syac.g_01728	Syas.g_02835
OG0000120	Syac.g_00233	Syas.g_01828
OG0000121	Syac.g_01635	Syas.g_02821
OG0000122	Syac.g_01013	Syas.g_00393
OG0000123	Syac.g_02086	Syas.g_01582
OG0000124	Syac.g_00135	Syas.g_02137
OG0000125	Syac.g_02360	Syas.g_01889
OG0000126	Syac.g_02488	Syas.g_01992
OG0000128	Syac.g_00012	Syas.g_02046
OG0000129	Syac.g_02349	Syas.g_01880
OG0000130	Syac.g_00450	Syas.g_02522
