Orthogroup	Syac	Prae
OG0000001	Syac.g_02154	Prae.g_01353, Prae.g_01236, Prae.g_01223, Prae.g_01224
OG0000002	Syac.g_01084	Prae.g_01361, Prae.g_00652
OG0000004	Syac.g_00898	Prae.g_00669
OG0000004	Syac.g_00948, Syac.g_01975	Prae.g_00235
OG0000005	Syac.g_00527	Prae.g_01636
OG0000005	Syac.g_00569	Prae.g_01535
OG0000006	Syac.g_01958, Syac.g_01961, Syac.g_02194	Prae.g_00244
OG0000007	Syac.g_01885	Prae.g_00471
OG0000007	Syac.g_00544	Prae.g_01623
OG0000010	Syac.g_01701	Prae.g_01048, Prae.g_00448
OG0000012	Syac.g_00758, Syac.g_01577, Syac.g_00955	Prae.g_00597
OG0000013	Syac.g_02046, Syac.g_02062, Syac.g_02056	Prae.g_00328
OG0000014	Syac.g_00253	Prae.g_00307
OG0000015	Syac.g_01408	Prae.g_00769, Prae.g_01235
OG0000016	Syac.g_00014	Prae.g_00013
OG0000017	Syac.g_01749	Prae.g_00572
OG0000018	Syac.g_01660	Prae.g_01144, Prae.g_00833
OG0000019	Syac.g_02207	Prae.g_00252, Prae.g_00786
OG0000022	Syac.g_01031	Prae.g_00764, Prae.g_01125
OG0000023	Syac.g_00760	Prae.g_00359
OG0000024	Syac.g_00925	Prae.g_00748, Prae.g_00649
OG0000025	Syac.g_00847	Prae.g_00840, Prae.g_00332
OG0000026	Syac.g_00034	Prae.g_00031, Prae.g_01056
OG0000027	Syac.g_01095	Prae.g_00444, Prae.g_01311
OG0000028	Syac.g_00237	Prae.g_00321
OG0000029	Syac.g_01942	Prae.g_00375, Prae.g_00755
OG0000030	Syac.g_00143, Syac.g_00142	Prae.g_01825
OG0000033	Syac.g_00304	Prae.g_00172
OG0000034	Syac.g_00334, Syac.g_00715	Prae.g_01339
OG0000035	Syac.g_01630	Prae.g_01459
OG0000037	Syac.g_01077	Prae.g_00108
OG0000038	Syac.g_02357, Syac.g_02358	Prae.g_01865
OG0000039	Syac.g_00856, Syac.g_02378	Prae.g_00660
OG0000040	Syac.g_01006	Prae.g_01597
OG0000041	Syac.g_00655	Prae.g_01669
OG0000042	Syac.g_00146	Prae.g_01822
OG0000045	Syac.g_01040	Prae.g_00371
OG0000047	Syac.g_02031	Prae.g_00331
OG0000048	Syac.g_02240	Prae.g_00374
OG0000051	Syac.g_01073	Prae.g_01294
OG0000051	Syac.g_01292	Prae.g_01602
OG0000052	Syac.g_00207	Prae.g_01416
OG0000053	Syac.g_01657	Prae.g_01479
OG0000054	Syac.g_00933	Prae.g_00580
OG0000055	Syac.g_00859	Prae.g_00787
OG0000057	Syac.g_00894	Prae.g_00672
OG0000058	Syac.g_00226	Prae.g_01417, Prae.g_01406
OG0000059	Syac.g_02142	Prae.g_01710
OG0000061	Syac.g_00769	Prae.g_01422, Prae.g_01163
OG0000063	Syac.g_00037	Prae.g_00033
OG0000065	Syac.g_00490, Syac.g_00396	Prae.g_00106
OG0000066	Syac.g_01827	Prae.g_00514
OG0000067	Syac.g_01341	Prae.g_00806
OG0000068	Syac.g_01916	Prae.g_01368
OG0000069	Syac.g_01272	Prae.g_01573
OG0000070	Syac.g_00711	Prae.g_00424
OG0000071	Syac.g_00729	Prae.g_01329
OG0000072	Syac.g_00302	Prae.g_00174
OG0000073	Syac.g_01883	Prae.g_00473
OG0000075	Syac.g_00191	Prae.g_01791
OG0000076	Syac.g_00156	Prae.g_01815
OG0000077	Syac.g_00439	Prae.g_00078
OG0000079	Syac.g_02211	Prae.g_00255
OG0000081	Syac.g_01954	Prae.g_00505
OG0000082	Syac.g_01766	Prae.g_00559
OG0000084	Syac.g_01627	Prae.g_01455
OG0000085	Syac.g_00560	Prae.g_01616
OG0000086	Syac.g_00423	Prae.g_00088
OG0000087	Syac.g_00343	Prae.g_00139
OG0000088	Syac.g_00308	Prae.g_00169
OG0000089	Syac.g_01988, Syac.g_01543	Prae.g_00355
OG0000090	Syac.g_01836	Prae.g_00508
OG0000091	Syac.g_00987	Prae.g_00616
OG0000094	Syac.g_01251	Prae.g_01021
OG0000097	Syac.g_01507	Prae.g_01204
OG0000098	Syac.g_02157	Prae.g_01350
OG0000099	Syac.g_00234	Prae.g_01390
OG0000100	Syac.g_01309	Prae.g_01533
OG0000101	Syac.g_02094	Prae.g_01758
OG0000102	Syac.g_00151	Prae.g_01820
OG0000103	Syac.g_02476	Prae.g_01899
OG0000104	Syac.g_02490	Prae.g_01907
OG0000105	Syac.g_02245	Prae.g_01440
OG0000106	Syac.g_01098	Prae.g_00370
OG0000107	Syac.g_02191	Prae.g_00385
OG0000108	Syac.g_01904	Prae.g_00454
OG0000109	Syac.g_01889	Prae.g_00468
OG0000110	Syac.g_01778	Prae.g_00549
OG0000112	Syac.g_01173	Prae.g_00770
OG0000113	Syac.g_01314	Prae.g_00828
OG0000114	Syac.g_01394	Prae.g_00908
OG0000115	Syac.g_01655	Prae.g_01102
OG0000116	Syac.g_00753	Prae.g_01153
OG0000117	Syac.g_01477	Prae.g_01263
OG0000118	Syac.g_01728	Prae.g_01341
