Orthogroup	Syac	Pral
OG0000001	Syac.g_02154	Pral.g_01236, Pral.g_01671, Pral.g_01296
OG0000002	Syac.g_01084	Pral.g_01549, Pral.g_01554, Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337, Pral.g_01052, Pral.g_01764
OG0000004	Syac.g_00898	Pral.g_01743
OG0000004	Syac.g_00948, Syac.g_01975	Pral.g_00809
OG0000005	Syac.g_00569	Pral.g_01075
OG0000006	Syac.g_01958, Syac.g_01961, Syac.g_02194	Pral.g_00797
OG0000007	Syac.g_01885	Pral.g_00593
OG0000007	Syac.g_00544	Pral.g_00107
OG0000008	Syac.g_00921	Pral.g_00020
OG0000008	Syac.g_00922	Pral.g_00021
OG0000010	Syac.g_01701	Pral.g_01832, Pral.g_01848, Pral.g_00618
OG0000013	Syac.g_02046, Syac.g_02062, Syac.g_02056	Pral.g_00712
OG0000014	Syac.g_00253	Pral.g_00732
OG0000015	Syac.g_01408	Pral.g_01813
OG0000017	Syac.g_01742	Pral.g_00484
OG0000017	Syac.g_01749	Pral.g_00491
OG0000018	Syac.g_01660	Pral.g_01346, Pral.g_01516
OG0000019	Syac.g_02207	Pral.g_00790, Pral.g_01344
OG0000022	Syac.g_01031	Pral.g_00044
OG0000023	Syac.g_00760	Pral.g_01687
OG0000024	Syac.g_00925	Pral.g_01895
OG0000025	Syac.g_00847	Pral.g_01523
OG0000026	Syac.g_00034	Pral.g_01012
OG0000027	Syac.g_01095	Pral.g_00039, Pral.g_01036
OG0000028	Syac.g_00237	Pral.g_00719, Pral.g_00053
OG0000029	Syac.g_01942	Pral.g_01890
OG0000030	Syac.g_00143, Syac.g_00142	Pral.g_00316
OG0000032	Syac.g_01677	Pral.g_01121
OG0000033	Syac.g_00304	Pral.g_00874
OG0000034	Syac.g_00334, Syac.g_00715	Pral.g_01271
OG0000035	Syac.g_01630	Pral.g_01165, Pral.g_01161
OG0000037	Syac.g_01077	Pral.g_00938
OG0000038	Syac.g_02357, Syac.g_02358	Pral.g_00356
OG0000039	Syac.g_00856, Syac.g_02378	Pral.g_01755
OG0000041	Syac.g_00655	Pral.g_00155
OG0000042	Syac.g_00146	Pral.g_00313
OG0000045	Syac.g_01040	Pral.g_01322
OG0000046	Syac.g_02063, Syac.g_02055, Syac.g_02047	Pral.g_00711
OG0000047	Syac.g_02031	Pral.g_00672
OG0000048	Syac.g_02240	Pral.g_00768
OG0000051	Syac.g_01292	Pral.g_00095
OG0000053	Syac.g_01657	Pral.g_00066, Pral.g_01139
OG0000054	Syac.g_00933	Pral.g_00482
OG0000055	Syac.g_00859	Pral.g_01670
OG0000055	Syac.g_01034	Pral.g_00082
OG0000057	Syac.g_00894	Pral.g_01740
OG0000058	Syac.g_00226	Pral.g_01202
OG0000059	Syac.g_02142	Pral.g_00195
OG0000061	Syac.g_00769	Pral.g_01367, Pral.g_00639
OG0000062	Syac.g_00567	Pral.g_01073
OG0000063	Syac.g_00037	Pral.g_00435
OG0000064	Syac.g_01567, Syac.g_00575	Pral.g_00980
OG0000065	Syac.g_00490, Syac.g_00396	Pral.g_00940
OG0000066	Syac.g_01827	Pral.g_00551
OG0000067	Syac.g_01341	Pral.g_01488
OG0000068	Syac.g_01916	Pral.g_01222
OG0000069	Syac.g_01272	Pral.g_01114, Pral.g_01164
OG0000070	Syac.g_00711	Pral.g_00643
OG0000071	Syac.g_00729	Pral.g_01281
OG0000072	Syac.g_00302	Pral.g_00872
OG0000073	Syac.g_01883	Pral.g_00591
OG0000075	Syac.g_00191	Pral.g_00279
OG0000076	Syac.g_00156	Pral.g_00305
OG0000077	Syac.g_00439	Pral.g_00969
OG0000079	Syac.g_02211	Pral.g_00787
OG0000081	Syac.g_01954	Pral.g_00559
OG0000082	Syac.g_01766	Pral.g_00057
OG0000084	Syac.g_01627	Pral.g_01169
OG0000085	Syac.g_00560	Pral.g_00099
OG0000086	Syac.g_00423	Pral.g_00959
OG0000087	Syac.g_00343	Pral.g_00906
OG0000088	Syac.g_00308	Pral.g_00878
OG0000089	Syac.g_01988, Syac.g_01543	Pral.g_00676
OG0000090	Syac.g_01836	Pral.g_00557
OG0000091	Syac.g_00987	Pral.g_01443
OG0000093	Syac.g_01357	Pral.g_01472
OG0000097	Syac.g_01507	Pral.g_01416
OG0000098	Syac.g_02157	Pral.g_01239
OG0000099	Syac.g_00234	Pral.g_01201
OG0000100	Syac.g_01309	Pral.g_01078
OG0000101	Syac.g_02094	Pral.g_00243
OG0000102	Syac.g_00151	Pral.g_00310
OG0000103	Syac.g_02476	Pral.g_00397
OG0000104	Syac.g_02490	Pral.g_00406
OG0000105	Syac.g_02245	Pral.g_00765
OG0000106	Syac.g_01098	Pral.g_01859
OG0000107	Syac.g_02191	Pral.g_00171
OG0000108	Syac.g_01904	Pral.g_00611
OG0000109	Syac.g_01889	Pral.g_00596
OG0000110	Syac.g_01778	Pral.g_00513
OG0000112	Syac.g_01173	Pral.g_01635
OG0000113	Syac.g_01314	Pral.g_01511
OG0000114	Syac.g_01394	Pral.g_01799
OG0000115	Syac.g_01655	Pral.g_01141
OG0000116	Syac.g_00753	Pral.g_01356
OG0000117	Syac.g_01477	Pral.g_01398, Pral.g_01397, Pral.g_01396, Pral.g_01881
OG0000118	Syac.g_01728	Pral.g_01269
OG0000120	Syac.g_00233	Pral.g_00702
OG0000121	Syac.g_01635	Pral.g_01159
OG0000122	Syac.g_01013	Pral.g_01116
OG0000123	Syac.g_02086	Pral.g_00250
OG0000124	Syac.g_00135	Pral.g_00322
OG0000125	Syac.g_02360	Pral.g_00358
OG0000126	Syac.g_02488	Pral.g_00405
OG0000128	Syac.g_00012	Pral.g_00421
OG0000129	Syac.g_02349	Pral.g_01000
OG0000130	Syac.g_00450	Pral.g_00978
OG0000131	Syac.g_00330	Pral.g_00900
OG0000132	Syac.g_00310	Pral.g_00880
OG0000133	Syac.g_01178	Pral.g_00717
OG0000134	Syac.g_01985	Pral.g_00674
OG0000135	Syac.g_02398	Pral.g_01034
OG0000136	Syac.g_00701	Pral.g_00653
OG0000137	Syac.g_01700	Pral.g_00617
OG0000138	Syac.g_01888	Pral.g_00595
OG0000139	Syac.g_01830	Pral.g_00553
OG0000140	Syac.g_01829	Pral.g_00552
OG0000141	Syac.g_00934	Pral.g_00481
OG0000142	Syac.g_00979	Pral.g_01436
OG0000143	Syac.g_00983	Pral.g_01440
OG0000144	Syac.g_01090	Pral.g_01453
OG0000145	Syac.g_01882	Pral.g_01037
OG0000146	Syac.g_01172	Pral.g_01636
OG0000147	Syac.g_01171	Pral.g_01637
OG0000148	Syac.g_01320	Pral.g_01505
OG0000149	Syac.g_00832	Pral.g_01535
OG0000150	Syac.g_00935	Pral.g_01545
OG0000151	Syac.g_01383	Pral.g_01789
OG0000152	Syac.g_01182	Pral.g_01627
OG0000153	Syac.g_01217	Pral.g_01578
OG0000154	Syac.g_01241	Pral.g_01595
OG0000155	Syac.g_00804	Pral.g_01390
OG0000156	Syac.g_00743	Pral.g_01292
OG0000157	Syac.g_00742	Pral.g_01291
OG0000158	Syac.g_00182	Pral.g_00287
OG0000160	Syac.g_01633	Pral.g_01160
OG0000161	Syac.g_01641	Pral.g_01154
OG0000162	Syac.g_01648	Pral.g_01148
OG0000163	Syac.g_00619	Pral.g_01106
OG0000164	Syac.g_00508	Pral.g_00131
OG0000165	Syac.g_00674	Pral.g_00138
OG0000166	Syac.g_02132	Pral.g_00206
OG0000167	Syac.g_00194	Pral.g_00277
OG0000168	Syac.g_00179	Pral.g_00288
OG0000169	Syac.g_00168	Pral.g_00298
OG0000170	Syac.g_00161	Pral.g_00301
OG0000171	Syac.g_00136	Pral.g_00321
OG0000172	Syac.g_00084	Pral.g_00328
OG0000173	Syac.g_00057	Pral.g_00343
OG0000174	Syac.g_02401	Pral.g_00375
OG0000175	Syac.g_02465	Pral.g_00387
OG0000176	Syac.g_00004	Pral.g_00414
OG0000177	Syac.g_00005	Pral.g_00415
OG0000178	Syac.g_00006	Pral.g_00416
OG0000179	Syac.g_00019	Pral.g_01028
OG0000180	Syac.g_00020	Pral.g_01027
OG0000181	Syac.g_00021	Pral.g_01026
OG0000182	Syac.g_00022	Pral.g_01025
OG0000183	Syac.g_00026	Pral.g_01021
OG0000184	Syac.g_02339	Pral.g_00996
OG0000185	Syac.g_02336	Pral.g_00993
OG0000186	Syac.g_00454	Pral.g_00984
OG0000187	Syac.g_00453	Pral.g_00983
OG0000188	Syac.g_00433	Pral.g_00965
OG0000189	Syac.g_00408	Pral.g_00951
OG0000190	Syac.g_00406	Pral.g_00950
OG0000191	Syac.g_00373	Pral.g_00928
OG0000192	Syac.g_00368	Pral.g_00923
OG0000193	Syac.g_00329	Pral.g_00899
OG0000194	Syac.g_00326	Pral.g_00896
OG0000195	Syac.g_00324	Pral.g_00894
OG0000196	Syac.g_00313	Pral.g_00883
OG0000197	Syac.g_00312	Pral.g_00882
OG0000198	Syac.g_00311	Pral.g_00881
OG0000199	Syac.g_00303	Pral.g_00873
OG0000200	Syac.g_02261	Pral.g_00860
OG0000202	Syac.g_02279	Pral.g_00850
OG0000203	Syac.g_02280	Pral.g_00849
OG0000204	Syac.g_02281	Pral.g_00848
OG0000205	Syac.g_02288	Pral.g_00842
OG0000206	Syac.g_02297	Pral.g_00837
OG0000207	Syac.g_02300	Pral.g_00835
OG0000208	Syac.g_02301	Pral.g_00834
OG0000209	Syac.g_02316	Pral.g_00825
OG0000210	Syac.g_02317	Pral.g_00824
OG0000211	Syac.g_01972	Pral.g_00807
OG0000212	Syac.g_01963	Pral.g_00799
OG0000213	Syac.g_02219	Pral.g_00781
OG0000214	Syac.g_02236	Pral.g_00772
OG0000215	Syac.g_00281	Pral.g_00746
OG0000216	Syac.g_00277	Pral.g_00744
OG0000217	Syac.g_00273	Pral.g_00741
OG0000218	Syac.g_00271	Pral.g_00739
OG0000219	Syac.g_00270	Pral.g_00738
OG0000220	Syac.g_00269	Pral.g_00737
OG0000221	Syac.g_00261	Pral.g_00736
OG0000222	Syac.g_00247	Pral.g_00729
OG0000223	Syac.g_00225	Pral.g_00716
OG0000224	Syac.g_00217	Pral.g_00714
OG0000225	Syac.g_02004	Pral.g_00686
OG0000226	Syac.g_02000	Pral.g_00682
OG0000227	Syac.g_01998	Pral.g_00680
OG0000228	Syac.g_01989	Pral.g_00677
OG0000229	Syac.g_00692	Pral.g_00658
OG0000230	Syac.g_00694	Pral.g_00656
OG0000231	Syac.g_00710	Pral.g_00644
OG0000232	Syac.g_01717	Pral.g_00631
OG0000233	Syac.g_01713	Pral.g_00625
OG0000234	Syac.g_01699	Pral.g_00616
OG0000235	Syac.g_01905	Pral.g_00612
OG0000236	Syac.g_01890	Pral.g_00597
OG0000237	Syac.g_01873	Pral.g_00584
OG0000238	Syac.g_01868	Pral.g_00578
OG0000239	Syac.g_01852	Pral.g_00565
OG0000240	Syac.g_01851	Pral.g_00564
OG0000241	Syac.g_00970	Pral.g_00560
OG0000242	Syac.g_01839	Pral.g_00558
OG0000243	Syac.g_01821	Pral.g_00547
OG0000244	Syac.g_01814	Pral.g_00544
OG0000245	Syac.g_01811	Pral.g_00542
OG0000246	Syac.g_01807	Pral.g_00538
OG0000247	Syac.g_01795	Pral.g_00527
OG0000248	Syac.g_01792	Pral.g_00524
OG0000249	Syac.g_01790	Pral.g_00522
OG0000250	Syac.g_01782	Pral.g_00516
OG0000251	Syac.g_01757	Pral.g_00498
OG0000252	Syac.g_01753	Pral.g_00495
OG0000253	Syac.g_01752	Pral.g_00494
OG0000254	Syac.g_00939	Pral.g_00477
OG0000255	Syac.g_00947	Pral.g_00470
OG0000256	Syac.g_00963	Pral.g_00460
OG0000257	Syac.g_00969	Pral.g_01430
OG0000258	Syac.g_00988	Pral.g_01444
OG0000259	Syac.g_01425	Pral.g_01461
OG0000260	Syac.g_01422	Pral.g_01464
OG0000261	Syac.g_01418	Pral.g_01467
OG0000262	Syac.g_01413	Pral.g_01471
OG0000263	Syac.g_01497	Pral.g_01761
OG0000264	Syac.g_00915	Pral.g_01750
OG0000265	Syac.g_00673	Pral.g_01729
OG0000266	Syac.g_01271	Pral.g_01719
OG0000267	Syac.g_01131	Pral.g_01706
OG0000268	Syac.g_01132	Pral.g_01705
OG0000269	Syac.g_01346	Pral.g_01483
OG0000270	Syac.g_01343	Pral.g_01486
OG0000271	Syac.g_01335	Pral.g_01494
OG0000272	Syac.g_01334	Pral.g_01495
