Orthogroup	Syac	Pran
OG0000001	Syac.g_02154	Pran.g_01395
OG0000002	Syac.g_01084	Pran.g_01500
OG0000004	Syac.g_00898	Pran.g_01483
OG0000004	Syac.g_00948, Syac.g_01975	Pran.g_00200
OG0000005	Syac.g_00527	Pran.g_00983
OG0000005	Syac.g_00569	Pran.g_00657
OG0000006	Syac.g_01958, Syac.g_01961, Syac.g_02194	Pran.g_01951
OG0000007	Syac.g_01885	Pran.g_01681
OG0000007	Syac.g_00544	Pran.g_00970
OG0000009	Syac.g_01004, Syac.g_00398	Pran.g_00328
OG0000010	Syac.g_01701	Pran.g_00175, Pran.g_01704
OG0000012	Syac.g_00758, Syac.g_01577, Syac.g_00955	Pran.g_01555
OG0000013	Syac.g_02046, Syac.g_02062, Syac.g_02056	Pran.g_01867
OG0000014	Syac.g_00253	Pran.g_01888
OG0000014	Syac.g_00100	Pran.g_00755, Pran.g_00754
OG0000015	Syac.g_01408	Pran.g_01394
OG0000016	Syac.g_01053	Pran.g_00620
OG0000017	Syac.g_01749	Pran.g_01580
OG0000018	Syac.g_01660	Pran.g_00078, Pran.g_01316
OG0000019	Syac.g_02207	Pran.g_01943, Pran.g_01363
OG0000022	Syac.g_01031	Pran.g_01401, Pran.g_00097
OG0000023	Syac.g_00760	Pran.g_01834
OG0000024	Syac.g_00925	Pran.g_01420, Pran.g_01503
OG0000025	Syac.g_00847	Pran.g_01309, Pran.g_01863
OG0000026	Syac.g_00034	Pran.g_00930, Pran.g_00393, Pran.g_00168
OG0000027	Syac.g_01095	Pran.g_00583
OG0000028	Syac.g_00237	Pran.g_01874
OG0000029	Syac.g_01942	Pran.g_01410
OG0000030	Syac.g_00143, Syac.g_00142	Pran.g_01170
OG0000033	Syac.g_00304	Pran.g_00263
OG0000034	Syac.g_00334, Syac.g_00715	Pran.g_00866
OG0000035	Syac.g_01630	Pran.g_00733
OG0000037	Syac.g_01077	Pran.g_00324
OG0000038	Syac.g_02357, Syac.g_02358	Pran.g_01210
OG0000039	Syac.g_00856, Syac.g_02378	Pran.g_01492
OG0000040	Syac.g_01006	Pran.g_00923
OG0000041	Syac.g_00655	Pran.g_01016
OG0000042	Syac.g_00146	Pran.g_01167
OG0000045	Syac.g_01040	Pran.g_01823
OG0000047	Syac.g_02031	Pran.g_01864
OG0000048	Syac.g_02240	Pran.g_01772, Pran.g_01820
OG0000051	Syac.g_01073	Pran.g_00898
OG0000051	Syac.g_01292	Pran.g_00944
OG0000052	Syac.g_00207	Pran.g_00777
OG0000053	Syac.g_01657	Pran.g_00713
OG0000054	Syac.g_00933	Pran.g_01572
OG0000055	Syac.g_00859	Pran.g_01362
OG0000057	Syac.g_00894	Pran.g_01480
OG0000058	Syac.g_00226	Pran.g_00807
OG0000059	Syac.g_02142	Pran.g_01056
OG0000061	Syac.g_00769	Pran.g_00060
OG0000063	Syac.g_00037	Pran.g_00391
OG0000065	Syac.g_00490, Syac.g_00396	Pran.g_00326
OG0000066	Syac.g_01827	Pran.g_01639
OG0000067	Syac.g_01341	Pran.g_01343
OG0000068	Syac.g_01916	Pran.g_00841
OG0000069	Syac.g_01272	Pran.g_00614
OG0000070	Syac.g_00711	Pran.g_01727
OG0000071	Syac.g_00729	Pran.g_00938, Pran.g_00876
OG0000072	Syac.g_00302	Pran.g_00261
OG0000073	Syac.g_01883	Pran.g_01679
OG0000075	Syac.g_00191	Pran.g_01137
OG0000076	Syac.g_00156	Pran.g_01160
OG0000077	Syac.g_00439	Pran.g_00354
OG0000079	Syac.g_02211	Pran.g_01940
OG0000081	Syac.g_01954	Pran.g_01647
OG0000082	Syac.g_01766	Pran.g_01593
OG0000084	Syac.g_01627	Pran.g_00737
OG0000085	Syac.g_00560	Pran.g_00963
OG0000086	Syac.g_00423	Pran.g_00344
OG0000087	Syac.g_00343	Pran.g_00295
OG0000088	Syac.g_00308	Pran.g_00266
OG0000089	Syac.g_01988, Syac.g_01543	Pran.g_01839
OG0000090	Syac.g_01836	Pran.g_01645
OG0000091	Syac.g_00987	Pran.g_01536
OG0000094	Syac.g_01251	Pran.g_00549
OG0000097	Syac.g_01507	Pran.g_00019
OG0000098	Syac.g_02157	Pran.g_00855
OG0000099	Syac.g_00234	Pran.g_00806
OG0000100	Syac.g_01309	Pran.g_00659
OG0000101	Syac.g_02094	Pran.g_01105
OG0000102	Syac.g_00151	Pran.g_01165
OG0000103	Syac.g_02476	Pran.g_01244
OG0000104	Syac.g_02490	Pran.g_01253
OG0000105	Syac.g_02245	Pran.g_01920
OG0000106	Syac.g_01098	Pran.g_01824
OG0000107	Syac.g_02191	Pran.g_01808
OG0000108	Syac.g_01904	Pran.g_01698
OG0000109	Syac.g_01889	Pran.g_01684
OG0000110	Syac.g_01778	Pran.g_01603
OG0000112	Syac.g_01173	Pran.g_01378
OG0000113	Syac.g_01314	Pran.g_01321
OG0000114	Syac.g_01394	Pran.g_00429
OG0000115	Syac.g_01655	Pran.g_00123
OG0000116	Syac.g_00753	Pran.g_00070
OG0000117	Syac.g_01477	Pran.g_01466
OG0000118	Syac.g_01728	Pran.g_00864
OG0000120	Syac.g_00233	Pran.g_00752
OG0000121	Syac.g_01635	Pran.g_00731
OG0000122	Syac.g_01013	Pran.g_00693
OG0000123	Syac.g_02086	Pran.g_01112
OG0000124	Syac.g_00135	Pran.g_01176
OG0000125	Syac.g_02360	Pran.g_01212
OG0000126	Syac.g_02488	Pran.g_01252
OG0000128	Syac.g_00012	Pran.g_01268
OG0000129	Syac.g_02349	Pran.g_00381
OG0000130	Syac.g_00450	Pran.g_00363
OG0000131	Syac.g_00330	Pran.g_00288
OG0000132	Syac.g_00310	Pran.g_00268
OG0000133	Syac.g_01178	Pran.g_01872
OG0000134	Syac.g_01985	Pran.g_01838
OG0000135	Syac.g_02398	Pran.g_01812
OG0000136	Syac.g_00701	Pran.g_01739
OG0000137	Syac.g_01700	Pran.g_01703
OG0000138	Syac.g_01888	Pran.g_01683
OG0000139	Syac.g_01830	Pran.g_01641
OG0000140	Syac.g_01829	Pran.g_01640
OG0000141	Syac.g_00934	Pran.g_01571
OG0000142	Syac.g_00979	Pran.g_01543
OG0000143	Syac.g_00983	Pran.g_01539
OG0000144	Syac.g_01090	Pran.g_01526
OG0000145	Syac.g_01882	Pran.g_01400
OG0000146	Syac.g_01172	Pran.g_01377
OG0000147	Syac.g_01171	Pran.g_01376
OG0000148	Syac.g_01320	Pran.g_01327
OG0000149	Syac.g_00832	Pran.g_01297
OG0000150	Syac.g_00935	Pran.g_01289
OG0000151	Syac.g_01383	Pran.g_00439
OG0000152	Syac.g_01182	Pran.g_00487
OG0000153	Syac.g_01217	Pran.g_00506
OG0000154	Syac.g_01241	Pran.g_00542
OG0000155	Syac.g_00804	Pran.g_00040
OG0000156	Syac.g_00743	Pran.g_00887
