Orthogroup	Syac	Prbc
OG0000001	Syac.g_02154	Prbc.g_00588, Prbc.g_00892, Prbc.g_01530, Prbc.g_00925
OG0000002	Syac.g_01084	Prbc.g_01920, Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473, Prbc.g_01478, Prbc.g_01759
OG0000004	Syac.g_00898	Prbc.g_01381
OG0000004	Syac.g_00948, Syac.g_01975	Prbc.g_00339
OG0000005	Syac.g_00527	Prbc.g_00098
OG0000005	Syac.g_00569	Prbc.g_00788
OG0000006	Syac.g_01958, Syac.g_01961, Syac.g_02194	Prbc.g_02202
OG0000007	Syac.g_01885	Prbc.g_01556
OG0000007	Syac.g_00544	Prbc.g_00832
OG0000008	Syac.g_00921	Prbc.g_00893
OG0000008	Syac.g_00922	Prbc.g_00894
OG0000010	Syac.g_01701	Prbc.g_02115, Prbc.g_01533
OG0000013	Syac.g_02046, Syac.g_02062, Syac.g_02056	Prbc.g_01219
OG0000014	Syac.g_00253	Prbc.g_01198
OG0000014	Syac.g_00100	Prbc.g_00680
OG0000015	Syac.g_01408	Prbc.g_00599
OG0000016	Syac.g_00014	Prbc.g_01083
OG0000016	Syac.g_01505, Syac.g_01053	Prbc.g_00929
OG0000017	Syac.g_01749	Prbc.g_01681
OG0000018	Syac.g_01660	Prbc.g_01468, Prbc.g_01887
OG0000019	Syac.g_02207	Prbc.g_01836
OG0000022	Syac.g_01031	Prbc.g_00166, Prbc.g_01288
OG0000023	Syac.g_00760	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071
OG0000024	Syac.g_00925	Prbc.g_00598, Prbc.g_01755
OG0000025	Syac.g_00847	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894
OG0000026	Syac.g_00034	Prbc.g_01101
OG0000027	Syac.g_01095	Prbc.g_00072
OG0000028	Syac.g_00237	Prbc.g_00653
OG0000030	Syac.g_00143, Syac.g_00142	Prbc.g_00199
OG0000032	Syac.g_01677	Prbc.g_00746
OG0000033	Syac.g_00304	Prbc.g_00402
OG0000034	Syac.g_00334, Syac.g_00715	Prbc.g_00575
OG0000035	Syac.g_01630	Prbc.g_00709
OG0000037	Syac.g_01077	Prbc.g_00464
OG0000038	Syac.g_02357, Syac.g_02358	Prbc.g_00995
OG0000039	Syac.g_00856, Syac.g_02378	Prbc.g_01768
OG0000040	Syac.g_01006	Prbc.g_00909, Prbc.g_00811
OG0000041	Syac.g_00655	Prbc.g_00877
OG0000042	Syac.g_00146	Prbc.g_00203
OG0000043	Syac.g_01100	Prbc.g_00135
OG0000045	Syac.g_01040	Prbc.g_02137
OG0000046	Syac.g_02063, Syac.g_02055, Syac.g_02047	Prbc.g_01220
OG0000047	Syac.g_02031	Prbc.g_01273, Prbc.g_01227
OG0000048	Syac.g_02240	Prbc.g_01165
OG0000051	Syac.g_01292	Prbc.g_00095
OG0000053	Syac.g_01657	Prbc.g_00728
OG0000054	Syac.g_00933	Prbc.g_01683
OG0000055	Syac.g_00859	Prbc.g_01822
OG0000055	Syac.g_01034	Prbc.g_00907
OG0000057	Syac.g_00894	Prbc.g_01780, Prbc.g_00055
OG0000058	Syac.g_00226	Prbc.g_01928
OG0000059	Syac.g_02142	Prbc.g_00958
OG0000061	Syac.g_00769	Prbc.g_01446
OG0000063	Syac.g_00037	Prbc.g_00932
OG0000065	Syac.g_00490, Syac.g_00396	Prbc.g_00466
