Orthogroup	Syac	Prag
OG0000001	Syac.g_02154	Prag.g_01374, Prag.g_01654, Prag.g_00764, Prag.g_01216, Prag.g_01215, Prag.g_01651
OG0000002	Syac.g_01084	Prag.g_01382, Prag.g_00656
OG0000004	Syac.g_00898	Prag.g_00673
OG0000004	Syac.g_00948, Syac.g_01975	Prag.g_00225
OG0000005	Syac.g_00527	Prag.g_01682
OG0000005	Syac.g_00569	Prag.g_01566
OG0000006	Syac.g_01958, Syac.g_01961, Syac.g_02194	Prag.g_00234, Prag.g_01231
OG0000007	Syac.g_01885	Prag.g_00476
OG0000007	Syac.g_00544	Prag.g_01669
OG0000008	Syac.g_00921	Prag.g_01655
OG0000008	Syac.g_00922	Prag.g_01656
OG0000009	Syac.g_01004, Syac.g_00398	Prag.g_00098
OG0000010	Syac.g_01701	Prag.g_01043, Prag.g_00453
OG0000012	Syac.g_00758, Syac.g_01577, Syac.g_00955	Prag.g_00601
OG0000013	Syac.g_02046, Syac.g_02062, Syac.g_02056	Prag.g_00318
OG0000014	Syac.g_00253	Prag.g_00297
OG0000015	Syac.g_01408	Prag.g_00765
OG0000016	Syac.g_00014	Prag.g_00013
OG0000016	Syac.g_01053	Prag.g_01638
OG0000017	Syac.g_01749	Prag.g_00576
OG0000018	Syac.g_01660	Prag.g_01134, Prag.g_00833
OG0000019	Syac.g_02207	Prag.g_00242, Prag.g_00786
OG0000022	Syac.g_01031	Prag.g_00757, Prag.g_01116
OG0000023	Syac.g_00760	Prag.g_00354
OG0000024	Syac.g_00925	Prag.g_00740, Prag.g_00653
OG0000025	Syac.g_00847	Prag.g_00839, Prag.g_00322
OG0000026	Syac.g_00034	Prag.g_00031, Prag.g_01050
OG0000027	Syac.g_01095	Prag.g_00449, Prag.g_01646, Prag.g_01336
OG0000028	Syac.g_00237	Prag.g_00311, Prag.g_01270
OG0000029	Syac.g_01942	Prag.g_00748
OG0000030	Syac.g_00143, Syac.g_00142	Prag.g_01871
OG0000033	Syac.g_00304	Prag.g_00162
OG0000034	Syac.g_00334, Syac.g_00715	Prag.g_01365
OG0000035	Syac.g_01630	Prag.g_01490, Prag.g_01488
OG0000037	Syac.g_01077	Prag.g_00102
OG0000038	Syac.g_02357, Syac.g_02358	Prag.g_01911
OG0000039	Syac.g_00856, Syac.g_02378	Prag.g_00664
OG0000040	Syac.g_01006	Prag.g_01630
OG0000041	Syac.g_00655	Prag.g_01716
OG0000042	Syac.g_00146	Prag.g_01868
OG0000045	Syac.g_01040	Prag.g_00365
OG0000047	Syac.g_02031	Prag.g_00321
OG0000048	Syac.g_02240	Prag.g_01658, Prag.g_00368
OG0000051	Syac.g_01073	Prag.g_01329
OG0000051	Syac.g_01292	Prag.g_01645
OG0000052	Syac.g_00207	Prag.g_01444
OG0000053	Syac.g_01657	Prag.g_01510
OG0000054	Syac.g_00933	Prag.g_00584
OG0000055	Syac.g_00859	Prag.g_00787
OG0000057	Syac.g_00894	Prag.g_00676
OG0000058	Syac.g_00226	Prag.g_01428
OG0000059	Syac.g_02142	Prag.g_01755
OG0000061	Syac.g_00769	Prag.g_01153
OG0000063	Syac.g_00037	Prag.g_00033
OG0000065	Syac.g_00490, Syac.g_00396	Prag.g_00100
