Orthogroup	Syac	Syai
OG0000001	Syac.g_02154	Syai.g_01716
OG0000001	Syac.g_00341	Syai.g_02595
OG0000001	Syac.g_02169	Syai.g_01729
OG0000002	Syac.g_01084	Syai.g_01728
OG0000004	Syac.g_00898	Syai.g_01994
OG0000004	Syac.g_00948	Syai.g_01062
OG0000004	Syac.g_01975	Syai.g_00530
OG0000005	Syac.g_00527	Syai.g_02393
OG0000005	Syac.g_00569	Syai.g_02356
OG0000005	Syac.g_01087	Syai.g_02068, Syai.g_01611
OG0000006	Syac.g_01958, Syac.g_01961, Syac.g_02194	Syai.g_00317, Syai.g_00547
OG0000006	Syac.g_01002	Syai.g_01126
OG0000007	Syac.g_01885	Syai.g_00657
OG0000007	Syac.g_00544	Syai.g_02378
OG0000008	Syac.g_00921	Syai.g_01956
OG0000008	Syac.g_00922	Syai.g_01955
OG0000009	Syac.g_00398	Syai.g_02541
OG0000010	Syac.g_01701	Syai.g_00864
OG0000011	Syac.g_00924	Syai.g_01952
OG0000012	Syac.g_00758	Syai.g_01987
OG0000012	Syac.g_01577	Syai.g_01529, Syai.g_01650
OG0000012	Syac.g_00955	Syai.g_01068
OG0000013	Syac.g_02046	Syai.g_00450
OG0000013	Syac.g_02062	Syai.g_00436
OG0000013	Syac.g_02056	Syai.g_00442
OG0000014	Syac.g_00253	Syai.g_00220
OG0000015	Syac.g_01408	Syai.g_01245
OG0000016	Syac.g_00014	Syai.g_00014
OG0000016	Syac.g_01505	Syai.g_01785
OG0000016	Syac.g_01053	Syai.g_01632
OG0000017	Syac.g_01742	Syai.g_00808
OG0000017	Syac.g_01749	Syai.g_00801
OG0000018	Syac.g_01660	Syai.g_00915
OG0000019	Syac.g_02207	Syai.g_00304
OG0000022	Syac.g_01031	Syai.g_01159
OG0000023	Syac.g_00760	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022
OG0000024	Syac.g_00925	Syai.g_01951
OG0000025	Syac.g_00847	Syai.g_02044
OG0000026	Syac.g_00034	Syai.g_00038
OG0000027	Syac.g_01095	Syai.g_01654
OG0000028	Syac.g_00237	Syai.g_00205
OG0000029	Syac.g_01942	Syai.g_01584
OG0000030	Syac.g_00143	Syai.g_00096
OG0000030	Syac.g_00142	Syai.g_00095
OG0000031	Syac.g_00232	Syai.g_00197
OG0000032	Syac.g_01677	Syai.g_00895
OG0000033	Syac.g_00304	Syai.g_02634
OG0000034	Syac.g_00334, Syac.g_00715	Syai.g_02192, Syai.g_02604
OG0000035	Syac.g_01630	Syai.g_00955
OG0000036	Syac.g_01722, Syac.g_01536	Syai.g_01848
OG0000037	Syac.g_01077	Syai.g_02815
OG0000038	Syac.g_02357	Syai.g_02780
OG0000039	Syac.g_00856	Syai.g_02034
OG0000040	Syac.g_02437	Syai.g_02876
OG0000041	Syac.g_00655	Syai.g_02265
OG0000041	Syac.g_00876	Syai.g_02016
OG0000042	Syac.g_00146	Syai.g_00099
OG0000043	Syac.g_01100	Syai.g_01599
OG0000045	Syac.g_01040	Syai.g_02432
OG0000046	Syac.g_02063	Syai.g_00435
OG0000046	Syac.g_02055	Syai.g_00443
OG0000046	Syac.g_02047	Syai.g_00449
OG0000047	Syac.g_02031	Syai.g_00462
OG0000048	Syac.g_02240	Syai.g_00272
OG0000050	Syac.g_01937	Syai.g_01332
OG0000051	Syac.g_01073	Syai.g_01773
OG0000052	Syac.g_00207	Syai.g_00176
OG0000053	Syac.g_01657	Syai.g_00930
OG0000054	Syac.g_00933	Syai.g_01040
OG0000055	Syac.g_00859	Syai.g_02029
OG0000057	Syac.g_00894	Syai.g_01997
OG0000058	Syac.g_00226	Syai.g_00195
OG0000059	Syac.g_02142	Syai.g_00351
OG0000060	Syac.g_01909	Syai.g_00635
OG0000061	Syac.g_00769	Syai.g_02144
OG0000062	Syac.g_00567	Syai.g_02358
OG0000063	Syac.g_00037	Syai.g_00042
OG0000064	Syac.g_01567	Syai.g_01668
OG0000064	Syac.g_00575	Syai.g_02350
OG0000066	Syac.g_01827	Syai.g_01709, Syai.g_00719
OG0000067	Syac.g_01341	Syai.g_01321
OG0000068	Syac.g_01916	Syai.g_00628
OG0000070	Syac.g_00711	Syai.g_02196
OG0000071	Syac.g_00729	Syai.g_02179
