Orthogroup	Prbf	Prah
OG0000000	Prbf.g_00776	Prah.g_01348
OG0000001	Prbf.g_00068	Prah.g_00324, Prah.g_01343, Prah.g_01159, Prah.g_02270, Prah.g_00896
OG0000002	Prbf.g_01182, Prbf.g_01177	Prah.g_00562
OG0000002	Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883, Prbf.g_00260, Prbf.g_01285	Prah.g_01226
OG0000004	Prbf.g_01264	Prah.g_01022
OG0000004	Prbf.g_01570	Prah.g_01413
OG0000005	Prbf.g_00240	Prah.g_01652
OG0000006	Prbf.g_01580	Prah.g_00475, Prah.g_01767
OG0000007	Prbf.g_01780	Prah.g_01546
OG0000007	Prbf.g_00693	Prah.g_01676
OG0000008	Prbf.g_00793	Prah.g_00970
OG0000008	Prbf.g_00792	Prah.g_00969
OG0000010	Prbf.g_00847, Prbf.g_01056	Prah.g_00311
OG0000012	Prbf.g_01905	Prah.g_00524
OG0000013	Prbf.g_01665	Prah.g_01956
OG0000014	Prbf.g_01647	Prah.g_02171
OG0000015	Prbf.g_00754, Prbf.g_00708	Prah.g_01155, Prah.g_00576
OG0000016	Prbf.g_00860	Prah.g_01270
OG0000017	Prbf.g_01887	Prah.g_01397
OG0000018	Prbf.g_00896	Prah.g_00378
OG0000019	Prbf.g_01588, Prbf.g_00894	Prah.g_02086
OG0000020	Prbf.g_00811	Prah.g_01100
OG0000021	Prbf.g_00265	Prah.g_01108, Prah.g_01112, Prah.g_01117
OG0000021	Prbf.g_01259	Prah.g_01410
OG0000022	Prbf.g_00248	Prah.g_00170
OG0000023	Prbf.g_00287	Prah.g_00688
OG0000024	Prbf.g_01052, Prbf.g_01288	Prah.g_01043
OG0000025	Prbf.g_01209	Prah.g_00604
OG0000026	Prbf.g_01354	Prah.g_00038
OG0000029	Prbf.g_00804, Prbf.g_00762	Prah.g_01972
OG0000030	Prbf.g_00484	Prah.g_00132, Prah.g_00131
