Orthogroup	Prbf	Prbe
OG0000000	Prbf.g_00880	Prbe.g_01587
OG0000000	Prbf.g_00776	Prbe.g_01119
OG0000000	Prbf.g_00775	Prbe.g_01120
OG0000000	Prbf.g_00881	Prbe.g_01120
OG0000000	Prbf.g_00760	Prbe.g_01052
OG0000001	Prbf.g_00068	Prbe.g_00400
OG0000001	Prbf.g_00831	Prbe.g_00112
OG0000002	Prbf.g_01182	Prbe.g_01285
OG0000002	Prbf.g_01177	Prbe.g_01290
OG0000002	Prbf.g_00888	Prbe.g_01579
OG0000002	Prbf.g_00089	Prbe.g_00379
OG0000002	Prbf.g_00890	Prbe.g_01577
OG0000002	Prbf.g_00883	Prbe.g_01584
OG0000002	Prbf.g_00260	Prbe.g_00208
OG0000002	Prbf.g_01285	Prbe.g_00452
OG0000004	Prbf.g_01264	Prbe.g_01203
OG0000004	Prbf.g_01570	Prbe.g_01784
OG0000005	Prbf.g_00240	Prbe.g_00228
OG0000006	Prbf.g_01580	Prbe.g_01794
OG0000007	Prbf.g_01780	Prbe.g_00636
OG0000007	Prbf.g_00693	Prbe.g_00985
OG0000008	Prbf.g_00793	Prbe.g_00036
OG0000008	Prbf.g_00792	Prbe.g_00037
OG0000009	Prbf.g_00252	Prbe.g_00216
OG0000010	Prbf.g_01757	Prbe.g_00659
OG0000010	Prbf.g_00847	Prbe.g_00096
OG0000010	Prbf.g_01056	Prbe.g_01411
OG0000011	Prbf.g_00347	Prbe.g_00713
OG0000012	Prbf.g_01905	Prbe.g_00511
OG0000012	Prbf.g_00272	Prbe.g_00196
OG0000013	Prbf.g_01665	Prbe.g_01879
OG0000014	Prbf.g_01647	Prbe.g_01861
OG0000015	Prbf.g_00754	Prbe.g_01046
OG0000015	Prbf.g_00708	Prbe.g_01000
OG0000016	Prbf.g_00860	Prbe.g_01607
OG0000017	Prbf.g_01880	Prbe.g_00536
OG0000017	Prbf.g_01887	Prbe.g_00529
OG0000018	Prbf.g_01217	Prbe.g_01250
OG0000018	Prbf.g_00896	Prbe.g_01571
OG0000019	Prbf.g_01588	Prbe.g_01802
OG0000019	Prbf.g_00894	Prbe.g_01573
OG0000020	Prbf.g_00264	Prbe.g_00204
OG0000020	Prbf.g_00811	Prbe.g_00018
OG0000021	Prbf.g_00265	Prbe.g_00203
OG0000021	Prbf.g_01259	Prbe.g_01208
OG0000022	Prbf.g_00248	Prbe.g_00220
OG0000023	Prbf.g_00287	Prbe.g_00062
OG0000024	Prbf.g_01052	Prbe.g_01415
OG0000024	Prbf.g_01288	Prbe.g_00449
OG0000025	Prbf.g_01209	Prbe.g_01258
OG0000026	Prbf.g_01354	Prbe.g_00132
OG0000027	Prbf.g_00817	Prbe.g_00012
OG0000027	Prbf.g_00774	Prbe.g_01121
OG0000028	Prbf.g_00794	Prbe.g_00034
OG0000029	Prbf.g_00804	Prbe.g_00025
OG0000029	Prbf.g_00762	Prbe.g_01054
OG0000029	Prbf.g_00762	Prbe.g_01133
OG0000029	Prbf.g_00603	Prbe.g_01091
OG0000030	Prbf.g_00484	Prbe.g_00763
OG0000031	Prbf.g_00116	Prbe.g_00352
OG0000032	Prbf.g_00196	Prbe.g_00272
OG0000033	Prbf.g_01503	Prbe.g_01717
OG0000033	Prbf.g_00123	Prbe.g_00345
OG0000034	Prbf.g_00015	Prbe.g_00882
OG0000035	Prbf.g_00157	Prbe.g_00311
OG0000037	Prbf.g_01437	Prbe.g_01651
OG0000038	Prbf.g_00445	Prbe.g_01156
OG0000039	Prbf.g_01276	Prbe.g_00461
OG0000041	Prbf.g_00646	Prbe.g_00938
OG0000042	Prbf.g_00487	Prbe.g_00766
OG0000043	Prbf.g_00897	Prbe.g_01570
OG0000045	Prbf.g_00874	Prbe.g_01593
OG0000046	Prbf.g_01666	Prbe.g_01880
OG0000047	Prbf.g_01707	Prbe.g_01921
OG0000048	Prbf.g_00039	Prbe.g_00906
OG0000048	Prbf.g_01611	Prbe.g_01825
OG0000050	Prbf.g_00845	Prbe.g_00098
OG0000051	Prbf.g_00340	Prbe.g_00720
OG0000052	Prbf.g_00135	Prbe.g_00333
OG0000052	Prbf.g_01380	Prbe.g_00158
OG0000053	Prbf.g_00178	Prbe.g_00290
OG0000053	Prbf.g_00748	Prbe.g_01040
OG0000054	Prbf.g_01889	Prbe.g_00527
OG0000055	Prbf.g_00869	Prbe.g_01598
OG0000055	Prbf.g_00719	Prbe.g_01011
OG0000057	Prbf.g_01261	Prbe.g_01206
OG0000058	Prbf.g_00117	Prbe.g_00351
OG0000059	Prbf.g_00606	Prbe.g_01094
OG0000061	Prbf.g_00918	Prbe.g_01549
OG0000062	Prbf.g_00242	Prbe.g_00226
OG0000063	Prbf.g_00808	Prbe.g_00021
OG0000064	Prbf.g_01394	Prbe.g_00172
OG0000065	Prbf.g_01435	Prbe.g_01649
OG0000066	Prbf.g_01820	Prbe.g_00596
OG0000066	Prbf.g_00781	Prbe.g_01114
OG0000067	Prbf.g_01245	Prbe.g_01222
OG0000068	Prbf.g_00095	Prbe.g_00373
OG0000069	Prbf.g_01738	Prbe.g_00678
OG0000070	Prbf.g_01734	Prbe.g_01948
OG0000071	Prbf.g_00026	Prbe.g_00893
OG0000072	Prbf.g_01505	Prbe.g_01719
OG0000073	Prbf.g_01783	Prbe.g_00633
OG0000074	Prbf.g_01281	Prbe.g_00456
OG0000074	Prbf.g_00836	Prbe.g_00107
