Orthogroup	Prbc	Pran
OG0000000	Prbc.g_02165	Pran.g_00601, Pran.g_00931, Pran.g_01423
OG0000000	Prbc.g_00106, Prbc.g_00608, Prbc.g_02167, Prbc.g_00808, Prbc.g_00618	Pran.g_00579, Pran.g_00001, Pran.g_00602
OG0000001	Prbc.g_01759, Prbc.g_01478, Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473	Pran.g_01500
OG0000002	Prbc.g_00925, Prbc.g_01530	Pran.g_01395
OG0000004	Prbc.g_00609, Prbc.g_00812	Pran.g_00894, Pran.g_00580
OG0000005	Prbc.g_01233, Prbc.g_02193, Prbc.g_01823	Pran.g_01436
OG0000006	Prbc.g_01323	Pran.g_00603, Pran.g_00114
OG0000008	Prbc.g_01556	Pran.g_01681
OG0000008	Prbc.g_00832	Pran.g_00970
OG0000010	Prbc.g_01832, Prbc.g_01836	Pran.g_01363
OG0000012	Prbc.g_01165	Pran.g_01772
OG0000013	Prbc.g_01344	Pran.g_00615, Pran.g_00328
OG0000014	Prbc.g_01198, Prbc.g_00680	Pran.g_00754, Pran.g_00755
OG0000015	Prbc.g_01227	Pran.g_01864
OG0000016	Prbc.g_00599	Pran.g_01394
OG0000017	Prbc.g_00072	Pran.g_00583
OG0000018	Prbc.g_01674	Pran.g_01580
OG0000019	Prbc.g_00037, Prbc.g_00013, Prbc.g_00125	Pran.g_01813
OG0000020	Prbc.g_00650	Pran.g_00845
OG0000021	Prbc.g_00728	Pran.g_00713
OG0000022	Prbc.g_02202	Pran.g_01951
OG0000023	Prbc.g_02189	Pran.g_01829
OG0000025	Prbc.g_00598, Prbc.g_01755	Pran.g_01420
OG0000026	Prbc.g_02163, Prbc.g_00103	Pran.g_00582
OG0000028	Prbc.g_00893	Pran.g_00642
OG0000029	Prbc.g_01822, Prbc.g_00907	Pran.g_01362
OG0000030	Prbc.g_02065, Prbc.g_00075, Prbc.g_02064, Prbc.g_02139, Prbc.g_00059	Pran.g_01361
OG0000031	Prbc.g_00203	Pran.g_01167
OG0000032	Prbc.g_00932	Pran.g_00391
OG0000033	Prbc.g_02158, Prbc.g_00045, Prbc.g_02171	Pran.g_01464
OG0000034	Prbc.g_00709	Pran.g_00733
OG0000035	Prbc.g_02181, Prbc.g_00752	Pran.g_00614
OG0000036	Prbc.g_02114	Pran.g_00117
OG0000037	Prbc.g_00095	Pran.g_00944
OG0000038	Prbc.g_01228	Pran.g_00753
OG0000039	Prbc.g_00929, Prbc.g_01083	Pran.g_00620
OG0000040	Prbc.g_00164	Pran.g_00925
OG0000041	Prbc.g_02155	Pran.g_01555
OG0000043	Prbc.g_01380	Pran.g_00415
OG0000045	Prbc.g_00891	Pran.g_01593
OG0000046	Prbc.g_00166	Pran.g_01401
OG0000047	Prbc.g_01446	Pran.g_00060
OG0000048	Prbc.g_00518, Prbc.g_00517	Pran.g_00777
OG0000049	Prbc.g_01928	Pran.g_00807
OG0000050	Prbc.g_00405	Pran.g_00266
OG0000051	Prbc.g_00047, Prbc.g_00071, Prbc.g_00006	Pran.g_01834
OG0000052	Prbc.g_01315	Pran.g_01778
OG0000053	Prbc.g_01787	Pran.g_01460
OG0000054	Prbc.g_00826	Pran.g_00963
OG0000055	Prbc.g_00211	Pran.g_01160
OG0000056	Prbc.g_01101	Pran.g_00393, Pran.g_00930
OG0000057	Prbc.g_00414	Pran.g_00275
OG0000058	Prbc.g_00134, Prbc.g_00641	Pran.g_01824
OG0000059	Prbc.g_01618	Pran.g_01639
OG0000060	Prbc.g_01800	Pran.g_01447
OG0000061	Prbc.g_01116	Pran.g_01379
OG0000062	Prbc.g_01882, Prbc.g_00153	Pran.g_01321
OG0000063	Prbc.g_01117	Pran.g_00108, Pran.g_00935
OG0000065	Prbc.g_00333	Pran.g_00195
OG0000066	Prbc.g_01534	Pran.g_01703
OG0000067	Prbc.g_00055, Prbc.g_01780	Pran.g_01480
OG0000069	Prbc.g_00645	Pran.g_00095, Pran.g_00507
OG0000070	Prbc.g_00963, Prbc.g_02113	Pran.g_00903, Pran.g_00568
OG0000071	Prbc.g_00102	Pran.g_01466
OG0000072	Prbc.g_00566	Pran.g_00938, Pran.g_00876
OG0000074	Prbc.g_01753	Pran.g_00752
OG0000075	Prbc.g_00284	Pran.g_01105
OG0000077	Prbc.g_01081	Pran.g_01268
OG0000078	Prbc.g_01214	Pran.g_01872
OG0000079	Prbc.g_02198, Prbc.g_02183	Pran.g_01812
OG0000080	Prbc.g_01748	Pran.g_01509
OG0000081	Prbc.g_01773	Pran.g_01487
OG0000082	Prbc.g_01865	Pran.g_01336
OG0000083	Prbc.g_01953, Prbc.g_00135	Pran.g_00179
OG0000084	Prbc.g_02036	Pran.g_00487
OG0000085	Prbc.g_00173	Pran.g_00135
OG0000086	Prbc.g_00896	Pran.g_00093
OG0000088	Prbc.g_01334	Pran.g_01784
OG0000090	Prbc.g_01229	Pran.g_00806
OG0000091	Prbc.g_00717	Pran.g_00787
OG0000092	Prbc.g_00144	Pran.g_00575, Pran.g_00912
