Orthogroup	Prbc	Prab
OG0000000	Prbc.g_02165	Prab.g_01598, Prab.g_01630, Prab.g_00760
OG0000000	Prbc.g_00106, Prbc.g_00608, Prbc.g_02167, Prbc.g_00808, Prbc.g_00618	Prab.g_00918, Prab.g_01620, Prab.g_01597, Prab.g_01278
OG0000001	Prbc.g_01759, Prbc.g_01478, Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473	Prab.g_00683
OG0000002	Prbc.g_00925, Prbc.g_01530	Prab.g_00788, Prab.g_01281, Prab.g_01279
OG0000004	Prbc.g_00609, Prbc.g_00812	Prab.g_01308, Prab.g_00917, Prab.g_01619
OG0000005	Prbc.g_01233, Prbc.g_02193, Prbc.g_01823	Prab.g_00747
OG0000006	Prbc.g_01323	Prab.g_01596, Prab.g_01165
OG0000008	Prbc.g_01556	Prab.g_00501
OG0000008	Prbc.g_00832	Prab.g_01669
OG0000010	Prbc.g_01832, Prbc.g_01836	Prab.g_00820
OG0000012	Prbc.g_01165	Prab.g_00411
OG0000013	Prbc.g_01344	Prab.g_01584, Prab.g_00096
OG0000014	Prbc.g_01198, Prbc.g_00680	Prab.g_01445, Prab.g_01444
OG0000015	Prbc.g_01227	Prab.g_00318
OG0000016	Prbc.g_00599	Prab.g_00789
OG0000017	Prbc.g_00072	Prab.g_01616, Prab.g_00914
OG0000018	Prbc.g_01674	Prab.g_00602
OG0000019	Prbc.g_00037, Prbc.g_00013, Prbc.g_00125	Prab.g_00370
OG0000020	Prbc.g_00650	Prab.g_01356
OG0000021	Prbc.g_00728	Prab.g_01486
OG0000022	Prbc.g_02202	Prab.g_00231
OG0000023	Prbc.g_02189	Prab.g_00354
OG0000025	Prbc.g_00598, Prbc.g_01755	Prab.g_00763
OG0000026	Prbc.g_02163, Prbc.g_00103	Prab.g_00915, Prab.g_01617
OG0000028	Prbc.g_00893	Prab.g_01557
OG0000029	Prbc.g_01822, Prbc.g_00907	Prab.g_00821
OG0000030	Prbc.g_02065, Prbc.g_00075, Prbc.g_02064, Prbc.g_02139, Prbc.g_00059	Prab.g_00822
OG0000031	Prbc.g_00203	Prab.g_01864
OG0000032	Prbc.g_00932	Prab.g_00033
OG0000033	Prbc.g_02158, Prbc.g_00045, Prbc.g_02171	Prab.g_00719
OG0000034	Prbc.g_00709	Prab.g_01466
OG0000035	Prbc.g_02181, Prbc.g_00752	Prab.g_01585
OG0000036	Prbc.g_02114	Prab.g_01162
OG0000037	Prbc.g_00095	Prab.g_01643
OG0000038	Prbc.g_01228	Prab.g_01446
OG0000039	Prbc.g_00929, Prbc.g_01083	Prab.g_01579
OG0000040	Prbc.g_00164	Prab.g_01624
OG0000041	Prbc.g_02155	Prab.g_00627
OG0000043	Prbc.g_01380	Prab.g_01082
OG0000045	Prbc.g_00891	Prab.g_00589
OG0000046	Prbc.g_00166	Prab.g_00782
OG0000047	Prbc.g_01446	Prab.g_01219
OG0000048	Prbc.g_00518, Prbc.g_00517	Prab.g_01423
OG0000049	Prbc.g_01928	Prab.g_01393
OG0000050	Prbc.g_00405	Prab.g_00157
OG0000051	Prbc.g_00047, Prbc.g_00071, Prbc.g_00006	Prab.g_00348
OG0000052	Prbc.g_01315	Prab.g_00405
OG0000053	Prbc.g_01787	Prab.g_00723
OG0000054	Prbc.g_00826	Prab.g_01662
OG0000055	Prbc.g_00211	Prab.g_01857
OG0000056	Prbc.g_01101	Prab.g_00031, Prab.g_01629
OG0000057	Prbc.g_00414	Prab.g_00148
OG0000058	Prbc.g_00134, Prbc.g_00641	Prab.g_00359
OG0000059	Prbc.g_01618	Prab.g_00543
OG0000060	Prbc.g_01800	Prab.g_00736
OG0000061	Prbc.g_01116	Prab.g_00803
OG0000062	Prbc.g_01882, Prbc.g_00153	Prab.g_00862
OG0000063	Prbc.g_01117	Prab.g_01171, Prab.g_01634
OG0000065	Prbc.g_00333	Prab.g_00228
OG0000066	Prbc.g_01534	Prab.g_00479
OG0000067	Prbc.g_00055, Prbc.g_01780	Prab.g_00703
OG0000069	Prbc.g_00645	Prab.g_01184, Prab.g_00990
OG0000070	Prbc.g_00963, Prbc.g_02113	Prab.g_01299, Prab.g_00929
OG0000071	Prbc.g_00102	Prab.g_00717
OG0000072	Prbc.g_00566	Prab.g_01637, Prab.g_01326
OG0000074	Prbc.g_01753	Prab.g_01447
OG0000075	Prbc.g_00284	Prab.g_01802
OG0000077	Prbc.g_01081	Prab.g_00011
OG0000078	Prbc.g_01214	Prab.g_00310
OG0000079	Prbc.g_02198, Prbc.g_02183	Prab.g_00371
OG0000080	Prbc.g_01748	Prab.g_00674
OG0000081	Prbc.g_01773	Prab.g_00696
OG0000082	Prbc.g_01865	Prab.g_00847
OG0000083	Prbc.g_01953, Prbc.g_00135	Prab.g_01100
OG0000084	Prbc.g_02036	Prab.g_01010
OG0000085	Prbc.g_00173	Prab.g_01144
OG0000086	Prbc.g_00896	Prab.g_01186
OG0000088	Prbc.g_01334	Prab.g_00399
OG0000090	Prbc.g_01229	Prab.g_01394
OG0000091	Prbc.g_00717	Prab.g_01413
OG0000092	Prbc.g_00144	Prab.g_00922, Prab.g_01290
OG0000094	Prbc.g_00288, Prbc.g_01560	Prab.g_01799
OG0000095	Prbc.g_00238	Prab.g_01832
OG0000096	Prbc.g_00989	Prab.g_01902
OG0000097	Prbc.g_01009	Prab.g_01920
OG0000098	Prbc.g_01073	Prab.g_00003
OG0000099	Prbc.g_01093	Prab.g_00023
OG0000101	Prbc.g_01127	Prab.g_00048
