Orthogroup	Praw	Prao
OG0000000	Praw.g_00455	Prao.g_01515
OG0000000	Praw.g_00496, Praw.g_00294, Praw.g_00454	Prao.g_01029
OG0000000	Praw.g_00472	Prao.g_01528, Prao.g_01297
OG0000001	Praw.g_01009	Prao.g_01246
OG0000001	Praw.g_01844	Prao.g_00116
OG0000002	Praw.g_00497	Prao.g_01529
OG0000002	Praw.g_01739, Praw.g_01951	Prao.g_01852
OG0000002	Praw.g_01000	Prao.g_01254
OG0000003	Praw.g_00924	Prao.g_01345
OG0000003	Praw.g_01390	Prao.g_00015
OG0000004	Praw.g_00959	Prao.g_01296
OG0000004	Praw.g_00457	Prao.g_01518
OG0000005	Praw.g_01775	Prao.g_00673
OG0000005	Praw.g_01769	Prao.g_00679
OG0000005	Praw.g_00958	Prao.g_01301
OG0000006	Praw.g_00945	Prao.g_01316
OG0000006	Praw.g_01754	Prao.g_00691
OG0000006	Praw.g_00184	Prao.g_01142
OG0000007	Praw.g_00928	Prao.g_01333
OG0000007	Praw.g_00750	Prao.g_00517
OG0000008	Praw.g_00651	Prao.g_00603
OG0000008	Praw.g_00515	Prao.g_01552
OG0000010	Praw.g_01717	Prao.g_00720
OG0000010	Praw.g_00884	Prao.g_00387
OG0000011	Praw.g_01755	Prao.g_00690
OG0000012	Praw.g_00758	Prao.g_00509
OG0000013	Praw.g_00447	Prao.g_01507
OG0000015	Praw.g_00804	Prao.g_00466
OG0000017	Praw.g_00962	Prao.g_01293
OG0000017	Praw.g_00677	Prao.g_00576
OG0000018	Praw.g_01944	Prao.g_00036
OG0000019	Praw.g_00752	Prao.g_00515
OG0000020	Praw.g_01012	Prao.g_01243
OG0000021	Praw.g_00357	Prao.g_01417
OG0000022	Praw.g_01950	Prao.g_00379
OG0000023	Praw.g_00479	Prao.g_01346
OG0000023	Praw.g_00767	Prao.g_00500
OG0000024	Praw.g_00951	Prao.g_01308
OG0000025	Praw.g_01763	Prao.g_00683
OG0000026	Praw.g_00961, Praw.g_01782	Prao.g_01294
OG0000027	Praw.g_01850	Prao.g_00111
OG0000028	Praw.g_00939	Prao.g_01323
OG0000029	Praw.g_01716	Prao.g_00721
OG0000030	Praw.g_01715	Prao.g_00722
OG0000031	Praw.g_00032	Prao.g_01750
OG0000032	Praw.g_01395	Prao.g_00179
OG0000033	Praw.g_01773	Prao.g_00675
OG0000034	Praw.g_01083, Praw.g_01081	Prao.g_01397
OG0000035	Praw.g_00448	Prao.g_01508
OG0000036	Praw.g_00181	Prao.g_01145
OG0000037	Praw.g_00955	Prao.g_01304
OG0000038	Praw.g_01073	Prao.g_01355, Prao.g_01364
OG0000039	Praw.g_01415	Prao.g_00160
OG0000040	Praw.g_00952	Prao.g_01307
OG0000041	Praw.g_00159	Prao.g_00062
OG0000042	Praw.g_01180	Prao.g_01796
OG0000043	Praw.g_01428	Prao.g_01015
OG0000043	Praw.g_00323	Prao.g_00831
OG0000045	Praw.g_01932	Prao.g_00024
OG0000046	Praw.g_01746	Prao.g_00699
OG0000047	Praw.g_00234	Prao.g_01089
OG0000049	Praw.g_01055	Prao.g_01191
OG0000050	Praw.g_01269	Prao.g_00304
OG0000051	Praw.g_00772	Prao.g_00494
OG0000052	Praw.g_00730	Prao.g_00532
OG0000053	Praw.g_01809	Prao.g_00648
OG0000054	Praw.g_00508	Prao.g_01545
OG0000055	Praw.g_00039	Prao.g_01743
OG0000056	Praw.g_01397	Prao.g_00177
OG0000057	Praw.g_01278	Prao.g_00295
OG0000058	Praw.g_00762	Prao.g_00505
OG0000060	Praw.g_01796	Prao.g_00661
OG0000061	Praw.g_01752	Prao.g_00693
OG0000062	Praw.g_01675	Prao.g_00763
OG0000063	Praw.g_00189	Prao.g_01135
OG0000065	Praw.g_01198	Prao.g_00375
OG0000066	Praw.g_00672	Prao.g_00581
OG0000067	Praw.g_01824	Prao.g_00136
