assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCF_000009725.1	PRJNA224116	SAMD00061113	na	na	1148	1148	Synechocystis sp. PCC 6803	strain=PCC 6803	na	latest	Complete Genome	Major	Full	2001-10-23	ASM972v1	Kazusa	GCA_000009725.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/725/GCF_000009725.1_ASM972v1	na	na	na	haploid	bacteria	3947019	3947019	47.500000	5	5	5	NCBI RefSeq	GCF_000009725.1-RS_2025_06_29	2025-06-29	3749	3630	51	8590279;8905231;14686584
GCF_000010065.1	PRJNA224116	SAMD00061073	na	na	269084	32046	Synechococcus elongatus PCC 6301	strain=PCC 6301	na	latest	Complete Genome	Major	Full	2004-12-21	ASM1006v1	Nagoya University, Japan	GCA_000010065.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/065/GCF_000010065.1_ASM1006v1	na	assembly from type material	na	haploid	bacteria	2696255	2696255	55.500000	1	1	1	NCBI RefSeq	GCF_000010065.1-RS_2025_03_15	2025-03-15	2737	2657	55	16407232;16882723;17040912;17211581
GCF_000012505.1	PRJNA224116	SAMN02598312	na	na	316279	316279	Synechococcus sp. CC9902	strain=CC9902	na	latest	Complete Genome	Major	Full	2005-10-27	ASM1250v1	DOE Joint Genome Institute	GCA_000012505.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/505/GCF_000012505.1_ASM1250v1	na	na	na	haploid	bacteria	2234828	2234828	54.000000	1	1	1	NCBI RefSeq	GCF_000012505.1-RS_2024_08_13	2024-08-13	2445	2383	53	na
GCF_000012525.1	PRJNA224116	SAMN02598254	na	na	1140	32046	Synechococcus elongatus PCC 7942 = FACHB-805	strain=PCC 7942	na	latest	Complete Genome	Major	Full	2005-11-10	ASM1252v1	DOE Joint Genome Institute	GCA_000012525.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/525/GCF_000012525.1_ASM1252v1	na	na	na	haploid	bacteria	2742269	2742269	55.500000	2	2	2	NCBI RefSeq	GCF_000012525.1-RS_2025_04_10	2025-04-10	2775	2711	55	na
GCF_000012625.1	PRJNA224116	SAMN02598311	na	na	110662	110662	Synechococcus sp. CC9605	strain=CC9605	na	latest	Complete Genome	Major	Full	2005-10-28	ASM1262v1	DOE Joint Genome Institute	GCA_000012625.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/625/GCF_000012625.1_ASM1262v1	na	na	na	haploid	bacteria	2510659	2510659	59.000000	1	1	1	NCBI RefSeq	GCF_000012625.1-RS_2024_09_15	2024-09-15	2847	2773	55	na
GCF_000013205.1	PRJNA224116	SAMN02604048	na	na	321327	321327	Synechococcus sp. JA-3-3Ab	strain=JA-3-3Ab	na	latest	Complete Genome	Major	Full	2006-02-07	ASM1320v1	TIGR	GCA_000013205.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/205/GCF_000013205.1_ASM1320v1	na	na	na	haploid	bacteria	2932766	2932766	60.000000	1	1	1	NCBI RefSeq	GCF_000013205.1-RS_2024_08_13	2024-08-13	2835	2714	57	16391090;18059494
GCF_000013225.1	PRJNA224116	SAMN02604049	na	na	321332	321332	Synechococcus sp. JA-2-3B'a(2-13)	strain=JA-2-3B'a(2-13)	na	latest	Complete Genome	Major	Full	2006-02-07	ASM1322v1	TIGR	GCA_000013225.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/225/GCF_000013225.1_ASM1322v1	na	na	na	haploid	bacteria	3046682	3046682	58.500000	1	1	1	NCBI RefSeq	GCF_000013225.1-RS_2024_08_13	2024-08-13	2832	2729	53	16391090;18059494
GCF_000014585.1	PRJNA224116	SAMN02604031	na	na	64471	64471	Synechococcus sp. CC9311	strain=CC9311	na	latest	Complete Genome	Major	Full	2006-09-01	ASM1458v1	TIGR	GCA_000014585.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/585/GCF_000014585.1_ASM1458v1	na	na	na	haploid	bacteria	2606748	2606748	52.500000	1	1	1	NCBI RefSeq	GCF_000014585.1-RS_2024_08_13	2024-08-13	2771	2699	53	16938853
GCF_000153045.1	PRJNA224116	SAMN02436085	AANO00000000.1	na	69042	69042	Synechococcus sp. WH 5701	strain=WH 5701	na	latest	Scaffold	Major	Full	2006-05-04	ASM15304v1	The Gordon and Betty Moore Foundation Marine Microbiology Initiative	GCA_000153045.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/153/045/GCF_000153045.1_ASM15304v1	na	na	na	haploid	bacteria	3280236	3043834	65.500000	0	116	135	NCBI RefSeq	GCF_000153045.1-RS_2024_08_13	2024-08-13	3331	3168	59	na
GCF_000153065.1	PRJNA224116	SAMN02436139	AANP00000000.1	na	221360	221360	Synechococcus sp. RS9917	strain=RS9917; RCC556	na	latest	Scaffold	Major	Full	2006-05-04	ASM15306v1	The Gordon and Betty Moore Foundation Marine Microbiology Initiative	GCA_000153065.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/153/065/GCF_000153065.1_ASM15306v1	na	na	na	haploid	bacteria	2584918	2579542	64.500000	0	1	9	NCBI RefSeq	GCF_000153065.1-RS_2024_08_22	2024-08-22	2755	2672	49	na
GCF_000153285.1	PRJNA224116	SAMN02436160	AAOK00000000.1	na	59931	59931	Synechococcus sp. WH 7805	strain=WH 7805	na	latest	Scaffold	Major	Full	2006-05-04	ASM15328v1	The Gordon and Betty Moore Foundation Marine Microbiology Initiative	GCA_000153285.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/153/285/GCF_000153285.1_ASM15328v1	na	na	na	haploid	bacteria	2627046	2620367	57.500000	0	3	13	NCBI RefSeq	GCF_000153285.1-RS_2024_08_13	2024-08-13	2744	2667	54	na
GCF_000153805.1	PRJNA224116	SAMN02436154	AATZ00000000.1	na	313625	313625	Synechococcus sp. BL107	strain=BL107	na	latest	Scaffold	Major	Full	2006-10-23	ASM15380v1	The Gordon and Betty Moore Foundation Marine Microbiology Initiative	GCA_000153805.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/153/805/GCF_000153805.1_ASM15380v1	na	na	na	haploid	bacteria	2285034	2283377	54.000000	0	1	6	NCBI RefSeq	GCF_000153805.1-RS_2024_08_13	2024-08-13	2485	2423	51	na
GCF_000153825.1	PRJNA224116	SAMN02436107	AAUA00000000.1	na	221359	221359	Synechococcus sp. RS9916	strain=RS9916	na	latest	Scaffold	Major	Full	2006-10-23	ASM15382v1	The Gordon and Betty Moore Foundation Marine Microbiology Initiative	GCA_000153825.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/153/825/GCF_000153825.1_ASM15382v1	na	na	na	haploid	bacteria	2664873	2664465	60.000000	0	1	4	NCBI RefSeq	GCF_000153825.1-RS_2024_08_13	2024-08-13	2808	2733	53	na
GCF_000155595.1	PRJNA224116	SAMN02436177	ABRV00000000.1	na	91464	91464	Synechococcus sp. PCC 7335	strain=PCC 7335	na	latest	Scaffold	Major	Full	2008-08-15	ASM15559v1	Gordon and Betty Moore Foundation Microbial Genome Sequencing Project	GCA_000155595.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/155/595/GCF_000155595.1_ASM15559v1	na	na	na	haploid	bacteria	5973558	5964106	48.000000	0	11	38	NCBI RefSeq	GCF_000155595.1-RS_2024_08_13	2024-08-13	5223	5094	45	na
GCF_000161795.2	PRJNA224116	SAMN02436260	na	na	166314	166314	Synechococcus sp. WH 8109	strain=WH 8109	na	latest	Complete Genome	Major	Full	2014-01-09	ASM16179v2	Gordon and Betty Moore Foundation Marine Microbiology Initiative	GCA_000161795.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/161/795/GCF_000161795.2_ASM16179v2	na	na	na	haploid	bacteria	2111515	2111515	60.000000	1	1	1	NCBI RefSeq	GCF_000161795.2-RS_2024_08_13	2024-08-13	2400	2319	53	na
GCF_000179235.2	PRJNA224116	SAMN00010394	na	na	232348	232348	Synechococcus sp. CB0101	strain=CB0101	na	latest	Complete Genome	Major	Full	2019-04-30	ASM17923v2	Gordon and Betty Moore Foundation Marine Microbiology Initiative	GCA_000179235.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/179/235/GCF_000179235.2_ASM17923v2	na	na	na	haploid	bacteria	2789647	2789647	64.000000	1	1	1	NCBI RefSeq	GCF_000179235.2-RS_2024_08_23	2024-08-23	3094	2995	60	na
GCF_000179255.1	PRJNA224116	SAMN00010406	ADXM00000000.1	na	232363	232363	Synechococcus sp. CB0205	strain=CB0205	na	latest	Contig	Major	Full	2010-06-22	ASM17925v1	Gordon and Betty Moore Foundation Marine Microbiology Initiative	GCA_000179255.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/179/255/GCF_000179255.1_ASM17925v1	na	na	na	haploid	bacteria	2427308	2427308	63.000000	0	78	78	NCBI RefSeq	GCF_000179255.1-RS_2024_08_13	2024-08-13	2727	2615	50	na
GCF_000230675.1	PRJNA224116	SAMN02261394	AGIK00000000.1	na	166318	166318	Synechococcus sp. WH 8016	strain=WH 8016	na	latest	Contig	Major	Full	2011-10-14	ASM23067v1	JGI	GCA_000230675.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/230/675/GCF_000230675.1_ASM23067v1	na	na	na	haploid	bacteria	2694843	2694843	54.000000	0	16	16	NCBI RefSeq	GCF_000230675.1-RS_2024_08_22	2024-08-22	2924	2844	49	na
GCF_000270265.1	PRJNA224116	SAMD00060991	na	na	1148	1148	Synechocystis sp. PCC 6803	strain=GT-S	na	latest	Complete Genome	Major	Full	2011-07-01	ASM27026v1	Graduate School of Arts and Sciences, University of Tokyo	GCA_000270265.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/265/GCF_000270265.1_ASM27026v1	na	na	na	haploid	bacteria	3571103	3571103	47.500000	1	1	1	NCBI RefSeq	GCF_000270265.1-RS_2024_08_13	2024-08-13	3348	3245	51	8905231;21803841
GCF_000284135.1	PRJNA224116	SAMD00061000	na	na	1080228	1148	Synechocystis sp. PCC 6803 substr. GT-I	strain=PCC 6803 substr. GT-I	na	latest	Complete Genome	Major	Full	2011-12-01	ASM28413v1	University of Tokyo , Department of Agriculture,	GCA_000284135.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/284/135/GCF_000284135.1_ASM28413v1	na	na	na	haploid	bacteria	3570004	3570004	47.500000	1	1	1	NCBI RefSeq	GCF_000284135.1-RS_2024_08_13	2024-08-13	3349	3245	51	22193367
GCF_000284215.1	PRJNA224116	SAMD00061001	na	na	1080229	1148	Synechocystis sp. PCC 6803 substr. PCC-N	strain=PCC 6803 substr. PCC-N	na	latest	Complete Genome	Major	Full	2011-12-01	ASM28421v1	University of Tokyo, Department of Agriculture	GCA_000284215.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/284/215/GCF_000284215.1_ASM28421v1	na	na	na	haploid	bacteria	3570103	3570103	47.500000	1	1	1	NCBI RefSeq	GCF_000284215.1-RS_2024_08_13	2024-08-13	3350	3246	51	22193367
GCF_000284455.1	PRJNA224116	SAMD00060999	na	na	1080230	1148	Synechocystis sp. PCC 6803 substr. PCC-P	strain=PCC 6803 substr. PCC-P	na	latest	Complete Genome	Major	Full	2011-12-01	ASM28445v1	University of Tokyo,  Department of Agriculture	GCA_000284455.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/284/455/GCF_000284455.1_ASM28445v1	na	na	na	haploid	bacteria	3570114	3570114	47.500000	1	1	1	NCBI RefSeq	GCF_000284455.1-RS_2024_08_13	2024-08-13	3347	3242	51	22193367
GCF_000316685.1	PRJNA224116	SAMN02261337	na	na	195253	195253	Synechococcus sp. PCC 6312	strain=PCC 6312	na	latest	Complete Genome	Major	Full	2012-12-04	ASM31668v1	JGI	GCA_000316685.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/316/685/GCF_000316685.1_ASM31668v1	na	na	na	haploid	bacteria	3720499	3720499	48.500000	2	2	2	NCBI RefSeq	GCF_000316685.1-RS_2024_08_22	2024-08-22	3724	3624	48	na
GCF_000317085.1	PRJNA224116	SAMN02261356	na	na	1173263	1173263	Synechococcus sp. PCC 7502	strain=PCC 7502	na	latest	Complete Genome	Major	Full	2012-12-05	ASM31708v1	JGI	GCA_000317085.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/317/085/GCF_000317085.1_ASM31708v1	na	na	na	haploid	bacteria	3583735	3583735	40.500000	3	3	3	NCBI RefSeq	GCF_000317085.1-RS_2024_08_22	2024-08-22	3750	3609	53	na
