assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCF_000007925.1	PRJNA224116	SAMN02603142	na	na	167539	1219	Prochlorococcus marinus subsp. marinus str. CCMP1375	strain=CCMP1375; SS120	na	latest	Complete Genome	Major	Full	2003-07-25	ASM792v1	CNRS	GCA_000007925.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/925/GCF_000007925.1_ASM792v1	na	assembly from type material	na	haploid	bacteria	1751080	1751080	36.500000	1	1	1	NCBI RefSeq	GCF_000007925.1-RS_2025_04_10	2025-04-10	1911	1859	45	12917486
GCF_000011465.1	PRJNA224116	SAMEA3138209	na	na	59919	1219	Prochlorococcus marinus subsp. pastoris str. CCMP1986	strain=MED4	na	latest	Complete Genome	Major	Full	2003-08-19	ASM1146v1	DOE Joint Genome Institute	GCA_000011465.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/465/GCF_000011465.1_ASM1146v1	na	assembly from type material	na	haploid	bacteria	1657990	1657990	31.000000	1	1	1	NCBI RefSeq	GCF_000011465.1-RS_2025_01_23	2025-01-23	1924	1877	43	12917642
GCF_000011485.1	PRJNA224116	SAMEA3138210	na	na	74547	1219	Prochlorococcus marinus str. MIT 9313	strain=MIT9313	na	latest	Complete Genome	Major	Full	2003-08-19	ASM1148v1	DOE Joint Genome Institute	GCA_000011485.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/485/GCF_000011485.1_ASM1148v1	na	na	na	haploid	bacteria	2410873	2410873	50.500000	1	1	1	NCBI RefSeq	GCF_000011485.1-RS_2025_03_11	2025-03-11	2474	2389	53	12917642
GCF_000012465.1	PRJNA224116	SAMN00623057	na	na	59920	1219	Prochlorococcus marinus str. NATL2A	strain=NATL2A	na	latest	Complete Genome	Major	Full	2007-12-18	ASM1246v1	DOE Joint Genome Institute	GCA_000012465.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/465/GCF_000012465.1_ASM1246v1	na	na	na	haploid	bacteria	1842899	1842899	35.000000	1	1	1	NCBI RefSeq	GCF_000012465.1-RS_2025_05_23	2025-05-23	2108	2058	45	18159947
GCF_000012645.1	PRJNA224116	SAMN02598321	na	na	74546	1219	Prochlorococcus marinus str. MIT 9312	strain=MIT 9312	na	latest	Complete Genome	Major	Full	2005-11-03	ASM1264v1	DOE Joint Genome Institute	GCA_000012645.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/645/GCF_000012645.1_ASM1264v1	na	na	na	haploid	bacteria	1709204	1709204	31.000000	1	1	1	NCBI RefSeq	GCF_000012645.1-RS_2025_01_27	2025-01-27	1921	1876	44	na
GCF_000015645.1	PRJNA224116	SAMN02603921	na	na	146891	1219	Prochlorococcus marinus str. AS9601	strain=AS9601	na	latest	Complete Genome	Major	Full	2007-01-19	ASM1564v1	The Gordon and Betty Moore Foundation Marine Microbiology Initiative	GCA_000015645.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/645/GCF_000015645.1_ASM1564v1	na	na	na	haploid	bacteria	1669886	1669886	31.500000	1	1	1	NCBI RefSeq	GCF_000015645.1-RS_2025_05_21	2025-05-21	1896	1846	44	18159947
GCF_000015665.1	PRJNA224116	SAMN02603924	na	reference genome	167542	1219	Prochlorococcus marinus str. MIT 9515	strain=MIT 9515	na	latest	Complete Genome	Major	Full	2007-01-19	ASM1566v1	The Gordon and Betty Moore Foundation Marine Microbiology Initiative	GCA_000015665.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/665/GCF_000015665.1_ASM1566v1	na	na	na	haploid	bacteria	1704176	1704176	31.000000	1	1	1	NCBI RefSeq	GCF_000015665.1-RS_2025_03_28	2025-03-28	1924	1878	43	18159947
GCF_000015685.1	PRJNA224116	SAMN02603287	na	na	167555	1219	Prochlorococcus marinus str. NATL1A	strain=NATL1A	na	latest	Complete Genome	Major	Full	2007-01-22	ASM1568v1	Gordon and Betty Moore Foundation Marine Microbiology Initiative	GCA_000015685.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/685/GCF_000015685.1_ASM1568v1	na	na	na	haploid	bacteria	1864731	1864731	35.000000	1	1	1	NCBI RefSeq	GCF_000015685.1-RS_2025_01_27	2025-01-27	2135	2083	44	na
GCF_000015705.1	PRJNA224116	SAMN02603917	na	na	59922	1219	Prochlorococcus marinus str. MIT 9303	strain=MIT 9303	na	latest	Complete Genome	Major	Full	2007-01-22	ASM1570v1	The Gordon and Betty Moore Foundation Marine Microbiology Initiative	GCA_000015705.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/705/GCF_000015705.1_ASM1570v1	na	na	na	haploid	bacteria	2682675	2682675	50.000000	1	1	1	NCBI RefSeq	GCF_000015705.1-RS_2025_05_21	2025-05-21	2689	2587	54	18159947
GCF_000015965.1	PRJNA224116	SAMN02603288	na	na	167546	1219	Prochlorococcus marinus str. MIT 9301	strain=MIT 9301	na	latest	Complete Genome	Major	Full	2007-03-05	ASM1596v1	Gordon and Betty Moore Foundation Marine Microbiology Initiative	GCA_000015965.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/965/GCF_000015965.1_ASM1596v1	na	na	na	haploid	bacteria	1641879	1641879	31.500000	1	1	1	NCBI RefSeq	GCF_000015965.1-RS_2025_05_23	2025-05-23	1898	1850	43	18159947
GCF_000018065.1	PRJNA224116	SAMN02598410	na	na	93060	1219	Prochlorococcus marinus str. MIT 9215	strain=MIT 9215	na	latest	Complete Genome	Major	Full	2007-09-20	ASM1806v1	US DOE Joint Genome Institute	GCA_000018065.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/065/GCF_000018065.1_ASM1806v1	na	na	na	haploid	bacteria	1738790	1738790	31.000000	1	1	1	NCBI RefSeq	GCF_000018065.1-RS_2025_05_22	2025-05-22	1984	1930	46	18159947
GCF_000018585.1	PRJNA224116	SAMN00622972	na	na	93059	1219	Prochlorococcus marinus str. MIT 9211	strain=MIT 9211	na	latest	Chromosome	Major	Full	2007-11-13	ASM1858v1	The Gordon and Betty Moore Foundation Marine Microbiology Initiative	GCA_000018585.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/585/GCF_000018585.1_ASM1858v1	na	na	na	haploid	bacteria	1688963	1688863	38.000000	1	1	2	NCBI RefSeq	GCF_000018585.1-RS_2025_05_21	2025-05-21	1854	1800	46	18159947
GCF_000158595.1	PRJNA224116	SAMN02436267	ACDW00000000.1	na	93058	1219	Prochlorococcus marinus str. MIT 9202	strain=MIT 9202	na	latest	Scaffold	Major	Full	2009-01-26	ASM15859v1	The Gordon and Betty Moore Foundation Microbial Genome Sequencing project	GCA_000158595.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/158/595/GCF_000158595.1_ASM15859v1	na	na	na	haploid	bacteria	1691453	1690387	31.000000	0	1	6	NCBI RefSeq	GCF_000158595.1-RS_2025_01_28	2025-01-28	1940	1881	43	na
GCF_000757845.1	PRJNA224116	SAMN02769551	na	na	1501268	1501268	Prochlorococcus sp. MIT 0604	strain=MIT 0604	na	latest	Complete Genome	Major	Full	2014-09-25	ASM75784v1	MIT	GCA_000757845.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/757/845/GCF_000757845.1_ASM75784v1	na	na	na	haploid	bacteria	1780061	1780061	31.000000	1	1	1	NCBI RefSeq	GCF_000757845.1-RS_2024_08_13	2024-08-13	2054	2003	44	na
GCF_000757865.1	PRJNA224116	SAMN02769563	na	na	1501269	1501269	Prochlorococcus sp. MIT 0801	strain=MIT 0801	na	latest	Complete Genome	Major	Full	2014-09-25	ASM75786v1	MIT	GCA_000757865.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/757/865/GCF_000757865.1_ASM75786v1	na	na	na	haploid	bacteria	1929203	1929203	35.000000	1	1	1	NCBI RefSeq	GCF_000757865.1-RS_2024_08_13	2024-08-13	2200	2145	45	na
GCF_000759855.1	PRJNA224116	SAMN02769552	JNAI00000000.1	na	59921	1219	Prochlorococcus marinus str. MIT 9107	strain=MIT 9107	na	latest	Contig	Major	Full	2014-09-29	ASM75985v1	MIT	GCA_000759855.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/759/855/GCF_000759855.1_ASM75985v1	na	na	na	haploid	bacteria	1699937	1699937	31.000000	0	13	13	NCBI RefSeq	GCF_000759855.1-RS_2025_05_18	2025-05-18	1950	1887	44	25977791
