Orthogroup	Prac	Prad
OG0000000	Prac.g_00210	Prad.g_00601
OG0000000	Prac.g_00693	Prad.g_01252
OG0000001	Prac.g_00926	Prad.g_01435
OG0000002	Prac.g_00202	Prad.g_00609
OG0000002	Prac.g_00925, Prac.g_00924	Prad.g_01434, Prad.g_01994
OG0000003	Prac.g_00157	Prad.g_00350
OG0000003	Prac.g_00290	Prad.g_00389
OG0000004	Prac.g_01536	Prad.g_01075
OG0000004	Prac.g_01529	Prad.g_01082
OG0000005	Prac.g_00292	Prad.g_00392
OG0000005	Prac.g_00277	Prad.g_01982
OG0000006	Prac.g_00874	Prad.g_00132
OG0000006	Prac.g_00625	Prad.g_00941
OG0000007	Prac.g_00699	Prad.g_01246
OG0000008	Prac.g_01149	Prad.g_00726
OG0000008	Prac.g_01954	Prad.g_01215
OG0000009	Prac.g_01496	Prad.g_01125
OG0000009	Prac.g_01681	Prad.g_01742
OG0000010	Prac.g_01035	Prad.g_00650
OG0000010	Prac.g_00139	Prad.g_00330
OG0000011	Prac.g_01127	Prad.g_00683
OG0000011	Prac.g_01601	Prad.g_01661
OG0000012	Prac.g_00773	Prad.g_01387
OG0000013	Prac.g_00898	Prad.g_01108
OG0000015	Prac.g_01151	Prad.g_00728
OG0000016	Prac.g_00213	Prad.g_00598
OG0000017	Prac.g_00391	Prad.g_00494
OG0000018	Prac.g_01689	Prad.g_01750
OG0000019	Prac.g_01169	Prad.g_00745
OG0000020	Prac.g_01159	Prad.g_00735
OG0000021	Prac.g_01494	Prad.g_01127
OG0000022	Prac.g_00159	Prad.g_00352
OG0000023	Prac.g_00301	Prad.g_00401
OG0000024	Prac.g_01625	Prad.g_01685
OG0000025	Prac.g_01220	Prad.g_00985
OG0000026	Prac.g_01914, Prac.g_01913	Prad.g_01953
OG0000026	Prac.g_00908	Prad.g_00081
OG0000027	Prac.g_00325	Prad.g_00427
OG0000027	Prac.g_01533	Prad.g_01078
OG0000028	Prac.g_00411	Prad.g_00515
OG0000029	Prac.g_00300	Prad.g_00400
OG0000029	Prac.g_00890	Prad.g_00952
OG0000033	Prac.g_01934	Prad.g_01973
OG0000035	Prac.g_01399	Prad.g_00258
OG0000036	Prac.g_00788	Prad.g_01374
OG0000037	Prac.g_00748	Prad.g_01412
OG0000038	Prac.g_01510	Prad.g_01105
OG0000039	Prac.g_01764	Prad.g_01825
OG0000040	Prac.g_01174	Prad.g_00751
