Orthogroup	Prac	Prat
OG0000000	Prac.g_00210	Prat.g_00977
OG0000000	Prac.g_00693	Prat.g_00751, Prat.g_01462, Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187
OG0000002	Prac.g_00202	Prat.g_01285, Prat.g_01286
OG0000002	Prac.g_00925, Prac.g_00924	Prat.g_00851
OG0000003	Prac.g_00157, Prac.g_00290	Prat.g_01190
OG0000004	Prac.g_01529	Prat.g_00824
OG0000006	Prac.g_00874	Prat.g_00458
OG0000006	Prac.g_00625	Prat.g_01592
OG0000007	Prac.g_00904	Prat.g_00376
OG0000009	Prac.g_01496	Prat.g_01180
OG0000009	Prac.g_01681	Prat.g_00255
OG0000010	Prac.g_01958, Prac.g_01035, Prac.g_00139	Prat.g_00634
OG0000011	Prac.g_01127	Prat.g_00374
OG0000012	Prac.g_00773	Prat.g_00567, Prat.g_00560
OG0000013	Prac.g_00898	Prat.g_00701
OG0000014	Prac.g_01074	Prat.g_01548, Prat.g_01474
OG0000015	Prac.g_01151	Prat.g_00615, Prat.g_01580, Prat.g_00639
OG0000016	Prac.g_00213	Prat.g_00647, Prat.g_01452
OG0000017	Prac.g_01901	Prat.g_01375
OG0000018	Prac.g_01689	Prat.g_00248
OG0000019	Prac.g_01169	Prat.g_00461
OG0000022	Prac.g_00159	Prat.g_01191
OG0000024	Prac.g_01625	Prat.g_00314, Prat.g_01267
OG0000026	Prac.g_00908	Prat.g_01516
OG0000028	Prac.g_00411	Prat.g_01352, Prat.g_01353
OG0000029	Prac.g_00300, Prac.g_00890	Prat.g_01400
OG0000030	Prac.g_01905	Prat.g_01473
OG0000033	Prac.g_01934	Prat.g_00014
OG0000035	Prac.g_01217, Prac.g_01399	Prat.g_00657
OG0000036	Prac.g_00788	Prat.g_01507
OG0000037	Prac.g_00748	Prat.g_00586
OG0000038	Prac.g_01510	Prat.g_01448, Prat.g_01192
OG0000039	Prac.g_01764	Prat.g_00166
OG0000040	Prac.g_01174	Prat.g_00834
OG0000041	Prac.g_01119	Prat.g_01552, Prat.g_00613
OG0000042	Prac.g_01560	Prat.g_00788
OG0000043	Prac.g_01491	Prat.g_00856
OG0000044	Prac.g_00985	Prat.g_01156
OG0000045	Prac.g_00434, Prac.g_00258	Prat.g_01311
OG0000046	Prac.g_00632	Prat.g_01584
OG0000047	Prac.g_01904, Prac.g_00041	Prat.g_01788
OG0000048	Prac.g_00048	Prat.g_01796
OG0000050	Prac.g_01916	Prat.g_00033
OG0000051	Prac.g_01590, Prac.g_01773	Prat.g_00157
OG0000052	Prac.g_01163	Prat.g_00637
OG0000053	Prac.g_00833	Prat.g_01499
OG0000055	Prac.g_01453	Prat.g_01014
OG0000057	Prac.g_01693	Prat.g_00242
OG0000058	Prac.g_01069	Prat.g_00434
OG0000059	Prac.g_00673	Prat.g_00775
OG0000062	Prac.g_01018	Prat.g_01495, Prat.g_01561
OG0000063	Prac.g_01955	Prat.g_01129
OG0000065	Prac.g_00175	Prat.g_01249
OG0000066	Prac.g_00248	Prat.g_00344
OG0000067	Prac.g_00142	Prat.g_01532
OG0000068	Prac.g_00548	Prat.g_01726
OG0000071	Prac.g_01936	Prat.g_00012, Prat.g_00011
OG0000072	Prac.g_01609	Prat.g_00329
OG0000073	Prac.g_00702	Prat.g_01054
OG0000074	Prac.g_00680	Prat.g_00765
OG0000075	Prac.g_01468	Prat.g_01030
OG0000076	Prac.g_01256	Prat.g_00965
OG0000078	Prac.g_00256	Prat.g_01312
OG0000079	Prac.g_00333	Prat.g_01442
OG0000080	Prac.g_00886	Prat.g_01539
OG0000081	Prac.g_00015	Prat.g_01759
OG0000083	Prac.g_01944	Prat.g_00003
OG0000084	Prac.g_01941	Prat.g_00006
OG0000085	Prac.g_01924	Prat.g_01314, Prat.g_00024
OG0000086	Prac.g_01893	Prat.g_00614
OG0000087	Prac.g_01882	Prat.g_00054
OG0000088	Prac.g_01818	Prat.g_00112
OG0000089	Prac.g_01810	Prat.g_00121
OG0000090	Prac.g_01792	Prat.g_00138
OG0000091	Prac.g_01761	Prat.g_00170
OG0000092	Prac.g_01760	Prat.g_00171
OG0000093	Prac.g_01746	Prat.g_00185
OG0000094	Prac.g_01728	Prat.g_00204
OG0000095	Prac.g_01723	Prat.g_00209
OG0000096	Prac.g_01679	Prat.g_00257
OG0000097	Prac.g_01657	Prat.g_00281
OG0000098	Prac.g_01647	Prat.g_00292
OG0000099	Prac.g_01637	Prat.g_00302
OG0000100	Prac.g_01634	Prat.g_00305
OG0000101	Prac.g_01177	Prat.g_00372
OG0000102	Prac.g_01150	Prat.g_01477
