Orthogroup	Prbh	Syas
OG0000004	Prbh.g_00933	Syas.g_00176
OG0000004	Prbh.g_00548	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072
OG0000005	Prbh.g_00182	Syas.g_02704
OG0000006	Prbh.g_00538	Syas.g_00942, Syas.g_01684, Syas.g_02565, Syas.g_00720
OG0000007	Prbh.g_00334	Syas.g_01232
OG0000007	Prbh.g_01782	Syas.g_02681
OG0000008	Prbh.g_01406	Syas.g_00886
OG0000008	Prbh.g_01405	Syas.g_00887
OG0000010	Prbh.g_00848, Prbh.g_01143, Prbh.g_00357	Syas.g_01334
OG0000013	Prbh.g_00452	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557
OG0000014	Prbh.g_00472	Syas.g_01816
OG0000016	Prbh.g_01336	Syas.g_01086, Syas.g_01050
OG0000017	Prbh.g_00225	Syas.g_00856
OG0000017	Prbh.g_00232	Syas.g_00849
OG0000018	Prbh.g_01305, Prbh.g_00981	Syas.g_01290
OG0000019	Prbh.g_00530, Prbh.g_01307	Syas.g_01696
OG0000022	Prbh.g_00190	Syas.g_02758
OG0000025	Prbh.g_00988	Syas.g_00231
OG0000026	Prbh.g_00749	Syas.g_02070
OG0000028	Prbh.g_00459, Prbh.g_00404	Syas.g_01793
OG0000030	Prbh.g_01570	Syas.g_01644, Syas.g_01645
OG0000031	Prbh.g_00064	Syas.g_01827
OG0000033	Prbh.g_00613	Syas.g_02328
OG0000034	Prbh.g_01383	Syas.g_02371, Syas.g_02838
OG0000035	Prbh.g_00099, Prbh.g_00096	Syas.g_02814, Syas.g_02818
OG0000037	Prbh.g_00674	Syas.g_01479, Syas.g_00147, Syas.g_01928
OG0000038	Prbh.g_01530	Syas.g_01885, Syas.g_01887
OG0000039	Prbh.g_00921	Syas.g_02795
OG0000040	Prbh.g_01815	Syas.g_02028
OG0000042	Prbh.g_01573	Syas.g_01121, Syas.g_02147
OG0000044	Prbh.g_01794	Syas.g_00894, Syas.g_02453
OG0000046	Prbh.g_00451	Syas.g_01553, Syas.g_01556, Syas.g_01558
OG0000048	Prbh.g_00508	Syas.g_01734
OG0000053	Prbh.g_01834, Prbh.g_00120	Syas.g_01287
OG0000054	Prbh.g_00223	Syas.g_00961
OG0000055	Prbh.g_01797	Syas.g_00203
OG0000061	Prbh.g_01283	Syas.g_01184
OG0000062	Prbh.g_00184	Syas.g_02702, Syas.g_00070
OG0000063	Prbh.g_01401	Syas.g_02074
OG0000064	Prbh.g_00715	Syas.g_02423, Syas.g_00946
OG0000065	Prbh.g_00676	Syas.g_02420
OG0000066	Prbh.g_01856	Syas.g_00094
OG0000067	Prbh.g_00953	Syas.g_00596
OG0000068	Prbh.g_00009	Syas.g_00969, Syas.g_01261
OG0000070	Prbh.g_00382	Syas.g_00173
OG0000072	Prbh.g_00611	Syas.g_02326, Syas.g_01524
OG0000073	Prbh.g_00330	Syas.g_01230
OG0000073	Prbh.g_00051	Syas.g_00358, Syas.g_00264
OG0000075	Prbh.g_01607	Syas.g_01921, Syas.g_02194
OG0000076	Prbh.g_01581	Syas.g_02156
OG0000078	Prbh.g_00540	Syas.g_02308
OG0000079	Prbh.g_00527	Syas.g_01699
