Orthogroup	Prbh	Syaf
OG0000001	Prbh.g_00001, Prbh.g_00863	Syaf.g_01640
OG0000004	Prbh.g_00933	Syaf.g_01455
OG0000004	Prbh.g_00548	Syaf.g_02351, Syaf.g_02794
OG0000005	Prbh.g_00182	Syaf.g_01057
OG0000006	Prbh.g_00538	Syaf.g_00179, Syaf.g_02778
OG0000007	Prbh.g_00334	Syaf.g_02702
OG0000007	Prbh.g_01782	Syaf.g_01033
OG0000008	Prbh.g_01406	Syaf.g_01479
OG0000008	Prbh.g_01405	Syaf.g_01480
OG0000010	Prbh.g_00848, Prbh.g_01143, Prbh.g_00357	Syaf.g_02499
OG0000013	Prbh.g_00452	Syaf.g_00044, Syaf.g_00061, Syaf.g_00056
OG0000014	Prbh.g_00472	Syaf.g_00280
OG0000015	Prbh.g_00840, Prbh.g_01869	Syaf.g_02120, Syaf.g_02121
OG0000016	Prbh.g_01336	Syaf.g_01576, Syaf.g_01713
OG0000017	Prbh.g_00225	Syaf.g_02554
OG0000017	Prbh.g_00232	Syaf.g_02561
OG0000018	Prbh.g_01305, Prbh.g_00981	Syaf.g_02451
OG0000019	Prbh.g_00530, Prbh.g_01307	Syaf.g_00193
OG0000020	Prbh.g_00202, Prbh.g_01819, Prbh.g_01898	Syaf.g_02187
OG0000021	Prbh.g_00203	Syaf.g_01726
OG0000021	Prbh.g_00938	Syaf.g_02773
OG0000022	Prbh.g_00190	Syaf.g_02256
OG0000023	Prbh.g_00833	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995
OG0000024	Prbh.g_01147, Prbh.g_00909	Syaf.g_01484
OG0000025	Prbh.g_00988	Syaf.g_01385
OG0000026	Prbh.g_00749	Syaf.g_00461
OG0000028	Prbh.g_00459, Prbh.g_00404	Syaf.g_00297
OG0000029	Prbh.g_01691, Prbh.g_01885	Syaf.g_01761
OG0000030	Prbh.g_01570	Syaf.g_00406, Syaf.g_00407
OG0000031	Prbh.g_00064	Syaf.g_00314, Syaf.g_01143
OG0000032	Prbh.g_00138	Syaf.g_02471
OG0000033	Prbh.g_00613	Syaf.g_00807
OG0000034	Prbh.g_01383	Syaf.g_01241, Syaf.g_00837
OG0000035	Prbh.g_00099, Prbh.g_00096	Syaf.g_02412
OG0000037	Prbh.g_00674	Syaf.g_00899
OG0000038	Prbh.g_01530	Syaf.g_00642
OG0000039	Prbh.g_00921	Syaf.g_01395
OG0000041	Prbh.g_01734	Syaf.g_01171
OG0000042	Prbh.g_01573	Syaf.g_00403
OG0000044	Prbh.g_01794	Syaf.g_01358, Syaf.g_01992
OG0000045	Prbh.g_01327	Syaf.g_00979
OG0000046	Prbh.g_00451	Syaf.g_00062, Syaf.g_00055, Syaf.g_00045
OG0000047	Prbh.g_00408	Syaf.g_00030
OG0000048	Prbh.g_00508	Syaf.g_00230
OG0000050	Prbh.g_01445	Syaf.g_01770
OG0000052	Prbh.g_00041	Syaf.g_00335
OG0000053	Prbh.g_01834, Prbh.g_00120	Syaf.g_02447
OG0000054	Prbh.g_00223	Syaf.g_02376
OG0000055	Prbh.g_01332	Syaf.g_01402
