Orthogroup	Prbh	Prak
OG0000000	Prbh.g_01901	Prak.g_01210
OG0000000	Prbh.g_01903	Prak.g_01562
OG0000000	Prbh.g_01902	Prak.g_01209
OG0000000	Prbh.g_01902	Prak.g_01563
OG0000000	Prbh.g_01858	Prak.g_01578
OG0000001	Prbh.g_00001	Prak.g_01302
OG0000001	Prbh.g_00863	Prak.g_00755
OG0000002	Prbh.g_01016	Prak.g_00908
OG0000002	Prbh.g_01022	Prak.g_00913
OG0000002	Prbh.g_01313	Prak.g_01202
OG0000002	Prbh.g_00006	Prak.g_01323
OG0000002	Prbh.g_01311	Prak.g_01200
OG0000002	Prbh.g_01317	Prak.g_01207
OG0000002	Prbh.g_00199	Prak.g_01494
OG0000002	Prbh.g_00912	Prak.g_00805
OG0000004	Prbh.g_00933	Prak.g_00826
OG0000004	Prbh.g_00548	Prak.g_00248
OG0000005	Prbh.g_00182	Prak.g_01474
OG0000006	Prbh.g_00538	Prak.g_00258
OG0000007	Prbh.g_00334	Prak.g_00458
OG0000007	Prbh.g_01782	Prak.g_01645
OG0000008	Prbh.g_01406	Prak.g_01544
OG0000008	Prbh.g_01405	Prak.g_01545, Prak.g_01546
OG0000009	Prbh.g_00377	Prak.g_01486
OG0000010	Prbh.g_00848	Prak.g_00739
OG0000010	Prbh.g_01143	Prak.g_01034
OG0000010	Prbh.g_00357	Prak.g_00435
OG0000012	Prbh.g_01460	Prak.g_00584
OG0000013	Prbh.g_00452	Prak.g_00343
OG0000014	Prbh.g_00472	Prak.g_00325
OG0000015	Prbh.g_01869	Prak.g_01584, Prak.g_01630
OG0000016	Prbh.g_01336	Prak.g_01230
OG0000017	Prbh.g_00225	Prak.g_00566
OG0000017	Prbh.g_00232	Prak.g_00559
OG0000018	Prbh.g_01305	Prak.g_01194
OG0000018	Prbh.g_00981	Prak.g_00873
OG0000019	Prbh.g_00530	Prak.g_00266
OG0000019	Prbh.g_01307	Prak.g_01196
OG0000020	Prbh.g_00202	Prak.g_01498
OG0000020	Prbh.g_01898	Prak.g_01527
OG0000021	Prbh.g_00203	Prak.g_01499
OG0000021	Prbh.g_00938	Prak.g_00831
OG0000022	Prbh.g_00190	Prak.g_01482
OG0000023	Prbh.g_00833	Prak.g_00721
OG0000024	Prbh.g_01147	Prak.g_01038
OG0000024	Prbh.g_00909	Prak.g_00802
OG0000025	Prbh.g_00988	Prak.g_00881
OG0000026	Prbh.g_00749	Prak.g_00032
OG0000028	Prbh.g_00404	Prak.g_01543
OG0000029	Prbh.g_01691	Prak.g_01735
OG0000029	Prbh.g_01885	Prak.g_01534, Prak.g_01576
OG0000030	Prbh.g_01570	Prak.g_01853
OG0000031	Prbh.g_00064	Prak.g_01350
OG0000032	Prbh.g_00138	Prak.g_01430
OG0000033	Prbh.g_00613	Prak.g_00181
OG0000034	Prbh.g_01383	Prak.g_01288
OG0000035	Prbh.g_00099	Prak.g_01391
OG0000037	Prbh.g_00674	Prak.g_00115
OG0000038	Prbh.g_01530	Prak.g_01893
OG0000039	Prbh.g_00921	Prak.g_00814
OG0000041	Prbh.g_01734	Prak.g_01692
OG0000042	Prbh.g_01573	Prak.g_01850
OG0000043	Prbh.g_01304	Prak.g_01193
OG0000045	Prbh.g_01327	Prak.g_01216
OG0000046	Prbh.g_00451	Prak.g_00344
OG0000047	Prbh.g_00408	Prak.g_00385
OG0000048	Prbh.g_00508	Prak.g_00289
OG0000050	Prbh.g_00850	Prak.g_00741
OG0000052	Prbh.g_00727	Prak.g_00058
OG0000052	Prbh.g_00041	Prak.g_01369
OG0000053	Prbh.g_01834	Prak.g_01590
OG0000053	Prbh.g_00120	Prak.g_01412
OG0000054	Prbh.g_00223	Prak.g_00568
OG0000055	Prbh.g_01332	Prak.g_01221
OG0000055	Prbh.g_01797	Prak.g_01619
OG0000057	Prbh.g_00936	Prak.g_00829
OG0000058	Prbh.g_00030	Prak.g_01351
OG0000059	Prbh.g_01695	Prak.g_01732
OG0000061	Prbh.g_01283	Prak.g_01172
OG0000062	Prbh.g_00184	Prak.g_01476
OG0000063	Prbh.g_01401	Prak.g_01530
OG0000064	Prbh.g_00715	Prak.g_00072
OG0000065	Prbh.g_00676	Prak.g_00113
OG0000066	Prbh.g_01856	Prak.g_00498, Prak.g_01557
OG0000067	Prbh.g_00953	Prak.g_00845
OG0000068	Prbh.g_00009	Prak.g_01329
OG0000069	Prbh.g_00376	Prak.g_00416
OG0000070	Prbh.g_00382	Prak.g_00412
OG0000071	Prbh.g_01373	Prak.g_01277
OG0000072	Prbh.g_00611	Prak.g_00183
OG0000073	Prbh.g_00330	Prak.g_00461
OG0000074	Prbh.g_00828	Prak.g_00713
OG0000074	Prbh.g_00859	Prak.g_00750
OG0000074	Prbh.g_00916	Prak.g_00809
OG0000075	Prbh.g_01607	Prak.g_01816
OG0000076	Prbh.g_01581	Prak.g_01842
OG0000077	Prbh.g_00704	Prak.g_00083
OG0000078	Prbh.g_00540	Prak.g_00256
OG0000079	Prbh.g_00527	Prak.g_00269
OG0000081	Prbh.g_00298	Prak.g_00490
OG0000082	Prbh.g_01855	Prak.g_01634
OG0000084	Prbh.g_00093	Prak.g_01388
OG0000085	Prbh.g_01408	Prak.g_01637, Prak.g_01516
OG0000086	Prbh.g_00695	Prak.g_00092
OG0000087	Prbh.g_00642	Prak.g_00147
OG0000088	Prbh.g_00616	Prak.g_00178
OG0000089	Prbh.g_00415	Prak.g_00379
OG0000090	Prbh.g_00296	Prak.g_00492
OG0000091	Prbh.g_01211	Prak.g_01100
OG0000092	Prbh.g_00883	Prak.g_00775
OG0000093	Prbh.g_01181	Prak.g_01071
OG0000094	Prbh.g_01130	Prak.g_01022
OG0000095	Prbh.g_01031	Prak.g_00920
OG0000096	Prbh.g_01909, Prbh.g_01948	Prak.g_00702
OG0000097	Prbh.g_01236	Prak.g_01126
OG0000098	Prbh.g_01935	Prak.g_01305
OG0000099	Prbh.g_00032	Prak.g_01352
OG0000100	Prbh.g_00179	Prak.g_01470
OG0000101	Prbh.g_01644	Prak.g_01780
OG0000102	Prbh.g_01576	Prak.g_01847
OG0000103	Prbh.g_01489	Prak.g_01932
OG0000104	Prbh.g_01480	Prak.g_01941
OG0000105	Prbh.g_00505	Prak.g_00292
OG0000106	Prbh.g_00821	Prak.g_00687
OG0000107	Prbh.g_01718	Prak.g_01709
OG0000108	Prbh.g_00351	Prak.g_00441
OG0000109	Prbh.g_00337	Prak.g_00455
OG0000110	Prbh.g_00254	Prak.g_00535
OG0000111	Prbh.g_00937	Prak.g_00830
OG0000112	Prbh.g_01078	Prak.g_00608
OG0000113	Prbh.g_00976	Prak.g_00868
OG0000114	Prbh.g_00878	Prak.g_00770
OG0000115	Prbh.g_01344	Prak.g_01241
OG0000116	Prbh.g_01294	Prak.g_01183
OG0000117	Prbh.g_01255	Prak.g_01145
OG0000118	Prbh.g_01385	Prak.g_01290
OG0000119	Prbh.g_01333	Prak.g_01226
OG0000119	Prbh.g_00194	Prak.g_01488
OG0000120	Prbh.g_00031	Prak.g_01349
OG0000121	Prbh.g_00101	Prak.g_01393
OG0000122	Prbh.g_01347	Prak.g_01248
OG0000122	Prbh.g_00143	Prak.g_01434
OG0000123	Prbh.g_01637	Prak.g_01787
OG0000124	Prbh.g_01564	Prak.g_01859
OG0000125	Prbh.g_01528	Prak.g_01895
OG0000126	Prbh.g_01481	Prak.g_01940
OG0000128	Prbh.g_01953	Prak.g_00011
OG0000129	Prbh.g_00738	Prak.g_00045
OG0000130	Prbh.g_00713	Prak.g_00074
OG0000131	Prbh.g_00637	Prak.g_00156
OG0000132	Prbh.g_00618	Prak.g_00176
OG0000133	Prbh.g_00457	Prak.g_00339
OG0000134	Prbh.g_00413	Prak.g_00381
OG0000135	Prbh.g_01825	Prak.g_01259
OG0000136	Prbh.g_00391	Prak.g_00403
OG0000137	Prbh.g_00356	Prak.g_00436
OG0000138	Prbh.g_00336	Prak.g_00456
OG0000139	Prbh.g_00292	Prak.g_00496
OG0000140	Prbh.g_00291	Prak.g_00497
OG0000141	Prbh.g_00222	Prak.g_00569
OG0000142	Prbh.g_01218	Prak.g_01108
OG0000143	Prbh.g_01215	Prak.g_01104
OG0000144	Prbh.g_01201	Prak.g_01090
OG0000145	Prbh.g_01880	Prak.g_01261
OG0000146	Prbh.g_01077	Prak.g_00607
OG0000147	Prbh.g_01076	Prak.g_00606
