Orthogroup	Prbh	Syaa
OG0000004	Prbh.g_00933	Syaa.g_00892
OG0000004	Prbh.g_00548	Syaa.g_01667, Syaa.g_02116
OG0000005	Prbh.g_00182	Syaa.g_00573
OG0000006	Prbh.g_00538	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099
OG0000007	Prbh.g_00334	Syaa.g_02032
OG0000007	Prbh.g_01782	Syaa.g_00551
OG0000008	Prbh.g_01406	Syaa.g_00918
OG0000008	Prbh.g_01405	Syaa.g_00919
OG0000010	Prbh.g_00848, Prbh.g_01143, Prbh.g_00357	Syaa.g_01843
OG0000012	Prbh.g_01460	Syaa.g_01660
OG0000013	Prbh.g_00452	Syaa.g_02204, Syaa.g_02217, Syaa.g_02212
OG0000014	Prbh.g_00472	Syaa.g_00222
OG0000015	Prbh.g_00840, Prbh.g_01869	Syaa.g_01079, Syaa.g_01989
OG0000016	Prbh.g_01336	Syaa.g_00981, Syaa.g_01481
OG0000017	Prbh.g_00225	Syaa.g_01883
OG0000017	Prbh.g_00232	Syaa.g_01890
OG0000018	Prbh.g_01305, Prbh.g_00981	Syaa.g_01801
OG0000019	Prbh.g_00530, Prbh.g_01307	Syaa.g_00307
OG0000021	Prbh.g_00938	Syaa.g_02627
OG0000022	Prbh.g_00190	Syaa.g_01571
OG0000023	Prbh.g_00833	Syaa.g_01529, Syaa.g_01216
OG0000024	Prbh.g_01147, Prbh.g_00909	Syaa.g_00922
OG0000025	Prbh.g_00988	Syaa.g_00839
OG0000026	Prbh.g_00749	Syaa.g_00038
OG0000028	Prbh.g_00459, Prbh.g_00404	Syaa.g_00205
OG0000029	Prbh.g_01691, Prbh.g_01885	Syaa.g_01578
OG0000030	Prbh.g_01570	Syaa.g_00099, Syaa.g_00098
OG0000031	Prbh.g_00064	Syaa.g_00200, Syaa.g_00480
OG0000032	Prbh.g_00138	Syaa.g_01818
OG0000033	Prbh.g_00613	Syaa.g_02478
OG0000034	Prbh.g_01383	Syaa.g_00722, Syaa.g_02444
OG0000035	Prbh.g_00099, Prbh.g_00096	Syaa.g_01773
OG0000037	Prbh.g_00674	Syaa.g_02384
OG0000038	Prbh.g_01530	Syaa.g_02596
OG0000039	Prbh.g_00921	Syaa.g_00846
OG0000040	Prbh.g_01815	Syaa.g_01606
OG0000041	Prbh.g_01734	Syaa.g_00660
OG0000042	Prbh.g_01573	Syaa.g_00103
OG0000045	Prbh.g_01327	Syaa.g_01560
OG0000046	Prbh.g_00451	Syaa.g_02218, Syaa.g_02211, Syaa.g_02205
OG0000047	Prbh.g_00408	Syaa.g_02189
OG0000048	Prbh.g_00508	Syaa.g_02719, Syaa.g_00275
OG0000050	Prbh.g_01445, Prbh.g_00850	Syaa.g_01591
OG0000052	Prbh.g_00041	Syaa.g_00174
OG0000053	Prbh.g_01834, Prbh.g_00120	Syaa.g_01797
OG0000054	Prbh.g_00223	Syaa.g_01691
OG0000055	Prbh.g_01332	Syaa.g_00852
OG0000055	Prbh.g_01797	Syaa.g_01564
OG0000057	Prbh.g_00936	Syaa.g_00889
OG0000058	Prbh.g_00030	Syaa.g_00193
OG0000059	Prbh.g_01695	Syaa.g_02315
OG0000061	Prbh.g_01283	Syaa.g_00770
OG0000062	Prbh.g_00184	Syaa.g_00571
OG0000063	Prbh.g_01401	Syaa.g_00042
OG0000064	Prbh.g_00715	Syaa.g_01284, Syaa.g_02666, Syaa.g_01568, Syaa.g_00579
OG0000065	Prbh.g_00676	Syaa.g_02380
OG0000066	Prbh.g_01856	Syaa.g_01968
OG0000067	Prbh.g_00953	Syaa.g_01154
OG0000068	Prbh.g_00009	Syaa.g_02059
OG0000069	Prbh.g_00376	Syaa.g_01256
OG0000070	Prbh.g_00382	Syaa.g_00718
OG0000071	Prbh.g_01373	Syaa.g_00735
OG0000072	Prbh.g_00611	Syaa.g_02480
OG0000073	Prbh.g_00330	Syaa.g_02030
OG0000074	Prbh.g_00828, Prbh.g_00859, Prbh.g_00916	Syaa.g_00372
OG0000075	Prbh.g_01607	Syaa.g_00157
OG0000076	Prbh.g_01581	Syaa.g_00123
OG0000077	Prbh.g_00704	Syaa.g_00341
OG0000078	Prbh.g_00540	Syaa.g_02103
OG0000079	Prbh.g_00527	Syaa.g_00303
OG0000081	Prbh.g_00298	Syaa.g_02089
OG0000082	Prbh.g_01855	Syaa.g_01905
OG0000084	Prbh.g_00093	Syaa.g_01770
OG0000085	Prbh.g_01408	Syaa.g_00564
OG0000086	Prbh.g_00695	Syaa.g_00324
