Orthogroup	Prbh	Syab
OG0000000	Prbh.g_01853, Prbh.g_01901, Prbh.g_01319, Prbh.g_01903, Prbh.g_01902, Prbh.g_01858	Syab.g_01226
OG0000001	Prbh.g_00001, Prbh.g_00863	Syab.g_01549
OG0000002	Prbh.g_01016, Prbh.g_01022, Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317, Prbh.g_00199, Prbh.g_00912	Syab.g_02285
OG0000004	Prbh.g_00933	Syab.g_00549, Syab.g_01193
OG0000004	Prbh.g_00548	Syab.g_01911, Syab.g_02377
OG0000005	Prbh.g_00182	Syab.g_02806, Syab.g_02232
OG0000006	Prbh.g_00538	Syab.g_00365, Syab.g_01847, Syab.g_02361
OG0000007	Prbh.g_00334	Syab.g_02117
OG0000007	Prbh.g_01782	Syab.g_02256
OG0000008	Prbh.g_01406	Syab.g_01755
OG0000008	Prbh.g_01405	Syab.g_01168
OG0000009	Prbh.g_00377, Prbh.g_00193, Prbh.g_01841	Syab.g_00995
OG0000010	Prbh.g_00848, Prbh.g_01143, Prbh.g_00357	Syab.g_00696
OG0000011	Prbh.g_01835	Syab.g_01491
OG0000013	Prbh.g_00452	Syab.g_00497, Syab.g_00482, Syab.g_00487
OG0000014	Prbh.g_00472	Syab.g_00249
OG0000016	Prbh.g_01336	Syab.g_01049
OG0000017	Prbh.g_00225	Syab.g_01945
OG0000017	Prbh.g_00232	Syab.g_01953
OG0000018	Prbh.g_01305, Prbh.g_00981	Syab.g_00742
OG0000019	Prbh.g_00530, Prbh.g_01307	Syab.g_00344
OG0000020	Prbh.g_00202, Prbh.g_01819, Prbh.g_01898	Syab.g_02230
OG0000022	Prbh.g_00190	Syab.g_01825
OG0000023	Prbh.g_00833	Syab.g_00708, Syab.g_02058, Syab.g_01294
OG0000024	Prbh.g_01147, Prbh.g_00909	Syab.g_01834
OG0000025	Prbh.g_00988	Syab.g_01705
OG0000026	Prbh.g_00749	Syab.g_00036
OG0000028	Prbh.g_00459, Prbh.g_00404	Syab.g_00234
OG0000030	Prbh.g_01570	Syab.g_00096, Syab.g_00095
OG0000031	Prbh.g_00064	Syab.g_00160
OG0000032	Prbh.g_00138	Syab.g_00724
OG0000033	Prbh.g_00613	Syab.g_02590
OG0000034	Prbh.g_01383	Syab.g_00900, Syab.g_02560
OG0000035	Prbh.g_00099, Prbh.g_00096	Syab.g_00776
OG0000037	Prbh.g_00674	Syab.g_02504
OG0000038	Prbh.g_01530	Syab.g_02759, Syab.g_02761
OG0000039	Prbh.g_00921	Syab.g_02791
OG0000041	Prbh.g_01734	Syab.g_02333
OG0000042	Prbh.g_01573	Syab.g_01019, Syab.g_00099
OG0000043	Prbh.g_01304	Syab.g_01539
OG0000044	Prbh.g_01794	Syab.g_01262
OG0000045	Prbh.g_01327	Syab.g_01787
OG0000046	Prbh.g_00451	Syab.g_00481, Syab.g_00488, Syab.g_00496
OG0000047	Prbh.g_00408	Syab.g_00876
OG0000048	Prbh.g_00508	Syab.g_00308
OG0000052	Prbh.g_00041	Syab.g_00214
OG0000053	Prbh.g_01834, Prbh.g_00120	Syab.g_00746
OG0000054	Prbh.g_00223	Syab.g_01932
OG0000055	Prbh.g_01332	Syab.g_01255
OG0000056	Prbh.g_01803, Prbh.g_01417	Syab.g_01452
OG0000057	Prbh.g_00936	Syab.g_01200
OG0000058	Prbh.g_00030	Syab.g_00227
OG0000059	Prbh.g_01695	Syab.g_00397
OG0000061	Prbh.g_01283	Syab.g_00969
OG0000062	Prbh.g_00184	Syab.g_02234
OG0000063	Prbh.g_01401	Syab.g_00040
OG0000064	Prbh.g_00715	Syab.g_02808, Syab.g_01783, Syab.g_00997, Syab.g_00824
OG0000065	Prbh.g_00676	Syab.g_02500, Syab.g_01768
OG0000066	Prbh.g_01856	Syab.g_02031
OG0000067	Prbh.g_00953	Syab.g_01659
OG0000068	Prbh.g_00009	Syab.g_02087
OG0000070	Prbh.g_00382	Syab.g_00614
OG0000071	Prbh.g_01373	Syab.g_00915
OG0000072	Prbh.g_00611	Syab.g_02593
OG0000073	Prbh.g_00330	Syab.g_02119
OG0000075	Prbh.g_01607	Syab.g_00202
OG0000076	Prbh.g_01581	Syab.g_00113
OG0000077	Prbh.g_00704	Syab.g_02446
OG0000078	Prbh.g_00540	Syab.g_02366
OG0000079	Prbh.g_00527	Syab.g_00340
OG0000081	Prbh.g_00298	Syab.g_01793
OG0000082	Prbh.g_01855	Syab.g_01971
OG0000084	Prbh.g_00093	Syab.g_00781
OG0000085	Prbh.g_01408	Syab.g_02243
OG0000086	Prbh.g_00695	Syab.g_02468
OG0000087	Prbh.g_00642	Syab.g_02551
OG0000088	Prbh.g_00616	Syab.g_02586
OG0000089	Prbh.g_00415	Syab.g_00551
OG0000090	Prbh.g_00296	Syab.g_02041
OG0000091	Prbh.g_01211	Syab.g_01866
OG0000092	Prbh.g_00883	Syab.g_01242, Syab.g_00690
OG0000093	Prbh.g_01181	Syab.g_01090
OG0000097	Prbh.g_01236	Syab.g_01051
OG0000098	Prbh.g_01935	Syab.g_01553
OG0000099	Prbh.g_00032	Syab.g_00230
OG0000100	Prbh.g_00179	Syab.g_01694
OG0000101	Prbh.g_01644	Syab.g_00446
OG0000102	Prbh.g_01576	Syab.g_00104
OG0000103	Prbh.g_01489	Syab.g_01296, Syab.g_02895
OG0000104	Prbh.g_01480	Syab.g_02910
OG0000105	Prbh.g_00505	Syab.g_00303
OG0000106	Prbh.g_00821	Syab.g_01817
OG0000108	Prbh.g_00351	Syab.g_02096
OG0000109	Prbh.g_00337	Syab.g_02112
OG0000110	Prbh.g_00254	Syab.g_01984
OG0000111	Prbh.g_00937	Syab.g_01201
OG0000112	Prbh.g_01078	Syab.g_01392
OG0000113	Prbh.g_00976	Syab.g_01689
OG0000114	Prbh.g_00878	Syab.g_01633
OG0000115	Prbh.g_01344	Syab.g_00748
OG0000116	Prbh.g_01294	Syab.g_00945
OG0000117	Prbh.g_01255	Syab.g_01018
OG0000118	Prbh.g_01385	Syab.g_00897
OG0000120	Prbh.g_00031	Syab.g_00229
OG0000121	Prbh.g_00101	Syab.g_00772
OG0000122	Prbh.g_01347, Prbh.g_00143	Syab.g_01839
OG0000123	Prbh.g_01637	Syab.g_00454
OG0000124	Prbh.g_01564	Syab.g_00088
OG0000125	Prbh.g_01528	Syab.g_02763
OG0000126	Prbh.g_01481	Syab.g_02908
OG0000128	Prbh.g_01953	Syab.g_00012
OG0000129	Prbh.g_00738	Syab.g_02749
OG0000130	Prbh.g_00713	Syab.g_02434
OG0000131	Prbh.g_00637	Syab.g_02564
OG0000132	Prbh.g_00618	Syab.g_02584
OG0000133	Prbh.g_00457	Syab.g_01387
OG0000134	Prbh.g_00413	Syab.g_00554
OG0000135	Prbh.g_01825	Syab.g_02815
OG0000136	Prbh.g_00391	Syab.g_00588
OG0000137	Prbh.g_00356	Syab.g_00697
OG0000138	Prbh.g_00336	Syab.g_02113
OG0000139	Prbh.g_00292	Syab.g_02035
OG0000140	Prbh.g_00291	Syab.g_02033
OG0000141	Prbh.g_00222	Syab.g_01931
OG0000142	Prbh.g_01218	Syab.g_01873
OG0000143	Prbh.g_01215	Syab.g_01870
OG0000144	Prbh.g_01201	Syab.g_01757
OG0000145	Prbh.g_01880	Syab.g_02120
OG0000146	Prbh.g_01077	Syab.g_01393
OG0000147	Prbh.g_01076	Syab.g_01394
OG0000148	Prbh.g_00970	Syab.g_01682
OG0000149	Prbh.g_01002	Syab.g_01720
OG0000150	Prbh.g_01012	Syab.g_01930
OG0000151	Prbh.g_00888	Syab.g_01612
OG0000152	Prbh.g_01086	Syab.g_01383
OG0000153	Prbh.g_01104	Syab.g_01343
OG0000154	Prbh.g_01121	Syab.g_01317
OG0000155	Prbh.g_01261	Syab.g_01009
OG0000156	Prbh.g_01362	Syab.g_00933
OG0000157	Prbh.g_01363	Syab.g_00932
OG0000158	Prbh.g_01599	Syab.g_00161
OG0000160	Prbh.g_00100	Syab.g_00774
OG0000161	Prbh.g_01288, Prbh.g_00106	Syab.g_00766
OG0000162	Prbh.g_00112	Syab.g_00755
OG0000163	Prbh.g_00151	Syab.g_02173
OG0000164	Prbh.g_01758	Syab.g_02307
OG0000165	Prbh.g_01750	Syab.g_02316
OG0000166	Prbh.g_01681	Syab.g_00407
OG0000167	Prbh.g_01609	Syab.g_00205
OG0000168	Prbh.g_01598	Syab.g_00136
OG0000169	Prbh.g_01588	Syab.g_00125
OG0000170	Prbh.g_01585	Syab.g_00118
OG0000171	Prbh.g_01565	Syab.g_00089
OG0000172	Prbh.g_01558	Syab.g_00080
OG0000173	Prbh.g_01543	Syab.g_00061
OG0000174	Prbh.g_01512	Syab.g_02819
OG0000175	Prbh.g_01500	Syab.g_02876
OG0000176	Prbh.g_01472	Syab.g_00004
OG0000177	Prbh.g_01471	Syab.g_00005
OG0000178	Prbh.g_01470	Syab.g_00006
OG0000179	Prbh.g_00764	Syab.g_00022
OG0000180	Prbh.g_00763	Syab.g_00023
OG0000181	Prbh.g_00762	Syab.g_00024
OG0000182	Prbh.g_00761	Syab.g_00025
OG0000183	Prbh.g_00757	Syab.g_00029
OG0000184	Prbh.g_00734	Syab.g_02738
OG0000185	Prbh.g_00731	Syab.g_02715
OG0000186	Prbh.g_00719	Syab.g_02430
OG0000187	Prbh.g_00718	Syab.g_02431
OG0000188	Prbh.g_00701	Syab.g_02454
OG0000189	Prbh.g_00687	Syab.g_02487
OG0000190	Prbh.g_00686	Syab.g_00190, Syab.g_00139
OG0000191	Prbh.g_00664	Syab.g_02522
OG0000192	Prbh.g_00659	Syab.g_02528
OG0000193	Prbh.g_00636	Syab.g_02565
OG0000194	Prbh.g_00633	Syab.g_02568
OG0000195	Prbh.g_00631	Syab.g_02570
OG0000196	Prbh.g_00621	Syab.g_02581
OG0000197	Prbh.g_00620	Syab.g_02582
OG0000198	Prbh.g_00619	Syab.g_02583
OG0000199	Prbh.g_00612	Syab.g_02591
OG0000200	Prbh.g_00599	Syab.g_02611
OG0000201	Prbh.g_00590	Syab.g_02628
OG0000202	Prbh.g_00589	Syab.g_02629
OG0000203	Prbh.g_00588	Syab.g_02630
OG0000204	Prbh.g_00587	Syab.g_02631
OG0000205	Prbh.g_00580	Syab.g_02638
OG0000206	Prbh.g_00575	Syab.g_02674
OG0000207	Prbh.g_00573	Syab.g_02677
OG0000208	Prbh.g_00572	Syab.g_02678
OG0000209	Prbh.g_00563	Syab.g_02698
OG0000210	Prbh.g_00562	Syab.g_02699
OG0000211	Prbh.g_00547	Syab.g_02374
OG0000212	Prbh.g_00539	Syab.g_02365
OG0000213	Prbh.g_00521	Syab.g_00332
OG0000214	Prbh.g_00512	Syab.g_00312
OG0000215	Prbh.g_00485	Syab.g_00281
OG0000216	Prbh.g_00484	Syab.g_00277
OG0000217	Prbh.g_00481	Syab.g_00273
OG0000218	Prbh.g_00479	Syab.g_00271
OG0000219	Prbh.g_00478	Syab.g_00270
OG0000220	Prbh.g_00477	Syab.g_00269
OG0000221	Prbh.g_00476	Syab.g_00257
OG0000222	Prbh.g_00469	Syab.g_00244
OG0000223	Prbh.g_00456	Syab.g_00226
OG0000224	Prbh.g_00454	Syab.g_00223
OG0000225	Prbh.g_00426	Syab.g_00538
OG0000226	Prbh.g_00422	Syab.g_00542
OG0000227	Prbh.g_00420	Syab.g_00544
OG0000228	Prbh.g_00416	Syab.g_00550
OG0000229	Prbh.g_00396	Syab.g_00583
OG0000230	Prbh.g_00394	Syab.g_00585
OG0000231	Prbh.g_00383	Syab.g_00613
OG0000232	Prbh.g_00370	Syab.g_00631
OG0000233	Prbh.g_00365	Syab.g_00645
OG0000234	Prbh.g_00355	Syab.g_00699
OG0000235	Prbh.g_00352	Syab.g_02095
OG0000236	Prbh.g_00338	Syab.g_02111
OG0000237	Prbh.g_00324	Syab.g_02129
OG0000238	Prbh.g_00318	Syab.g_02134
OG0000239	Prbh.g_00305	Syab.g_02151
OG0000240	Prbh.g_00304	Syab.g_02152
OG0000241	Prbh.g_00299	Syab.g_01884
OG0000242	Prbh.g_00297	Syab.g_02043
OG0000243	Prbh.g_00287	Syab.g_02025
OG0000244	Prbh.g_00284	Syab.g_02017
OG0000245	Prbh.g_00282	Syab.g_02015
OG0000246	Prbh.g_00278	Syab.g_02011
OG0000247	Prbh.g_00267	Syab.g_01999
OG0000248	Prbh.g_00264	Syab.g_01996
OG0000249	Prbh.g_00262	Syab.g_01994
OG0000250	Prbh.g_00257	Syab.g_01988
OG0000251	Prbh.g_00239	Syab.g_01961
OG0000252	Prbh.g_00236	Syab.g_01958
OG0000253	Prbh.g_00235	Syab.g_01956
OG0000254	Prbh.g_00218	Syab.g_01925
OG0000255	Prbh.g_00212	Syab.g_01912
OG0000256	Prbh.g_01455	Syab.g_01890
OG0000257	Prbh.g_01223	Syab.g_01885
OG0000258	Prbh.g_01210	Syab.g_01861
OG0000259	Prbh.g_01193	Syab.g_01538
OG0000260	Prbh.g_01190	Syab.g_01544
OG0000261	Prbh.g_01187	Syab.g_01556
OG0000262	Prbh.g_01182	Syab.g_01561
OG0000263	Prbh.g_00915	Syab.g_01035
OG0000264	Prbh.g_00926	Syab.g_01173
OG0000265	Prbh.g_00945	Syab.g_01773
OG0000266	Prbh.g_01163	Syab.g_01667
OG0000267	Prbh.g_01150	Syab.g_01433
OG0000268	Prbh.g_01149	Syab.g_01432
OG0000269	Prbh.g_00948	Syab.g_01650
OG0000270	Prbh.g_00951	Syab.g_01657
OG0000271	Prbh.g_00959	Syab.g_01279
OG0000272	Prbh.g_00960	Syab.g_01280
OG0000274	Prbh.g_00984	Syab.g_01700
OG0000275	Prbh.g_00987	Syab.g_01704
OG0000276	Prbh.g_00993	Syab.g_01712
OG0000277	Prbh.g_00994	Syab.g_01713
OG0000278	Prbh.g_00997	Syab.g_01716
OG0000279	Prbh.g_01005	Syab.g_01724
OG0000280	Prbh.g_01006	Syab.g_01736
OG0000281	Prbh.g_01013	Syab.g_00685, Syab.g_00852, Syab.g_01077, Syab.g_01546
OG0000282	Prbh.g_00880	Syab.g_01631
OG0000283	Prbh.g_01059	Syab.g_01418
OG0000284	Prbh.g_01064	Syab.g_01413
OG0000285	Prbh.g_01069	Syab.g_01402
OG0000286	Prbh.g_01085	Syab.g_01384
