Orthogroup	Prbh	Syah
OG0000001	Prbh.g_00001, Prbh.g_00863	Syah.g_00726
OG0000002	Prbh.g_01016, Prbh.g_01022, Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317, Prbh.g_00199, Prbh.g_00912	Syah.g_01829
OG0000004	Prbh.g_00933	Syah.g_02017
OG0000004	Prbh.g_00548	Syah.g_01967, Syah.g_00901
OG0000005	Prbh.g_00182	Syah.g_02363
OG0000006	Prbh.g_00538	Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918
OG0000007	Prbh.g_00334	Syah.g_01016
OG0000007	Prbh.g_01782	Syah.g_02384
OG0000008	Prbh.g_01406	Syah.g_01994
OG0000008	Prbh.g_01405	Syah.g_01993
OG0000009	Prbh.g_00377, Prbh.g_00193, Prbh.g_01841	Syah.g_02457
OG0000010	Prbh.g_00848, Prbh.g_01143, Prbh.g_00357	Syah.g_01220
OG0000012	Prbh.g_01460	Syah.g_01960
OG0000013	Prbh.g_00452	Syah.g_00831, Syah.g_00817, Syah.g_00822
OG0000014	Prbh.g_00472	Syah.g_00127
OG0000015	Prbh.g_00840, Prbh.g_01869	Syah.g_01511, Syah.g_01510
OG0000016	Prbh.g_01336	Syah.g_01402, Syah.g_01859
OG0000017	Prbh.g_00225	Syah.g_01159
OG0000017	Prbh.g_00232	Syah.g_01152
OG0000018	Prbh.g_01305, Prbh.g_00981	Syah.g_01264
OG0000019	Prbh.g_00530, Prbh.g_01307	Syah.g_00669
OG0000022	Prbh.g_00190	Syah.g_01881
OG0000023	Prbh.g_00833	Syah.g_01330, Syah.g_02167, Syah.g_00930
OG0000024	Prbh.g_01147, Prbh.g_00909	Syah.g_01990
OG0000025	Prbh.g_00988	Syah.g_02082
OG0000026	Prbh.g_00749	Syah.g_00340
OG0000028	Prbh.g_00459, Prbh.g_00404	Syah.g_00141
OG0000029	Prbh.g_01691, Prbh.g_01885	Syah.g_01292
OG0000030	Prbh.g_01570	Syah.g_00264, Syah.g_00265
OG0000031	Prbh.g_00064	Syah.g_00146, Syah.g_00226, Syah.g_00322
OG0000032	Prbh.g_00138	Syah.g_01246
OG0000033	Prbh.g_00613	Syah.g_00078
OG0000034	Prbh.g_01383	Syah.g_00048, Syah.g_02213
OG0000035	Prbh.g_00099, Prbh.g_00096	Syah.g_01293
OG0000037	Prbh.g_00674	Syah.g_02541, Syah.g_00956, Syah.g_01365
OG0000038	Prbh.g_01530	Syah.g_00508, Syah.g_00506
OG0000039	Prbh.g_00921	Syah.g_02074
OG0000040	Prbh.g_01815	Syah.g_01908
OG0000041	Prbh.g_01734	Syah.g_02271
OG0000042	Prbh.g_01573	Syah.g_00261
OG0000044	Prbh.g_01794	Syah.g_01194
OG0000045	Prbh.g_01327	Syah.g_01872
OG0000046	Prbh.g_00451	Syah.g_00816, Syah.g_00823, Syah.g_00830
OG0000047	Prbh.g_00408	Syah.g_00847
OG0000048	Prbh.g_00508	Syah.g_00637
OG0000052	Prbh.g_00041	Syah.g_00171
OG0000053	Prbh.g_01834, Prbh.g_00120	Syah.g_01267
OG0000054	Prbh.g_00223	Syah.g_01982
OG0000055	Prbh.g_01332	Syah.g_02071
OG0000055	Prbh.g_01797	Syah.g_01878
OG0000057	Prbh.g_00936	Syah.g_02020
OG0000058	Prbh.g_00030	Syah.g_00152
OG0000059	Prbh.g_01695	Syah.g_00737
OG0000061	Prbh.g_01283	Syah.g_02158
OG0000062	Prbh.g_00184	Syah.g_02365
OG0000063	Prbh.g_01401	Syah.g_00337
OG0000064	Prbh.g_00715	Syah.g_01353, Syah.g_02357
OG0000065	Prbh.g_00676	Syah.g_02443, Syah.g_02537
OG0000066	Prbh.g_01856	Syah.g_01073
OG0000067	Prbh.g_00953	Syah.g_01779
OG0000068	Prbh.g_00009	Syah.g_00986
OG0000069	Prbh.g_00376	Syah.g_01715
OG0000070	Prbh.g_00382	Syah.g_02217
OG0000071	Prbh.g_01373	Syah.g_02199
OG0000072	Prbh.g_00611	Syah.g_00080
OG0000073	Prbh.g_00330	Syah.g_01018
OG0000074	Prbh.g_00828, Prbh.g_00859, Prbh.g_00916	Syah.g_00951
OG0000075	Prbh.g_01607	Syah.g_00186
OG0000076	Prbh.g_01581	Syah.g_00250
OG0000077	Prbh.g_00704	Syah.g_02494
OG0000079	Prbh.g_00527	Syah.g_00665
OG0000080	Prbh.g_00069	Syah.g_00290
OG0000081	Prbh.g_00298	Syah.g_00922
OG0000082	Prbh.g_01855	Syah.g_01136
OG0000084	Prbh.g_00093	Syah.g_01296
OG0000085	Prbh.g_01408	Syah.g_02372
OG0000086	Prbh.g_00695	Syah.g_02511
OG0000087	Prbh.g_00642	Syah.g_00038
OG0000088	Prbh.g_00616	Syah.g_00074
OG0000089	Prbh.g_00415	Syah.g_00888
OG0000090	Prbh.g_00296	Syah.g_01064
OG0000091	Prbh.g_01211	Syah.g_01927
OG0000097	Prbh.g_01236	Syah.g_01400
OG0000098	Prbh.g_01935	Syah.g_00723
OG0000099	Prbh.g_00032	Syah.g_00144
OG0000100	Prbh.g_00179	Syah.g_01747
OG0000101	Prbh.g_01644	Syah.g_00785
OG0000102	Prbh.g_01576	Syah.g_00255
OG0000103	Prbh.g_01489	Syah.g_00391
OG0000104	Prbh.g_01480	Syah.g_00377
OG0000105	Prbh.g_00505	Syah.g_00632
OG0000106	Prbh.g_00821	Syah.g_01544
