Orthogroup	Prbh	Prav
OG0000000	Prbh.g_01853	Prav.g_01736, Prav.g_01415
OG0000000	Prbh.g_01903	Prav.g_01695, Prav.g_00973
OG0000002	Prbh.g_01016, Prbh.g_01022	Prav.g_01466
OG0000002	Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317, Prbh.g_00199, Prbh.g_00912	Prav.g_01276
OG0000004	Prbh.g_00933	Prav.g_01293
OG0000004	Prbh.g_00548	Prav.g_00806
OG0000005	Prbh.g_00182	Prav.g_01654
OG0000006	Prbh.g_00538	Prav.g_02001
OG0000007	Prbh.g_00334	Prav.g_01095
OG0000007	Prbh.g_01782	Prav.g_01761
OG0000008	Prbh.g_01406	Prav.g_01749
OG0000008	Prbh.g_01405	Prav.g_01750
OG0000010	Prbh.g_00848, Prbh.g_01143, Prbh.g_00357	Prav.g_01072
OG0000011	Prbh.g_01835	Prav.g_01334
OG0000012	Prbh.g_01460	Prav.g_01221
OG0000013	Prbh.g_00452	Prav.g_01973
OG0000014	Prbh.g_00472	Prav.g_01952
OG0000015	Prbh.g_00840, Prbh.g_01869	Prav.g_00363, Prav.g_00961
OG0000016	Prbh.g_01336	Prav.g_01385
OG0000017	Prbh.g_00232	Prav.g_01194
OG0000018	Prbh.g_01305	Prav.g_00046
OG0000018	Prbh.g_00981	Prav.g_00424
OG0000019	Prbh.g_00530	Prav.g_01896
OG0000019	Prbh.g_01307	Prav.g_00375
OG0000020	Prbh.g_00202	Prav.g_00014
OG0000020	Prbh.g_01898	Prav.g_01386
OG0000021	Prbh.g_00203	Prav.g_00984
OG0000022	Prbh.g_00190	Prav.g_00360
OG0000023	Prbh.g_00833	Prav.g_00979
OG0000024	Prbh.g_01147	Prav.g_00343
OG0000024	Prbh.g_00909	Prav.g_01273
OG0000025	Prbh.g_00988	Prav.g_00431, Prav.g_01977
OG0000026	Prbh.g_00749	Prav.g_00226
OG0000028	Prbh.g_00459	Prav.g_01966
OG0000028	Prbh.g_00404	Prav.g_01885
OG0000029	Prbh.g_01885	Prav.g_00350
OG0000030	Prbh.g_01570	Prav.g_00699
OG0000033	Prbh.g_00613	Prav.g_00869
OG0000034	Prbh.g_01383	Prav.g_01448
OG0000035	Prbh.g_00096	Prav.g_01578
OG0000037	Prbh.g_00674	Prav.g_00174
OG0000038	Prbh.g_01530	Prav.g_00739
OG0000039	Prbh.g_00921	Prav.g_01284
OG0000040	Prbh.g_01815	Prav.g_01720
OG0000041	Prbh.g_01734	Prav.g_01808
OG0000042	Prbh.g_01573	Prav.g_00696
OG0000043	Prbh.g_01304	Prav.g_00467
OG0000045	Prbh.g_01327	Prav.g_00990
OG0000048	Prbh.g_00508	Prav.g_00993
OG0000050	Prbh.g_01445, Prbh.g_00850	Prav.g_01013
OG0000052	Prbh.g_00041	Prav.g_01533
