Orthogroup	Prbh	Syak
OG0000001	Prbh.g_00001, Prbh.g_00863	Syak.g_00342
OG0000004	Prbh.g_00933	Syak.g_01219, Syak.g_00720
OG0000004	Prbh.g_00548	Syak.g_00003, Syak.g_02297
OG0000005	Prbh.g_00182	Syak.g_00885, Syak.g_02436
OG0000006	Prbh.g_00538	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317
OG0000007	Prbh.g_00334	Syak.g_02595
OG0000007	Prbh.g_01782	Syak.g_02416
OG0000008	Prbh.g_01406	Syak.g_00267
OG0000008	Prbh.g_01405	Syak.g_00692
OG0000010	Prbh.g_00848, Prbh.g_01143, Prbh.g_00357	Syak.g_01119
OG0000012	Prbh.g_01460	Syak.g_00010
OG0000013	Prbh.g_00452	Syak.g_01275, Syak.g_01270
OG0000014	Prbh.g_00472	Syak.g_01505
OG0000015	Prbh.g_00840, Prbh.g_01869	Syak.g_00358
OG0000016	Prbh.g_01336	Syak.g_00818
OG0000017	Prbh.g_00225	Syak.g_02738
OG0000017	Prbh.g_00232	Syak.g_02730
OG0000018	Prbh.g_01305, Prbh.g_00981	Syak.g_01072
OG0000019	Prbh.g_00530, Prbh.g_01307	Syak.g_01413
OG0000021	Prbh.g_00203	Syak.g_00566
OG0000022	Prbh.g_00190	Syak.g_00088
OG0000023	Prbh.g_00833	Syak.g_00316, Syak.g_00223
OG0000025	Prbh.g_00988	Syak.g_00610
OG0000026	Prbh.g_00749	Syak.g_01757
OG0000028	Prbh.g_00459, Prbh.g_00404	Syak.g_01522
OG0000029	Prbh.g_01691, Prbh.g_01885	Syak.g_00169, Syak.g_00178
OG0000030	Prbh.g_01570	Syak.g_01684, Syak.g_01685
OG0000031	Prbh.g_00064	Syak.g_01630
OG0000032	Prbh.g_00138	Syak.g_01092
OG0000033	Prbh.g_00613	Syak.g_02101
OG0000034	Prbh.g_01383	Syak.g_00950, Syak.g_02133
OG0000035	Prbh.g_00099, Prbh.g_00096	Syak.g_01041
OG0000037	Prbh.g_00674	Syak.g_02188
OG0000038	Prbh.g_01530	Syak.g_01938, Syak.g_01936
OG0000039	Prbh.g_00921	Syak.g_00772, Syak.g_01918
OG0000041	Prbh.g_01734	Syak.g_02354
OG0000042	Prbh.g_01573	Syak.g_00843, Syak.g_01681
OG0000043	Prbh.g_01304	Syak.g_00335
OG0000044	Prbh.g_01794	Syak.g_00153
OG0000045	Prbh.g_01327	Syak.g_00228
OG0000046	Prbh.g_00451	Syak.g_01276, Syak.g_01269
OG0000047	Prbh.g_00408	Syak.g_01147
OG0000048	Prbh.g_00508	Syak.g_01446
OG0000050	Prbh.g_01445, Prbh.g_00850	Syak.g_00106
OG0000052	Prbh.g_00041	Syak.g_01549
OG0000053	Prbh.g_01834, Prbh.g_00120	Syak.g_01068
OG0000054	Prbh.g_00223	Syak.g_02744
OG0000055	Prbh.g_01332	Syak.g_00766
OG0000057	Prbh.g_00936	Syak.g_00724
OG0000058	Prbh.g_00030	Syak.g_01530
OG0000059	Prbh.g_01695	Syak.g_01355
OG0000061	Prbh.g_01283	Syak.g_00898
OG0000062	Prbh.g_00184	Syak.g_02434
OG0000063	Prbh.g_01401	Syak.g_01752
OG0000064	Prbh.g_00715	Syak.g_00254, Syak.g_00126, Syak.g_00164, Syak.g_00983
OG0000065	Prbh.g_00676	Syak.g_02192, Syak.g_00282
OG0000066	Prbh.g_01856	Syak.g_02653
OG0000067	Prbh.g_00953	Syak.g_00434
OG0000068	Prbh.g_00009	Syak.g_02565
OG0000070	Prbh.g_00382	Syak.g_01174
OG0000071	Prbh.g_01373	Syak.g_00936
OG0000072	Prbh.g_00611	Syak.g_02099
OG0000073	Prbh.g_00330	Syak.g_02597
OG0000075	Prbh.g_01607	Syak.g_01564
OG0000076	Prbh.g_01581	Syak.g_01650
OG0000077	Prbh.g_00704	Syak.g_02243
OG0000078	Prbh.g_00540	Syak.g_02310
OG0000079	Prbh.g_00527	Syak.g_01417
OG0000080	Prbh.g_00069	Syak.g_01585, Syak.g_01583
OG0000081	Prbh.g_00298	Syak.g_00115
OG0000082	Prbh.g_01855	Syak.g_02711
OG0000084	Prbh.g_00093	Syak.g_01036
OG0000085	Prbh.g_01408	Syak.g_02427
OG0000086	Prbh.g_00695	Syak.g_02219
OG0000087	Prbh.g_00642	Syak.g_02141
OG0000088	Prbh.g_00616	Syak.g_02106
OG0000089	Prbh.g_00415	Syak.g_01215
OG0000090	Prbh.g_00296	Syak.g_02640
OG0000091	Prbh.g_01211	Syak.g_00043
OG0000092	Prbh.g_00883	Syak.g_01126
OG0000097	Prbh.g_01236	Syak.g_00816
OG0000098	Prbh.g_01935	Syak.g_00345
OG0000099	Prbh.g_00032	Syak.g_01527
OG0000100	Prbh.g_00179	Syak.g_00622
OG0000101	Prbh.g_01644	Syak.g_01305
OG0000102	Prbh.g_01576	Syak.g_01661
OG0000103	Prbh.g_01489	Syak.g_01812
OG0000104	Prbh.g_01480	Syak.g_01799
OG0000105	Prbh.g_00505	Syak.g_01451
OG0000106	Prbh.g_00821	Syak.g_00096
OG0000107	Prbh.g_01718	Syak.g_01392
OG0000108	Prbh.g_00351	Syak.g_02574
