Orthogroup	Prbh	Syap
OG0000004	Prbh.g_00548	Syap.g_01987
OG0000005	Prbh.g_00182	Syap.g_01218
OG0000007	Prbh.g_00334	Syap.g_00275
OG0000007	Prbh.g_01782	Syap.g_00621
OG0000010	Prbh.g_00848, Prbh.g_01143, Prbh.g_00357	Syap.g_02757
OG0000013	Prbh.g_00452	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972
OG0000014	Prbh.g_00472	Syap.g_01675
OG0000016	Prbh.g_01336	Syap.g_00404
OG0000017	Prbh.g_00232	Syap.g_00449
OG0000018	Prbh.g_01305, Prbh.g_00981	Syap.g_02010
OG0000019	Prbh.g_00530, Prbh.g_01307	Syap.g_01586
OG0000025	Prbh.g_00988	Syap.g_01846
OG0000028	Prbh.g_00459, Prbh.g_00404	Syap.g_01658
OG0000030	Prbh.g_01570	Syap.g_00787, Syap.g_00788
OG0000031	Prbh.g_00064	Syap.g_02479, Syap.g_01083, Syap.g_02076, Syap.g_00722
OG0000033	Prbh.g_00613	Syap.g_01198
OG0000034	Prbh.g_01383	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Prbh.g_00099, Prbh.g_00096	Syap.g_02465
OG0000037	Prbh.g_00674	Syap.g_02492
OG0000038	Prbh.g_01530	Syap.g_00139
OG0000039	Prbh.g_00921	Syap.g_01749, Syap.g_01748
OG0000042	Prbh.g_01573	Syap.g_01891, Syap.g_01120
OG0000043	Prbh.g_01304	Syap.g_01998
OG0000044	Prbh.g_01794	Syap.g_00378
OG0000045	Prbh.g_01327	Syap.g_02525
OG0000046	Prbh.g_00451	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973
OG0000048	Prbh.g_00508	Syap.g_02340
OG0000053	Prbh.g_01834, Prbh.g_00120	Syap.g_02006
OG0000054	Prbh.g_00223	Syap.g_00678
OG0000059	Prbh.g_01695	Syap.g_01082, Syap.g_02478
OG0000061	Prbh.g_01283	Syap.g_00228
OG0000062	Prbh.g_00184	Syap.g_01220, Syap.g_01365
OG0000063	Prbh.g_01401	Syap.g_01796
OG0000066	Prbh.g_01856	Syap.g_01972
OG0000067	Prbh.g_00953	Syap.g_00194
OG0000068	Prbh.g_00009	Syap.g_00108, Syap.g_00144
OG0000070	Prbh.g_00382	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000072	Prbh.g_00611	Syap.g_00555
OG0000073	Prbh.g_00330	Syap.g_00273
OG0000073	Prbh.g_00051	Syap.g_01020
OG0000075	Prbh.g_01607	Syap.g_01064, Syap.g_00664
OG0000076	Prbh.g_01581	Syap.g_01111
OG0000079	Prbh.g_00527	Syap.g_01589
OG0000080	Prbh.g_00069	Syap.g_01003
OG0000085	Prbh.g_01408	Syap.g_00611
OG0000087	Prbh.g_00642	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000088	Prbh.g_00616	Syap.g_01202
OG0000089	Prbh.g_00415	Syap.g_00115, Syap.g_02042
OG0000090	Prbh.g_00296	Syap.g_01451
OG0000091	Prbh.g_01211	Syap.g_01861
OG0000095	Prbh.g_01031	Syap.g_01556
OG0000098	Prbh.g_01935	Syap.g_01975
OG0000099	Prbh.g_00032	Syap.g_01385
OG0000101	Prbh.g_01644	Syap.g_00472
OG0000102	Prbh.g_01576	Syap.g_01116
OG0000103	Prbh.g_01489	Syap.g_02607, Syap.g_02608
OG0000104	Prbh.g_01480	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318
OG0000105	Prbh.g_00505	Syap.g_01369, Syap.g_01368
OG0000107	Prbh.g_01718	Syap.g_02496
OG0000108	Prbh.g_00351	Syap.g_00733, Syap.g_02255
OG0000109	Prbh.g_00337	Syap.g_00279, Syap.g_02237
OG0000110	Prbh.g_00254	Syap.g_01313
OG0000111	Prbh.g_00937	Syap.g_01566, Syap.g_01568
OG0000112	Prbh.g_01078	Syap.g_02023
OG0000113	Prbh.g_00976	Syap.g_02714
OG0000114	Prbh.g_00878	Syap.g_01255
OG0000115	Prbh.g_01344	Syap.g_02004
OG0000116	Prbh.g_01294	Syap.g_00241
OG0000117	Prbh.g_01255	Syap.g_01889
OG0000118	Prbh.g_01385	Syap.g_02286
OG0000120	Prbh.g_00031	Syap.g_02075
OG0000121	Prbh.g_00101	Syap.g_02471
OG0000123	Prbh.g_01637	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464
OG0000124	Prbh.g_01564	Syap.g_02456, Syap.g_02457, Syap.g_01130
OG0000125	Prbh.g_01528	Syap.g_01046, Syap.g_01047
OG0000126	Prbh.g_01481	Syap.g_02317, Syap.g_02576, Syap.g_02316
OG0000127	Prbh.g_01938	Syap.g_00736, Syap.g_00737, Syap.g_00735
OG0000128	Prbh.g_01953	Syap.g_00069
OG0000129	Prbh.g_00738	Syap.g_00130, Syap.g_00129
OG0000130	Prbh.g_00713	Syap.g_01688, Syap.g_01689
OG0000131	Prbh.g_00637	Syap.g_02189
OG0000132	Prbh.g_00618	Syap.g_01205
OG0000133	Prbh.g_00457	Syap.g_02017
OG0000134	Prbh.g_00413	Syap.g_02047
OG0000135	Prbh.g_01825	Syap.g_02090
OG0000136	Prbh.g_00391	Syap.g_00089
OG0000137	Prbh.g_00356	Syap.g_02756
OG0000138	Prbh.g_00336	Syap.g_00278
OG0000139	Prbh.g_00292	Syap.g_00410
OG0000140	Prbh.g_00291	Syap.g_01976
OG0000141	Prbh.g_00222	Syap.g_01541, Syap.g_01542, Syap.g_01544
OG0000142	Prbh.g_01218	Syap.g_00895, Syap.g_00894
OG0000143	Prbh.g_01215	Syap.g_00900, Syap.g_00899, Syap.g_00901
OG0000144	Prbh.g_01201	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772
OG0000145	Prbh.g_01880	Syap.g_01860, Syap.g_01859
OG0000146	Prbh.g_01077	Syap.g_02024
OG0000147	Prbh.g_01076	Syap.g_02025
OG0000148	Prbh.g_00970	Syap.g_02720
