Orthogroup	Prbh	Syar
OG0000001	Prbh.g_00001, Prbh.g_00863	Syar.g_00069
OG0000004	Prbh.g_00933	Syar.g_02051
OG0000004	Prbh.g_00548	Syar.g_02225, Syar.g_00842
OG0000005	Prbh.g_00182	Syar.g_02909
OG0000006	Prbh.g_00538	Syar.g_00151, Syar.g_02056, Syar.g_03013
OG0000007	Prbh.g_00334	Syar.g_01491
OG0000007	Prbh.g_01782	Syar.g_02929
OG0000008	Prbh.g_01406	Syar.g_02097
OG0000008	Prbh.g_01405	Syar.g_02098
OG0000010	Prbh.g_00848, Prbh.g_01143, Prbh.g_00357	Syar.g_01272
OG0000013	Prbh.g_00452	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167
OG0000014	Prbh.g_00472	Syar.g_00825
OG0000016	Prbh.g_01336	Syar.g_02859
OG0000017	Prbh.g_00225	Syar.g_02180
OG0000017	Prbh.g_00232	Syar.g_02188
OG0000018	Prbh.g_01305, Prbh.g_00981	Syar.g_01409
OG0000019	Prbh.g_00530, Prbh.g_01307	Syar.g_00163
OG0000022	Prbh.g_00190	Syar.g_00835
OG0000025	Prbh.g_00988	Syar.g_01811
OG0000026	Prbh.g_00749	Syar.g_00505
OG0000028	Prbh.g_00459, Prbh.g_00404	Syar.g_00718
OG0000031	Prbh.g_00064	Syar.g_00714
OG0000032	Prbh.g_00138	Syar.g_01390
OG0000033	Prbh.g_00613	Syar.g_00105
OG0000034	Prbh.g_01383	Syar.g_00074, Syar.g_02790
OG0000035	Prbh.g_00099, Prbh.g_00096	Syar.g_02809
OG0000037	Prbh.g_00674	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856
OG0000038	Prbh.g_01530	Syar.g_00334, Syar.g_00336
OG0000039	Prbh.g_00921	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044
OG0000042	Prbh.g_01573	Syar.g_00595, Syar.g_01970
OG0000044	Prbh.g_01794	Syar.g_02052, Syar.g_02167, Syar.g_01631
OG0000045	Prbh.g_01327	Syar.g_02592
OG0000046	Prbh.g_00451	Syar.g_01102, Syar.g_01105, Syar.g_03233
OG0000048	Prbh.g_00508	Syar.g_00213
OG0000052	Prbh.g_00727	Syar.g_00281
OG0000052	Prbh.g_00041	Syar.g_02742, Syar.g_02751
OG0000053	Prbh.g_01834, Prbh.g_00120	Syar.g_01413
