Orthogroup	Prbh	Prbn
OG0000000	Prbh.g_01901	Prbn.g_01151
OG0000000	Prbh.g_01903	Prbn.g_01662
OG0000000	Prbh.g_01902	Prbn.g_01152
OG0000000	Prbh.g_01902	Prbn.g_01663
OG0000000	Prbh.g_01858	Prbn.g_01678
OG0000001	Prbh.g_00001	Prbn.g_01213
OG0000001	Prbh.g_00863	Prbn.g_01923
OG0000002	Prbh.g_01016	Prbn.g_01483
OG0000002	Prbh.g_01022	Prbn.g_01478
OG0000002	Prbh.g_01313	Prbn.g_01159
OG0000002	Prbh.g_00006	Prbn.g_01234
OG0000002	Prbh.g_01311	Prbn.g_01161
OG0000002	Prbh.g_01317	Prbn.g_01154
OG0000002	Prbh.g_00199	Prbn.g_00879
OG0000002	Prbh.g_00912	Prbn.g_01586
OG0000004	Prbh.g_00933	Prbn.g_01565
OG0000004	Prbh.g_00548	Prbn.g_00318
OG0000005	Prbh.g_00182	Prbn.g_00899
OG0000006	Prbh.g_00538	Prbn.g_00308
OG0000007	Prbh.g_00334	Prbn.g_00617
OG0000007	Prbh.g_01782	Prbn.g_01745
OG0000008	Prbh.g_01406	Prbn.g_01645
OG0000008	Prbh.g_01405	Prbn.g_01646
OG0000009	Prbh.g_00377	Prbn.g_00887
OG0000010	Prbh.g_00848	Prbn.g_01939
OG0000010	Prbh.g_01143	Prbn.g_01357
OG0000010	Prbh.g_00357	Prbn.g_00640
OG0000012	Prbh.g_01460	Prbn.g_00492
OG0000013	Prbh.g_00452	Prbn.g_00092
OG0000014	Prbh.g_00472	Prbn.g_00074
OG0000015	Prbh.g_01869	Prbn.g_01684, Prbn.g_01730
OG0000016	Prbh.g_01336	Prbn.g_01131
OG0000017	Prbh.g_00225	Prbn.g_00510
OG0000017	Prbh.g_00232	Prbn.g_00517
OG0000018	Prbh.g_01305	Prbn.g_01167
OG0000018	Prbh.g_00981	Prbn.g_01518
OG0000019	Prbh.g_00530	Prbn.g_00015
OG0000019	Prbh.g_01307	Prbn.g_01165
OG0000020	Prbh.g_00202	Prbn.g_00875
OG0000020	Prbh.g_01898	Prbn.g_00133
OG0000021	Prbh.g_00203	Prbn.g_00874
OG0000021	Prbh.g_00938	Prbn.g_01560
OG0000022	Prbh.g_00190	Prbn.g_00891
OG0000023	Prbh.g_00833	Prbn.g_01030
OG0000024	Prbh.g_01147	Prbn.g_01353
OG0000024	Prbh.g_00909	Prbn.g_01589
OG0000025	Prbh.g_00988	Prbn.g_01510
OG0000026	Prbh.g_00749	Prbn.g_00750
OG0000028	Prbh.g_00404	Prbn.g_01644
OG0000029	Prbh.g_01691	Prbn.g_01836
OG0000029	Prbh.g_01885	Prbn.g_00126, Prbn.g_01676
OG0000030	Prbh.g_01570	Prbn.g_00985
OG0000031	Prbh.g_00064	Prbn.g_00171
OG0000032	Prbh.g_00138	Prbn.g_00251
OG0000033	Prbh.g_00613	Prbn.g_01244
OG0000034	Prbh.g_01383	Prbn.g_01073
OG0000035	Prbh.g_00099	Prbn.g_00212
OG0000037	Prbh.g_00674	Prbn.g_01310
OG0000038	Prbh.g_01530	Prbn.g_00946
OG0000039	Prbh.g_00921	Prbn.g_01577
OG0000041	Prbh.g_01734	Prbn.g_01793
OG0000042	Prbh.g_01573	Prbn.g_00988
OG0000043	Prbh.g_01304	Prbn.g_01168
OG0000045	Prbh.g_01327	Prbn.g_01145
OG0000046	Prbh.g_00451	Prbn.g_00093
OG0000047	Prbh.g_00408	Prbn.g_00690
OG0000048	Prbh.g_00508	Prbn.g_00038
OG0000050	Prbh.g_00850	Prbn.g_01937
OG0000052	Prbh.g_00727	Prbn.g_00724
OG0000052	Prbh.g_00041	Prbn.g_00190
OG0000053	Prbh.g_01834	Prbn.g_01690
OG0000053	Prbh.g_00120	Prbn.g_00233
OG0000054	Prbh.g_00223	Prbn.g_00508
OG0000055	Prbh.g_01332	Prbn.g_01140
OG0000055	Prbh.g_01797	Prbn.g_01719
OG0000057	Prbh.g_00936	Prbn.g_01562
OG0000058	Prbh.g_00030	Prbn.g_00172
OG0000059	Prbh.g_01695	Prbn.g_01833
OG0000061	Prbh.g_01283	Prbn.g_01189
OG0000062	Prbh.g_00184	Prbn.g_00897
OG0000063	Prbh.g_01401	Prbn.g_00130
OG0000064	Prbh.g_00715	Prbn.g_00710
OG0000065	Prbh.g_00676	Prbn.g_01312
OG0000066	Prbh.g_01856	Prbn.g_00577, Prbn.g_01657
OG0000067	Prbh.g_00953	Prbn.g_01546
OG0000068	Prbh.g_00009	Prbn.g_01240
OG0000069	Prbh.g_00376	Prbn.g_00659
OG0000070	Prbh.g_00382	Prbn.g_00663
OG0000071	Prbh.g_01373	Prbn.g_01084
OG0000072	Prbh.g_00611	Prbn.g_00383
OG0000073	Prbh.g_00330	Prbn.g_00614
OG0000074	Prbh.g_00828	Prbn.g_01038
OG0000074	Prbh.g_00859	Prbn.g_01928
OG0000074	Prbh.g_00916	Prbn.g_01582
OG0000075	Prbh.g_01607	Prbn.g_01917
