Orthogroup	Prbi	Prbn
OG0000000	Prbi.g_01709	Prbn.g_01662
OG0000002	Prbi.g_01432	Prbn.g_01483, Prbn.g_01478
OG0000002	Prbi.g_00681	Prbn.g_01159, Prbn.g_01234, Prbn.g_01161, Prbn.g_01154, Prbn.g_00879, Prbn.g_01586
OG0000004	Prbi.g_00698	Prbn.g_01565
OG0000004	Prbi.g_00256	Prbn.g_00318
OG0000005	Prbi.g_01666	Prbn.g_00899
OG0000006	Prbi.g_00265	Prbn.g_00308
OG0000007	Prbi.g_00500	Prbn.g_00617
OG0000007	Prbi.g_01787	Prbn.g_01745
OG0000008	Prbi.g_01764	Prbn.g_01645
OG0000008	Prbi.g_01540, Prbi.g_01765, Prbi.g_01539	Prbn.g_01646
OG0000009	Prbi.g_01338	Prbn.g_00887
OG0000010	Prbi.g_00477	Prbn.g_01939, Prbn.g_01357, Prbn.g_00640
OG0000011	Prbi.g_00426	Prbn.g_00802
OG0000012	Prbi.g_00625	Prbn.g_00867, Prbn.g_00492
OG0000013	Prbi.g_00351	Prbn.g_00092
OG0000014	Prbi.g_00330	Prbn.g_00074
OG0000015	Prbi.g_00810, Prbi.g_01304	Prbn.g_01684, Prbn.g_01730
OG0000017	Prbi.g_00600	Prbn.g_00517
OG0000018	Prbi.g_01188	Prbn.g_01167
OG0000018	Prbi.g_00874	Prbn.g_01518
OG0000019	Prbi.g_00273	Prbn.g_00015
OG0000019	Prbi.g_00827	Prbn.g_01165
OG0000020	Prbi.g_01153	Prbn.g_00875
OG0000021	Prbi.g_01742, Prbi.g_00389	Prbn.g_00874
OG0000022	Prbi.g_00805	Prbn.g_00891
OG0000023	Prbi.g_00384	Prbn.g_01030
OG0000024	Prbi.g_00788	Prbn.g_01353
OG0000024	Prbi.g_00678	Prbn.g_01589
OG0000025	Prbi.g_00882, Prbi.g_00355	Prbn.g_01510
OG0000026	Prbi.g_00031, Prbi.g_01101	Prbn.g_00750
OG0000027	Prbi.g_00472, Prbi.g_01374	Prbn.g_00139
OG0000028	Prbi.g_01319, Prbi.g_01768	Prbn.g_01644
OG0000029	Prbi.g_00399	Prbn.g_01836
OG0000029	Prbi.g_00796	Prbn.g_00126, Prbn.g_01676
OG0000030	Prbi.g_02004	Prbn.g_00985
