Orthogroup	Prbi	Prbc
OG0000000	Prbi.g_01373	Prbc.g_02163, Prbc.g_00103
OG0000000	Prbi.g_01709	Prbc.g_02165
OG0000000	Prbi.g_01268, Prbi.g_01708	Prbc.g_00525
OG0000001	Prbi.g_01542, Prbi.g_01763	Prbc.g_00892
OG0000002	Prbi.g_01432	Prbc.g_01920
OG0000002	Prbi.g_00681	Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473, Prbc.g_01478, Prbc.g_01759
OG0000004	Prbi.g_00698	Prbc.g_01381
OG0000004	Prbi.g_00256	Prbc.g_00339
OG0000005	Prbi.g_01800	Prbc.g_00098
OG0000005	Prbi.g_01666	Prbc.g_00788
OG0000006	Prbi.g_00265	Prbc.g_02202
OG0000007	Prbi.g_00500	Prbc.g_01556
OG0000007	Prbi.g_01787	Prbc.g_00832
OG0000008	Prbi.g_01764	Prbc.g_00893
OG0000008	Prbi.g_01540, Prbi.g_01765, Prbi.g_01539	Prbc.g_00894
OG0000009	Prbi.g_01338	Prbc.g_01344
OG0000010	Prbi.g_00477	Prbc.g_02115, Prbc.g_01533
OG0000011	Prbi.g_01361	Prbc.g_00164
OG0000011	Prbi.g_00426	Prbc.g_00066
OG0000012	Prbi.g_00625	Prbc.g_02155
OG0000013	Prbi.g_00351	Prbc.g_01219
OG0000014	Prbi.g_00330	Prbc.g_01198
OG0000014	Prbi.g_01502, Prbi.g_01508, Prbi.g_01475	Prbc.g_00680
OG0000015	Prbi.g_00810, Prbi.g_01304	Prbc.g_00599
OG0000016	Prbi.g_00013	Prbc.g_01083
OG0000017	Prbi.g_00600	Prbc.g_01681
OG0000018	Prbi.g_01188	Prbc.g_01468
OG0000018	Prbi.g_00874	Prbc.g_01887
OG0000019	Prbi.g_00827	Prbc.g_01836
OG0000020	Prbi.g_01153	Prbc.g_02114
OG0000021	Prbi.g_01742, Prbi.g_00389	Prbc.g_00924
OG0000022	Prbi.g_00805	Prbc.g_00166
OG0000022	Prbi.g_01170	Prbc.g_01288
OG0000023	Prbi.g_00384	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071
OG0000024	Prbi.g_00788	Prbc.g_00598
OG0000024	Prbi.g_00678	Prbc.g_01755
OG0000025	Prbi.g_00882, Prbi.g_00355	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894
OG0000026	Prbi.g_00031, Prbi.g_01101	Prbc.g_01101
OG0000027	Prbi.g_00472, Prbi.g_01374	Prbc.g_00072
OG0000028	Prbi.g_01319, Prbi.g_01768	Prbc.g_00653
OG0000030	Prbi.g_02004	Prbc.g_00199
OG0000031	Prbi.g_01467	Prbc.g_01228
OG0000033	Prbi.g_00193	Prbc.g_00402
OG0000034	Prbi.g_01401	Prbc.g_00575
OG0000035	Prbi.g_01589, Prbi.g_01591	Prbc.g_00709
OG0000037	Prbi.g_00116	Prbc.g_00464
OG0000038	Prbi.g_02057	Prbc.g_00995
OG0000039	Prbi.g_00689	Prbc.g_01768
OG0000040	Prbi.g_01738	Prbc.g_00811
OG0000041	Prbi.g_01833	Prbc.g_00877
OG0000042	Prbi.g_02001	Prbc.g_00203
OG0000043	Prbi.g_00918	Prbc.g_01953
OG0000043	Prbi.g_01334	Prbc.g_00135
OG0000044	Prbi.g_01744	Prbc.g_00533
OG0000045	Prbi.g_00395	Prbc.g_02137
OG0000047	Prbi.g_00354	Prbc.g_01227
OG0000048	Prbi.g_00398	Prbc.g_01165
OG0000050	Prbi.g_01122	Prbc.g_00513
OG0000051	Prbi.g_01281	Prbc.g_00095
OG0000053	Prbi.g_01611	Prbc.g_00728
OG0000054	Prbi.g_00608	Prbc.g_01683
OG0000055	Prbi.g_00828	Prbc.g_01822
OG0000056	Prbi.g_01276	Prbc.g_01108, Prbc.g_00011, Prbc.g_00532
OG0000057	Prbi.g_00702	Prbc.g_01780, Prbc.g_00055
OG0000058	Prbi.g_01461	Prbc.g_01928
OG0000059	Prbi.g_01873, Prbi.g_01717	Prbc.g_00958
OG0000061	Prbi.g_01207	Prbc.g_01446
OG0000062	Prbi.g_01482, Prbi.g_01668	Prbc.g_00790
OG0000063	Prbi.g_00033	Prbc.g_00932
OG0000065	Prbi.g_00114	Prbc.g_00466
OG0000066	Prbi.g_00542	Prbc.g_01618
OG0000067	Prbi.g_00847	Prbc.g_01858
OG0000068	Prbi.g_01439	Prbc.g_00657
OG0000069	Prbi.g_01702	Prbc.g_02181, Prbc.g_00752
OG0000070	Prbi.g_00451	Prbc.g_01511
OG0000071	Prbi.g_01391	Prbc.g_00566
OG0000072	Prbi.g_00195	Prbc.g_00400
OG0000073	Prbi.g_00502	Prbc.g_01579
OG0000074	Prbi.g_00685	Prbc.g_01763
OG0000075	Prbi.g_01970	Prbc.g_00236
OG0000076	Prbi.g_01994	Prbc.g_00211
OG0000077	Prbi.g_00085	Prbc.g_00495
OG0000078	Prbi.g_00263	Prbc.g_00330
