Orthogroup	Prbi	Prbh
OG0000000	Prbi.g_01373	Prbh.g_01853
OG0000000	Prbi.g_01709	Prbh.g_01903
OG0000002	Prbi.g_01432	Prbh.g_01016, Prbh.g_01022
OG0000002	Prbi.g_00681	Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317, Prbh.g_00199, Prbh.g_00912
OG0000004	Prbi.g_00698	Prbh.g_00933
OG0000004	Prbi.g_00256	Prbh.g_00548
OG0000005	Prbi.g_01666	Prbh.g_00182
OG0000006	Prbi.g_00265	Prbh.g_00538
OG0000007	Prbi.g_00500	Prbh.g_00334
OG0000007	Prbi.g_01787	Prbh.g_01782
OG0000008	Prbi.g_01764	Prbh.g_01406
OG0000008	Prbi.g_01540, Prbi.g_01765, Prbi.g_01539	Prbh.g_01405
OG0000009	Prbi.g_01338	Prbh.g_00377, Prbh.g_00193, Prbh.g_01841
OG0000010	Prbi.g_00477	Prbh.g_00848, Prbh.g_01143, Prbh.g_00357
OG0000012	Prbi.g_00625	Prbh.g_01460
OG0000013	Prbi.g_00351	Prbh.g_00452
OG0000014	Prbi.g_00330	Prbh.g_00472
OG0000015	Prbi.g_00810, Prbi.g_01304	Prbh.g_00840, Prbh.g_01869
OG0000017	Prbi.g_00600	Prbh.g_00232
OG0000018	Prbi.g_01188	Prbh.g_01305
OG0000018	Prbi.g_00874	Prbh.g_00981
OG0000019	Prbi.g_00273	Prbh.g_00530
OG0000019	Prbi.g_00827	Prbh.g_01307
OG0000020	Prbi.g_01153	Prbh.g_00202
OG0000021	Prbi.g_01742, Prbi.g_00389	Prbh.g_00203
OG0000022	Prbi.g_00805	Prbh.g_00190
OG0000023	Prbi.g_00384	Prbh.g_00833
OG0000024	Prbi.g_00788	Prbh.g_01147
OG0000024	Prbi.g_00678	Prbh.g_00909
OG0000025	Prbi.g_00882, Prbi.g_00355	Prbh.g_00988
OG0000026	Prbi.g_01101	Prbh.g_00749
OG0000028	Prbi.g_00344	Prbh.g_00459
OG0000028	Prbi.g_01319, Prbi.g_01768	Prbh.g_00404
OG0000029	Prbi.g_00399	Prbh.g_01691
OG0000029	Prbi.g_00796	Prbh.g_01885
OG0000030	Prbi.g_02004	Prbh.g_01570
OG0000031	Prbi.g_01467	Prbh.g_00064
OG0000033	Prbi.g_00193	Prbh.g_00613
OG0000034	Prbi.g_01401	Prbh.g_01383
OG0000035	Prbi.g_01589, Prbi.g_01591	Prbh.g_00096
OG0000037	Prbi.g_00116	Prbh.g_00674
OG0000038	Prbi.g_02057	Prbh.g_01530
OG0000039	Prbi.g_00689	Prbh.g_00921
OG0000040	Prbi.g_01738	Prbh.g_01815
OG0000041	Prbi.g_01833	Prbh.g_01734
OG0000042	Prbi.g_02001	Prbh.g_01573
OG0000043	Prbi.g_00918	Prbh.g_01304
OG0000044	Prbi.g_01744	Prbh.g_01794
OG0000045	Prbi.g_00395	Prbh.g_01327
OG0000048	Prbi.g_00398	Prbh.g_00508
OG0000052	Prbi.g_01478	Prbh.g_00041
OG0000053	Prbi.g_01611	Prbh.g_01834, Prbh.g_00120
OG0000054	Prbi.g_00608	Prbh.g_00223
OG0000055	Prbi.g_00828	Prbh.g_01332
OG0000056	Prbi.g_01276	Prbh.g_01803, Prbh.g_01417, Prbh.g_01418
OG0000057	Prbi.g_00702	Prbh.g_00936
OG0000058	Prbi.g_01461	Prbh.g_00030
OG0000059	Prbi.g_01873, Prbi.g_01717	Prbh.g_01695
OG0000061	Prbi.g_01207	Prbh.g_01283
OG0000062	Prbi.g_01482, Prbi.g_01668	Prbh.g_00184
OG0000065	Prbi.g_00114	Prbh.g_00676
OG0000066	Prbi.g_00542	Prbh.g_01856
OG0000067	Prbi.g_00847	Prbh.g_00953
