Orthogroup	Prbi	Syas
OG0000004	Prbi.g_00698	Syas.g_00176
OG0000004	Prbi.g_00256	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072
OG0000005	Prbi.g_01800	Syas.g_02665
OG0000005	Prbi.g_01666	Syas.g_02704
OG0000006	Prbi.g_00265	Syas.g_00942, Syas.g_01684, Syas.g_02565, Syas.g_00720
OG0000007	Prbi.g_00500	Syas.g_01232
OG0000007	Prbi.g_01787	Syas.g_02681
OG0000008	Prbi.g_01764	Syas.g_00886
OG0000008	Prbi.g_01540, Prbi.g_01765, Prbi.g_01539	Syas.g_00887
OG0000009	Prbi.g_00112	Syas.g_01450
OG0000010	Prbi.g_01094, Prbi.g_00477	Syas.g_01334
OG0000013	Prbi.g_00351	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557
OG0000014	Prbi.g_00330	Syas.g_01816
OG0000016	Prbi.g_00013	Syas.g_02048
OG0000017	Prbi.g_00600	Syas.g_00849
OG0000018	Prbi.g_01188, Prbi.g_00874	Syas.g_01290
OG0000019	Prbi.g_00273, Prbi.g_00827	Syas.g_01696
OG0000022	Prbi.g_00805, Prbi.g_01170	Syas.g_02758
OG0000025	Prbi.g_00882, Prbi.g_00355	Syas.g_00231
OG0000026	Prbi.g_00031, Prbi.g_01101	Syas.g_02070
OG0000027	Prbi.g_00472, Prbi.g_01374	Syas.g_01480
OG0000028	Prbi.g_00344, Prbi.g_01319, Prbi.g_01768	Syas.g_01793
OG0000030	Prbi.g_02004	Syas.g_01644, Syas.g_01645
OG0000033	Prbi.g_00193	Syas.g_02328
OG0000034	Prbi.g_01401	Syas.g_02371, Syas.g_02838
OG0000035	Prbi.g_01589, Prbi.g_01591	Syas.g_02814, Syas.g_02818
OG0000037	Prbi.g_00116	Syas.g_01479, Syas.g_00147, Syas.g_01928
OG0000038	Prbi.g_02057	Syas.g_01885, Syas.g_01887
OG0000039	Prbi.g_00689	Syas.g_02795
OG0000040	Prbi.g_01738	Syas.g_02028
OG0000042	Prbi.g_02001	Syas.g_01121, Syas.g_02147
OG0000044	Prbi.g_01744, Prbi.g_01760	Syas.g_00894, Syas.g_02453
OG0000048	Prbi.g_00398	Syas.g_01734
OG0000051	Prbi.g_01364, Prbi.g_01281	Syas.g_01445
OG0000053	Prbi.g_01611	Syas.g_01287
OG0000054	Prbi.g_00608	Syas.g_00961
OG0000061	Prbi.g_01207	Syas.g_01184
OG0000062	Prbi.g_01668	Syas.g_00070
OG0000063	Prbi.g_00033	Syas.g_02074
OG0000065	Prbi.g_00114	Syas.g_02420
OG0000066	Prbi.g_00542	Syas.g_00094
OG0000067	Prbi.g_00847	Syas.g_00596
OG0000068	Prbi.g_01439	Syas.g_00969, Syas.g_01261
OG0000070	Prbi.g_00451	Syas.g_00173
OG0000072	Prbi.g_00195	Syas.g_02326, Syas.g_01524
OG0000073	Prbi.g_00502	Syas.g_01230, Syas.g_00358, Syas.g_00264
OG0000075	Prbi.g_01970	Syas.g_01921, Syas.g_02194
OG0000076	Prbi.g_01994	Syas.g_02156
OG0000078	Prbi.g_00263	Syas.g_02308
OG0000079	Prbi.g_00276	Syas.g_01699
OG0000081	Prbi.g_00534	Syas.g_00391
OG0000082	Prbi.g_00587	Syas.g_00837
OG0000085	Prbi.g_01780	Syas.g_02695
OG0000086	Prbi.g_00095	Syas.g_02470
OG0000087	Prbi.g_00147	Syas.g_02374
OG0000089	Prbi.g_00380	Syas.g_01512
OG0000090	Prbi.g_00536	Syas.g_00062
OG0000091	Prbi.g_00645	Syas.g_00907, Syas.g_00146
OG0000092	Prbi.g_00956	Syas.g_00900, Syas.g_00877
OG0000094	Prbi.g_01067	Syas.g_00208, Syas.g_01716
OG0000095	Prbi.g_01086	Syas.g_01021
OG0000097	Prbi.g_01248	Syas.g_00114, Syas.g_01443
OG0000098	Prbi.g_01421	Syas.g_00091
OG0000099	Prbi.g_01462	Syas.g_01826
OG0000100	Prbi.g_01664	Syas.g_00567
OG0000101	Prbi.g_01938	Syas.g_01589
OG0000102	Prbi.g_01999	Syas.g_02152, Syas.g_01395
OG0000103	Prbi.g_02091	Syas.g_02009
OG0000104	Prbi.g_02099	Syas.g_02027, Syas.g_02026
OG0000105	Prbi.g_00298	Syas.g_01739
OG0000106	Prbi.g_00394	Syas.g_01451
OG0000107	Prbi.g_00409	Syas.g_01669
OG0000108	Prbi.g_00483	Syas.g_01253
OG0000109	Prbi.g_00497	Syas.g_01236
OG0000110	Prbi.g_00577	Syas.g_00818
OG0000111	Prbi.g_00703	Syas.g_01037
OG0000112	Prbi.g_00811	Syas.g_00452
OG0000113	Prbi.g_00869	Syas.g_00571
OG0000114	Prbi.g_00951	Syas.g_00674
OG0000115	Prbi.g_01148	Syas.g_02548, Syas.g_01285
OG0000116	Prbi.g_01197	Syas.g_01198, Syas.g_00317
OG0000117	Prbi.g_01330	Syas.g_01122
OG0000118	Prbi.g_01403	Syas.g_02835
OG0000120	Prbi.g_01460	Syas.g_01828
OG0000121	Prbi.g_01593	Syas.g_02821
OG0000122	Prbi.g_01630	Syas.g_00393
OG0000123	Prbi.g_01945	Syas.g_01582
OG0000124	Prbi.g_02010	Syas.g_02137
OG0000125	Prbi.g_02059	Syas.g_01889
OG0000126	Prbi.g_02098	Syas.g_01992
OG0000128	Prbi.g_00011	Syas.g_02046
OG0000129	Prbi.g_00053	Syas.g_01880
OG0000130	Prbi.g_00076	Syas.g_02522
OG0000131	Prbi.g_00169	Syas.g_02367
OG0000132	Prbi.g_00188	Syas.g_02334
OG0000133	Prbi.g_00346	Syas.g_00457
OG0000134	Prbi.g_00381	Syas.g_01509
OG0000135	Prbi.g_00407	Syas.g_01938
OG0000136	Prbi.g_00442	Syas.g_02740
OG0000137	Prbi.g_00478	Syas.g_01333
OG0000138	Prbi.g_00498	Syas.g_01235
OG0000140	Prbi.g_00541	Syas.g_00090
OG0000141	Prbi.g_00609	Syas.g_00875
OG0000142	Prbi.g_00638	Syas.g_00746
OG0000143	Prbi.g_00642	Syas.g_00742
OG0000144	Prbi.g_00655	Syas.g_00718
OG0000145	Prbi.g_00807	Syas.g_00948
OG0000146	Prbi.g_00812	Syas.g_00451
OG0000147	Prbi.g_00813	Syas.g_00450
OG0000148	Prbi.g_00863	Syas.g_00577
OG0000149	Prbi.g_00894	Syas.g_00282
OG0000150	Prbi.g_00902	Syas.g_00874
OG0000151	Prbi.g_00961	Syas.g_00148, Syas.g_00659
OG0000152	Prbi.g_01009	Syas.g_00461
OG0000153	Prbi.g_01028	Syas.g_00543
OG0000154	Prbi.g_01060	Syas.g_00219
OG0000155	Prbi.g_01227	Syas.g_01131
OG0000156	Prbi.g_01380	Syas.g_01206
OG0000157	Prbi.g_01381	Syas.g_01207
OG0000158	Prbi.g_01489	Syas.g_02185
OG0000159	Prbi.g_01490	Syas.g_01155
OG0000160	Prbi.g_01592	Syas.g_02820
OG0000161	Prbi.g_01598	Syas.g_02826
OG0000162	Prbi.g_01604	Syas.g_02751
OG0000163	Prbi.g_01637	Syas.g_01488
OG0000164	Prbi.g_01811	Syas.g_02648
OG0000165	Prbi.g_01818	Syas.g_02609
OG0000166	Prbi.g_01902	Syas.g_01629
OG0000167	Prbi.g_01968	Syas.g_01449
OG0000168	Prbi.g_01978	Syas.g_02184
OG0000169	Prbi.g_01988	Syas.g_02170
OG0000170	Prbi.g_01990	Syas.g_02161
OG0000171	Prbi.g_02009	Syas.g_02139
OG0000172	Prbi.g_02030	Syas.g_02110
OG0000173	Prbi.g_02045	Syas.g_02092
OG0000174	Prbi.g_02073	Syas.g_01940
OG0000175	Prbi.g_02083	Syas.g_01994
OG0000176	Prbi.g_00004	Syas.g_02038
OG0000177	Prbi.g_00005	Syas.g_02039
OG0000178	Prbi.g_00006	Syas.g_02040
OG0000179	Prbi.g_00016	Syas.g_02054
OG0000180	Prbi.g_00017	Syas.g_02055
OG0000181	Prbi.g_00018	Syas.g_02056
OG0000182	Prbi.g_00019	Syas.g_02057
OG0000183	Prbi.g_00023	Syas.g_02061
OG0000184	Prbi.g_00057	Syas.g_01872
OG0000185	Prbi.g_00060	Syas.g_01861
OG0000186	Prbi.g_00071	Syas.g_02525
OG0000187	Prbi.g_00072	Syas.g_02524
OG0000188	Prbi.g_00089	Syas.g_02502
OG0000189	Prbi.g_00103	Syas.g_02432
OG0000190	Prbi.g_00104	Syas.g_00133
OG0000191	Prbi.g_00125	Syas.g_02400
OG0000192	Prbi.g_00129	Syas.g_02395
OG0000193	Prbi.g_00170	Syas.g_02366
OG0000194	Prbi.g_00173	Syas.g_02363
OG0000195	Prbi.g_00175	Syas.g_02360
OG0000196	Prbi.g_00185	Syas.g_02337
OG0000197	Prbi.g_00186	Syas.g_02336
OG0000198	Prbi.g_00187	Syas.g_02335
OG0000199	Prbi.g_00194	Syas.g_02327
OG0000200	Prbi.g_00208	Syas.g_02298
OG0000201	Prbi.g_00216	Syas.g_02279
OG0000202	Prbi.g_00217	Syas.g_02278
OG0000203	Prbi.g_00218	Syas.g_02277
OG0000204	Prbi.g_00219	Syas.g_02276
OG0000205	Prbi.g_00226	Syas.g_02267
OG0000206	Prbi.g_00231	Syas.g_02240
OG0000207	Prbi.g_00233	Syas.g_02237
OG0000208	Prbi.g_00234	Syas.g_02236
OG0000209	Prbi.g_00243	Syas.g_01837
OG0000210	Prbi.g_00244	Syas.g_01838
OG0000211	Prbi.g_00257	Syas.g_02552
OG0000212	Prbi.g_00264	Syas.g_02562
OG0000213	Prbi.g_00281	Syas.g_01707
OG0000214	Prbi.g_00291	Syas.g_01730
OG0000215	Prbi.g_00316	Syas.g_01766
OG0000216	Prbi.g_00318	Syas.g_01770
OG0000217	Prbi.g_00321	Syas.g_01778
OG0000218	Prbi.g_00323	Syas.g_01780
OG0000219	Prbi.g_00324	Syas.g_01783
OG0000220	Prbi.g_00325	Syas.g_01784
OG0000221	Prbi.g_00326	Syas.g_01785
OG0000222	Prbi.g_00334	Syas.g_01804
OG0000223	Prbi.g_00347	Syas.g_02221
OG0000224	Prbi.g_00349	Syas.g_02215
OG0000225	Prbi.g_00370	Syas.g_01522
OG0000226	Prbi.g_00374	Syas.g_01518
OG0000227	Prbi.g_00376	Syas.g_01516
OG0000228	Prbi.g_00379	Syas.g_01513
OG0000229	Prbi.g_00437	Syas.g_01497
OG0000230	Prbi.g_00439	Syas.g_01495
OG0000231	Prbi.g_00450	Syas.g_02749
OG0000232	Prbi.g_00459	Syas.g_01276
OG0000233	Prbi.g_00465	Syas.g_01352
OG0000234	Prbi.g_00479	Syas.g_01331
OG0000235	Prbi.g_00482	Syas.g_01254
OG0000236	Prbi.g_00496	Syas.g_01237
OG0000237	Prbi.g_00509	Syas.g_01220
OG0000238	Prbi.g_00515	Syas.g_01215
OG0000239	Prbi.g_00528	Syas.g_00012
OG0000240	Prbi.g_00529	Syas.g_00013
OG0000241	Prbi.g_00533	Syas.g_00754
OG0000242	Prbi.g_00535	Syas.g_00059
OG0000243	Prbi.g_00546	Syas.g_00777
OG0000244	Prbi.g_00549	Syas.g_00784
OG0000245	Prbi.g_00551	Syas.g_00786
OG0000246	Prbi.g_00555	Syas.g_00790
OG0000247	Prbi.g_00565	Syas.g_00802
OG0000248	Prbi.g_00567	Syas.g_00805
OG0000249	Prbi.g_00569	Syas.g_00807
