Orthogroup	Prbi	Syad
OG0000001	Prbi.g_01424, Prbi.g_01542, Prbi.g_01763, Prbi.g_01270	Syad.g_00628
OG0000002	Prbi.g_01432, Prbi.g_00681	Syad.g_00619
OG0000004	Prbi.g_00698	Syad.g_01304
OG0000004	Prbi.g_00256	Syad.g_02184, Syad.g_00810
OG0000005	Prbi.g_01800	Syad.g_02639
OG0000005	Prbi.g_01666	Syad.g_02596
OG0000006	Prbi.g_00265	Syad.g_00588, Syad.g_00829
OG0000007	Prbi.g_00500	Syad.g_00923
OG0000007	Prbi.g_01787	Syad.g_02623
OG0000008	Prbi.g_01540, Prbi.g_01765, Prbi.g_01539	Syad.g_01371
OG0000009	Prbi.g_01338, Prbi.g_01701	Syad.g_01952, Syad.g_00868
OG0000009	Prbi.g_00112	Syad.g_02799
OG0000010	Prbi.g_01094, Prbi.g_00477	Syad.g_02354
OG0000011	Prbi.g_01361	Syad.g_02006
OG0000011	Prbi.g_00426	Syad.g_02680
OG0000012	Prbi.g_00625	Syad.g_01702, Syad.g_01136, Syad.g_01579, Syad.g_01008, Syad.g_02176
OG0000013	Prbi.g_00351	Syad.g_00737, Syad.g_00724, Syad.g_00729
OG0000014	Prbi.g_00330	Syad.g_00480
OG0000014	Prbi.g_01508	Syad.g_00260
OG0000015	Prbi.g_00810, Prbi.g_01304	Syad.g_01600, Syad.g_01601
OG0000016	Prbi.g_00013	Syad.g_00176
OG0000017	Prbi.g_00600	Syad.g_01084
OG0000018	Prbi.g_01188, Prbi.g_00874	Syad.g_02306
OG0000019	Prbi.g_00273, Prbi.g_00827	Syad.g_00569
OG0000020	Prbi.g_01153	Syad.g_00845
OG0000022	Prbi.g_00805, Prbi.g_01170	Syad.g_02090
OG0000023	Prbi.g_00384	Syad.g_01701, Syad.g_02337, Syad.g_01583
OG0000024	Prbi.g_00788, Prbi.g_00678	Syad.g_01374
OG0000025	Prbi.g_00882, Prbi.g_00355	Syad.g_01241
OG0000026	Prbi.g_00031, Prbi.g_01101	Syad.g_00198
OG0000027	Prbi.g_00472, Prbi.g_01374	Syad.g_01257
OG0000028	Prbi.g_00344, Prbi.g_01319, Prbi.g_01768	Syad.g_00463
OG0000029	Prbi.g_00399, Prbi.g_00796	Syad.g_02099
OG0000030	Prbi.g_02004	Syad.g_00328, Syad.g_00327
OG0000031	Prbi.g_01467	Syad.g_00294
OG0000033	Prbi.g_00193	Syad.g_02903
OG0000034	Prbi.g_01401	Syad.g_02420, Syad.g_02872
OG0000035	Prbi.g_01589, Prbi.g_01591	Syad.g_02275
OG0000037	Prbi.g_00116	Syad.g_02805
OG0000038	Prbi.g_02057	Syad.g_03038
OG0000039	Prbi.g_00689	Syad.g_01249, Syad.g_01111
OG0000041	Prbi.g_01833	Syad.g_02498
OG0000042	Prbi.g_02001	Syad.g_00333
OG0000043	Prbi.g_00918, Prbi.g_01334	Syad.g_02119
OG0000044	Prbi.g_01744, Prbi.g_01760	Syad.g_02214
OG0000047	Prbi.g_00354	Syad.g_00754
OG0000048	Prbi.g_00398	Syad.g_00534
OG0000051	Prbi.g_01364	Syad.g_00842
OG0000052	Prbi.g_01478	Syad.g_00434
OG0000053	Prbi.g_01611	Syad.g_02302
OG0000054	Prbi.g_00608	Syad.g_02209
OG0000055	Prbi.g_00828	Syad.g_01255
OG0000056	Prbi.g_01276	Syad.g_01997, Syad.g_01971, Syad.g_01409, Syad.g_02690, Syad.g_01425, Syad.g_00400, Syad.g_01999, Syad.g_01346, Syad.g_02228, Syad.g_02691
OG0000057	Prbi.g_00702	Syad.g_01301
OG0000058	Prbi.g_01461	Syad.g_00452
OG0000059	Prbi.g_01873, Prbi.g_01717	Syad.g_00642
OG0000061	Prbi.g_01207	Syad.g_01152
OG0000063	Prbi.g_00033	Syad.g_00202
OG0000065	Prbi.g_00114	Syad.g_02574, Syad.g_02801
OG0000066	Prbi.g_00542	Syad.g_00992
OG0000067	Prbi.g_00847	Syad.g_01889
OG0000068	Prbi.g_01439	Syad.g_00891
OG0000070	Prbi.g_00451	Syad.g_02424
OG0000071	Prbi.g_01391	Syad.g_02405
OG0000072	Prbi.g_00195	Syad.g_02905
OG0000073	Prbi.g_00502	Syad.g_00926
OG0000075	Prbi.g_01970	Syad.g_00416
OG0000076	Prbi.g_01994	Syad.g_00348
OG0000077	Prbi.g_00085	Syad.g_02741
OG0000078	Prbi.g_00263	Syad.g_00824
OG0000079	Prbi.g_00276	Syad.g_00565
