Orthogroup	Prbi	Syan
OG0000004	Prbi.g_00698	Syan.g_00183
OG0000004	Prbi.g_00256	Syan.g_00989
OG0000005	Prbi.g_01800	Syan.g_01423
OG0000005	Prbi.g_01666	Syan.g_01378
OG0000006	Prbi.g_00265	Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441
OG0000007	Prbi.g_00500	Syan.g_02743
OG0000007	Prbi.g_01787	Syan.g_01400
OG0000008	Prbi.g_01764	Syan.g_00640, Syan.g_02532
OG0000008	Prbi.g_01540, Prbi.g_01765, Prbi.g_01539	Syan.g_00641, Syan.g_02531
OG0000009	Prbi.g_01338, Prbi.g_01701, Prbi.g_00112	Syan.g_02972
OG0000010	Prbi.g_01094, Prbi.g_00477	Syan.g_02847
OG0000012	Prbi.g_00625	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485
OG0000013	Prbi.g_00351	Syan.g_02156, Syan.g_02159, Syan.g_00101
OG0000014	Prbi.g_00330	Syan.g_01987
OG0000016	Prbi.g_00013	Syan.g_01766
OG0000017	Prbi.g_00600	Syan.g_01006
OG0000018	Prbi.g_01188, Prbi.g_00874	Syan.g_02816
OG0000019	Prbi.g_00273, Prbi.g_00827	Syan.g_02088
OG0000021	Prbi.g_01742, Prbi.g_00389	Syan.g_01001
OG0000022	Prbi.g_00805, Prbi.g_01170	Syan.g_00089
OG0000023	Prbi.g_00384	Syan.g_00404
OG0000025	Prbi.g_00882, Prbi.g_00355	Syan.g_00374
OG0000026	Prbi.g_00031, Prbi.g_01101	Syan.g_01743
OG0000027	Prbi.g_00472, Prbi.g_01374	Syan.g_02678
OG0000028	Prbi.g_00344, Prbi.g_01319, Prbi.g_01768	Syan.g_01971
OG0000030	Prbi.g_02004	Syan.g_01884, Syan.g_01883
OG0000032	Prbi.g_01497	Syan.g_01819
OG0000033	Prbi.g_00193	Syan.g_03036
OG0000034	Prbi.g_01401	Syan.g_01227, Syan.g_03003
OG0000035	Prbi.g_01589, Prbi.g_01591	Syan.g_01276
OG0000037	Prbi.g_00116	Syan.g_00136, Syan.g_02978, Syan.g_00917
OG0000038	Prbi.g_02057	Syan.g_00064, Syan.g_01569, Syan.g_01571
OG0000039	Prbi.g_00689	Syan.g_02771, Syan.g_00535
OG0000041	Prbi.g_01833	Syan.g_01465
OG0000042	Prbi.g_02001	Syan.g_00991, Syan.g_02643, Syan.g_01888
OG0000044	Prbi.g_01744, Prbi.g_01760	Syan.g_01065
OG0000045	Prbi.g_00395	Syan.g_00086, Syan.g_00151
OG0000048	Prbi.g_00398	Syan.g_02036
OG0000053	Prbi.g_01611	Syan.g_02812
OG0000054	Prbi.g_00608	Syan.g_02503
OG0000055	Prbi.g_00828	Syan.g_00312
OG0000061	Prbi.g_01207	Syan.g_02696
OG0000062	Prbi.g_01668	Syan.g_00098
OG0000063	Prbi.g_00033	Syan.g_01739
OG0000065	Prbi.g_00114	Syan.g_02974
OG0000066	Prbi.g_00542	Syan.g_01156
OG0000067	Prbi.g_00847	Syan.g_00690
OG0000068	Prbi.g_01439	Syan.g_00845, Syan.g_00257, Syan.g_02773
OG0000069	Prbi.g_01702	Syan.g_00278
OG0000070	Prbi.g_00451	Syan.g_00289
OG0000071	Prbi.g_01391	Syan.g_01213
OG0000072	Prbi.g_00195	Syan.g_03038, Syan.g_02999
OG0000073	Prbi.g_00502	Syan.g_02741
OG0000075	Prbi.g_01970	Syan.g_00981, Syan.g_01937
OG0000076	Prbi.g_01994	Syan.g_01896
OG0000079	Prbi.g_00276	Syan.g_02079, Syan.g_02067, Syan.g_02085
OG0000082	Prbi.g_00587	Syan.g_00952
OG0000085	Prbi.g_01780	Syan.g_01387
OG0000086	Prbi.g_00095	Syan.g_02946, Syan.g_02515, Syan.g_00114
OG0000087	Prbi.g_00147	Syan.g_02268
OG0000088	Prbi.g_00190	Syan.g_03031
OG0000089	Prbi.g_00380	Syan.g_02316
OG0000090	Prbi.g_00536	Syan.g_01166
OG0000091	Prbi.g_00645	Syan.g_00235, Syan.g_00808
OG0000092	Prbi.g_00956	Syan.g_02502
OG0000094	Prbi.g_01067	Syan.g_00353, Syan.g_00065
OG0000097	Prbi.g_01248	Syan.g_00160, Syan.g_00733
OG0000098	Prbi.g_01421	Syan.g_00043
OG0000099	Prbi.g_01462	Syan.g_01968
OG0000100	Prbi.g_01664	Syan.g_00658
OG0000101	Prbi.g_01938	Syan.g_02199
OG0000102	Prbi.g_01999	Syan.g_01891
OG0000103	Prbi.g_02091	Syan.g_01692
OG0000104	Prbi.g_02099	Syan.g_01792
OG0000105	Prbi.g_00298	Syan.g_02031
OG0000106	Prbi.g_00394	Syan.g_00076
OG0000107	Prbi.g_00409	Syan.g_02106
OG0000108	Prbi.g_00483	Syan.g_02764
OG0000109	Prbi.g_00497	Syan.g_02748
OG0000110	Prbi.g_00577	Syan.g_00882
OG0000111	Prbi.g_00703	Syan.g_00187
OG0000112	Prbi.g_00811	Syan.g_00556, Syan.g_00252
OG0000113	Prbi.g_00869	Syan.g_00664
OG0000114	Prbi.g_00951	Syan.g_00741
OG0000115	Prbi.g_01148	Syan.g_02810
OG0000116	Prbi.g_01197	Syan.g_02710, Syan.g_00460
OG0000117	Prbi.g_01330	Syan.g_02644
OG0000118	Prbi.g_01403	Syan.g_01241, Syan.g_01237
OG0000119	Prbi.g_01435	Syan.g_02672
OG0000120	Prbi.g_01460	Syan.g_01966
OG0000121	Prbi.g_01593	Syan.g_01273
OG0000123	Prbi.g_01945	Syan.g_02190
OG0000124	Prbi.g_02010	Syan.g_01873
OG0000125	Prbi.g_02059	Syan.g_01573
OG0000126	Prbi.g_02098	Syan.g_01705
OG0000127	Prbi.g_01300, Prbi.g_01549	Syan.g_01071
OG0000128	Prbi.g_00011	Syan.g_01768
OG0000129	Prbi.g_00053	Syan.g_01563
OG0000130	Prbi.g_00076	Syan.g_02906, Syan.g_02907
OG0000131	Prbi.g_00169	Syan.g_03008
OG0000132	Prbi.g_00188	Syan.g_03029
OG0000133	Prbi.g_00346	Syan.g_00561
OG0000134	Prbi.g_00381	Syan.g_02319
OG0000135	Prbi.g_00407	Syan.g_01616
OG0000136	Prbi.g_00442	Syan.g_01342
OG0000137	Prbi.g_00478	Syan.g_02846
OG0000138	Prbi.g_00498	Syan.g_02747
OG0000140	Prbi.g_00541	Syan.g_00042
OG0000141	Prbi.g_00609	Syan.g_01032
OG0000142	Prbi.g_00638	Syan.g_00816
OG0000143	Prbi.g_00642	Syan.g_00812
OG0000144	Prbi.g_00655	Syan.g_00782
OG0000145	Prbi.g_00807	Syan.g_02740
OG0000146	Prbi.g_00812	Syan.g_00555, Syan.g_00253
OG0000147	Prbi.g_00813	Syan.g_00254, Syan.g_00554
OG0000148	Prbi.g_00863	Syan.g_00670
OG0000149	Prbi.g_00894	Syan.g_00393
OG0000150	Prbi.g_00902	Syan.g_01031
OG0000151	Prbi.g_00961	Syan.g_00731
OG0000152	Prbi.g_01009	Syan.g_00565
OG0000153	Prbi.g_01028	Syan.g_00601
OG0000154	Prbi.g_01060	Syan.g_00363
OG0000155	Prbi.g_01227	Syan.g_02654
OG0000156	Prbi.g_01380	Syan.g_02717
OG0000157	Prbi.g_01381	Syan.g_02718
OG0000158	Prbi.g_01489	Syan.g_01078, Syan.g_01926
OG0000159	Prbi.g_01490	Syan.g_01120
OG0000160	Prbi.g_01592	Syan.g_01274
OG0000161	Prbi.g_01598	Syan.g_01268
OG0000162	Prbi.g_01604	Syan.g_01059, Syan.g_01254, Syan.g_01330
OG0000163	Prbi.g_01637	Syan.g_02405
OG0000164	Prbi.g_01811	Syan.g_01440
OG0000165	Prbi.g_01818	Syan.g_01448
OG0000166	Prbi.g_01902	Syan.g_02239
OG0000167	Prbi.g_01968	Syan.g_01941
OG0000168	Prbi.g_01978	Syan.g_01924, Syan.g_01121, Syan.g_01925
OG0000169	Prbi.g_01988	Syan.g_01912
OG0000170	Prbi.g_01990	Syan.g_01901
OG0000171	Prbi.g_02009	Syan.g_01875
OG0000172	Prbi.g_02030	Syan.g_01810
OG0000173	Prbi.g_02045	Syan.g_01720
OG0000174	Prbi.g_02073	Syan.g_01619
OG0000175	Prbi.g_02083	Syan.g_01678, Syan.g_00258
OG0000176	Prbi.g_00004	Syan.g_01801
OG0000177	Prbi.g_00005	Syan.g_01775
OG0000178	Prbi.g_00006	Syan.g_01774
OG0000179	Prbi.g_00016	Syan.g_01759
OG0000180	Prbi.g_00017	Syan.g_01758
OG0000181	Prbi.g_00018	Syan.g_01757
OG0000182	Prbi.g_00019	Syan.g_01756
OG0000183	Prbi.g_00023	Syan.g_01752
OG0000184	Prbi.g_00057	Syan.g_01549
OG0000185	Prbi.g_00060	Syan.g_01540
OG0000186	Prbi.g_00071	Syan.g_02902
OG0000187	Prbi.g_00072	Syan.g_02904
OG0000188	Prbi.g_00089	Syan.g_02926
OG0000189	Prbi.g_00103	Syan.g_02966
OG0000190	Prbi.g_00104	Syan.g_00971
OG0000191	Prbi.g_00125	Syan.g_02300
OG0000192	Prbi.g_00129	Syan.g_02294
OG0000193	Prbi.g_00170	Syan.g_03009
OG0000194	Prbi.g_00173	Syan.g_03012
OG0000195	Prbi.g_00175	Syan.g_03014
OG0000196	Prbi.g_00185	Syan.g_03026
OG0000197	Prbi.g_00186	Syan.g_03027
OG0000198	Prbi.g_00187	Syan.g_03028
OG0000199	Prbi.g_00194	Syan.g_03037
OG0000200	Prbi.g_00208	Syan.g_03055
OG0000201	Prbi.g_00216	Syan.g_03074
OG0000202	Prbi.g_00217	Syan.g_03075
OG0000203	Prbi.g_00218	Syan.g_03076
OG0000204	Prbi.g_00219	Syan.g_03077
OG0000205	Prbi.g_00226	Syan.g_03087
OG0000206	Prbi.g_00231	Syan.g_03095
OG0000207	Prbi.g_00233	Syan.g_03100
OG0000208	Prbi.g_00234	Syan.g_03101
OG0000209	Prbi.g_00243	Syan.g_01521
OG0000210	Prbi.g_00244	Syan.g_01522
OG0000211	Prbi.g_00257	Syan.g_02416
OG0000212	Prbi.g_00264	Syan.g_01508, Syan.g_02438
OG0000213	Prbi.g_00281	Syan.g_02059
OG0000214	Prbi.g_00291	Syan.g_02040
OG0000215	Prbi.g_00316	Syan.g_02010
OG0000216	Prbi.g_00318	Syan.g_02006
OG0000217	Prbi.g_00321	Syan.g_02001
OG0000218	Prbi.g_00323	Syan.g_01999
OG0000219	Prbi.g_00324	Syan.g_01998
OG0000220	Prbi.g_00325	Syan.g_01997
OG0000221	Prbi.g_00326	Syan.g_01994
OG0000222	Prbi.g_00334	Syan.g_01981
OG0000223	Prbi.g_00347	Syan.g_00228
OG0000224	Prbi.g_00349	Syan.g_01959
OG0000225	Prbi.g_00370	Syan.g_02997
OG0000226	Prbi.g_00374	Syan.g_02990
OG0000227	Prbi.g_00376	Syan.g_02988
OG0000228	Prbi.g_00379	Syan.g_02315
OG0000229	Prbi.g_00437	Syan.g_02396
OG0000230	Prbi.g_00439	Syan.g_02398
OG0000231	Prbi.g_00450	Syan.g_01333
OG0000232	Prbi.g_00459	Syan.g_02801
OG0000233	Prbi.g_00465	Syan.g_02876
OG0000234	Prbi.g_00479	Syan.g_02844
OG0000235	Prbi.g_00482	Syan.g_02765
OG0000236	Prbi.g_00496	Syan.g_02749
OG0000237	Prbi.g_00509	Syan.g_02731
OG0000238	Prbi.g_00515	Syan.g_02726
OG0000239	Prbi.g_00528	Syan.g_01187
OG0000240	Prbi.g_00529	Syan.g_01186
OG0000241	Prbi.g_00533	Syan.g_00822
OG0000242	Prbi.g_00535	Syan.g_01168
OG0000243	Prbi.g_00546	Syan.g_00840
OG0000244	Prbi.g_00549	Syan.g_00848
OG0000245	Prbi.g_00551	Syan.g_00850
OG0000246	Prbi.g_00555	Syan.g_00854
OG0000247	Prbi.g_00565	Syan.g_00866
OG0000248	Prbi.g_00567	Syan.g_00869
OG0000249	Prbi.g_00569	Syan.g_00871
OG0000250	Prbi.g_00574	Syan.g_00878
OG0000251	Prbi.g_00593	Syan.g_00961
OG0000252	Prbi.g_00596	Syan.g_00966
OG0000253	Prbi.g_00597	Syan.g_01000
OG0000254	Prbi.g_00613	Syan.g_01026
OG0000255	Prbi.g_00619	Syan.g_00978
OG0000256	Prbi.g_00629	Syan.g_00001, Syan.g_01135
OG0000257	Prbi.g_00632	Syan.g_00827
OG0000258	Prbi.g_00646	Syan.g_00803
OG0000259	Prbi.g_00663	Syan.g_00772
OG0000260	Prbi.g_00666	Syan.g_00769
OG0000261	Prbi.g_00668	Syan.g_00765
OG0000262	Prbi.g_00672	Syan.g_00760
OG0000263	Prbi.g_00684	Syan.g_02618
OG0000264	Prbi.g_00694	Syan.g_00540
OG0000266	Prbi.g_00755	Syan.g_00330
OG0000267	Prbi.g_00766	Syan.g_00470
OG0000268	Prbi.g_00767	Syan.g_00471
OG0000269	Prbi.g_00842	Syan.g_00695
OG0000270	Prbi.g_00845	Syan.g_00692
OG0000271	Prbi.g_00853	Syan.g_00684
OG0000272	Prbi.g_00854	Syan.g_00683
OG0000273	Prbi.g_00877	Syan.g_00654
OG0000274	Prbi.g_00878	Syan.g_00653
OG0000275	Prbi.g_00881	Syan.g_00373
OG0000276	Prbi.g_00886	Syan.g_00380
OG0000277	Prbi.g_00887	Syan.g_00381
OG0000278	Prbi.g_00890	Syan.g_00384
OG0000279	Prbi.g_00897	Syan.g_00398
OG0000280	Prbi.g_00898	Syan.g_00518
OG0000282	Prbi.g_00953	Syan.g_00739
OG0000283	Prbi.g_00986	Syan.g_00491
OG0000284	Prbi.g_00991	Syan.g_00497
OG0000285	Prbi.g_00996	Syan.g_00533
OG0000286	Prbi.g_01008	Syan.g_00564
OG0000287	Prbi.g_01025	Syan.g_00593
OG0000288	Prbi.g_01059	Syan.g_00364
OG0000289	Prbi.g_01070	Syan.g_00350
OG0000290	Prbi.g_01083	Syan.g_00293
OG0000291	Prbi.g_01085	Syan.g_00291
OG0000292	Prbi.g_01136	Syan.g_01703
OG0000293	Prbi.g_01198	Syan.g_02709
OG0000294	Prbi.g_01199	Syan.g_02708
OG0000295	Prbi.g_01219	Syan.g_02662
OG0000296	Prbi.g_01221	Syan.g_02660
OG0000299	Prbi.g_01247	Syan.g_02601
OG0000301	Prbi.g_01251	Syan.g_02592
OG0000302	Prbi.g_01253	Syan.g_02591
OG0000303	Prbi.g_01260	Syan.g_02582
OG0000304	Prbi.g_01264	Syan.g_02556
OG0000305	Prbi.g_01431	Syan.g_00195
OG0000306	Prbi.g_01434	Syan.g_00087
OG0000307	Prbi.g_01448	Syan.g_02782
OG0000308	Prbi.g_01449	Syan.g_02784
OG0000309	Prbi.g_01453	Syan.g_02883
OG0000310	Prbi.g_01574	Syan.g_01304
OG0000311	Prbi.g_01576	Syan.g_01299
OG0000312	Prbi.g_01579	Syan.g_01290
OG0000313	Prbi.g_01595	Syan.g_01271
OG0000314	Prbi.g_01617	Syan.g_02823
OG0000315	Prbi.g_01627	Syan.g_02833
OG0000316	Prbi.g_01647	Syan.g_01354
OG0000317	Prbi.g_01785	Syan.g_01396
OG0000318	Prbi.g_01788	Syan.g_01401
OG0000319	Prbi.g_01801	Syan.g_01425
OG0000320	Prbi.g_01803	Syan.g_01427
OG0000321	Prbi.g_01804	Syan.g_01428
OG0000322	Prbi.g_01805	Syan.g_01429
OG0000323	Prbi.g_01814	Syan.g_01442
OG0000324	Prbi.g_01840	Syan.g_01472
OG0000325	Prbi.g_01849	Syan.g_02107
OG0000326	Prbi.g_01855	Syan.g_02114
OG0000327	Prbi.g_01897	Syan.g_02244
OG0000328	Prbi.g_01898	Syan.g_02243
OG0000329	Prbi.g_01915	Syan.g_02225
OG0000330	Prbi.g_01916	Syan.g_02224
OG0000331	Prbi.g_01917	Syan.g_02223
OG0000332	Prbi.g_01931	Syan.g_02208
OG0000333	Prbi.g_01933	Syan.g_02205
OG0000334	Prbi.g_01941	Syan.g_00247, Syan.g_02194
OG0000335	Prbi.g_01946	Syan.g_02189
OG0000336	Prbi.g_01950	Syan.g_02185
OG0000337	Prbi.g_01966	Syan.g_01949
OG0000338	Prbi.g_01967	Syan.g_01943
OG0000339	Prbi.g_01971	Syan.g_01935, Syan.g_00264
OG0000340	Prbi.g_01979	Syan.g_01923
OG0000341	Prbi.g_01981	Syan.g_01921
OG0000342	Prbi.g_01982	Syan.g_01920
OG0000343	Prbi.g_01983	Syan.g_01918
OG0000344	Prbi.g_01986	Syan.g_01914
OG0000345	Prbi.g_01991	Syan.g_01900
OG0000346	Prbi.g_01995	Syan.g_01895
OG0000347	Prbi.g_02011	Syan.g_01867
OG0000348	Prbi.g_02033	Syan.g_01803
OG0000349	Prbi.g_02050	Syan.g_01727
OG0000350	Prbi.g_02069	Syan.g_02121
OG0000351	Prbi.g_02086	Syan.g_01682
OG0000352	Prbi.g_02087	Syan.g_01683
OG0000353	Prbi.g_02102	Syan.g_01795
OG0000355	Prbi.g_00001	Syan.g_01797
OG0000356	Prbi.g_00002	Syan.g_01798
OG0000357	Prbi.g_00003	Syan.g_01800
OG0000358	Prbi.g_00007	Syan.g_01773
OG0000359	Prbi.g_00008	Syan.g_01771
OG0000360	Prbi.g_00009	Syan.g_01770
OG0000361	Prbi.g_00010	Syan.g_01769
OG0000362	Prbi.g_00012	Syan.g_01767
OG0000363	Prbi.g_00014	Syan.g_01765
OG0000364	Prbi.g_00015	Syan.g_01398
OG0000365	Prbi.g_00020	Syan.g_01755
OG0000366	Prbi.g_00021	Syan.g_01754
OG0000367	Prbi.g_00022	Syan.g_01753
OG0000368	Prbi.g_00024	Syan.g_01751
OG0000369	Prbi.g_00025	Syan.g_01750
OG0000370	Prbi.g_00026	Syan.g_01749
OG0000371	Prbi.g_00032	Syan.g_01740
OG0000372	Prbi.g_00035	Syan.g_01734
OG0000373	Prbi.g_00036	Syan.g_01733
OG0000374	Prbi.g_00037	Syan.g_01732
OG0000375	Prbi.g_00049	Syan.g_01731
OG0000376	Prbi.g_00051	Syan.g_01729
OG0000377	Prbi.g_00056	Syan.g_01555
OG0000378	Prbi.g_00058	Syan.g_01543
OG0000379	Prbi.g_00061	Syan.g_01539
OG0000380	Prbi.g_00073	Syan.g_02905
OG0000381	Prbi.g_00077	Syan.g_02908
OG0000382	Prbi.g_00088	Syan.g_02925
OG0000383	Prbi.g_00090	Syan.g_02936
OG0000384	Prbi.g_00091	Syan.g_02937
OG0000385	Prbi.g_00092	Syan.g_02938
