Orthogroup	Prbi	Syaj
OG0000001	Prbi.g_01424, Prbi.g_01542, Prbi.g_01763, Prbi.g_01270	Syaj.g_02674
OG0000002	Prbi.g_01432, Prbi.g_00681	Syaj.g_02667
OG0000004	Prbi.g_00698	Syaj.g_00441
OG0000004	Prbi.g_00256	Syaj.g_01314, Syaj.g_02853
OG0000005	Prbi.g_01800	Syaj.g_01736
OG0000005	Prbi.g_01666	Syaj.g_01698
OG0000006	Prbi.g_00265	Syaj.g_02635
OG0000007	Prbi.g_00500	Syaj.g_00091
OG0000007	Prbi.g_01787	Syaj.g_01721
OG0000008	Prbi.g_01764	Syaj.g_00496
OG0000008	Prbi.g_01540, Prbi.g_01765, Prbi.g_01539	Syaj.g_00497
OG0000009	Prbi.g_01338, Prbi.g_01701	Syaj.g_01069
OG0000009	Prbi.g_00112	Syaj.g_01885
OG0000010	Prbi.g_01094, Prbi.g_00477	Syaj.g_01445
OG0000011	Prbi.g_01361	Syaj.g_01133
OG0000011	Prbi.g_00426	Syaj.g_01780
OG0000012	Prbi.g_00625	Syaj.g_00003, Syaj.g_01793, Syaj.g_00831, Syaj.g_00172, Syaj.g_01306
OG0000013	Prbi.g_00351	Syaj.g_02782, Syaj.g_02769, Syaj.g_02774
OG0000014	Prbi.g_00330	Syaj.g_02522
OG0000014	Prbi.g_01475	Syaj.g_02344
OG0000015	Prbi.g_00810, Prbi.g_01304	Syaj.g_00725, Syaj.g_02659
OG0000016	Prbi.g_00013	Syaj.g_02276
OG0000017	Prbi.g_00600	Syaj.g_00248
OG0000018	Prbi.g_01188, Prbi.g_00874	Syaj.g_01413
OG0000019	Prbi.g_00273, Prbi.g_00827	Syaj.g_02613
OG0000021	Prbi.g_01742, Prbi.g_00389	Syaj.g_00982
OG0000022	Prbi.g_00805, Prbi.g_01170	Syaj.g_01220
OG0000023	Prbi.g_00384	Syaj.g_00829, Syaj.g_01791
OG0000024	Prbi.g_00788, Prbi.g_00678	Syaj.g_00500
OG0000025	Prbi.g_00882, Prbi.g_00355	Syaj.g_00383
OG0000026	Prbi.g_00031, Prbi.g_01101	Syaj.g_02298
OG0000027	Prbi.g_00472, Prbi.g_01374	Syaj.g_00396
OG0000028	Prbi.g_00344, Prbi.g_01319, Prbi.g_01768	Syaj.g_02506
OG0000029	Prbi.g_00399, Prbi.g_00796	Syaj.g_01229
OG0000030	Prbi.g_02004	Syaj.g_02396, Syaj.g_02395
OG0000033	Prbi.g_00193	Syaj.g_01990
OG0000034	Prbi.g_01401	Syaj.g_01959
OG0000035	Prbi.g_01589, Prbi.g_01591	Syaj.g_01378
OG0000037	Prbi.g_00116	Syaj.g_01891, Syaj.g_02902
OG0000038	Prbi.g_02057	Syaj.g_02115
OG0000039	Prbi.g_00689	Syaj.g_00392, Syaj.g_00275
OG0000041	Prbi.g_01833	Syaj.g_01602
OG0000042	Prbi.g_02001	Syaj.g_02399
OG0000043	Prbi.g_00918, Prbi.g_01334	Syaj.g_01247
OG0000044	Prbi.g_01744, Prbi.g_01760	Syaj.g_01344
OG0000047	Prbi.g_00354	Syaj.g_02799
OG0000048	Prbi.g_00398	Syaj.g_02578
OG0000051	Prbi.g_01364	Syaj.g_02898
OG0000052	Prbi.g_01478	Syaj.g_02476
OG0000053	Prbi.g_01611	Syaj.g_01409
OG0000054	Prbi.g_00608	Syaj.g_01341
OG0000055	Prbi.g_00828	Syaj.g_00394
OG0000056	Prbi.g_01276	Syaj.g_00985, Syaj.g_02864, Syaj.g_01794, Syaj.g_01081, Syaj.g_00880, Syaj.g_01082, Syaj.g_00533, Syaj.g_01676, Syaj.g_00546, Syaj.g_00879, Syaj.g_00462, Syaj.g_01088, Syaj.g_00360, Syaj.g_01093, Syaj.g_00962
OG0000057	Prbi.g_00702	Syaj.g_00438
OG0000058	Prbi.g_01461	Syaj.g_02495
OG0000059	Prbi.g_01873, Prbi.g_01717	Syaj.g_02686
OG0000061	Prbi.g_01207	Syaj.g_00302
OG0000063	Prbi.g_00033	Syaj.g_02302
OG0000065	Prbi.g_00114	Syaj.g_00007, Syaj.g_01887
OG0000066	Prbi.g_00542	Syaj.g_00157
OG0000067	Prbi.g_00847	Syaj.g_01023
OG0000068	Prbi.g_01439	Syaj.g_00059
OG0000070	Prbi.g_00451	Syaj.g_01529
OG0000071	Prbi.g_01391	Syaj.g_01511
OG0000072	Prbi.g_00195	Syaj.g_01992
