Orthogroup	Praa	Praz
OG0000000	Praa.g_01359	Praz.g_01146
OG0000000	Praa.g_00678	Praz.g_01652
OG0000002	Praa.g_01351	Praz.g_01154
OG0000003	Praa.g_01599	Praz.g_00920
OG0000003	Praa.g_01298	Praz.g_01200
OG0000004	Praa.g_00735	Praz.g_01583
OG0000004	Praa.g_00742	Praz.g_01576
OG0000004	Praa.g_01294	Praz.g_01201
OG0000005	Praa.g_01235	Praz.g_00894
OG0000005	Praa.g_01598	Praz.g_00921
OG0000006	Praa.g_00497	Praz.g_01831
OG0000006	Praa.g_01635	Praz.g_00877
OG0000007	Praa.g_01241	Praz.g_01241
OG0000007	Praa.g_00672	Praz.g_01658
OG0000008	Praa.g_00382	Praz.g_00790
OG0000008	Praa.g_00997	Praz.g_01317
OG0000008	Praa.g_01256	Praz.g_00767
OG0000009	Praa.g_00782	Praz.g_01532
OG0000009	Praa.g_00249	Praz.g_00609
OG0000010	Praa.g_01110	Praz.g_00045
OG0000010	Praa.g_01280	Praz.g_01215
OG0000011	Praa.g_00330	Praz.g_00687
OG0000012	Praa.g_00598	Praz.g_01732
OG0000013	Praa.g_00765	Praz.g_01551
OG0000014	Praa.g_00470	Praz.g_01858
OG0000014	Praa.g_01301	Praz.g_01197
OG0000015	Praa.g_00380	Praz.g_00792
OG0000016	Praa.g_01362	Praz.g_01143
OG0000017	Praa.g_01496	Praz.g_01021
OG0000018	Praa.g_00241	Praz.g_00601
OG0000018	Praa.g_01245	Praz.g_00601
OG0000019	Praa.g_00364	Praz.g_00810
OG0000019	Praa.g_01623	Praz.g_00896
OG0000020	Praa.g_00373	Praz.g_00800
OG0000021	Praa.g_00784	Praz.g_01530
OG0000022	Praa.g_01300	Praz.g_01198
OG0000023	Praa.g_01589	Praz.g_00929
OG0000023	Praa.g_01264	Praz.g_01230
OG0000024	Praa.g_00306	Praz.g_00663
OG0000025	Praa.g_01075	Praz.g_00101, Praz.g_00769
OG0000026	Praa.g_00033	Praz.g_00398
OG0000027	Praa.g_00738	Praz.g_01580
OG0000027	Praa.g_01564	Praz.g_00954
OG0000028	Praa.g_01476	Praz.g_01041
OG0000029	Praa.g_01590	Praz.g_00928
OG0000030	Praa.g_01221, Praa.g_00038	Praz.g_00404
OG0000031	Praa.g_01291	Praz.g_01204
OG0000033	Praa.g_00013	Praz.g_00378
OG0000034	Praa.g_01407	Praz.g_01103
OG0000036	Praa.g_00585	Praz.g_01744
OG0000037	Praa.g_00623	Praz.g_01707
OG0000038	Praa.g_00763	Praz.g_01556
OG0000039	Praa.g_00166	Praz.g_00526
OG0000040	Praa.g_00359	Praz.g_00814
OG0000041	Praa.g_00399	Praz.g_01908
OG0000042	Praa.g_00711	Praz.g_01607
OG0000043	Praa.g_00787	Praz.g_01527
OG0000044	Praa.g_01159	Praz.g_00755
OG0000045	Praa.g_01425	Praz.g_01096
OG0000046	Praa.g_01628	Praz.g_00884
OG0000047	Praa.g_01832	Praz.g_00205
OG0000048	Praa.g_01839	Praz.g_00198
OG0000050	Praa.g_00031	Praz.g_00396
OG0000051	Praa.g_00157	Praz.g_00517
OG0000052	Praa.g_00369	Praz.g_00804
OG0000053	Praa.g_00539	Praz.g_01789
OG0000054	Praa.g_00757	Praz.g_01561
OG0000055	Praa.g_00826	Praz.g_01490
OG0000056	Praa.g_01117	Praz.g_00038
OG0000057	Praa.g_00237	Praz.g_00597
OG0000058	Praa.g_00475, Praa.g_01414	Praz.g_01853
OG0000059	Praa.g_00698	Praz.g_01632
OG0000060	Praa.g_00740	Praz.g_01578
OG0000061	Praa.g_01125	Praz.g_00027
OG0000061	Praa.g_00984	Praz.g_01330
OG0000062	Praa.g_01127	Praz.g_00025
OG0000063	Praa.g_01255	Praz.g_01237
OG0000064	Praa.g_01268	Praz.g_01227
OG0000064	Praa.g_01620	Praz.g_00901
OG0000065	Praa.g_01318	Praz.g_01180
OG0000066	Praa.g_01387	Praz.g_01118
OG0000067	Praa.g_01626	Praz.g_01240, Praz.g_00768
OG0000068	Praa.g_01775	Praz.g_00263
OG0000071	Praa.g_00011	Praz.g_00376
OG0000072	Praa.g_00322	Praz.g_00679
OG0000073	Praa.g_00669	Praz.g_01661
OG0000074	Praa.g_00691	Praz.g_01639
OG0000075	Praa.g_00811, Praa.g_00810	Praz.g_01505
OG0000076	Praa.g_01039	Praz.g_00066
OG0000077	Praa.g_01236	Praz.g_00893
OG0000078	Praa.g_01394	Praz.g_01098
OG0000079	Praa.g_01555	Praz.g_00963
OG0000080	Praa.g_01606	Praz.g_00913
OG0000081	Praa.g_01806	Praz.g_00232
OG0000082	Praa.g_01894	Praz.g_00142
OG0000083	Praa.g_00003	Praz.g_00368
OG0000084	Praa.g_00006	Praz.g_00371
OG0000085	Praa.g_00023	Praz.g_00388
OG0000086	Praa.g_00039	Praz.g_00405
OG0000086	Praa.g_00409	Praz.g_01911
OG0000087	Praa.g_00049	Praz.g_00415
OG0000088	Praa.g_00113	Praz.g_00473
OG0000089	Praa.g_00121	Praz.g_00481
OG0000090	Praa.g_00139	Praz.g_00499
OG0000091	Praa.g_00169	Praz.g_00529
